読み (よみ)	reading	date	board	skin
表情 (ひょうじょう)	facial expression	valuation	anxiety	insufficiency
評価 (ひょうか)	valuation	anxiety	insufficiency	dissatisfaction
不安 (ふあん)	anxiety	insufficiency	dissatisfaction	wife
不足 (ふそく)	insufficiency	dissatisfaction	wife	father
不満 (ふまん)	dissatisfaction	wife	father	weapon
夫人 (ふじん)	wife	father	weapon	width
父親 (ちちおや)	father	weapon	width	mother
武器 (ぶき)	weapon	width	mother	abundant
幅 (はば)	width	mother	abundant	the person himself
母親 (ははおや)	mother	abundant	the person himself	free 
豊か (ゆたか)	abundant	the person himself	free 	name
本人 (ほんにん)	the person himself	free 	name	clear
無料 (むりょう)	free 	name	clear	friend
名 (な)	name	clear	friend	valid
明確 (めいかく)	clear	friend	valid	state
友人 (ゆうじん)	friend	valid	state	profit
有効 (ゆうこう)	valid	state	profit	understanding
様子 (ようす)	state	profit	understanding	stream
利益 (りえき)	profit	understanding	stream	fee
理解 (りかい)	understanding	stream	fee	the aged
流れ (ながれ)	stream	fee	the aged	topic
料金 (りょうきん)	fee	the aged	topic	number
老人 (ろうじん)	the aged	topic	number	married couple
話題 (わだい)	topic	number	married couple	custom
数 (かず)	number	married couple	custom	age
夫婦 (ふうふ)	married couple	custom	age	we
例 (れい)	custom	age	we	ago
年齢 (ねんれい)	age	we	ago	intention
我々 (われわれ)	we	ago	intention	much more
以前 (いぜん)	ago	intention	much more	impression
意思 (いし)	intention	much more	impression	pollution
一層 (いっそう)	much more	impression	pollution	something
印象 (いんしょう)	impression	pollution	something	value
汚染 (おせん)	pollution	something	value	singer
何か (なにか)	something	value	singer	painting
価値 (かち)	value	singer	painting	confirmation
歌手 (かしゅ)	singer	painting	confirmation	scholar
絵画 (かいが)	painting	confirmation	scholar	study
確認 (かくにん)	confirmation	scholar	study	picture 
学者 (がくしゃ)	scholar	study	picture 	stock
学習 (がくしゅう)	study	picture 	stock	sense
額 (がく)	picture 	stock	sense	machine
株 (かぶ)	stock	sense	machine	duty
感覚 (かんかく)	sense	machine	duty	rapid 
機械 (きかい)	machine	duty	rapid 	permission
義務 (ぎむ)	duty	rapid 	permission	supply
急速 (きゅうそく)	rapid 	permission	supply	tension
許可 (きょか)	permission	supply	tension	present day
供給 (きょうきゅう)	supply	tension	present day	amount of money
緊張 (きんちょう)	tension	present day	amount of money	emptiness
近代 (きんだい)	present day	amount of money	emptiness	training
金額 (きんがく)	amount of money	emptiness	training	drama
空 (から)	emptiness	training	drama	construction
訓練 (くんれん)	training	drama	construction	shoulder
劇 (げき)	drama	construction	shoulder	cash
建築 (けんちく)	construction	shoulder	cash	phenomenon
肩 (かた)	shoulder	cash	phenomenon	organization
現金 (げんきん)	cash	phenomenon	organization	contribution 
現象 (げんしょう)	phenomenon	organization	contribution 	sum total
構成 (こうせい)	organization	contribution 	sum total	distinction
貢献 (こうけん)	contribution 	sum total	distinction	least
合計 (ごうけい)	sum total	distinction	least	ingredients
差別 (さべつ)	distinction	least	ingredients	reference
最低 (さいてい)	least	ingredients	reference	remnant
材料 (ざいりょう)	ingredients	reference	remnant	thought
参考 (さんこう)	reference	remnant	thought	domination
残り (のこり)	remnant	thought	domination	resources
思想 (しそう)	thought	domination	resources	funds
支配 (しはい)	domination	resources	funds	unemployment 
資源 (しげん)	resources	funds	unemployment 	as a matter of fact
資本 (しほん)	funds	unemployment 	as a matter of fact	execution 
失業 (しつぎょう)	unemployment 	as a matter of fact	execution 	surgery
実は (じつは)	as a matter of fact	execution 	surgery	means
実行 (じっこう)	execution 	surgery	means	surroundings
手術 (しゅじゅつ)	surgery	means	surroundings	finding employment
手段 (しゅだん)	means	surroundings	finding employment	concentration
周囲 (しゅうい)	surroundings	finding employment	concentration	serious
就職 (しゅうしょく)	finding employment	concentration	serious	attendance
集中 (しゅうちゅう)	concentration	serious	attendance	publication
重大 (じゅうだい)	serious	attendance	publication	chapter
出席 (しゅっせき)	attendance	publication	chapter	scene
出版 (しゅっぱん)	publication	chapter	scene	occupation
章 (しょう)	chapter	scene	occupation	meal 
場面 (ばめん)	scene	occupation	meal 	food
職業 (しょくぎょう)	occupation	meal 	food	confidence
食事 (しょくじ)	meal 	food	confidence	reliance
食品 (しょくひん)	food	confidence	reliance	god
信用 (しんよう)	confidence	reliance	god	restriction
信頼 (しんらい)	reliance	god	restriction	force
神 (かみ)	god	restriction	force	character
制限 (せいげん)	restriction	force	character	success
勢い (いきおい)	force	character	success	results
性格 (せいかく)	character	success	results	noon
成功 (せいこう)	success	results	noon	life
成績 (せいせき)	results	noon	life	claim
正午 (しょうご)	noon	life	claim	youth
生命 (せいめい)	life	claim	youth	trace
請求 (せいきゅう)	claim	youth	trace	plan
青年 (せいねん)	youth	trace	plan	major subject
跡 (あと)	trace	plan	major subject	selection
設計 (せっけい)	plan	major subject	selection	corresponding to 
専攻 (せんこう)	major subject	selection	corresponding to 	damage
選択 (せんたく)	selection	corresponding to 	damage	physical education
相当 (そうとう)	corresponding to 	damage	physical education	representation
損害 (そんがい)	damage	physical education	representation	cabinet minister
体育 (たいいく)	physical education	representation	cabinet minister	majority
代理 (だいり)	representation	cabinet minister	majority	unit
大臣 (だいじん)	cabinet minister	majority	unit	birth
大半 (たいはん)	majority	unit	birth	earth
単位 (たんい)	unit	birth	earth	social position
誕生 (たんじょう)	birth	earth	social position	basement
地 (ち)	earth	social position	basement	middle school
地位 (ちい)	social position	basement	middle school	suspension
地下 (ちか)	basement	middle school	suspension	notice
中学 (ちゅうがく)	middle school	suspension	notice	author 
中止 (ちゅうし)	suspension	notice	author 	fixed period
注目 (ちゅうもく)	notice	author 	fixed period	resistance
著者 (ちょしゃ)	author 	fixed period	resistance	presentation 
定期 (ていき)	fixed period	resistance	presentation 	thoroughness
抵抗 (ていこう)	resistance	presentation 	thoroughness	railroad
提出 (ていしゅつ)	presentation 	thoroughness	railroad	capital
徹底 (てってい)	thoroughness	railroad	capital	everyday
鉄道 (てつどう)	railroad	capital	everyday	farmer
都 (みやこ)	capital	everyday	farmer	actor
日常 (にちじょう)	everyday	farmer	actor	crime
農家 (のうか)	farmer	actor	crime	extent
俳優 (はいゆう)	actor	crime	extent	delicate
犯罪 (はんざい)	crime	extent	delicate	prices of commodities
範囲 (はんい)	extent	delicate	prices of commodities	tale
微妙 (びみょう)	delicate	prices of commodities	tale	material
物価 (ぶっか)	prices of commodities	tale	material	analysis
物語 (ものがたり)	tale	material	analysis	mood
物質 (ぶっしつ)	material	analysis	mood	letter 
分析 (ぶんせき)	analysis	mood	letter 	change
雰囲気 (ふんいき)	mood	letter 	change	charm
文字 (もじ)	letter 	change	charm	pattern
変更 (へんこう)	change	charm	pattern	only
魅力 (みりょく)	charm	pattern	only	surplus
模様 (もよう)	pattern	only	surplus	travel
唯一 (ゆいいつ)	only	surplus	travel	bay
余裕 (よゆう)	surplus	travel	bay	pipe
旅 (たび)	travel	bay	pipe	valley
湾 (わん)	bay	pipe	valley	pain
管 (かん)	pipe	valley	pain	payment
谷 (たに)	valley	pain	payment	battle
痛み (いたみ)	pain	payment	battle	guarantee
支払い (しはらい)	payment	battle	guarantee	musical performance
戦い (たたかい)	battle	guarantee	musical performance	unexpected
保証 (ほしょう)	guarantee	musical performance	unexpected	movement
演奏 (えんそう)	musical performance	unexpected	movement	what the heck
意外 (いがい)	unexpected	movement	what the heck	coincidence
移動 (いどう)	movement	what the heck	coincidence	chemistry
一体 (いったい)	what the heck	coincidence	chemistry	nothing 
一致 (いっち)	coincidence	chemistry	nothing 	complete
化学 (かがく)	chemistry	nothing 	complete	perfect
何も (なにも)	nothing 	complete	perfect	emotion
完成 (かんせい)	complete	perfect	emotion	welcome
完全 (かんぜん)	perfect	emotion	welcome	audience
感情 (かんじょう)	emotion	welcome	audience	flag 
歓迎 (かんげい)	welcome	audience	flag 	already
観客 (かんきゃく)	audience	flag 	already	memory
旗 (はた)	flag 	already	memory	precious
すでに (既に)	already	memory	precious	sphere 
記憶 (きおく)	memory	precious	sphere 	huge
貴重 (きちょう)	precious	sphere 	huge	to permit
球 (きゅう)	sphere 	huge	to permit	powerful
巨大 (きょだい)	huge	to permit	powerful	textbook
許す (ゆるす)	to permit	powerful	textbook	metal
強力 (きょうりょく)	powerful	textbook	metal	concrete
教科書 (きょうかしょ)	textbook	metal	concrete	police detective 
金属 (きんぞく)	metal	concrete	police detective 	calculation
具体 (ぐたい)	concrete	police detective 	calculation	hole 
刑事 (けいじ)	police detective 	calculation	hole 	limit
計算 (けいさん)	calculation	hole 	limit	mutual
穴 (あな)	hole 	limit	mutual	back
限界 (げんかい)	limit	mutual	back	bone 
互い (たがい)	mutual	back	bone 	difficulty
腰 (こし)	back	bone 	difficulty	property
骨 (ほね)	bone 	difficulty	property	composition
困難 (こんなん)	difficulty	property	composition	expenditure
財産 (ざいさん)	property	composition	expenditure	death
作曲 (さっきょく)	composition	expenditure	death	time
支出 (ししゅつ)	expenditure	death	time	automatic action
死亡 (しぼう)	death	time	automatic action	quality
時 (とき)	time	automatic action	quality	alcohol
自動 (じどう)	automatic action	quality	alcohol	week
質 (しつ)	quality	alcohol	week	regarding as important
酒 (さけ)	alcohol	week	regarding as important	gun
週 (しゅう)	week	regarding as important	gun	moment
重視 (じゅうし)	regarding as important	gun	moment	favourable
銃 (じゅう)	gun	moment	favourable	signature
瞬間 (しゅんかん)	moment	favourable	signature	actress
順調 (じゅんちょう)	favourable	signature	actress	pine tree 
署名 (しょめい)	signature	actress	pine tree 	symptoms
女優 (じょゆう)	actress	pine tree 	symptoms	laugh
松 (まつ)	pine tree 	symptoms	laugh	smiling face
症状 (しょうじょう)	symptoms	laugh	smiling face	collision
笑い (わらい)	laugh	smiling face	collision	always
笑顔 (えがお)	smiling face	collision	always	plant
衝突 (しょうとつ)	collision	always	plant	food
常に (つねに)	always	plant	food	heart 
植物 (しょくぶつ)	plant	food	heart 	worry
食料 (しょくりょう)	food	heart 	worry	state of mind
心臓 (しんぞう)	heart 	worry	state of mind	mankind
心配 (しんぱい)	worry	state of mind	mankind	century 
心理 (しんり)	state of mind	mankind	century 	logical true
人類 (じんるい)	mankind	century 	logical true	living thing
世紀 (せいき)	century 	logical true	living thing	absolutely
正 (せい)	logical true	living thing	absolutely	operation
生物 (せいぶつ)	living thing	absolutely	operation	sun
絶対 (ぜったい)	absolutely	operation	sun	stay
操作 (そうさ)	operation	sun	stay	great war
太陽 (たいよう)	sun	stay	great war	simple
滞在 (たいざい)	stay	great war	simple	knowledge
大戦 (たいせん)	great war	simple	knowledge	order
単純 (たんじゅん)	simple	knowledge	order	putting money aside
知識 (ちしき)	knowledge	order	putting money aside	bottom
注文 (ちゅうもん)	order	putting money aside	bottom	pertinent
貯金 (ちょきん)	putting money aside	bottom	pertinent	applying 
底 (そこ)	bottom	pertinent	applying 	iron 
適切 (てきせつ)	pertinent	applying 	iron 	electron 
適用 (てきよう)	applying 	iron 	electron 	earth
鉄 (てつ)	iron 	electron 	earth	Saturday
電子 (でんし)	electron 	earth	Saturday	identical
土 (つち)	earth	Saturday	identical	peculiarity
土曜 (どよう)	Saturday	identical	peculiarity	daytime
同一 (どういつ)	identical	peculiarity	daytime	entrance
独特 (どくとく)	peculiarity	daytime	entrance	farmer
日中 (にっちゅう)	daytime	entrance	farmer	wave
入場 (にゅうじょう)	entrance	farmer	wave	expert
農民 (のうみん)	farmer	wave	expert	museum
波 (なみ)	wave	expert	museum	explosion
博士 (はかせ)	expert	museum	explosion	discovery
博物館 (はくぶつかん)	museum	explosion	discovery	secret
爆発 (ばくはつ)	explosion	discovery	secret	aviation
発見 (はっけん)	discovery	secret	aviation	surface
秘密 (ひみつ)	secret	aviation	surface	injustice
飛行 (ひこう)	aviation	surface	injustice	woman
表面 (ひょうめん)	surface	injustice	woman	scenery
不正 (ふせい)	injustice	woman	scenery	not particularly
婦人 (ふじん)	woman	scenery	not particularly	life
風景 (ふうけい)	scenery	not particularly	life	tip
別に (べつに)	not particularly	life	tip	the future 
暮らし (くらし)	life	tip	the future 	master
末 (すえ)	tip	the future 	master	life
未来 (みらい)	the future 	master	life	order
名人 (めいじん)	master	life	order	plain
命 (いのち)	life	order	plain	use
命令 (めいれい)	order	plain	use	oil
野 (の)	plain	use	oil	friend
役 (やく)	use	oil	friend	prevention
油 (あぶら)	oil	friend	prevention	day of the week
友 (とも)	friend	prevention	day of the week	component
予防 (よぼう)	prevention	day of the week	component	tear
曜日 (ようび)	day of the week	component	tear	train
要素 (ようそ)	component	tear	train	thesis
涙 (なみだ)	tear	train	thesis	a family
列車 (れっしゃ)	train	thesis	a family	little girl
論文 (ろんぶん)	thesis	a family	little girl	passenger
一家 (いっか)	a family	little girl	passenger	place
少女 (しょうじょ)	little girl	passenger	place	hill
乗客 (じょうきゃく)	passenger	place	hill	shadow
位置 (いち)	place	hill	shadow	shape
丘 (おか)	hill	shadow	shape	contribution
影 (かげ)	shadow	shape	contribution	cherry tree
格好 (かっこう)	shape	contribution	cherry tree	old person
寄付 (きふ)	contribution	cherry tree	old person	to leave 
桜 (さくら)	cherry tree	old person	to leave 	mail service
年寄り (としより)	old person	to leave 	mail service	advantageous
残す (のこす)	to leave 	mail service	advantageous	joy
郵便 (ゆうびん)	mail service	advantageous	joy	win
有利 (ゆうり)	advantageous	joy	win	other 
喜び (よろこび)	joy	win	other 	strangeness
勝ち (かち)	win	other 	strangeness	species
他 (た)	other 	strangeness	species	retirement
異常 (いじょう)	strangeness	species	retirement	yen
一種 (いっしゅ)	species	retirement	yen	acting
引退 (いんたい)	retirement	yen	acting	rim
円 (えん)	yen	acting	rim	something
演技 (えんぎ)	acting	rim	something	conflagration
縁 (ふち)	rim	something	conflagration	painter
なんとか (何とか)	something	conflagration	painter	account
火災 (かさい)	conflagration	painter	account	explanation
画家 (がか)	painter	account	explanation	sweat
会計 (かいけい)	account	explanation	sweat	desire
解釈 (かいしゃく)	explanation	sweat	desire	atmospheric temperature
汗 (あせ)	sweat	desire	atmospheric temperature	holiday
願い (ねがい)	desire	atmospheric temperature	holiday	sudden
気温 (きおん)	atmospheric temperature	holiday	sudden	robber
休暇 (きゅうか)	holiday	sudden	robber	model
急激 (きゅうげき)	sudden	robber	model	splendid
強盗 (ごうとう)	robber	model	splendid	origin
型 (かた)	model	splendid	origin	to restrict
見事 (みごと)	splendid	origin	to restrict	breathing
元 (もと)	origin	to restrict	breathing	success
限る (かぎる)	to restrict	breathing	success	root 
呼吸 (こきゅう)	breathing	success	root 	crime
合格 (ごうかく)	success	root 	crime	to 
根 (ね)	root 	crime	to 	play
罪 (つみ)	crime	to 	play	debt
示す (しめす)	to 	play	debt	variety
芝居 (しばい)	play	debt	variety	departure
借金 (しゃっきん)	debt	variety	departure	document
種類 (しゅるい)	variety	departure	document	gradually
出発 (しゅっぱつ)	departure	document	gradually	invitation
書類 (しょるい)	document	gradually	invitation	common sense
徐々 (じょじょ)	gradually	invitation	common sense	food 
招待 (しょうたい)	invitation	common sense	food 	refereeing
常識 (じょうしき)	common sense	food 	refereeing	careful
食糧 (しょくりょう)	food 	refereeing	careful	nerve 
審判 (しんぱん)	refereeing	careful	nerve 	artificial
慎重 (しんちょう)	careful	nerve 	artificial	race 
神経 (しんけい)	nerve 	artificial	race 	looking after
人工 (じんこう)	artificial	race 	looking after	certainly
人種 (じんしゅ)	race 	looking after	certainly	sorting
世話 (せわ)	looking after	certainly	sorting	tax
ぜひ (是非)	certainly	sorting	tax	good
整理 (せいり)	sorting	tax	good	uproar
税金 (ぜいきん)	tax	good	uproar	to give 
善 (ぜん)	good	uproar	to give 	breath
騒ぎ (さわぎ)	uproar	to give 	breath	grandchild
贈る (おくる)	to give 	breath	grandchild	loss
息 (いき)	breath	grandchild	loss	price
孫 (まご)	grandchild	loss	price	atmosphere
損 (そん)	loss	price	atmosphere	continent 
代金 (だいきん)	price	atmosphere	continent 	house
大気 (たいき)	atmosphere	continent 	house	to snatch away
大陸 (たいりく)	continent 	house	to snatch away	tune
宅 (たく)	house	to snatch away	tune	at once
奪う (うばう)	to snatch away	tune	at once	to chase
調子 (ちょうし)	tune	at once	to chase	philosophy
直ちに (ただちに)	at once	to chase	philosophy	triumph
追う (おう)	to chase	philosophy	triumph	reading
哲学 (てつがく)	philosophy	triumph	reading	Sunday
得意 (とくい)	triumph	reading	Sunday	zealous
読書 (どくしょ)	reading	Sunday	zealous	talent
日曜 (にちよう)	Sunday	zealous	talent	offender
熱心 (ねっしん)	zealous	talent	offender	denial
能 (のう)	talent	offender	denial	comparison
犯人 (はんにん)	offender	denial	comparison	not always
否定 (ひてい)	denial	comparison	not always	fame
比較 (ひかく)	comparison	not always	fame	defeat
必ずしも (かならずしも)	not always	fame	defeat	abdomen
評判 (ひょうばん)	fame	defeat	abdomen	to divide 
負け (まけ)	defeat	abdomen	to divide 	civilization
腹 (はら)	abdomen	to divide 	civilization	preservation
分ける (わける)	to divide 	civilization	preservation	treasure
文明 (ぶんめい)	civilization	preservation	treasure	abundance
保存 (ほぞん)	preservation	treasure	abundance	pole
宝 (たから)	treasure	abundance	pole	curtain
豊富 (ほうふ)	abundance	pole	curtain	satisfaction
棒 (ぼう)	pole	curtain	satisfaction	license
幕 (まく)	curtain	satisfaction	license	superiority
満足 (まんぞく)	satisfaction	license	superiority	prediction
免許 (めんきょ)	license	superiority	prediction	easy
優秀 (ゆうしゅう)	superiority	prediction	easy	next 
予測 (よそく)	prediction	easy	next 	ideal
容易 (ようい)	easy	next 	ideal	to be separated
来 (らい)	next 	ideal	to be separated	land
理想 (りそう)	ideal	to be separated	land	studying abroad
離れる (はなれる)	to be separated	land	studying abroad	ring
陸 (りく)	land	studying abroad	ring	calmness
留学 (りゅうがく)	studying abroad	ring	calmness	thanks
輪 (わ)	ring	calmness	thanks	dispute
冷静 (れいせい)	calmness	thanks	dispute	make-up
礼 (れい)	thanks	dispute	make-up	wound
論争 (ろんそう)	dispute	make-up	wound	another person
化粧 (けしょう)	make-up	wound	another person	end 
傷 (きず)	wound	another person	end 	opponent
他人 (たにん)	another person	end 	opponent	stimulus
端 (はし)	end 	opponent	stimulus	in succession
敵 (てき)	opponent	stimulus	in succession	frantic
刺激 (しげき)	stimulus	in succession	frantic	lunch
次々 (つぎつぎ)	in succession	frantic	lunch	home town
必死 (ひっし)	frantic	lunch	home town	king
昼食 (ちゅうしょく)	lunch	home town	king	poem
ふるさと (故郷)	home town	king	poem	indeed
王 (おう)	king	poem	indeed	request
詩 (し)	poem	indeed	request	instant
実に (じつに)	indeed	request	instant	printing
依頼 (いらい)	request	instant	printing	nutrition
一瞬 (いっしゅん)	instant	printing	nutrition	postponement
印刷 (いんさつ)	printing	nutrition	postponement	to respond
栄養 (えいよう)	nutrition	postponement	to respond	roof
延期 (えんき)	postponement	to respond	roof	warm
応じる (おうじる)	to respond	roof	warm	temperature
屋根 (やね)	roof	warm	temperature	housework
温暖 (おんだん)	warm	temperature	housework	practical use
温度 (おんど)	temperature	housework	practical use	being deeply moved emotionally
家事 (かじ)	housework	practical use	being deeply moved emotionally	can
活用 (かつよう)	practical use	being deeply moved emotionally	can	salary
感動 (かんどう)	being deeply moved emotionally	can	salary	cattle 
缶 (かん)	can	salary	cattle 	fear
給料 (きゅうりょう)	salary	cattle 	fear	ball
牛 (うし)	cattle 	fear	ball	money
恐怖 (きょうふ)	fear	ball	money	trouble
玉 (たま)	ball	money	trouble	armed forces
金銭 (きんせん)	money	trouble	armed forces	warning
苦労 (くろう)	trouble	armed forces	warning	defect
軍隊 (ぐんたい)	armed forces	warning	defect	language
警告 (けいこく)	warning	defect	language	tiger 
欠陥 (けっかん)	defect	language	tiger 	scene
言語 (げんご)	language	tiger 	scene	high-speed
虎 (とら)	tiger 	scene	high-speed	left and right 
光景 (こうけい)	scene	high-speed	left and right 	on the occasion of
高速 (こうそく)	high-speed	left and right 	on the occasion of	to kill
左右 (さゆう)	left and right 	on the occasion of	to kill	provision
際 (さい)	on the occasion of	to kill	provision	poet
殺す (ころす)	to kill	provision	poet	suicide
支給 (しきゅう)	provision	poet	suicide	to lose
詩人 (しじん)	poet	suicide	to lose	mainly
自殺 (じさつ)	suicide	to lose	mainly	to finish 
失う (うしなう)	to lose	mainly	to finish 	lodging
主に (おもに)	mainly	to finish 	lodging	incident
終える (おえる)	to finish 	lodging	incident	order
宿泊 (しゅくはく)	lodging	incident	order	assistant
出来事 (できごと)	incident	order	assistant	queen
順 (じゅん)	order	assistant	queen	trade
助手 (じょしゅ)	assistant	queen	trade	fire fighting 
女王 (じょおう)	queen	trade	fire fighting 	proof
商売 (しょうばい)	trade	fire fighting 	proof	prize
消防 (しょうぼう)	fire fighting 	proof	prize	signal
証明 (しょうめい)	proof	prize	signal	height 
賞 (しょう)	prize	signal	height 	entering a higher-level school
信号 (しんごう)	signal	height 	entering a higher-level school	society
身長 (しんちょう)	height 	entering a higher-level school	society	world
進学 (しんがく)	entering a higher-level school	society	world	the other day
世の中 (よのなか)	society	world	the other day	spring
世間 (せけん)	world	the other day	spring	advance
先日 (せんじつ)	the other day	spring	advance	set 
泉 (いずみ)	spring	advance	set 	noise
前進 (ぜんしん)	advance	set 	noise	very
組 (くみ)	set 	noise	very	mere
騒音 (そうおん)	noise	very	mere	simply
大いに (おおいに)	very	mere	simply	wisdom
単なる (たんなる)	mere	simply	wisdom	tea 
単に (たんに)	simply	wisdom	tea 	passing through 
知恵 (ちえ)	wisdom	tea 	passing through 	mountain climbing
茶 (ちゃ)	tea 	passing through 	mountain climbing	city 
通過 (つうか)	passing through 	mountain climbing	city 	work
登山 (とざん)	mountain climbing	city 	work	coworker
都会 (とかい)	city 	work	coworker	tropics
働き (はたらき)	work	coworker	tropics	clapping hands
同僚 (どうりょう)	coworker	tropics	clapping hands	skin 
熱帯 (ねったい)	tropics	clapping hands	skin 	cooked rice 
拍手 (はくしゅ)	clapping hands	skin 	cooked rice 	tragedy
肌 (はだ)	skin 	cooked rice 	tragedy	association
飯 (めし)	cooked rice 	tragedy	association	cloth 
悲劇 (ひげき)	tragedy	association	cloth 	gravesite
付き合い (つきあい)	association	cloth 	gravesite	sunset
布 (ぬの)	cloth 	gravesite	sunset	genuine article
墓 (はか)	gravesite	sunset	genuine article	trouble
暮れ (くれ)	sunset	genuine article	trouble	divorce
本物 (ほんもの)	genuine article	trouble	divorce	romantic love
迷惑 (めいわく)	trouble	divorce	romantic love	whole life
離婚 (りこん)	divorce	romantic love	whole life	fashion
恋 (こい)	romantic love	whole life	fashion	memories
一生 (いっしょう)	whole life	fashion	memories	aroma
流行 (りゅうこう)	fashion	memories	aroma	desert
思い出 (おもいで)	memories	aroma	desert	festival
香り (かおり)	aroma	desert	festival	class 
砂漠 (さばく)	desert	festival	class 	embodiment
祭 (まつり)	festival	class 	embodiment	job
級 (きゅう)	class 	embodiment	job	guidance
現れ (あらわれ)	embodiment	job	guidance	to surround
職 (しょく)	job	guidance	to surround	stomach 
案内 (あんない)	guidance	to surround	stomach 	mark
囲む (かこむ)	to surround	stomach 	mark	smoke
胃 (い)	stomach 	mark	smoke	inner part
印 (しるし)	mark	smoke	inner part	passable
煙 (けむり)	smoke	inner part	passable	rent
奥 (おく)	inner part	passable	rent	resolution
可 (か)	passable	rent	resolution	mistake
家賃 (やちん)	rent	resolution	mistake	bank
覚悟 (かくご)	resolution	mistake	bank	together
間違い (まちがい)	mistake	bank	together	going through
岸 (きし)	bank	together	going through	pride
ともに (共に)	together	going through	pride	error
経由 (けいゆ)	going through	pride	error	misunderstanding
誇り (ほこり)	pride	error	misunderstanding	to match 
誤り (あやまり)	error	misunderstanding	to match 	harvest
誤解 (ごかい)	misunderstanding	to match 	harvest	repair
合わせる (あわせる)	to match 	harvest	repair	lodging
収穫 (しゅうかく)	harvest	repair	lodging	detailed
修理 (しゅうり)	repair	lodging	detailed	fresh
宿 (やど)	lodging	detailed	fresh	progress
詳しい (くわしい)	detailed	fresh	progress	sleep
新鮮 (しんせん)	fresh	progress	sleep	adult 
進歩 (しんぽ)	progress	sleep	adult 	honest
睡眠 (すいみん)	sleep	adult 	honest	imagination
成人 (せいじん)	adult 	honest	imagination	nest
正直 (しょうじき)	honest	imagination	nest	speed
想像 (そうぞう)	imagination	nest	speed	more or less
巣 (す)	nest	speed	more or less	relation
速度 (そくど)	speed	more or less	relation	nature
多少 (たしょう)	more or less	relation	nature	tower
仲 (なか)	relation	nature	tower	abrupt
天然 (てんねん)	nature	tower	abrupt	age
塔 (とう)	tower	abrupt	age	Japanese apricot 
突然 (とつぜん)	abrupt	age	Japanese apricot 	middle
年代 (ねんだい)	age	Japanese apricot 	middle	tiredness
梅 (うめ)	Japanese apricot 	middle	tiredness	bottle
半ば (なかば)	middle	tiredness	bottle	discomfort
疲れ (つかれ)	tiredness	bottle	discomfort	usual
瓶 (びん)	bottle	discomfort	usual	equality
不自由 (ふじゆう)	discomfort	usual	equality	pattern
普段 (ふだん)	usual	equality	pattern	bento
平等 (びょうどう)	equality	pattern	bento	moat
柄 (がら)	pattern	bento	moat	strange
弁当 (べんとう)	bento	moat	strange	question
堀 (ほり)	moat	strange	question	courage
妙 (みょう)	strange	question	courage	forecast
問い (とい)	question	courage	forecast	lover
勇気 (ゆうき)	courage	forecast	lover	single word
予報 (よほう)	forecast	lover	single word	they 
恋人 (こいびと)	lover	single word	they 	any
一言 (ひとこと)	single word	they 	any	origin
方々 (かたがた)	they 	any	origin	rice plant
なんでも (何でも)	any	origin	rice plant	prince 
始まり (はじまり)	origin	rice plant	prince 	down-train 
稲 (いね)	rice plant	prince 	down-train 	furniture
王子 (おうじ)	prince 	down-train 	furniture	lesson 
下り (くだり)	down-train 	furniture	lesson 	sprout
家具 (かぐ)	furniture	lesson 	sprout	thanks
課 (か)	lesson 	sprout	thanks	observation
芽 (め)	sprout	thanks	observation	rock
感謝 (かんしゃ)	thanks	observation	rock	climate
観察 (かんさつ)	observation	rock	climate	sensation
岩 (いわ)	rock	climate	sensation	oni
気候 (きこう)	climate	sensation	oni	rest
気味 (きみ)	sensation	oni	rest	border
鬼 (おに)	oni	rest	border	abstaining from smoking
休憩 (きゅうけい)	rest	border	abstaining from smoking	muscle
境 (さかい)	border	abstaining from smoking	muscle	Friday
禁煙 (きんえん)	abstaining from smoking	muscle	Friday	poor 
筋肉 (きんにく)	muscle	Friday	poor 	to furnish with
金曜 (きんよう)	Friday	poor 	to furnish with	to tie
苦手 (にがて)	poor 	to furnish with	to tie	seeing one off
備える (そなえる)	to furnish with	to tie	seeing one off	liking
結ぶ (むすぶ)	to tie	seeing one off	liking	wonderful
見送り (みおくり)	seeing one off	liking	wonderful	national language 
好み (このみ)	liking	wonderful	national language 	seat
豪華 (ごうか)	wonderful	national language 	seat	talent
国語 (こくご)	national language 	seat	talent	oxygen 
座席 (ざせき)	seat	talent	oxygen 	to pay
才能 (さいのう)	talent	oxygen 	to pay	thing
酸素 (さんそ)	oxygen 	to pay	thing	congratulation
支払う (しはらう)	to pay	thing	congratulation	meeting
こと (事)	thing	congratulation	meeting	jest
祝い (いわい)	congratulation	meeting	jest	needle
出会い (であい)	meeting	jest	needle	drawing
冗談 (じょうだん)	jest	needle	drawing	respect
針 (はり)	needle	drawing	respect	bag
図 (ず)	drawing	respect	bag	most part
尊重 (そんちょう)	respect	bag	most part	passage 
袋 (ふくろ)	bag	most part	passage 	weather
大部分 (だいぶぶん)	most part	passage 	weather	arrival
通行 (つうこう)	passage 	weather	arrival	bachelorhood
天候 (てんこう)	weather	arrival	bachelorhood	basin 
到着 (とうちゃく)	arrival	bachelorhood	basin 	each time
独身 (どくしん)	bachelorhood	basin 	each time	pillow
