distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
cocoon	(v) 緊緊包住;使(自己)孤立	(v) 捲;盤繞;捲成圈	(v) 戰鬥;搏鬥;反對	(v) 委任,委託
coil	(v) 捲;盤繞;捲成圈	(v) 戰鬥;搏鬥;反對	(v) 委任,委託	(v) 減刑;通勤
combat	(v) 戰鬥;搏鬥;反對	(v) 委任,委託	(v) 減刑;通勤	(v) 使緊密;壓緊;使簡潔
commission	(v) 委任,委託	(v) 減刑;通勤	(v) 使緊密;壓緊;使簡潔	(v) 圖謀,計劃;包圍;達到;理解
commute	(v) 減刑;通勤	(v) 使緊密;壓緊;使簡潔	(v) 圖謀,計劃;包圍;達到;理解	(v) 強迫;強求
compact	(v) 使緊密;壓緊;使簡潔	(v) 圖謀,計劃;包圍;達到;理解	(v) 強迫;強求	(v) 讚美;恭維
compass	(v) 圖謀,計劃;包圍;達到;理解	(v) 強迫;強求	(v) 讚美;恭維	(v) 使惡化;使混合;使合成;以複利計算; 妥協
compel	(v) 強迫;強求	(v) 讚美;恭維	(v) 使惡化;使混合;使合成;以複利計算; 妥協	(v) 理解;領會;包含
compliment	(v) 讚美;恭維	(v) 使惡化;使混合;使合成;以複利計算; 妥協	(v) 理解;領會;包含	(v) 妥協;危及;洩露(祕密等)
compound	(v) 使惡化;使混合;使合成;以複利計算; 妥協	(v) 理解;領會;包含	(v) 妥協;危及;洩露(祕密等)	(v) 計算;估算;推斷
comprehend	(v) 理解;領會;包含	(v) 妥協;危及;洩露(祕密等)	(v) 計算;估算;推斷	(v) 使電腦化;用電腦處理
compromise	(v) 妥協;危及;洩露(祕密等)	(v) 計算;估算;推斷	(v) 使電腦化;用電腦處理	(v) 隱蔽,隱藏
compute	(v) 計算;估算;推斷	(v) 使電腦化;用電腦處理	(v) 隱蔽,隱藏	(v) 構想出;設想;懷孕
computerize	(v) 使電腦化;用電腦處理	(v) 隱蔽,隱藏	(v) 構想出;設想;懷孕	(v) 責備;譴責;判刑
conceal	(v) 隱蔽,隱藏	(v) 構想出;設想;懷孕	(v) 責備;譴責;判刑	(v) 引導,帶領
conceive	(v) 構想出;設想;懷孕	(v) 責備;譴責;判刑	(v) 引導,帶領	(v) 面臨;遭遇
condemn	(v) 責備;譴責;判刑	(v) 引導,帶領	(v) 面臨;遭遇	(v) 同意;贊成
conduct	(v) 引導,帶領	(v) 面臨;遭遇	(v) 同意;贊成	(v) 保存;保護;節省
confront	(v) 面臨;遭遇	(v) 同意;贊成	(v) 保存;保護;節省	(v) 安慰;慰問
consent	(v) 同意;贊成	(v) 保存;保護;節省	(v) 安慰;慰問	(v) 弄髒;污染
conserve	(v) 保存;保護;節省	(v) 安慰;慰問	(v) 弄髒;污染	(v) 凝視;思忖;仔細考慮
console	(v) 安慰;慰問	(v) 弄髒;污染	(v) 凝視;思忖;仔細考慮	(v) 爭取;競爭;搏鬥;聲稱
contaminate	(v) 弄髒;污染	(v) 凝視;思忖;仔細考慮	(v) 爭取;競爭;搏鬥;聲稱	(v) 轉變;變換;改變信仰
contemplate	(v) 凝視;思忖;仔細考慮	(v) 爭取;競爭;搏鬥;聲稱	(v) 轉變;變換;改變信仰	(v) 證明...有罪;判...有罪
contend	(v) 爭取;競爭;搏鬥;聲稱	(v) 轉變;變換;改變信仰	(v) 證明...有罪;判...有罪	(v) 為(書籍等)取得版權
convert	(v) 轉變;變換;改變信仰	(v) 證明...有罪;判...有罪	(v) 為(書籍等)取得版權	(v) 使腐敗;使墮落;賄賂
convict	(v) 證明...有罪;判...有罪	(v) 為(書籍等)取得版權	(v) 使腐敗;使墮落;賄賂	(v) 忠告;提議
copyright	(v) 為(書籍等)取得版權	(v) 使腐敗;使墮落;賄賂	(v) 忠告;提議	(v) 使成坑; 形成坑
corrupt	(v) 使腐敗;使墮落;賄賂	(v) 忠告;提議	(v) 使成坑; 形成坑	(v) 發出咯吱咯吱聲
counsel	(v) 忠告;提議	(v) 使成坑; 形成坑	(v) 發出咯吱咯吱聲	(v) 作弊;抄襲
crater	(v) 使成坑; 形成坑	(v) 發出咯吱咯吱聲	(v) 作弊;抄襲	(v) 蹲伏;彎腰
creak	(v) 發出咯吱咯吱聲	(v) 作弊;抄襲	(v) 蹲伏;彎腰	(v) 嘎吱作響地咬嚼(或踩、壓)
crib	(v) 作弊;抄襲	(v) 蹲伏;彎腰	(v) 嘎吱作響地咬嚼(或踩、壓)	(v) 控制;遏止;勒住
crouch	(v) 蹲伏;彎腰	(v) 嘎吱作響地咬嚼(或踩、壓)	(v) 控制;遏止;勒住	(v) 梳刷(馬等);鞣製;用咖喱燒
crunch	(v) 嘎吱作響地咬嚼(或踩、壓)	(v) 控制;遏止;勒住	(v) 梳刷(馬等);鞣製;用咖喱燒	(v) 投擲(標槍等);投射;狂奔
curb	(v) 控制;遏止;勒住	(v) 梳刷(馬等);鞣製;用咖喱燒	(v) 投擲(標槍等);投射;狂奔	(v) 使眼花;使驚羨
curry	(v) 梳刷(馬等);鞣製;用咖喱燒	(v) 投擲(標槍等);投射;狂奔	(v) 使眼花;使驚羨	(v) 腐朽;衰退
dart	(v) 投擲(標槍等);投射;狂奔	(v) 使眼花;使驚羨	(v) 腐朽;衰退	(v) 欺騙,蒙蔽
dazzle	(v) 使眼花;使驚羨	(v) 腐朽;衰退	(v) 欺騙,蒙蔽	(v) 委派...為代表
decay	(v) 腐朽;衰退	(v) 欺騙,蒙蔽	(v) 委派...為代表	(v) 絕望,喪失信心
deceive	(v) 欺騙,蒙蔽	(v) 委派...為代表	(v) 絕望,喪失信心	(v) 鄙視
delegate	(v) 委派...為代表	(v) 絕望,喪失信心	(v) 鄙視	(v) 狼吞虎嚥地吃;吞沒
despair	(v) 絕望,喪失信心	(v) 鄙視	(v) 狼吞虎嚥地吃;吞沒	(v) 拋棄,摒棄,丟棄
despise	(v) 鄙視	(v) 狼吞虎嚥地吃;吞沒	(v) 拋棄,摒棄,丟棄	(v) 歧視;區分出
devour	(v) 狼吞虎嚥地吃;吞沒	(v) 拋棄,摒棄,丟棄	(v) 歧視;區分出	(v) 分配;執行;配(藥)
discard	(v) 拋棄,摒棄,丟棄	(v) 歧視;區分出	(v) 分配;執行;配(藥)	(v) 配置;處置
discriminate	(v) 歧視;區分出	(v) 分配;執行;配(藥)	(v) 配置;處置	(v) 使悲痛;使苦惱
dispense	(v) 分配;執行;配(藥)	(v) 配置;處置	(v) 使悲痛;使苦惱	(v) 用文件證明
dispose	(v) 配置;處置	(v) 使悲痛;使苦惱	(v) 用文件證明	(v) (用布等鬆軟地)覆蓋;垂掛
distress	(v) 使悲痛;使苦惱	(v) 用文件證明	(v) (用布等鬆軟地)覆蓋;垂掛	(v) 使顯得矮小;阻礙生長
document	(v) 用文件證明	(v) (用布等鬆軟地)覆蓋;垂掛	(v) 使顯得矮小;阻礙生長	(v) 居住;存在於;思索
drape	(v) (用布等鬆軟地)覆蓋;垂掛	(v) 使顯得矮小;阻礙生長	(v) 居住;存在於;思索	(v) 精心製作
dwarf	(v) 使顯得矮小;阻礙生長	(v) 居住;存在於;思索	(v) 精心製作	(v) 提高;振奮;升職
dwell	(v) 居住;存在於;思索	(v) 精心製作	(v) 提高;振奮;升職	(v) 擁抱;包含;抓住(機會等)
elaborate	(v) 精心製作	(v) 提高;振奮;升職	(v) 擁抱;包含;抓住(機會等)	(v) 努力;力圖
elevate	(v) 提高;振奮;升職	(v) 擁抱;包含;抓住(機會等)	(v) 努力;力圖	(v) 把...記入名冊,登記
embrace	(v) 擁抱;包含;抓住(機會等)	(v) 努力;力圖	(v) 把...記入名冊,登記	(v) 保證;擔保
endeavor	(v) 努力;力圖	(v) 把...記入名冊,登記	(v) 保證;擔保	(v) 給...權力(或資格)
enroll	(v) 把...記入名冊,登記	(v) 保證;擔保	(v) 給...權力(或資格)	(v) 用符號表示某種關係;等同
ensure	(v) 保證;擔保	(v) 給...權力(或資格)	(v) 用符號表示某種關係;等同	(v) 使豎立,使豎直
entitle	(v) 給...權力(或資格)	(v) 用符號表示某種關係;等同	(v) 使豎立,使豎直	(v) 噴出;爆發
equate	(v) 用符號表示某種關係;等同	(v) 使豎立,使豎直	(v) 噴出;爆發	(v) 護送;為...護航;陪同
erect	(v) 使豎立,使豎直	(v) 噴出;爆發	(v) 護送;為...護航;陪同	(v) 尊重;評價
erupt	(v) 噴出;爆發	(v) 護送;為...護航;陪同	(v) 尊重;評價	(v) 超過;勝過
escort	(v) 護送;為...護航;陪同	(v) 尊重;評價	(v) 超過;勝過	(v) 勝過;突出
esteem	(v) 尊重;評價	(v) 超過;勝過	(v) 勝過;突出	(v) 呼喊;驚叫
exceed	(v) 超過;勝過	(v) 勝過;突出	(v) 呼喊;驚叫	(v) 拒絕接納;排除在外
excel	(v) 勝過;突出	(v) 呼喊;驚叫	(v) 拒絕接納;排除在外	(v) 實施;執行;處死
exclaim	(v) 呼喊;驚叫	(v) 拒絕接納;排除在外	(v) 實施;執行;處死	(v) 流放;放逐
exclude	(v) 拒絕接納;排除在外	(v) 實施;執行;處死	(v) 流放;放逐	(v) 踉蹌;搖晃;結巴地說話
execute	(v) 實施;執行;處死	(v) 流放;放逐	(v) 踉蹌;搖晃;結巴地說話	(v) 迷住,使神魂顛倒
exile	(v) 流放;放逐	(v) 踉蹌;搖晃;結巴地說話	(v) 迷住,使神魂顛倒	(v) 使疲勞
falter	(v) 踉蹌;搖晃;結巴地說話	(v) 迷住,使神魂顛倒	(v) 使疲勞	(v) 拉提琴;胡來;騙取
fascinate	(v) 迷住,使神魂顛倒	(v) 使疲勞	(v) 拉提琴;胡來;騙取	(v) 過濾;滲透
fatigue	(v) 使疲勞	(v) 拉提琴;胡來;騙取	(v) 過濾;滲透	(v) 使成薄片;像雪花般覆蓋
fiddle	(v) 拉提琴;胡來;騙取	(v) 過濾;滲透	(v) 使成薄片;像雪花般覆蓋	(v) (上下或前後)拍動;(鳥)振(翅)
filter	(v) 過濾;滲透	(v) 使成薄片;像雪花般覆蓋	(v) (上下或前後)拍動;(鳥)振(翅)	(v) 使破裂;使有缺陷
flake	(v) 使成薄片;像雪花般覆蓋	(v) (上下或前後)拍動;(鳥)振(翅)	(v) 使破裂;使有缺陷	(v) 疾飛;掠過
flap	(v) (上下或前後)拍動;(鳥)振(翅)	(v) 使破裂;使有缺陷	(v) 疾飛;掠過	(v) (為作出決定而)擲(硬幣);輕拋
flaw	(v) 使破裂;使有缺陷	(v) 疾飛;掠過	(v) (為作出決定而)擲(硬幣);輕拋	(v) 茂盛;繁茂;興旺
flick	(v) 疾飛;掠過	(v) (為作出決定而)擲(硬幣);輕拋	(v) 茂盛;繁茂;興旺	(v) 編排或安排成某種形式
flip	(v) (為作出決定而)擲(硬幣);輕拋	(v) 茂盛;繁茂;興旺	(v) 編排或安排成某種形式	(v) 污染;玷污;犯規;塞住
flourish	(v) 茂盛;繁茂;興旺	(v) 編排或安排成某種形式	(v) 污染;玷污;犯規;塞住	(v) 裝貨於;運輸(貨物)
format	(v) 編排或安排成某種形式	(v) 污染;玷污;犯規;塞住	(v) 裝貨於;運輸(貨物)	(v) 冒煙;薰;發怒
foul	(v) 污染;玷污;犯規;塞住	(v) 裝貨於;運輸(貨物)	(v) 冒煙;薰;發怒	(v) 把保險絲接入(電路);熔接;裝引信
freight	(v) 裝貨於;運輸(貨物)	(v) 冒煙;薰;發怒	(v) 把保險絲接入(電路);熔接;裝引信	(v) 忙亂;小題大作;爭辯
fume	(v) 冒煙;薰;發怒	(v) 把保險絲接入(電路);熔接;裝引信	(v) 忙亂;小題大作;爭辯	(v) (馬等)疾馳;飛跑
fuse	(v) 把保險絲接入(電路);熔接;裝引信	(v) 忙亂;小題大作;爭辯	(v) (馬等)疾馳;飛跑	(v) 倒抽一口氣;喘氣
fuss	(v) 忙亂;小題大作;爭辯	(v) (馬等)疾馳;飛跑	(v) 倒抽一口氣;喘氣	(v) 怒目注視;眩目地照射
gallop	(v) (馬等)疾馳;飛跑	(v) 倒抽一口氣;喘氣	(v) 怒目注視;眩目地照射	(v) 發微光;閃現
gasp	(v) 倒抽一口氣;喘氣	(v) 怒目注視;眩目地照射	(v) 發微光;閃現	(v) 閃爍;光彩奪目
glare	(v) 怒目注視;眩目地照射	(v) 發微光;閃現	(v) 閃爍;光彩奪目	(v) 變陰暗;感到沮喪
gleam	(v) 發微光;閃現	(v) 閃爍;光彩奪目	(v) 變陰暗;感到沮喪	(v) 啃;嚙;折磨
glitter	(v) 閃爍;光彩奪目	(v) 變陰暗;感到沮喪	(v) 啃;嚙;折磨	(v) 狼吞虎嚥;(火雞)咯咯地叫
gloom	(v) 變陰暗;感到沮喪	(v) 啃;嚙;折磨	(v) 狼吞虎嚥;(火雞)咯咯地叫	(v) 塞飽;狼吞虎嚥地吃
gnaw	(v) 啃;嚙;折磨	(v) 狼吞虎嚥;(火雞)咯咯地叫	(v) 塞飽;狼吞虎嚥地吃	(v) 同意,准予
gobble	(v) 狼吞虎嚥;(火雞)咯咯地叫	(v) 塞飽;狼吞虎嚥地吃	(v) 同意,准予	(v) 吃草;放牧;擦傷
gorge	(v) 塞飽;狼吞虎嚥地吃	(v) 同意,准予	(v) 吃草;放牧;擦傷	(v) 塗油脂於;賄賂
grant	(v) 同意,准予	(v) 吃草;放牧;擦傷	(v) 塗油脂於;賄賂	(v) 握牢;(咬或夾)牢;掌握
graze	(v) 吃草;放牧;擦傷	(v) 塗油脂於;賄賂	(v) 握牢;(咬或夾)牢;掌握	(v) 呻吟;抱怨
grease	(v) 塗油脂於;賄賂	(v) 握牢;(咬或夾)牢;掌握	(v) 呻吟;抱怨	(v) 獲得...總收入(或毛利)
grip	(v) 握牢;(咬或夾)牢;掌握	(v) 呻吟;抱怨	(v) 獲得...總收入(或毛利)	(v) (狗等)嗥叫;(人)咆哮
groan	(v) 呻吟;抱怨	(v) 獲得...總收入(或毛利)	(v) (狗等)嗥叫;(人)咆哮	(v) 發牢騷;咕噥;發轟隆聲
gross	(v) 獲得...總收入(或毛利)	(v) (狗等)嗥叫;(人)咆哮	(v) 發牢騷;咕噥;發轟隆聲	(v) 狼吞虎嚥;大口地吸(氣);哽住
growl	(v) (狗等)嗥叫;(人)咆哮	(v) 發牢騷;咕噥;發轟隆聲	(v) 狼吞虎嚥;大口地吸(氣);哽住	(v) 吹強風
grumble	(v) 發牢騷;咕噥;發轟隆聲	(v) 狼吞虎嚥;大口地吸(氣);哽住	(v) 吹強風	(v) 取出內臟;損毀(房屋等)的內部
gulp	(v) 狼吞虎嚥;大口地吸(氣);哽住	(v) 吹強風	(v) 取出內臟;損毀(房屋等)的內部	(v) 妨礙,使不利
gust	(v) 吹強風	(v) 取出內臟;損毀(房屋等)的內部	(v) 妨礙,使不利	(v) 上挽具;套(馬);駕馭
gut	(v) 取出內臟;損毀(房屋等)的內部	(v) 妨礙,使不利	(v) 上挽具;套(馬);駕馭	(v) 拖;拉;拖運
handicap	(v) 妨礙,使不利	(v) 上挽具;套(馬);駕馭	(v) 拖;拉;拖運	(v) (鬼魂等)常出沒於;縈繞;常去
harness	(v) 上挽具;套(馬);駕馭	(v) 拖;拉;拖運	(v) (鬼魂等)常出沒於;縈繞;常去	(v) 用樹籬圍住;兩面下注
haul	(v) 拖;拉;拖運	(v) (鬼魂等)常出沒於;縈繞;常去	(v) 用樹籬圍住;兩面下注	(v) 留心;注意
haunt	(v) (鬼魂等)常出沒於;縈繞;常去	(v) 用樹籬圍住;兩面下注	(v) 留心;注意	(v) 加高;增高;增加
hedge	(v) 用樹籬圍住;兩面下注	(v) 留心;注意	(v) 加高;增高;增加	(v) 宣佈;通報;預示...的來臨
heed	(v) 留心;注意	(v) 加高;增高;增加	(v) 宣佈;通報;預示...的來臨	(v) 劫持
heighten	(v) 加高;增高;增加	(v) 宣佈;通報;預示...的來臨	(v) 劫持	(v) 發出嘶嘶聲;發出噓聲
herald	(v) 宣佈;通報;預示...的來臨	(v) 劫持	(v) 發出嘶嘶聲;發出噓聲	(v) 發雁鳴;按喇叭
hijack	(v) 劫持	(v) 發出嘶嘶聲;發出噓聲	(v) 發雁鳴;按喇叭	(v) 罩上兜帽(或風帽);加罩於
hiss	(v) 發出嘶嘶聲;發出噓聲	(v) 發雁鳴;按喇叭	(v) 罩上兜帽(或風帽);加罩於	(v) (用獵狗等)追獵;緊追
honk	(v) 發雁鳴;按喇叭	(v) 罩上兜帽(或風帽);加罩於	(v) (用獵狗等)追獵;緊追	(v) 盤旋;徘徊
hood	(v) 罩上兜帽(或風帽);加罩於	(v) (用獵狗等)追獵;緊追	(v) 盤旋;徘徊	(v) 嗥叫;怒吼;大哭;大笑
hound	(v) (用獵狗等)追獵;緊追	(v) 盤旋;徘徊	(v) 嗥叫;怒吼;大哭;大笑	(v) 猛力投擲;發射;厲聲叫罵
hover	(v) 盤旋;徘徊	(v) 嗥叫;怒吼;大哭;大笑	(v) 猛力投擲;發射;厲聲叫罵	(v) 唱聖歌;唱讚美詩
howl	(v) 嗥叫;怒吼;大哭;大笑	(v) 猛力投擲;發射;厲聲叫罵	(v) 唱聖歌;唱讚美詩	(v) 徵(稅);加(負擔等)於
hurl	(v) 猛力投擲;發射;厲聲叫罵	(v) 唱聖歌;唱讚美詩	(v) 徵(稅);加(負擔等)於	(v) 激怒;敬香
hymn	(v) 唱聖歌;唱讚美詩	(v) 徵(稅);加(負擔等)於	(v) 激怒;敬香	(v) 編索引
impose	(v) 徵(稅);加(負擔等)於	(v) 激怒;敬香	(v) 編索引	(v) 導致;誘導;歸納出
incense	(v) 激怒;敬香	(v) 編索引	(v) 導致;誘導;歸納出	(v) 沈迷於;滿足(慾望等);縱容
index	(v) 編索引	(v) 導致;誘導;歸納出	(v) 沈迷於;滿足(慾望等);縱容	(v) 繼承(傳統,遺產等)
induce	(v) 導致;誘導;歸納出	(v) 沈迷於;滿足(慾望等);縱容	(v) 繼承(傳統,遺產等)	(v) 創始;初學;(通過儀式)接納新成員
indulge	(v) 沈迷於;滿足(慾望等);縱容	(v) 繼承(傳統,遺產等)	(v) 創始;初學;(通過儀式)接納新成員	(v) 訊問;查問;調查
inherit	(v) 繼承(傳統,遺產等)	(v) 創始;初學;(通過儀式)接納新成員	(v) 訊問;查問;調查	(v) 創立;設立;開始
initiate	(v) 創始;初學;(通過儀式)接納新成員	(v) 訊問;查問;調查	(v) 創立;設立;開始	(v) 投保;確保
inquire	(v) 訊問;查問;調查	(v) 創立;設立;開始	(v) 投保;確保	(v) 發行;發佈
institute	(v) 創立;設立;開始	(v) 投保;確保	(v) 發行;發佈	(v) 用千斤頂托起
insure	(v) 投保;確保	(v) 發行;發佈	(v) 用千斤頂托起	(v) 不守交通規則橫穿馬路
issue	(v) 發行;發佈	(v) 用千斤頂托起	(v) 不守交通規則橫穿馬路	(v) 嘲笑;嘲弄
jack	(v) 用千斤頂托起	(v) 不守交通規則橫穿馬路	(v) 嘲笑;嘲弄	(v) 發出叮噹聲
jaywalk	(v) 不守交通規則橫穿馬路	(v) 嘲笑;嘲弄	(v) 發出叮噹聲	(v) 用好話勸(某人)做...;開玩笑
jeer	(v) 嘲笑;嘲弄	(v) 發出叮噹聲	(v) 用好話勸(某人)做...;開玩笑	(v) (用罐)煮;燉;監禁
jingle	(v) 發出叮噹聲	(v) 用好話勸(某人)做...;開玩笑	(v) (用罐)煮;燉;監禁	(v) 證明...是正當的;辯解
jolly	(v) 用好話勸(某人)做...;開玩笑	(v) (用罐)煮;燉;監禁	(v) 證明...是正當的;辯解	(v) 點燃;煽動;照亮
jug	(v) (用罐)煮;燉;監禁	(v) 證明...是正當的;辯解	(v) 點燃;煽動;照亮	(v) 使跛腳;使...變得無力
justify	(v) 證明...是正當的;辯解	(v) 點燃;煽動;照亮	(v) 使跛腳;使...變得無力	(v) 把...堆積成層
kindle	(v) 點燃;煽動;照亮	(v) 使跛腳;使...變得無力	(v) 把...堆積成層	(v) 使結盟;使聯合
lame	(v) 使跛腳;使...變得無力	(v) 把...堆積成層	(v) 使結盟;使聯合	(v) 變小;變少;減輕
layer	(v) 把...堆積成層	(v) 使結盟;使聯合	(v) 變小;變少;減輕	(v) 撒石灰於
league	(v) 使結盟;使聯合	(v) 變小;變少;減輕	(v) 撒石灰於	(v) 跛行
lessen	(v) 變小;變少;減輕	(v) 撒石灰於	(v) 跛行	(v) 繼續逗留;持續;磨蹭
lime	(v) 撒石灰於	(v) 跛行	(v) 繼續逗留;持續;磨蹭	(v) 租房間給...住;申訴;暫住;投宿
limp	(v) 跛行	(v) 繼續逗留;持續;磨蹭	(v) 租房間給...住;申訴;暫住;投宿	(v) 伐木;(英國)拖累
linger	(v) 繼續逗留;持續;磨蹭	(v) 租房間給...住;申訴;暫住;投宿	(v) 伐木;(英國)拖累	(v) 弄成一團;歸併到一起
lodge	(v) 租房間給...住;申訴;暫住;投宿	(v) 伐木;(英國)拖累	(v) 弄成一團;歸併到一起	(v) 放大;擴大;誇張
lumber	(v) 伐木;(英國)拖累	(v) 弄成一團;歸併到一起	(v) 放大;擴大;誇張	(v) 表明;顯示
lump	(v) 弄成一團;歸併到一起	(v) 放大;擴大;誇張	(v) 表明;顯示	(v) 感到驚訝;感到好奇
magnify	(v) 放大;擴大;誇張	(v) 表明;顯示	(v) 感到驚訝;感到好奇	(v) 把...搗成糊狀;壓碎
manifest	(v) 表明;顯示	(v) 感到驚訝;感到好奇	(v) 把...搗成糊狀;壓碎	(v) 給...按摩(或推拿)
marvel	(v) 感到驚訝;感到好奇	(v) 把...搗成糊狀;壓碎	(v) 給...按摩(或推拿)	(v) 調停解決;傳達
mash	(v) 把...搗成糊狀;壓碎	(v) 給...按摩(或推拿)	(v) 調停解決;傳達	(v) 威脅;恐嚇
massage	(v) 給...按摩(或推拿)	(v) 調停解決;傳達	(v) 威脅;恐嚇	(v) 使混合;使相混;交往
mediate	(v) 調停解決;傳達	(v) 威脅;恐嚇	(v) 使混合;使相混;交往	(v) 呻吟;嗚咽;悲歎
menace	(v) 威脅;恐嚇	(v) 使混合;使相混;交往	(v) 呻吟;嗚咽;悲歎	(v) 嘲弄;(為取笑而)模仿
mingle	(v) 使混合;使相混;交往	(v) 呻吟;嗚咽;悲歎	(v) 嘲弄;(為取笑而)模仿	(v) 使現代化
moan	(v) 呻吟;嗚咽;悲歎	(v) 嘲弄;(為取笑而)模仿	(v) 使現代化	(v) 更改;修改
mock	(v) 嘲弄;(為取笑而)模仿	(v) 使現代化	(v) 更改;修改	(v) 以苔覆蓋;使長滿苔蘚
modernize	(v) 使現代化	(v) 更改;修改	(v) 以苔覆蓋;使長滿苔蘚	(v) 築牆防衛;堆起; 積成堆
modify	(v) 更改;修改	(v) 以苔覆蓋;使長滿苔蘚	(v) 築牆防衛;堆起; 積成堆	(v) 登上;騎上;鑲嵌;發動(攻勢)
moss	(v) 以苔覆蓋;使長滿苔蘚	(v) 築牆防衛;堆起; 積成堆	(v) 登上;騎上;鑲嵌;發動(攻勢)	(v) 哀痛;哀悼
mound	(v) 築牆防衛;堆起; 積成堆	(v) 登上;騎上;鑲嵌;發動(攻勢)	(v) 哀痛;哀悼	(v) 含糊地說;咕噥
mount	(v) 登上;騎上;鑲嵌;發動(攻勢)	(v) 哀痛;哀悼	(v) 含糊地說;咕噥	(v) 咕噥;抱怨
mourn	(v) 哀痛;哀悼	(v) 含糊地說;咕噥	(v) 咕噥;抱怨	(v) 使煩惱;糾纏不休;不斷嘮叨
mumble	(v) 含糊地說;咕噥	(v) 咕噥;抱怨	(v) 使煩惱;糾纏不休;不斷嘮叨	(v) 航行於;飛行於;操縱;導航
mutter	(v) 咕噥;抱怨	(v) 使煩惱;糾纏不休;不斷嘮叨	(v) 航行於;飛行於;操縱;導航	(v) 一點點地咬(或吃)
nag	(v) 使煩惱;糾纏不休;不斷嘮叨	(v) 航行於;飛行於;操縱;導航	(v) 一點點地咬(或吃)	(v) 鍍鎳於
navigate	(v) 航行於;飛行於;操縱;導航	(v) 一點點地咬(或吃)	(v) 鍍鎳於	(v) 提名;任命
nibble	(v) 一點點地咬(或吃)	(v) 鍍鎳於	(v) 提名;任命	(v) 通知;公佈
nickel	(v) 鍍鎳於	(v) 提名;任命	(v) 通知;公佈	(v) 使...朝東;定方位;使熟悉情況
nominate	(v) 提名;任命	(v) 通知;公佈	(v) 使...朝東;定方位;使熟悉情況	(v) 裝飾;美化
notify	(v) 通知;公佈	(v) 使...朝東;定方位;使熟悉情況	(v) 裝飾;美化	(v) 勝過;超越
orient	(v) 使...朝東;定方位;使熟悉情況	(v) 裝飾;美化	(v) 勝過;超越	(v) 生產;使出;輸出
ornament	(v) 裝飾;美化	(v) 勝過;超越	(v) 生產;使出;輸出	(v) 把...做得過分;使過於疲勞
outdo	(v) 勝過;超越	(v) 生產;使出;輸出	(v) 把...做得過分;使過於疲勞	(v) 吃得過飽
output	(v) 生產;使出;輸出	(v) 把...做得過分;使過於疲勞	(v) 吃得過飽	(v) 滿(或多)得溢出
overdo	(v) 把...做得過分;使過於疲勞	(v) 吃得過飽	(v) 滿(或多)得溢出	(v) 無意中聽到;偷聽
overeat	(v) 吃得過飽	(v) 滿(或多)得溢出	(v) 無意中聽到;偷聽	(v) 睡過頭
overflow	(v) 滿(或多)得溢出	(v) 無意中聽到;偷聽	(v) 睡過頭	(v) 壓倒;征服;使受不了
overhear	(v) 無意中聽到;偷聽	(v) 睡過頭	(v) 壓倒;征服;使受不了	(v) 使工作過度;使過勞;過度使用
oversleep	(v) 睡過頭	(v) 壓倒;征服;使受不了	(v) 使工作過度;使過勞;過度使用	(v) 用槳划(船)
overwhelm	(v) 壓倒;征服;使受不了	(v) 使工作過度;使過勞;過度使用	(v) 用槳划(船)	(v) 與...平行;比得上
overwork	(v) 使工作過度;使過勞;過度使用	(v) 用槳划(船)	(v) 與...平行;比得上	(v) 補綴;修補;拼湊
paddle	(v) 用槳划(船)	(v) 與...平行;比得上	(v) 補綴;修補;拼湊	(v) 取得...的專利權
parallel	(v) 與...平行;比得上	(v) 補綴;修補;拼湊	(v) 取得...的專利權	(v) 巡邏;巡查
patch	(v) 補綴;修補;拼湊	(v) 取得...的專利權	(v) 巡邏;巡查	(v) 琢;輕吻
patent	(v) 取得...的專利權	(v) 巡邏;巡查	(v) 琢;輕吻	(v) 偷看;窺視
patrol	(v) 巡邏;巡查	(v) 琢;輕吻	(v) 偷看;窺視	(v) 用木釘釘;用木夾夾
peck	(v) 琢;輕吻	(v) 偷看;窺視	(v) 用木釘釘;用木夾夾	(v) 穿過;透過;識破;滲透入
peek	(v) 偷看;窺視	(v) 用木釘釘;用木夾夾	(v) 穿過;透過;識破;滲透入	(v) 察覺;感知;意識到
peg	(v) 用木釘釘;用木夾夾	(v) 穿過;透過;識破;滲透入	(v) 察覺;感知;意識到	(v) (鳥)飛落;棲息;(在較高處)暫歇
penetrate	(v) 穿過;透過;識破;滲透入	(v) 察覺;感知;意識到	(v) (鳥)飛落;棲息;(在較高處)暫歇	(v) 使有危險;危及
perceive	(v) 察覺;感知;意識到	(v) (鳥)飛落;棲息;(在較高處)暫歇	(v) 使有危險;危及	(v) 消滅;暴卒;枯萎
perch	(v) (鳥)飛落;棲息;(在較高處)暫歇	(v) 使有危險;危及	(v) 消滅;暴卒;枯萎	(v) 堅持;固執
peril	(v) 使有危險;危及	(v) 消滅;暴卒;枯萎	(v) 堅持;固執	(v) 擰;夾
perish	(v) 消滅;暴卒;枯萎	(v) 堅持;固執	(v) 擰;夾	(v) 小便
persist	(v) 堅持;固執	(v) 擰;夾	(v) 小便	(v) 用手槍射擊
pinch	(v) 擰;夾	(v) 小便	(v) 用手槍射擊	(v) 為(案件)辯護;懇求
