enact	(v) 制定(法律);扮演(角色)	(adj) 不正常的	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的
extract	(v) 取出;抽出;提煉;摘錄	(v) 使容易;促進;幫助	(v) 閃耀;(搖曳不定地)燃燒;閃亮	(v) 閃爍;搖曳;忽隱忽現
facilitate	(v) 使容易;促進;幫助	(v) 閃耀;(搖曳不定地)燃燒;閃亮	(v) 閃爍;搖曳;忽隱忽現	(v) (用力地)扔;擲
flare	(v) 閃耀;(搖曳不定地)燃燒;閃亮	(v) 閃爍;搖曳;忽隱忽現	(v) (用力地)扔;擲	(v) 振翼;飄動;(心臟等)不規則跳動
flicker	(v) 閃爍;搖曳;忽隱忽現	(v) (用力地)扔;擲	(v) 振翼;飄動;(心臟等)不規則跳動	(v) 預見;預知
fling	(v) (用力地)扔;擲	(v) 振翼;飄動;(心臟等)不規則跳動	(v) 預見;預知	(v) 使公式化;規劃;配製
flutter	(v) 振翼;飄動;(心臟等)不規則跳動	(v) 預見;預知	(v) 使公式化;規劃;配製	(v) 拋棄;革除
foresee	(v) 預見;預知	(v) 使公式化;規劃;配製	(v) 拋棄;革除	(v) 築防禦工事於;增強
formulate	(v) 使公式化;規劃;配製	(v) 拋棄;革除	(v) 築防禦工事於;增強	(v) 養育;培養;促進
forsake	(v) 拋棄;革除	(v) 築防禦工事於;增強	(v) 養育;培養;促進	(v) 使斷裂;使折斷;使骨折
fortify	(v) 築防禦工事於;增強	(v) 養育;培養;促進	(v) 使斷裂;使折斷;使骨折	(v) 使成碎片
foster	(v) 養育;培養;促進	(v) 使斷裂;使折斷;使骨折	(v) 使成碎片	(v) 使瘋狂;使反常
fracture	(v) 使斷裂;使折斷;使骨折	(v) 使成碎片	(v) 使瘋狂;使反常	(v) 使苦惱;使煩躁
fragment	(v) 使成碎片	(v) 使瘋狂;使反常	(v) 使苦惱;使煩躁	(v) 泛論;概括
freak	(v) 使瘋狂;使反常	(v) 使苦惱;使煩躁	(v) 泛論;概括	(v) 產生;發生(熱;電;光等)
fret	(v) 使苦惱;使煩躁	(v) 泛論;概括	(v) 產生;發生(熱;電;光等)	(v) 閃耀;閃亮
generalize	(v) 泛論;概括	(v) 產生;發生(熱;電;光等)	(v) 閃耀;閃亮	(v) 用圖表表示
generate	(v) 產生;發生(熱;電;光等)	(v) 閃耀;閃亮	(v) 用圖表表示	(v) (用烤架)烤(魚、肉等);拷問
glisten	(v) 閃耀;閃亮	(v) 用圖表表示	(v) (用烤架)烤(魚、肉等);拷問	(v) 觸摸;暗中摸;探索
graph	(v) 用圖表表示	(v) (用烤架)烤(魚、肉等);拷問	(v) 觸摸;暗中摸;探索	(v) 劈;砍
grill	(v) (用烤架)烤(魚、肉等);拷問	(v) 觸摸;暗中摸;探索	(v) 劈;砍	(v) 向...歡呼;招呼;下冰雹
grope	(v) 觸摸;暗中摸;探索	(v) 劈;砍	(v) 向...歡呼;招呼;下冰雹	(v) 騷擾;使煩惱
hack	(v) 劈;砍	(v) 向...歡呼;招呼;下冰雹	(v) 騷擾;使煩惱	(v) 冒險作出
hail	(v) 向...歡呼;招呼;下冰雹	(v) 騷擾;使煩惱	(v) 冒險作出	(v) 用強光照射;使顯著;使突出
harass	(v) 騷擾;使煩惱	(v) 冒險作出	(v) 用強光照射;使顯著;使突出	(v) 住院治療
hazard	(v) 冒險作出	(v) 用強光照射;使顯著;使突出	(v) 住院治療	(v) 羞辱;使丟臉
highlight	(v) 用強光照射;使顯著;使突出	(v) 住院治療	(v) 羞辱;使丟臉	(v) 隆起;彎成弓狀
hospitalize	(v) 住院治療	(v) 羞辱;使丟臉	(v) 隆起;彎成弓狀	(v) 跨(欄);克服(困難)
humiliate	(v) 羞辱;使丟臉	(v) 隆起;彎成弓狀	(v) 跨(欄);克服(困難)	(v) 照亮;用燈裝飾;啟發
hunch	(v) 隆起;彎成弓狀	(v) 跨(欄);克服(困難)	(v) 照亮;用燈裝飾;啟發	(v) 履行;實施;執行
hurdle	(v) 跨(欄);克服(困難)	(v) 照亮;用燈裝飾;啟發	(v) 履行;實施;執行	(v) 監禁;束縛
illuminate	(v) 照亮;用燈裝飾;啟發	(v) 履行;實施;執行	(v) 監禁;束縛	(v) 傾斜;屈身;有意
implement	(v) 履行;實施;執行	(v) 監禁;束縛	(v) 傾斜;屈身;有意	(v) 推斷,推論
imprison	(v) 監禁;束縛	(v) 傾斜;屈身;有意	(v) 推斷,推論	(v) 居住於;棲息於
incline	(v) 傾斜;屈身;有意	(v) 推斷,推論	(v) 居住於;棲息於	(v) 注射(藥液等)
infer	(v) 推斷,推論	(v) 居住於;棲息於	(v) 注射(藥液等)	(v) 使結合;求積分
inhabit	(v) 居住於;棲息於	(v) 注射(藥液等)	(v) 使結合;求積分	(v) 介入;干預;調停
inject	(v) 注射(藥液等)	(v) 使結合;求積分	(v) 介入;干預;調停	(v) 威嚇;脅迫
integrate	(v) 使結合;求積分	(v) 介入;干預;調停	(v) 威嚇;脅迫	(v) 侵入;闖入
intervene	(v) 介入;干預;調停	(v) 威嚇;脅迫	(v) 侵入;闖入	(v) 把...登入目錄;盤存
intimidate	(v) 威嚇;脅迫	(v) 侵入;闖入	(v) 把...登入目錄;盤存	(v) 使惱怒;使煩躁
intrude	(v) 侵入;闖入	(v) 把...登入目錄;盤存	(v) 使惱怒;使煩躁	(v) 綁架;劫持
inventory	(v) 把...登入目錄;盤存	(v) 使惱怒;使煩躁	(v) 綁架;劫持	(v) 哀悼;悲痛;痛哭
irritate	(v) 使惱怒;使煩躁	(v) 綁架;劫持	(v) 哀悼;悲痛;痛哭	(v) 使合法
kidnap	(v) 綁架;劫持	(v) 哀悼;悲痛;痛哭	(v) 使合法	(v) 解放,使獲自由
lament	(v) 哀悼;悲痛;痛哭	(v) 使合法	(v) 解放,使獲自由	(v) (懶洋洋地)倚靠;閒蕩
legitimate	(v) 使合法	(v) 解放,使獲自由	(v) (懶洋洋地)倚靠;閒蕩	(v) 誘惑;以誘餌吸引
liberate	(v) 解放,使獲自由	(v) (懶洋洋地)倚靠;閒蕩	(v) 誘惑;以誘餌吸引	(v) 操作;運用;操縱;對...做手腳
lounge	(v) (懶洋洋地)倚靠;閒蕩	(v) 誘惑;以誘餌吸引	(v) 操作;運用;操縱;對...做手腳	(v) 毀損;損傷;玷污
lure	(v) 誘惑;以誘餌吸引	(v) 操作;運用;操縱;對...做手腳	(v) 毀損;損傷;玷污	(v) 屠殺;使慘敗
manipulate	(v) 操作;運用;操縱;對...做手腳	(v) 毀損;損傷;玷污	(v) 屠殺;使慘敗	(v) 沈思;深思熟慮
mar	(v) 毀損;損傷;玷污	(v) 屠殺;使慘敗	(v) 沈思;深思熟慮	(v) 使成熟;使圓熟
massacre	(v) 屠殺;使慘敗	(v) 沈思;深思熟慮	(v) 使成熟;使圓熟	(v) 買賣;經營
meditate	(v) 沈思;深思熟慮	(v) 使成熟;使圓熟	(v) 買賣;經營	(v) 合併;融合
mellow	(v) 使成熟;使圓熟	(v) 買賣;經營	(v) 合併;融合	(v) 移居;定期移棲;回游
merchandise	(v) 買賣;經營	(v) 合併;融合	(v) 移居;定期移棲;回游	(v) 模仿;與...極相似
merge	(v) 合併;融合	(v) 移居;定期移棲;回游	(v) 模仿;與...極相似	(v) 是...的縮影
migrate	(v) 移居;定期移棲;回游	(v) 模仿;與...極相似	(v) 是...的縮影	(v) 使減到最少(或最小);低估
mimic	(v) 模仿;與...極相似	(v) 是...的縮影	(v) 使減到最少(或最小);低估	(v) 動員;調動
miniature	(v) 是...的縮影	(v) 使減到最少(或最小);低估	(v) 動員;調動	(v) 鑄造;塑造;發霉
minimize	(v) 使減到最少(或最小);低估	(v) 動員;調動	(v) 鑄造;塑造;發霉	(v) 消除(聲音);減輕(聲音)
mobilize	(v) 動員;調動	(v) 鑄造;塑造;發霉	(v) 消除(聲音);減輕(聲音)	(v) 講(故事);敘述;作旁白
mold	(v) 鑄造;塑造;發霉	(v) 消除(聲音);減輕(聲音)	(v) 講(故事);敘述;作旁白	(v) 養育;滋養
mute	(v) 消除(聲音);減輕(聲音)	(v) 講(故事);敘述;作旁白	(v) 養育;滋養	(v) 養育;培育
narrate	(v) 講(故事);敘述;作旁白	(v) 養育;滋養	(v) 養育;培育	(v) 使不得不;迫使;施恩於
nourish	(v) 養育;滋養	(v) 養育;培育	(v) 使不得不;迫使;施恩於	(v) 使變暗;遮掩;使難理解
nurture	(v) 養育;培育	(v) 使不得不;迫使;施恩於	(v) 使變暗;遮掩;使難理解	(v) 壓迫;壓制
oblige	(v) 使不得不;迫使;施恩於	(v) 使變暗;遮掩;使難理解	(v) 壓迫;壓制	(v) 發源;來自
obscure	(v) 使變暗;遮掩;使難理解	(v) 壓迫;壓制	(v) 發源;來自	(v) 裝備;配備;供給
oppress	(v) 壓迫;壓制	(v) 發源;來自	(v) 裝備;配備;供給	(v) 宣佈...為不合法;禁止
originate	(v) 發源;來自	(v) 裝備;配備;供給	(v) 宣佈...為不合法;禁止	(v) 數量上超過
outfit	(v) 裝備;配備;供給	(v) 宣佈...為不合法;禁止	(v) 數量上超過	(v) 激起義憤;激怒;施暴行
outlaw	(v) 宣佈...為不合法;禁止	(v) 數量上超過	(v) 激起義憤;激怒;施暴行	(v) 與...部分重疊
outnumber	(v) 數量上超過	(v) 激起義憤;激怒;施暴行	(v) 與...部分重疊	(v) 使翻轉;翻倒;推翻
outrage	(v) 激起義憤;激怒;施暴行	(v) 與...部分重疊	(v) 使翻轉;翻倒;推翻	(v) 使麻痺;使癱瘓
overlap	(v) 與...部分重疊	(v) 使翻轉;翻倒;推翻	(v) 使麻痺;使癱瘓	(v) 挨戶兜售;沿街叫賣
overturn	(v) 使翻轉;翻倒;推翻	(v) 使麻痺;使癱瘓	(v) 挨戶兜售;沿街叫賣	(v) 發給...退休金(或養老金等)
paralyze	(v) 使麻痺;使癱瘓	(v) 挨戶兜售;沿街叫賣	(v) 發給...退休金(或養老金等)	(v) 堅持不懈;不屈不撓
peddle	(v) 挨戶兜售;沿街叫賣	(v) 發給...退休金(或養老金等)	(v) 堅持不懈;不屈不撓	(v) 使定相;使同步;分階段實行
pension	(v) 發給...退休金(或養老金等)	(v) 堅持不懈;不屈不撓	(v) 使定相;使同步;分階段實行	(v) 刺穿;穿透
persevere	(v) 堅持不懈;不屈不撓	(v) 使定相;使同步;分階段實行	(v) 刺穿;穿透	(v) 水煮(蛋);偷獵;侵佔
phase	(v) 使定相;使同步;分階段實行	(v) 刺穿;穿透	(v) 水煮(蛋);偷獵;侵佔	(v) 仔細考慮;衡量;回想
pierce	(v) 刺穿;穿透	(v) 水煮(蛋);偷獵;侵佔	(v) 仔細考慮;衡量;回想	(v) 居住於;移民於
poach	(v) 水煮(蛋);偷獵;侵佔	(v) 仔細考慮;衡量;回想	(v) 居住於;移民於	(v) 擺出姿勢;故作姿態
ponder	(v) 仔細考慮;衡量;回想	(v) 居住於;移民於	(v) 擺出姿勢;故作姿態	(v) 處在...之前;(地位等)高於
populate	(v) 居住於;移民於	(v) 擺出姿勢;故作姿態	(v) 處在...之前;(地位等)高於	(v) 為...加序言(或開場白)
posture	(v) 擺出姿勢;故作姿態	(v) 處在...之前;(地位等)高於	(v) 為...加序言(或開場白)	(v) 使抱偏見;使懷成見
precede	(v) 處在...之前;(地位等)高於	(v) 為...加序言(或開場白)	(v) 使抱偏見;使懷成見	(v) 規定;指定;開(藥方)
preface	(v) 為...加序言(或開場白)	(v) 使抱偏見;使懷成見	(v) 規定;指定;開(藥方)	(v) 主持;管轄
prejudice	(v) 使抱偏見;使懷成見	(v) 規定;指定;開(藥方)	(v) 主持;管轄	(v) 假定;認為;擅自(做)
prescribe	(v) 規定;指定;開(藥方)	(v) 主持;管轄	(v) 假定;認為;擅自(做)	(v) 禁止
preside	(v) 主持;管轄	(v) 假定;認為;擅自(做)	(v) 禁止	(v) 推進;推動;驅策
presume	(v) 假定;認為;擅自(做)	(v) 禁止	(v) 推進;推動;驅策	(v) 對...起訴;告發
prohibit	(v) 禁止	(v) 推進;推動;驅策	(v) 對...起訴;告發	(v) 對...挑釁;煽動;激怒
propel	(v) 推進;推動;驅策	(v) 對...起訴;告發	(v) 對...挑釁;煽動;激怒	(v) (野獸等)四處覓食;徘徊
prosecute	(v) 對...起訴;告發	(v) 對...挑釁;煽動;激怒	(v) (野獸等)四處覓食;徘徊	(v) 使純淨;淨化
provoke	(v) 對...挑釁;煽動;激怒	(v) (野獸等)四處覓食;徘徊	(v) 使純淨;淨化	(v) 壓制;抑制;解(渴);熄滅
prowl	(v) (野獸等)四處覓食;徘徊	(v) 使純淨;淨化	(v) 壓制;抑制;解(渴);熄滅	(v) 詢問;對...表示疑問
purify	(v) 使純淨;淨化	(v) 壓制;抑制;解(渴);熄滅	(v) 詢問;對...表示疑問	(v) (光、熱等)散發;輻射;煥發
quench	(v) 壓制;抑制;解(渴);熄滅	(v) 詢問;對...表示疑問	(v) (光、熱等)散發;輻射;煥發	(v) 用筏子運送;划筏
query	(v) 詢問;對...表示疑問	(v) (光、熱等)散發;輻射;煥發	(v) 用筏子運送;划筏	(v) 襲擊;劫掠
radiate	(v) (光、熱等)散發;輻射;煥發	(v) 用筏子運送;划筏	(v) 襲擊;劫掠	(v) 贖回;向...勒索贖金
raft	(v) 用筏子運送;划筏	(v) 襲擊;劫掠	(v) 贖回;向...勒索贖金	(v) 蹂躪;使荒蕪
raid	(v) 襲擊;劫掠	(v) 贖回;向...勒索贖金	(v) 蹂躪;使荒蕪	(v) 和解;使一致;使安於
ransom	(v) 贖回;向...勒索贖金	(v) 蹂躪;使荒蕪	(v) 和解;使一致;使安於	(v) 徵募;雇用;補充
ravage	(v) 蹂躪;使荒蕪	(v) 和解;使一致;使安於	(v) 徵募;雇用;補充	(v) 再發生;再現
reconcile	(v) 和解;使一致;使安於	(v) 徵募;雇用;補充	(v) 再發生;再現	(v) 提煉;精鍊
recruit	(v) 徵募;雇用;補充	(v) 再發生;再現	(v) 提煉;精鍊	(v) 退還;歸還;償還
recur	(v) 再發生;再現	(v) 提煉;精鍊	(v) 退還;歸還;償還	(v) 排練,排演
refine	(v) 提煉;精鍊	(v) 退還;歸還;償還	(v) 排練,排演	(v) (用韁繩)勒住;駕馭;控制
refund	(v) 退還;歸還;償還	(v) 排練,排演	(v) (用韁繩)勒住;駕馭;控制	(v) 增援;加強;加深
rehearse	(v) 排練,排演	(v) (用韁繩)勒住;駕馭;控制	(v) 增援;加強;加深	(v) 轉達;轉播
rein	(v) (用韁繩)勒住;駕馭;控制	(v) 增援;加強;加深	(v) 轉達;轉播	(v) 喜愛;愛好;加佐料
reinforce	(v) 增援;加強;加深	(v) 轉達;轉播	(v) 喜愛;愛好;加佐料	(v) 使得;使成為;提供
relay	(v) 轉達;轉播	(v) 喜愛;愛好;加佐料	(v) 使得;使成為;提供	(v) 抑制;鎮壓
relish	(v) 喜愛;愛好;加佐料	(v) 使得;使成為;提供	(v) 抑制;鎮壓	(v) 以零售方式;以零售價格
render	(v) 使得;使成為;提供	(v) 抑制;鎮壓	(v) 以零售方式;以零售價格	(v) 報復
repress	(v) 抑制;鎮壓	(v) 以零售方式;以零售價格	(v) 報復	(v) 收回;檢索;使恢復
retail	(v) 以零售方式;以零售價格	(v) 報復	(v) 收回;檢索;使恢復	(v) 嘲笑;戲弄
retaliate	(v) 報復	(v) 收回;檢索;使恢復	(v) 嘲笑;戲弄	(v) 參加(或發動)暴亂;放縱
retrieve	(v) 收回;檢索;使恢復	(v) 嘲笑;戲弄	(v) 參加(或發動)暴亂;放縱	(v) 旋轉;輪流
ridicule	(v) 嘲笑;戲弄	(v) 參加(或發動)暴亂;放縱	(v) 旋轉;輪流	(v) 保護;防衛
riot	(v) 參加(或發動)暴亂;放縱	(v) 旋轉;輪流	(v) 保護;防衛	(v) 對...實施制裁
rotate	(v) 旋轉;輪流	(v) 保護;防衛	(v) 對...實施制裁	(v) 把...改編為劇本
safeguard	(v) 保護;防衛	(v) 對...實施制裁	(v) 把...改編為劇本	(v) 誘惑;引誘
sanction	(v) 對...實施制裁	(v) 把...改編為劇本	(v) 誘惑;引誘	(v) 排序
script	(v) 把...改編為劇本	(v) 誘惑;引誘	(v) 排序	(v) 流出;毛髮等脫落;蛻(殼等)
seduce	(v) 誘惑;引誘	(v) 排序	(v) 流出;毛髮等脫落;蛻(殼等)	(v) 冒充顧客在商店內偷竊
sequence	(v) 排序	(v) 流出;毛髮等脫落;蛻(殼等)	(v) 冒充顧客在商店內偷竊	(v) 躲開;迴避
shed	(v) 流出;毛髮等脫落;蛻(殼等)	(v) 冒充顧客在商店內偷竊	(v) 躲開;迴避	(v) 表示...的意思;意味著
shoplift	(v) 冒充顧客在商店內偷竊	(v) 躲開;迴避	(v) 表示...的意思;意味著	(v) 簡化,精簡;使單純;使平易
shun	(v) 躲開;迴避	(v) 表示...的意思;意味著	(v) 簡化,精簡;使單純;使平易	(v) 去,去除;瀏覽,略讀
signify	(v) 表示...的意思;意味著	(v) 簡化,精簡;使單純;使平易	(v) 去,去除;瀏覽,略讀	(v) 用粗話罵;欺騙,詐取
simplify	(v) 簡化,精簡;使單純;使平易	(v) 去,去除;瀏覽,略讀	(v) 用粗話罵;欺騙,詐取	(v) (用刀;劍等)砍;大幅度削減
skim	(v) 去,去除;瀏覽,略讀	(v) 用粗話罵;欺騙,詐取	(v) (用刀;劍等)砍;大幅度削減	(v) 開狹長的孔;把...納入序列中
slang	(v) 用粗話罵;欺騙,詐取	(v) (用刀;劍等)砍;大幅度削減	(v) 開狹長的孔;把...納入序列中	(v) 去貧民窟
slash	(v) (用刀;劍等)砍;大幅度削減	(v) 開狹長的孔;把...納入序列中	(v) 去貧民窟	(v) 略有滋味;掌摑;咂(嘴);響吻
slot	(v) 開狹長的孔;把...納入序列中	(v) 去貧民窟	(v) 略有滋味;掌摑;咂(嘴);響吻	(v) 使窒息;悶住(火);扼殺
slum	(v) 去貧民窟	(v) 略有滋味;掌摑;咂(嘴);響吻	(v) 使窒息;悶住(火);扼殺	(v) 走私
smack	(v) 略有滋味;掌摑;咂(嘴);響吻	(v) 使窒息;悶住(火);扼殺	(v) 走私	(v) (用陷阱等)捕捉;誘...入圈套
smother	(v) 使窒息;悶住(火);扼殺	(v) 走私	(v) (用陷阱等)捕捉;誘...入圈套	(v) 輕蔑地笑;譏諷
smuggle	(v) 走私	(v) (用陷阱等)捕捉;誘...入圈套	(v) 輕蔑地笑;譏諷	(v) 往上飛舞;翱翔;暴漲
snare	(v) (用陷阱等)捕捉;誘...入圈套	(v) 輕蔑地笑;譏諷	(v) 往上飛舞;翱翔;暴漲	(v) 交際;社會主義化
sneer	(v) 輕蔑地笑;譏諷	(v) 往上飛舞;翱翔;暴漲	(v) 交際;社會主義化	(v) 安慰;哄;減輕
soar	(v) 往上飛舞;翱翔;暴漲	(v) 交際;社會主義化	(v) 安慰;哄;減輕	(v) 跨越;在...架橋
socialize	(v) 交際;社會主義化	(v) 安慰;哄;減輕	(v) 跨越;在...架橋	(v) 專攻;專門從事
soothe	(v) 安慰;哄;減輕	(v) 跨越;在...架橋	(v) 專攻;專門從事	(v) 具體指定;詳細指明
span	(v) 跨越;在...架橋	(v) 專攻;專門從事	(v) 具體指定;詳細指明	(v) 推測;投機;推斷
specialize	(v) 專攻;專門從事	(v) 具體指定;詳細指明	(v) 推測;投機;推斷	(v) 用大釘釘牢;用尖物刺穿
specify	(v) 具體指定;詳細指明	(v) 推測;投機;推斷	(v) 用大釘釘牢;用尖物刺穿	(v) 盤旋;成螺旋形
speculate	(v) 推測;投機;推斷	(v) 用大釘釘牢;用尖物刺穿	(v) 盤旋;成螺旋形	(v) 螺旋形上升;發芽
spike	(v) 用大釘釘牢;用尖物刺穿	(v) 盤旋;成螺旋形	(v) 螺旋形上升;發芽	(v) 發起;主辦;倡議;贊助
spiral	(v) 盤旋;成螺旋形	(v) 螺旋形上升;發芽	(v) 發起;主辦;倡議;贊助	(v) 伸開四肢躺(或爬);蔓生
spire	(v) 螺旋形上升;發芽	(v) 發起;主辦;倡議;贊助	(v) 伸開四肢躺(或爬);蔓生	(v) 使穩定;使穩固
sponsor	(v) 發起;主辦;倡議;贊助	(v) 伸開四肢躺(或爬);蔓生	(v) 使穩定;使穩固	(v) 偷偷靠近;追蹤
sprawl	(v) 伸開四肢躺(或爬);蔓生	(v) 使穩定;使穩固	(v) 偷偷靠近;追蹤	(v) 口吃;結結巴巴地說話
stabilize	(v) 使穩定;使穩固	(v) 偷偷靠近;追蹤	(v) 口吃;結結巴巴地說話	(v) 用U形釘固定;用釘書針釘
stalk	(v) 偷偷靠近;追蹤	(v) 口吃;結結巴巴地說話	(v) 用U形釘固定;用釘書針釘	(v) 給(衣服等)上澱粉漿
stammer	(v) 口吃;結結巴巴地說話	(v) 用U形釘固定;用釘書針釘	(v) 給(衣服等)上澱粉漿	(v) 刺激;激勵;使興奮;促使
staple	(v) 用U形釘固定;用釘書針釘	(v) 給(衣服等)上澱粉漿	(v) 刺激;激勵;使興奮;促使	(v) 給(商店)辦貨;貯存
starch	(v) 給(衣服等)上澱粉漿	(v) 刺激;激勵;使興奮;促使	(v) 給(商店)辦貨;貯存	(v) 勒死;扼住;悶住
stimulate	(v) 刺激;激勵;使興奮;促使	(v) 給(商店)辦貨;貯存	(v) 勒死;扼住;悶住	(v) 表演絕技;妨礙
stock	(v) 給(商店)辦貨;貯存	(v) 勒死;扼住;悶住	(v) 表演絕技;妨礙	(v) 使居次要地位;使隸屬;使服從
strangle	(v) 勒死;扼住;悶住	(v) 表演絕技;妨礙	(v) 使居次要地位;使隸屬;使服從	(v) 訂閱;認捐;簽名
stunt	(v) 表演絕技;妨礙	(v) 使居次要地位;使隸屬;使服從	(v) 訂閱;認捐;簽名	(v) 使窒息;扼制
subordinate	(v) 使居次要地位;使隸屬;使服從	(v) 訂閱;認捐;簽名	(v) 使窒息;扼制	(v) 增補;為...補編附錄
subscribe	(v) 訂閱;認捐;簽名	(v) 使窒息;扼制	(v) 增補;為...補編附錄	(v) 勝過;大於;多於
suffocate	(v) 使窒息;扼制	(v) 增補;為...補編附錄	(v) 勝過;大於;多於	(v) 交換;以...作交換
supplement	(v) 增補;為...補編附錄	(v) 勝過;大於;多於	(v) 交換;以...作交換	(v) 象徵,標誌
surpass	(v) 勝過;大於;多於	(v) 交換;以...作交換	(v) 象徵,標誌	(v) 使結束;使終止;解雇
swap	(v) 交換;以...作交換	(v) 象徵,標誌	(v) 使結束;使終止;解雇	(v) 使...行成紋理
symbolize	(v) 象徵,標誌	(v) 使結束;使終止;解雇	(v) 使...行成紋理	(v) 興旺;繁榮;茂盛生長
terminate	(v) 使結束;使終止;解雇	(v) 使...行成紋理	(v) 興旺;繁榮;茂盛生長	(v) (心臟;脈搏等)跳動;抽動;抽痛
texture	(v) 使...行成紋理	(v) 興旺;繁榮;茂盛生長	(v) (心臟;脈搏等)跳動;抽動;抽痛	(v) 徵收捐稅(或通行費等);敲鐘
thrive	(v) 興旺;繁榮;茂盛生長	(v) (心臟;脈搏等)跳動;抽動;抽痛	(v) 徵收捐稅(或通行費等);敲鐘	(v) 使倒塌;推翻
throb	(v) (心臟;脈搏等)跳動;抽動;抽痛	(v) 徵收捐稅(或通行費等);敲鐘	(v) 使倒塌;推翻	(v) 通過;運送過
toll	(v) 徵收捐稅(或通行費等);敲鐘	(v) 使倒塌;推翻	(v) 通過;運送過	(v) 傳送;傳達;發射;播送;傳染
topple	(v) 使倒塌;推翻	(v) 通過;運送過	(v) 傳送;傳達;發射;播送;傳染	(v) 移植;移種
transit	(v) 通過;運送過	(v) 傳送;傳達;發射;播送;傳染	(v) 移植;移種	(v) 踩;踏;步行
transmit	(v) 傳送;傳達;發射;播送;傳染	(v) 移植;移種	(v) 踩;踏;步行	(v) 艱苦跋涉或移居
transplant	(v) 移植;移種	(v) 踩;踏;步行	(v) 艱苦跋涉或移居	(v) 擅自進入;侵入
tread	(v) 踩;踏;步行	(v) 艱苦跋涉或移居	(v) 擅自進入;侵入	(v) 扣扳機開(槍);發射;觸發
trek	(v) 艱苦跋涉或移居	(v) 擅自進入;侵入	(v) 扣扳機開(槍);發射;觸發	(v) 逃學;逃避責任;偷懶
trespass	(v) 擅自進入;侵入	(v) 扣扳機開(槍);發射;觸發	(v) 逃學;逃避責任;偷懶	(v) 揭開...的蓋子;揭露
trigger	(v) 扣扳機開(槍);發射;觸發	(v) 逃學;逃避責任;偷懶	(v) 揭開...的蓋子;揭露	(v) 低估
truant	(v) 逃學;逃避責任;偷懶	(v) 揭開...的蓋子;揭露	(v) 低估	(v) 經歷;接受(治療、檢查等)
uncover	(v) 揭開...的蓋子;揭露	(v) 低估	(v) 經歷;接受(治療、檢查等)	(v) 侵蝕...的基礎;暗中破壞
underestimate	(v) 低估	(v) 經歷;接受(治療、檢查等)	(v) 侵蝕...的基礎;暗中破壞	(v) 著手做;進行
undergo	(v) 經歷;接受(治療、檢查等)	(v) 侵蝕...的基礎;暗中破壞	(v) 著手做;進行	(v) 解開;脫去(衣服等);取消
undermine	(v) 侵蝕...的基礎;暗中破壞	(v) 著手做;進行	(v) 解開;脫去(衣服等);取消	(v) 展開;呈現
undertake	(v) 著手做;進行	(v) 解開;脫去(衣服等);取消	(v) 展開;呈現	(v) 統一;聯合;使一致
undo	(v) 解開;脫去(衣服等);取消	(v) 展開;呈現	(v) 統一;聯合;使一致	(v) 開鎖;開啟
unfold	(v) 展開;呈現	(v) 統一;聯合;使一致	(v) 開鎖;開啟	(v) 打開包裹(或行李等)
unify	(v) 統一;聯合;使一致	(v) 開鎖;開啟	(v) 打開包裹(或行李等)	(v) 上坡; 使升級
unlock	(v) 開鎖;開啟	(v) 打開包裹(或行李等)	(v) 上坡; 使升級	(v) 舉起;支撐;維護
unpack	(v) 打開包裹(或行李等)	(v) 上坡; 使升級	(v) 舉起;支撐;維護	(v) 引領;迎接;當引座員
upgrade	(v) 上坡; 使升級	(v) 舉起;支撐;維護	(v) 引領;迎接;當引座員	(v) 利用
uphold	(v) 舉起;支撐;維護	(v) 引領;迎接;當引座員	(v) 利用	(v) 出售;販賣
usher	(v) 引領;迎接;當引座員	(v) 利用	(v) 出售;販賣	(v) 處在邊沿;瀕臨
utilize	(v) 利用	(v) 出售;販賣	(v) 處在邊沿;瀕臨	(v) 使犧牲;使痛苦
vend	(v) 出售;販賣	(v) 處在邊沿;瀕臨	(v) 使犧牲;使痛苦	(v) 使顯現;使形象化
verge	(v) 處在邊沿;瀕臨	(v) 使犧牲;使痛苦	(v) 使顯現;使形象化	(v) 嘔吐;使嘔吐
victimize	(v) 使犧牲;使痛苦	(v) 使顯現;使形象化	(v) 嘔吐;使嘔吐	(v) 使不透水
visualize	(v) 使顯現;使形象化	(v) 嘔吐;使嘔吐	(v) 使不透水	(v) 抵擋;反抗;禁得起
vomit	(v) 嘔吐;使嘔吐	(v) 使不透水	(v) 抵擋;反抗;禁得起	(v) 追求;追逐
waterproof	(v) 使不透水	(v) 抵擋;反抗;禁得起	(v) 追求;追逐	(v) 猛扭;攫取;使痛苦
withstand	(v) 抵擋;反抗;禁得起	(v) 追求;追逐	(v) 猛扭;攫取;使痛苦	(v) 與...摔角;與...搏鬥
woo	(v) 追求;追逐	(v) 猛扭;攫取;使痛苦	(v) 與...摔角;與...搏鬥	(v) 複印
wrench	(v) 猛扭;攫取;使痛苦	(v) 與...摔角;與...搏鬥	(v) 複印	(v) 思念;渴望;嚮往
wrestle	(v) 與...摔角;與...搏鬥	(v) 複印	(v) 思念;渴望;嚮往	(adv.)照著;相應地;因此
xerox	(v) 複印	(v) 思念;渴望;嚮往	(adv.)照著;相應地;因此	(adv.)在旁邊;沿著
