cast	(v) 投,擲; 選派...扮演角色	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的
request	(v) 請求給予	(v) 儲備,保存;保留	(v) 抵抗,反抗;抗拒	(v) 作答,回答
reserve	(v) 儲備,保存;保留	(v) 抵抗,反抗;抗拒	(v) 作答,回答	(v) 限制;限定;約束
resist	(v) 抵抗,反抗;抗拒	(v) 作答,回答	(v) 限制;限定;約束	(v) 展現,顯露出
respond	(v) 作答,回答	(v) 限制;限定;約束	(v) 展現,顯露出	(v) 使免除;使擺脫;從...清除
restrict	(v) 限制;限定;約束	(v) 展現,顯露出	(v) 使免除;使擺脫;從...清除	(v) 冒...的風險
reveal	(v) 展現,顯露出	(v) 使免除;使擺脫;從...清除	(v) 冒...的風險	(v) 吼叫;大聲叫喊;狂笑
rid	(v) 使免除;使擺脫;從...清除	(v) 冒...的風險	(v) 吼叫;大聲叫喊;狂笑	(v) 烤,炙,烘
risk	(v) 冒...的風險	(v) 吼叫;大聲叫喊;狂笑	(v) 烤,炙,烘	(v) 搶劫
roar	(v) 吼叫;大聲叫喊;狂笑	(v) 烤,炙,烘	(v) 搶劫	(v) 使穿上禮服
roast	(v) 烤,炙,烘	(v) 搶劫	(v) 使穿上禮服	(v) 用火箭運載;飛快行進
rob	(v) 搶劫	(v) 使穿上禮服	(v) 用火箭運載;飛快行進	(v) 腐爛,腐壞;腐朽,破損
robe	(v) 使穿上禮服	(v) 用火箭運載;飛快行進	(v) 腐爛,腐壞;腐朽,破損	(v) 使不平,使粗糙;草擬;粗魯行事
rocket	(v) 用火箭運載;飛快行進	(v) 腐爛,腐壞;腐朽,破損	(v) 使不平,使粗糙;草擬;粗魯行事	(v) 謠傳;傳說
rot	(v) 腐爛,腐壞;腐朽,破損	(v) 使不平,使粗糙;草擬;粗魯行事	(v) 謠傳;傳說	(v) 生鏽
rough	(v) 使不平,使粗糙;草擬;粗魯行事	(v) 謠傳;傳說	(v) 生鏽	(v) 使分散;使潰散
rumor	(v) 謠傳;傳說	(v) 生鏽	(v) 使分散;使潰散	(v) 安排;將……列入計畫（或時間）表
rust	(v) 生鏽	(v) 使分散;使潰散	(v) 安排;將……列入計畫（或時間）表	(v) 用勺舀;挖空;挖出
scatter	(v) 使分散;使潰散	(v) 安排;將……列入計畫（或時間）表	(v) 用勺舀;挖空;挖出	(v) 偵察;搜索;嘲笑,嘲弄
schedule	(v) 安排;將……列入計畫（或時間）表	(v) 用勺舀;挖空;挖出	(v) 偵察;搜索;嘲笑,嘲弄	(v) 尖叫;放聲大哭
scoop	(v) 用勺舀;挖空;挖出	(v) 偵察;搜索;嘲笑,嘲弄	(v) 尖叫;放聲大哭	(v) (用螺釘等)固定;扭歪(臉等)
scout	(v) 偵察;搜索;嘲笑,嘲弄	(v) 尖叫;放聲大哭	(v) (用螺釘等)固定;扭歪(臉等)	(v) 用力擦洗;揉
scream	(v) 尖叫;放聲大哭	(v) (用螺釘等)固定;扭歪(臉等)	(v) 用力擦洗;揉	(v) 封,密封;蓋章
screw	(v) (用螺釘等)固定;扭歪(臉等)	(v) 用力擦洗;揉	(v) 封,密封;蓋章	(v) 尋覓
scrub	(v) 用力擦洗;揉	(v) 封,密封;蓋章	(v) 尋覓	(v) 抓住;捉住;沒收;扣押
seal	(v) 封,密封;蓋章	(v) 尋覓	(v) 抓住;捉住;沒收;扣押	(v) 縫製;縫補
seek	(v) 尋覓	(v) 抓住;捉住;沒收;扣押	(v) 縫製;縫補	(v) 遮蔽,蔽蔭
seize	(v) 抓住;捉住;沒收;扣押	(v) 縫製;縫補	(v) 遮蔽,蔽蔭	(v) 使變暗;使陰鬱
sew	(v) 縫製;縫補	(v) 遮蔽,蔽蔭	(v) 使變暗;使陰鬱	(v) 使感到羞恥
shade	(v) 遮蔽,蔽蔭	(v) 使變暗;使陰鬱	(v) 使感到羞恥	(v) 洗(頭髮);洗(地毯等)
shadow	(v) 使變暗;使陰鬱	(v) 使感到羞恥	(v) 洗(頭髮);洗(地毯等)	(v) 刮(鬍子等);修剪
shame	(v) 使感到羞恥	(v) 洗(頭髮);洗(地毯等)	(v) 刮(鬍子等);修剪	(v) 使變短;縮短
shampoo	(v) 洗(頭髮);洗(地毯等)	(v) 刮(鬍子等);修剪	(v) 使變短;縮短	(v) 用鐵鍬挖
shave	(v) 刮(鬍子等);修剪	(v) 使變短;縮短	(v) 用鐵鍬挖	(v) 縮短,皺縮
shorten	(v) 使變短;縮短	(v) 用鐵鍬挖	(v) 縮短,皺縮	(v) 嘆氣,嘆息
shovel	(v) 用鐵鍬挖	(v) 縮短,皺縮	(v) 嘆氣,嘆息	(v) 發信號,打信號
shrink	(v) 縮短,皺縮	(v) 嘆氣,嘆息	(v) 發信號,打信號	(v) 犯(罪)
sigh	(v) 嘆氣,嘆息	(v) 發信號,打信號	(v) 犯(罪)	(v) 啜飲
signal	(v) 發信號,打信號	(v) 犯(罪)	(v) 啜飲	(v) 溜冰
sin	(v) 犯(罪)	(v) 啜飲	(v) 溜冰	(v) 滑雪
sip	(v) 啜飲	(v) 溜冰	(v) 滑雪	(v) 略過;漏掉
skate	(v) 溜冰	(v) 滑雪	(v) 略過;漏掉	(v) 奴隸般工作;苦幹
ski	(v) 滑雪	(v) 略過;漏掉	(v) 奴隸般工作;苦幹	(v) 切成薄片
skip	(v) 略過;漏掉	(v) 奴隸般工作;苦幹	(v) 切成薄片	(v) 光滑地,平滑地
slave	(v) 奴隸般工作;苦幹	(v) 切成薄片	(v) 光滑地,平滑地	(v) 突然折斷;用快照拍攝
slice	(v) 切成薄片	(v) 光滑地,平滑地	(v) 突然折斷;用快照拍攝	(v) 感到悲傷;懊悔;遺憾
smooth	(v) 光滑地,平滑地	(v) 突然折斷;用快照拍攝	(v) 感到悲傷;懊悔;遺憾	(v) 加香料於
snap	(v) 突然折斷;用快照拍攝	(v) 感到悲傷;懊悔;遺憾	(v) 加香料於	(v) 使溢出;使濺出;使散落
sorrow	(v) 感到悲傷;懊悔;遺憾	(v) 加香料於	(v) 使溢出;使濺出;使散落	(v) 使(陀螺等)旋轉
spice	(v) 加香料於	(v) 使溢出;使濺出;使散落	(v) 使(陀螺等)旋轉	(v) 吐(唾液等)
spill	(v) 使溢出;使濺出;使散落	(v) 使(陀螺等)旋轉	(v) 吐(唾液等)	(v) 濺,潑
spin	(v) 使(陀螺等)旋轉	(v) 吐(唾液等)	(v) 濺,潑	(v) 寵壞,溺愛
spit	(v) 吐(唾液等)	(v) 濺,潑	(v) 寵壞,溺愛	(v) 扭;扭傷
splash	(v) 濺,潑	(v) 寵壞,溺愛	(v) 扭;扭傷	(v) 噴灑,噴塗
spoil	(v) 寵壞,溺愛	(v) 扭;扭傷	(v) 噴灑,噴塗	(v) 灑,噴淋;撒
sprain	(v) 扭;扭傷	(v) 噴灑,噴塗	(v) 灑,噴淋;撒	(v) 暗中監視
spray	(v) 噴灑,噴塗	(v) 灑,噴淋;撒	(v) 暗中監視	(v) 榨,擠,壓
sprinkle	(v) 灑,噴淋;撒	(v) 暗中監視	(v) 榨,擠,壓	(v) 刺,戳
spy	(v) 暗中監視	(v) 榨,擠,壓	(v) 刺,戳	(v) 給...配備職員
squeeze	(v) 榨,擠,壓	(v) 刺,戳	(v) 給...配備職員	(v) 盯,凝視
stab	(v) 刺,戳	(v) 給...配備職員	(v) 盯,凝視	(v) 餓死;餓得慌;渴望
staff	(v) 給...配備職員	(v) 盯,凝視	(v) 餓死;餓得慌;渴望	(v) 使穩固;使穩定
stare	(v) 盯,凝視	(v) 餓死;餓得慌;渴望	(v) 使穩固;使穩定	(v) 刺,螫,叮
starve	(v) 餓死;餓得慌;渴望	(v) 使穩固;使穩定	(v) 刺,螫,叮	(v) 攪拌,攪動
steady	(v) 使穩固;使穩定	(v) 刺,螫,叮	(v) 攪拌,攪動	(v) 縫;繡;編結
sting	(v) 刺,螫,叮	(v) 攪拌,攪動	(v) 縫;繡;編結	(v) 剝去,剝光
stir	(v) 攪拌,攪動	(v) 縫;繡;編結	(v) 剝去,剝光	(v) 構造;組織;建造
stitch	(v) 縫;繡;編結	(v) 剝去,剝光	(v) 構造;組織;建造	(v) 裝;填;塞
strip	(v) 剝去,剝光	(v) 構造;組織;建造	(v) 裝;填;塞	(v) 稱呼;命名;設計;使成為時髦
structure	(v) 構造;組織;建造	(v) 裝;填;塞	(v) 稱呼;命名;設計;使成為時髦	(v) 吸,吮,啜
stuff	(v) 裝;填;塞	(v) 稱呼;命名;設計;使成為時髦	(v) 吸,吮,啜	(v) 遭受;經歷;受苦;患病
style	(v) 稱呼;命名;設計;使成為時髦	(v) 吸,吮,啜	(v) 遭受;經歷;受苦;患病	(v) 建議
suck	(v) 吸,吮,啜	(v) 遭受;經歷;受苦;患病	(v) 建議	(v) 計算...的總和
suffer	(v) 遭受;經歷;受苦;患病	(v) 建議	(v) 計算...的總和	(v) 猜想,以為;假定
suggest	(v) 建議	(v) 計算...的總和	(v) 猜想,以為;假定	(v) 圍,圍繞
sum	(v) 計算...的總和	(v) 猜想,以為;假定	(v) 圍,圍繞	(v) 測量,勘測
suppose	(v) 猜想,以為;假定	(v) 圍,圍繞	(v) 測量,勘測	(v) 疑有,察覺
surround	(v) 圍,圍繞	(v) 測量,勘測	(v) 疑有,察覺	(v) 發誓;宣誓
survey	(v) 測量,勘測	(v) 疑有,察覺	(v) 發誓;宣誓	(v) 出汗
suspect	(v) 疑有,察覺	(v) 發誓;宣誓	(v) 出汗	(v) 腫起,腫脹
swear	(v) 發誓;宣誓	(v) 出汗	(v) 腫起,腫脹	(v) 使轉換;為...轉接(電話)
sweat	(v) 出汗	(v) 腫起,腫脹	(v) 使轉換;為...轉接(電話)	(v) 用平頭釘釘
swell	(v) 腫起,腫脹	(v) 使轉換;為...轉接(電話)	(v) 用平頭釘釘	(v) 給...加標籤
switch	(v) 使轉換;為...轉接(電話)	(v) 用平頭釘釘	(v) 給...加標籤	(v) 做裁縫
tack	(v) 用平頭釘釘	(v) 給...加標籤	(v) 做裁縫	(v) 馴化;使軟化
tag	(v) 給...加標籤	(v) 做裁縫	(v) 馴化;使軟化	(v) 向...課稅
tailor	(v) 做裁縫	(v) 馴化;使軟化	(v) 向...課稅	(v) 逗弄;取笑;向...強求
tame	(v) 馴化;使軟化	(v) 向...課稅	(v) 逗弄;取笑;向...強求	(v) 走向;趨向;照料
tax	(v) 向...課稅	(v) 逗弄;取笑;向...強求	(v) 走向;趨向;照料	(v) 穿(針,線等)
tease	(v) 逗弄;取笑;向...強求	(v) 走向;趨向;照料	(v) 穿(針,線等)	(v) 威脅,恐嚇
tend	(v) 走向;趨向;照料	(v) 穿(針,線等)	(v) 威脅,恐嚇	(v) 使發癢;逗...笑
thread	(v) 穿(針,線等)	(v) 威脅,恐嚇	(v) 使發癢;逗...笑	(v) 使整潔
threaten	(v) 威脅,恐嚇	(v) 使發癢;逗...笑	(v) 使整潔	(v) 變緊,繃緊
tickle	(v) 使發癢;逗...笑	(v) 使整潔	(v) 變緊,繃緊	(v) 拋,扔,投
tidy	(v) 使整潔	(v) 變緊,繃緊	(v) 拋,扔,投	(v) 拖,拉;牽引
tighten	(v) 變緊,繃緊	(v) 拋,扔,投	(v) 拖,拉;牽引	(v) 追蹤;描繪
toss	(v) 拋,扔,投	(v) 拖,拉;牽引	(v) 追蹤;描繪	(v) 拖,曳
tow	(v) 拖,拉;牽引	(v) 追蹤;描繪	(v) 拖,曳	(v) 運送,運輸
trace	(v) 追蹤;描繪	(v) 拖,曳	(v) 運送,運輸	(v) 修剪(樹等)的枯枝殘葉;丟棄
trail	(v) 拖,曳	(v) 運送,運輸	(v) 修剪(樹等)的枯枝殘葉;丟棄	(v) 發抖;震顫
transport	(v) 運送,運輸	(v) 修剪(樹等)的枯枝殘葉;丟棄	(v) 發抖;震顫	(v) 群集,集合
trash	(v) 修剪(樹等)的枯枝殘葉;丟棄	(v) 發抖;震顫	(v) 群集,集合	(v) 用力拉
tremble	(v) 發抖;震顫	(v) 群集,集合	(v) 用力拉	(v) 跌倒;滾下
troop	(v) 群集,集合	(v) 用力拉	(v) 跌倒;滾下	(v) 為...調音
tug	(v) 用力拉	(v) 跌倒;滾下	(v) 為...調音	(v) 當家庭教師
tumble	(v) 跌倒;滾下	(v) 為...調音	(v) 當家庭教師	(v) 扭轉;扭彎
tune	(v) 為...調音	(v) 當家庭教師	(v) 扭轉;扭彎	(v) 統一;使團結
tutor	(v) 當家庭教師	(v) 扭轉;扭彎	(v) 統一;使團結	(v) 使心煩意亂;翻倒;傾覆
twist	(v) 扭轉;扭彎	(v) 統一;使團結	(v) 使心煩意亂;翻倒;傾覆	(v) 使不見;使消失
unite	(v) 統一;使團結	(v) 使心煩意亂;翻倒;傾覆	(v) 使不見;使消失	(v) 使不同;變更;呈多樣化
upset	(v) 使心煩意亂;翻倒;傾覆	(v) 使不見;使消失	(v) 使不同;變更;呈多樣化	(v) 搖;搖擺;搖尾巴
vanish	(v) 使不見;使消失	(v) 使不同;變更;呈多樣化	(v) 搖;搖擺;搖尾巴	(v) 醒來;睡醒;喚醒
vary	(v) 使不同;變更;呈多樣化	(v) 搖;搖擺;搖尾巴	(v) 醒來;睡醒;喚醒	(v) 漫遊;閒逛
wag	(v) 搖;搖擺;搖尾巴	(v) 醒來;睡醒;喚醒	(v) 漫遊;閒逛	(v) 警告
waken	(v) 醒來;睡醒;喚醒	(v) 漫遊;閒逛	(v) 警告	(v) 給...上蠟
wander	(v) 漫遊;閒逛	(v) 警告	(v) 給...上蠟	(v) 削弱,減弱
warn	(v) 警告	(v) 給...上蠟	(v) 削弱,減弱	(v) 織;編
wax	(v) 給...上蠟	(v) 削弱,減弱	(v) 織;編	(v) (蜘蛛等)結網於;形成網狀
weaken	(v) 削弱,減弱	(v) 織;編	(v) (蜘蛛等)結網於;形成網狀	(v) 除掉(雜草)
weave	(v) 織;編	(v) (蜘蛛等)結網於;形成網狀	(v) 除掉(雜草)	(v) 哭泣,流淚
web	(v) (蜘蛛等)結網於;形成網狀	(v) 除掉(雜草)	(v) 哭泣,流淚	(v) 鞭笞,抽打
weed	(v) 除掉(雜草)	(v) 哭泣,流淚	(v) 鞭笞,抽打	(v) 吹口哨;鳴笛
weep	(v) 哭泣,流淚	(v) 鞭笞,抽打	(v) 吹口哨;鳴笛	(v) 眨(眼)
whip	(v) 鞭笞,抽打	(v) 吹口哨;鳴笛	(v) 眨(眼)	(v) 擦;揩乾
whistle	(v) 吹口哨;鳴笛	(v) 眨(眼)	(v) 擦;揩乾	(v) 包,裹
wink	(v) 眨(眼)	(v) 擦;揩乾	(v) 包,裹	(v) 用X光線檢查
wipe	(v) 擦;揩乾	(v) 包,裹	(v) 用X光線檢查	(v) 打呵欠
wrap	(v) 包,裹	(v) 用X光線檢查	(v) 打呵欠	(v) 吼叫
x-ray	(v) 用X光線檢查	(v) 打呵欠	(v) 吼叫	(v) 拉上拉鍊
yawn	(v) 打呵欠	(v) 吼叫	(v) 拉上拉鍊	(v) 劃出...為區
yell	(v) 吼叫	(v) 拉上拉鍊	(v) 劃出...為區	(v) 敢;竟敢
zipper	(v) 拉上拉鍊	(v) 劃出...為區	(v) 敢;竟敢	(v) 應當,應該
zone	(v) 劃出...為區	(v) 敢;竟敢	(v) 應當,應該	(adv.)在船(或飛機;車)上;上船(或飛機;車)
dare	(v) 敢;竟敢	(v) 應當,應該	(adv.)在船(或飛機;車)上;上船(或飛機;車)	(adv.)之後,以後,後來
ought	(v) 應當,應該	(adv.)在船(或飛機;車)上;上船(或飛機;車)	(adv.)之後,以後,後來	(adv.)之後,後來
aboard	(adv.)在船(或飛機;車)上;上船(或飛機;車)	(adv.)之後,以後,後來	(adv.)之後,後來	(adv.)分開地,相間隔地
afterward	(adv.)之後,以後,後來	(adv.)之後,後來	(adv.)分開地,相間隔地	(adv.)在旁邊;到(或向)旁邊
afterwards	(adv.)之後,後來	(adv.)分開地,相間隔地	(adv.)在旁邊;到(或向)旁邊	(adv.)壞;拙劣地
apart	(adv.)分開地,相間隔地	(adv.)在旁邊;到(或向)旁邊	(adv.)壞;拙劣地	(adv.)砰地;驀地,突然;恰好,正好
aside	(adv.)在旁邊;到(或向)旁邊	(adv.)壞;拙劣地	(adv.)砰地;驀地,突然;恰好,正好	(adv.)僅僅;勉強
badly	(adv.)壞;拙劣地	(adv.)砰地;驀地,突然;恰好,正好	(adv.)僅僅;勉強	(adv.)(置於方位詞前)正
bang	(adv.)砰地;驀地,突然;恰好,正好	(adv.)僅僅;勉強	(adv.)(置於方位詞前)正	(adv.)公平地,公正地
barely	(adv.)僅僅;勉強	(adv.)(置於方位詞前)正	(adv.)公平地,公正地	(adv.)(距離,時間)更遠地;此外
due	(adv.)(置於方位詞前)正	(adv.)公平地,公正地	(adv.)(距離,時間)更遠地;此外	(adv.)永遠
fairly	(adv.)公平地,公正地	(adv.)(距離,時間)更遠地;此外	(adv.)永遠	(adv.)向前;向前方;向外
farther	(adv.)(距離,時間)更遠地;此外	(adv.)永遠	(adv.)向前;向前方;向外	(adv.)頻繁地;時時
forever	(adv.)永遠	(adv.)向前;向前方;向外	(adv.)頻繁地;時時	(adv.)確實,實在
forth	(adv.)向前;向前方;向外	(adv.)頻繁地;時時	(adv.)確實,實在	(adv.)在室內,在屋裡
hourly	(adv.)頻繁地;時時	(adv.)確實,實在	(adv.)在室內,在屋裡	(adv.)反而,卻
indeed	(adv.)確實,實在	(adv.)在室內,在屋裡	(adv.)反而,卻	(adv.)其間;同時
indoors	(adv.)在室內,在屋裡	(adv.)反而,卻	(adv.)其間;同時	(adv.)在對面,在對過
instead	(adv.)反而,卻	(adv.)其間;同時	(adv.)在對面,在對過	(adv.)在戶外,在野外,在露天;往戶外
meanwhile	(adv.)其間;同時	(adv.)在對面,在對過	(adv.)在戶外,在野外,在露天;往戶外	(adv.)足夠,充分地
opposite	(adv.)在對面,在對過	(adv.)在戶外,在野外,在露天;往戶外	(adv.)足夠,充分地	(adv.)突然地
outdoors	(adv.)在戶外,在野外,在露天;往戶外	(adv.)足夠,充分地	(adv.)突然地	(adv.)粗糙地,粗略地
plenty	(adv.)足夠,充分地	(adv.)突然地	(adv.)粗糙地,粗略地	(adv.)很少地
pop	(adv.)突然地	(adv.)粗糙地,粗略地	(adv.)很少地	(adv.)立刻,馬上;簡短地,扼要地
rough	(adv.)粗糙地,粗略地	(adv.)很少地	(adv.)立刻,馬上;簡短地,扼要地	(adv.)將來有一天
seldom	(adv.)很少地	(adv.)立刻,馬上;簡短地,扼要地	(adv.)將來有一天	(adv.)不知怎麼的
shortly	(adv.)立刻,馬上;簡短地,扼要地	(adv.)將來有一天	(adv.)不知怎麼的	(adv.)某一時候;日後,改天
someday	(adv.)將來有一天	(adv.)不知怎麼的	(adv.)某一時候;日後,改天	(adv.)有點,稍微
somehow	(adv.)不知怎麼的	(adv.)某一時候;日後,改天	(adv.)有點,稍微	(adv.)穩固地;穩定地
sometime	(adv.)某一時候;日後,改天	(adv.)有點,稍微	(adv.)穩固地;穩定地	(adv.)威脅地；脅迫地
somewhat	(adv.)有點,稍微	(adv.)穩固地;穩定地	(adv.)威脅地；脅迫地	(adv.)牢牢地
steady	(adv.)穩固地;穩定地	(adv.)威脅地；脅迫地	(adv.)牢牢地	(prep.)上(船,飛機,車);在(船,飛機,車)上
threateningly	(adv.)威脅地；脅迫地	(adv.)牢牢地	(prep.)上(船,飛機,車);在(船,飛機,車)上	(prep.)在...之下
tight	(adv.)牢牢地	(prep.)上(船,飛機,車);在(船,飛機,車)上	(prep.)在...之下	(prep.)到...之上;向...之上
aboard	(prep.)上(船,飛機,車);在(船,飛機,車)上	(prep.)在...之下	(prep.)到...之上;向...之上	(prep.)在...對面
beneath	(prep.)在...之下	(prep.)到...之上;向...之上	(prep.)在...對面	(conj.)如果不,除非
onto	(prep.)到...之上;向...之上	(prep.)在...對面	(conj.)如果不,除非	(n) 事故;災禍
opposite	(prep.)在...對面	(conj.)如果不,除非	(n) 事故;災禍	(n) 帳目;描述
unless	(conj.)如果不,除非	(n) 事故;災禍	(n) 帳目;描述	(n) (持續性地)疼痛
accident	(n) 事故;災禍	(n) 帳目;描述	(n) (持續性地)疼痛	(n) 成就
account	(n) 帳目;描述	(n) (持續性地)疼痛	(n) 成就	(n) 活動
ache	(n) (持續性地)疼痛	(n) 成就	(n) 活動	(n) 廣告
achievement	(n) 成就	(n) 活動	(n) 廣告	(n) 優點,優勢;利益
activity	(n) 活動	(n) 廣告	(n) 優點,優勢;利益	(n) 冒險;冒險活動
ad	(n) 廣告	(n) 優點,優勢;利益	(n) 冒險;冒險活動	(n) 廣告
advantage	(n) 優點,優勢;利益	(n) 冒險;冒險活動	(n) 廣告	(n) 忠告
adventure	(n) 冒險;冒險活動	(n) 廣告	(n) 忠告	(n) 顧問;指導教授
advertisement	(n) 廣告	(n) 忠告	(n) 顧問;指導教授	(n) adviser
advice	(n) 忠告	(n) 顧問;指導教授	(n) adviser	(n) 農業
adviser	(n) 顧問;指導教授	(n) adviser	(n) 農業	(n) 小巷,後街
advisor	(n) adviser	(n) 農業	(n) 小巷,後街	(n) 驚奇,詫異
agriculture	(n) 農業	(n) 小巷,後街	(n) 驚奇,詫異	(n) 大使
alley	(n) 小巷,後街	(n) 驚奇,詫異	(n) 大使	(n) 野心
amazement	(n) 驚奇,詫異	(n) 大使	(n) 野心	(n) 天使
ambassador	(n) 大使	(n) 野心	(n) 天使	(n) 角度
ambition	(n) 野心	(n) 天使	(n) 角度	(n) 宣佈
angel	(n) 天使	(n) 角度	(n) 宣佈	(n) 呼籲,懇求
angle	(n) 角度	(n) 宣佈	(n) 呼籲,懇求	(n) 靠近;方法,門徑
announcement	(n) 宣佈	(n) 呼籲,懇求	(n) 靠近;方法,門徑	(n) 養魚缸;水族館
appeal	(n) 呼籲,懇求	(n) 靠近;方法,門徑	(n) 養魚缸;水族館	(n) 算術,計算
approach	(n) 靠近;方法,門徑	(n) 養魚缸;水族館	(n) 算術,計算	(n) 到達
aquarium	(n) 養魚缸;水族館	(n) 算術,計算	(n) 到達	(n) 灰
arithmetic	(n) 算術,計算	(n) 到達	(n) 灰	(n) 運動員,體育家
arrival	(n) 到達	(n) 灰	(n) 運動員,體育家	(n) 企圖,嘗試
ash	(n) 灰	(n) 運動員,體育家	(n) 企圖,嘗試	(n) 態度
athlete	(n) 運動員,體育家	(n) 企圖,嘗試	(n) 態度	(n) 聽眾
attempt	(n) 企圖,嘗試	(n) 態度	(n) 聽眾	(n) 作者;作家
attitude	(n) 態度	(n) 聽眾	(n) 作者;作家	(n) 汽車
audience	(n) 聽眾	(n) 作者;作家	(n) 汽車	(n) 汽車
author	(n) 作者;作家	(n) 汽車	(n) 汽車	(n) 大街,大道
auto	(n) 汽車	(n) 汽車	(n) 大街,大道	(n) 平均;平均數
automobile	(n) 汽車	(n) 大街,大道	(n) 平均;平均數	(n) 獎;獎品
avenue	(n) 大街,大道	(n) 平均;平均數	(n) 獎;獎品	(n) 斧
average	(n) 平均;平均數	(n) 獎;獎品	(n) 斧	(n) ax
award	(n) 獎;獎品	(n) 斧	(n) ax	(n) 背景
ax	(n) 斧	(n) ax	(n) 背景	(n) 燻豬肉
axe	(n) ax	(n) 背景	(n) 燻豬肉	(n) 細菌
background	(n) 背景	(n) 燻豬肉	(n) 細菌	(n) 羽毛球
bacon	(n) 燻豬肉	(n) 細菌	(n) 羽毛球	(n) 行李
bacteria	(n) 細菌	(n) 羽毛球	(n) 行李	(n) 餌
badminton	(n) 羽毛球	(n) 行李	(n) 餌	(n) 平衡
baggage	(n) 行李	(n) 餌	(n) 平衡	(n) 繃帶
bait	(n) 餌	(n) 平衡	(n) 繃帶	(n) 猛擊;猛撞
balance	(n) 平衡	(n) 繃帶	(n) 猛擊;猛撞	(n) 穀倉;糧倉
bandage	(n) 繃帶	(n) 猛擊;猛撞	(n) 穀倉;糧倉	(n) 大桶
bang	(n) 猛擊;猛撞	(n) 穀倉;糧倉	(n) 大桶	(n) 海灣
barn	(n) 穀倉;糧倉	(n) 大桶	(n) 海灣	(n) 野獸
barrel	(n) 大桶	(n) 海灣	(n) 野獸	(n) 乞丐
bay	(n) 海灣	(n) 野獸	(n) 乞丐	(n) 存在;生存;生命;本質
beast	(n) 野獸	(n) 乞丐	(n) 存在;生存;生命;本質	(n) 腹部
beggar	(n) 乞丐	(n) 存在;生存;生命;本質	(n) 腹部	(n) 利益;好處
being	(n) 存在;生存;生命;本質	(n) 腹部	(n) 利益;好處	(n) 莓果
belly	(n) 腹部	(n) 利益;好處	(n) 莓果	(n) 聖經
benefit	(n) 利益;好處	(n) 莓果	(n) 聖經	(n) (美國)十億
berry	(n) 莓果	(n) 聖經	(n) (美國)十億	(n) 賓果遊戲
Bible	(n) 聖經	(n) (美國)十億	(n) 賓果遊戲	(n) (美國)小麵包
billion	(n) (美國)十億	(n) 賓果遊戲	(n) (美國)小麵包	(n) 責備,指責;責任
bingo	(n) 賓果遊戲	(n) (美國)小麵包	(n) 責備,指責;責任	(n) 毯子
biscuit	(n) (美國)小麵包	(n) 責備,指責;責任	(n) 毯子	(n) 女裝短上衣
blame	(n) 責備,指責;責任	(n) 毯子	(n) 女裝短上衣	(n) (長筒)靴
blanket	(n) 毯子	(n) 女裝短上衣	(n) (長筒)靴	(n) 邊緣;邊境
blouse	(n) 女裝短上衣	(n) (長筒)靴	(n) 邊緣;邊境	(n) 令人討厭的人(或事物)
boot	(n) (長筒)靴	(n) 邊緣;邊境	(n) 令人討厭的人(或事物)	(n) 煞車
border	(n) 邊緣;邊境	(n) 令人討厭的人(或事物)	(n) 煞車	(n) 黃銅
bore	(n) 令人討厭的人(或事物)	(n) 煞車	(n) 黃銅	(n) 勇敢,勇氣
brake	(n) 煞車	(n) 黃銅	(n) 勇敢,勇氣	(n) 乳房
brass	(n) 黃銅	(n) 勇敢,勇氣	(n) 乳房	(n) 呼吸,氣息;微風
bravery	(n) 勇敢,勇氣	(n) 乳房	(n) 呼吸,氣息;微風	(n) 微風
breast	(n) 乳房	(n) 呼吸,氣息;微風	(n) 微風	(n) 新娘
breath	(n) 呼吸,氣息;微風	(n) 微風	(n) 新娘	(n) 小河,小溪
breeze	(n) 微風	(n) 新娘	(n) 小河,小溪	(n) 掃帚
bride	(n) 新娘	(n) 小河,小溪	(n) 掃帚	(n) 眉頭;眉毛
brook	(n) 小河,小溪	(n) 掃帚	(n) 眉頭;眉毛	(n) 水泡,氣泡
broom	(n) 掃帚	(n) 眉頭;眉毛	(n) 水泡,氣泡	(n) 水桶
brow	(n) 眉頭;眉毛	(n) 水泡,氣泡	(n) 水桶	(n) 葉芽;花蕾;少女
bubble	(n) 水泡,氣泡	(n) 水桶	(n) 葉芽;花蕾;少女	(n) 預算
bucket	(n) 水桶	(n) 葉芽;花蕾;少女	(n) 預算	(n) 水牛
bud	(n) 葉芽;花蕾;少女	(n) 預算	(n) 水牛	(n) 自助餐
budget	(n) 預算	(n) 水牛	(n) 自助餐	(n) 電燈泡
buffalo	(n) 水牛	(n) 自助餐	(n) 電燈泡	(n) 公牛
buffet	(n) 自助餐	(n) 電燈泡	(n) 公牛	(n) 子彈
bulb	(n) 電燈泡	(n) 公牛	(n) 子彈	(n) 重擊;猛撞
bull	(n) 公牛	(n) 子彈	(n) 重擊;猛撞	(n) 串,束
bullet	(n) 子彈	(n) 重擊;猛撞	(n) 串,束	(n) 重擔;負擔
bump	(n) 重擊;猛撞	(n) 串,束	(n) 重擔;負擔	(n) 夜賊,破門盜竊者
bunch	(n) 串,束	(n) 重擔;負擔	(n) 夜賊,破門盜竊者	(n) 灌木
burden	(n) 重擔;負擔	(n) 夜賊,破門盜竊者	(n) 灌木	(n) 嗡嗡聲
