tone	(n) 音色,音調;色調	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的
sense	(v) 意識到;了解,領會	(v) 宣判;判決	(v) 服務	(v) 維修,保養
sentence	(v) 宣判;判決	(v) 服務	(v) 維修,保養	(v) 安放;沒入
serve	(v) 服務	(v) 維修,保養	(v) 安放;沒入	(v) 搖動;握(手)
service	(v) 維修,保養	(v) 安放;沒入	(v) 搖動;握(手)	(v) 使成形;塑造,製作
set	(v) 安放;沒入	(v) 搖動;握(手)	(v) 使成形;塑造,製作	(v) 照耀
shake	(v) 搖動;握(手)	(v) 使成形;塑造,製作	(v) 照耀	(v) 用船運;郵寄;解雇;上船,乘船
shape	(v) 使成形;塑造,製作	(v) 照耀	(v) 用船運;郵寄;解雇;上船,乘船	(v) 購物
shine	(v) 照耀	(v) 用船運;郵寄;解雇;上船,乘船	(v) 購物	(v) 肩起,挑起;擔負,承擔
ship	(v) 用船運;郵寄;解雇;上船,乘船	(v) 購物	(v) 肩起,挑起;擔負,承擔	(v) 呼叫
shop	(v) 購物	(v) 肩起,挑起;擔負,承擔	(v) 呼叫	(v) 表演;顯示
shoulder	(v) 肩起,挑起;擔負,承擔	(v) 呼叫	(v) 表演;顯示	(v) 關閉
shout	(v) 呼叫	(v) 表演;顯示	(v) 關閉	(v) 看見,發現;瞄準;察看
show	(v) 表演;顯示	(v) 關閉	(v) 看見,發現;瞄準;察看	(v) 唱歌
shut	(v) 關閉	(v) 看見,發現;瞄準;察看	(v) 唱歌	(v) 坐
sight	(v) 看見,發現;瞄準;察看	(v) 唱歌	(v) 坐	(v) 按一定尺寸製作;估算
sing	(v) 唱歌	(v) 坐	(v) 按一定尺寸製作;估算	(v) 植皮;癒合;脫皮
sit	(v) 坐	(v) 按一定尺寸製作;估算	(v) 植皮;癒合;脫皮	(v) 睡覺
size	(v) 按一定尺寸製作;估算	(v) 植皮;癒合;脫皮	(v) 睡覺	(v) 使慢,放慢
skin	(v) 植皮;癒合;脫皮	(v) 睡覺	(v) 使慢,放慢	(v) 聞
sleep	(v) 睡覺	(v) 使慢,放慢	(v) 聞	(v) 微笑
slow	(v) 使慢,放慢	(v) 聞	(v) 微笑	(v) 抽煙;冒煙
smell	(v) 聞	(v) 微笑	(v) 抽煙;冒煙	(v) 蛇行
smile	(v) 微笑	(v) 抽煙;冒煙	(v) 蛇行	(v) 下雪
smoke	(v) 抽煙;冒煙	(v) 蛇行	(v) 下雪	(v) 用肥皂擦洗;向...灌迷魂湯
snake	(v) 蛇行	(v) 下雪	(v) 用肥皂擦洗;向...灌迷魂湯	(v) 弄髒
snow	(v) 下雪	(v) 用肥皂擦洗;向...灌迷魂湯	(v) 弄髒	(v) 聽起來
soap	(v) 用肥皂擦洗;向...灌迷魂湯	(v) 弄髒	(v) 聽起來	(v) 使變酸;厭煩;變壞
soil	(v) 弄髒	(v) 聽起來	(v) 使變酸;厭煩;變壞	(v) 隔開
sound	(v) 聽起來	(v) 使變酸;厭煩;變壞	(v) 隔開	(v) 說;講
sour	(v) 使變酸;厭煩;變壞	(v) 隔開	(v) 說;講	(v) 拼字
space	(v) 隔開	(v) 說;講	(v) 拼字	(v) 花費(錢或時間)
speak	(v) 說;講	(v) 拼字	(v) 花費(錢或時間)	(v) 用匙舀;舀取
spell	(v) 拼字	(v) 花費(錢或時間)	(v) 用匙舀;舀取	(v) 炫耀;誇示;遊戲,;開玩笑,嘲弄;突變
spend	(v) 花費(錢或時間)	(v) 用匙舀;舀取	(v) 炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	(v) 站住; 堅持; 面對; 承擔...任務
spoon	(v) 用匙舀;舀取	(v) 炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	(v) 站住; 堅持; 面對; 承擔...任務	(v) 主演
sport	(v) 炫耀;誇示;遊戲,;開玩笑,嘲弄;突變	(v) 站住; 堅持; 面對; 承擔...任務	(v) 主演	(v) 開始
stand	(v) 站住; 堅持; 面對; 承擔...任務	(v) 主演	(v) 開始	(v) 陳述
star	(v) 主演	(v) 開始	(v) 陳述	(v) 駐紮,部署,配置
start	(v) 開始	(v) 陳述	(v) 駐紮,部署,配置	(v) 停留
state	(v) 陳述	(v) 駐紮,部署,配置	(v) 停留	(v) 跨(步);踏(腳)
station	(v) 駐紮,部署,配置	(v) 停留	(v) 跨(步);踏(腳)	(v) 用石頭鋪;用磨刀石磨
stay	(v) 停留	(v) 跨(步);踏(腳)	(v) 用石頭鋪;用磨刀石磨	(v) 停止
step	(v) 跨(步);踏(腳)	(v) 用石頭鋪;用磨刀石磨	(v) 停止	(v) 貯存;收存;供應;蓄有
stone	(v) 用石頭鋪;用磨刀石磨	(v) 停止	(v) 貯存;收存;供應;蓄有	(v) 學習;讀書
stop	(v) 停止	(v) 貯存;收存;供應;蓄有	(v) 學習;讀書	(v) 加糖於;粉飾
store	(v) 貯存;收存;供應;蓄有	(v) 學習;讀書	(v) 加糖於;粉飾	(v) 曬,曝; 曬太陽
study	(v) 學習;讀書	(v) 加糖於;粉飾	(v) 曬,曝; 曬太陽	(v) 使驚奇
sugar	(v) 加糖於;粉飾	(v) 曬,曝; 曬太陽	(v) 使驚奇	(v) 游泳
sun	(v) 曬,曝; 曬太陽	(v) 使驚奇	(v) 游泳	(v) 尾隨;盯梢;變少,縮小
surprise	(v) 使驚奇	(v) 游泳	(v) 尾隨;盯梢;變少,縮小	(v) 拿;帶;採用
swim	(v) 游泳	(v) 尾隨;盯梢;變少,縮小	(v) 拿;帶;採用	(v) 講話
tail	(v) 尾隨;盯梢;變少,縮小	(v) 拿;帶;採用	(v) 講話	(v) 嘗
take	(v) 拿;帶;採用	(v) 講話	(v) 嘗	(v) 教
talk	(v) 講話	(v) 嘗	(v) 教	(v) 告訴
taste	(v) 嘗	(v) 教	(v) 告訴	(v) 感謝
teach	(v) 教	(v) 告訴	(v) 感謝	(v) 想
tell	(v) 告訴	(v) 感謝	(v) 想	(v) 投;拋
thank	(v) 感謝	(v) 想	(v) 投;拋	(v) 加標籤於;開違規罰單
think	(v) 想	(v) 投;拋	(v) 加標籤於;開違規罰單	(v) 綁;繫
throw	(v) 投;拋	(v) 加標籤於;開違規罰單	(v) 綁;繫	(v) 記錄...的時間;使合拍子
ticket	(v) 加標籤於;開違規罰單	(v) 綁;繫	(v) 記錄...的時間;使合拍子	(v) 疲勞
tie	(v) 綁;繫	(v) 記錄...的時間;使合拍子	(v) 疲勞	(v) 使用工具
time	(v) 記錄...的時間;使合拍子	(v) 疲勞	(v) 使用工具	(v) 向高處升;達到頂點;高出;超越
tire	(v) 疲勞	(v) 使用工具	(v) 向高處升;達到頂點;高出;超越	(v) 總計,合計
tool	(v) 使用工具	(v) 向高處升;達到頂點;高出;超越	(v) 總計,合計	(v) 觸摸
top	(v) 向高處升;達到頂點;高出;超越	(v) 總計,合計	(v) 觸摸	(v) 玩弄,戲耍;調情,調戲
total	(v) 總計,合計	(v) 觸摸	(v) 玩弄,戲耍;調情,調戲	(v) 訓練,培養;瞄準; 接受訓練,鍛鍊
touch	(v) 觸摸	(v) 玩弄,戲耍;調情,調戲	(v) 訓練,培養;瞄準; 接受訓練,鍛鍊	(v) 絆,絆倒;失足,犯錯誤;旅行
toy	(v) 玩弄,戲耍;調情,調戲	(v) 訓練,培養;瞄準; 接受訓練,鍛鍊	(v) 絆,絆倒;失足,犯錯誤;旅行	(v) 麻煩;煩惱;費心
train	(v) 訓練,培養;瞄準; 接受訓練,鍛鍊	(v) 絆,絆倒;失足,犯錯誤;旅行	(v) 麻煩;煩惱;費心	(v) 配準,擺正
trip	(v) 絆,絆倒;失足,犯錯誤;旅行	(v) 麻煩;煩惱;費心	(v) 配準,擺正	(v) 試做
trouble	(v) 麻煩;煩惱;費心	(v) 配準,擺正	(v) 試做	(v) 轉
1	(v) 配準,擺正	(v) 試做	(v) 轉	(v) 了解
try	(v) 試做	(v) 轉	(v) 了解	(v) 提高;增加;舉起;突然站起
turn	(v) 轉	(v) 了解	(v) 提高;增加;舉起;突然站起	(v) 利用
understand	(v) 了解	(v) 提高;增加;舉起;突然站起	(v) 利用	(v) 察看;將...看成是
up	(v) 提高;增加;舉起;突然站起	(v) 利用	(v) 察看;將...看成是	(v) 訪問
use	(v) 利用	(v) 察看;將...看成是	(v) 訪問	(v) (用言語)表達,說出
view	(v) 察看;將...看成是	(v) 訪問	(v) (用言語)表達,說出	(v) 等候
visit	(v) 訪問	(v) (用言語)表達,說出	(v) 等候	(v) 走路
voice	(v) (用言語)表達,說出	(v) 等候	(v) 走路	(v) 用牆圍住
wait	(v) 等候	(v) 走路	(v) 用牆圍住	(v) 想要
walk	(v) 走路	(v) 用牆圍住	(v) 想要	(v) 戰爭,打仗;鬥爭;對抗
wall	(v) 用牆圍住	(v) 想要	(v) 戰爭,打仗;鬥爭;對抗	(v) 使暖和
want	(v) 想要	(v) 戰爭,打仗;鬥爭;對抗	(v) 使暖和	(v) 洗
war	(v) 戰爭,打仗;鬥爭;對抗	(v) 使暖和	(v) 洗	(v) 浪費
warm	(v) 使暖和	(v) 洗	(v) 浪費	(v) 注意看
wash	(v) 洗	(v) 浪費	(v) 注意看	(v) 給...澆水;加水稀釋;流口水
waste	(v) 浪費	(v) 注意看	(v) 給...澆水;加水稀釋;流口水	(v) 穿著, 磨損, 使力竭
watch	(v) 注意看	(v) 給...澆水;加水稀釋;流口水	(v) 穿著, 磨損, 使力竭	(v) 經受到;使風化;損壞
water	(v) 給...澆水;加水稀釋;流口水	(v) 穿著, 磨損, 使力竭	(v) 經受到;使風化;損壞	(v) 度週末
wear	(v) 穿著, 磨損, 使力竭	(v) 經受到;使風化;損壞	(v) 度週末	(v) 稱...的重量
weather	(v) 經受到;使風化;損壞	(v) 度週末	(v) 稱...的重量	(v) 歡迎
weekend	(v) 度週末	(v) 稱...的重量	(v) 歡迎	(v) 消磨(時光),輕鬆地度過
weigh	(v) 稱...的重量	(v) 歡迎	(v) 消磨(時光),輕鬆地度過	(v) 將;願,要;能;願意
welcome	(v) 歡迎	(v) 消磨(時光),輕鬆地度過	(v) 將;願,要;能;願意	(v) 贏得
while	(v) 消磨(時光),輕鬆地度過	(v) 將;願,要;能;願意	(v) 贏得	(v) 纏繞;包,裹;蜿蜒;迂迴
will	(v) 將;願,要;能;願意	(v) 贏得	(v) 纏繞;包,裹;蜿蜒;迂迴	(v) 喝酒
win	(v) 贏得	(v) 纏繞;包,裹;蜿蜒;迂迴	(v) 喝酒	(v) 祝福
wind	(v) 纏繞;包,裹;蜿蜒;迂迴	(v) 喝酒	(v) 祝福	(v) 用言詞表達
wine	(v) 喝酒	(v) 祝福	(v) 用言詞表達	(v) 工作; 運轉
wish	(v) 祝福	(v) 用言詞表達	(v) 工作; 運轉	(v) 蠕動;潛行;鑽入
word	(v) 用言詞表達	(v) 工作; 運轉	(v) 蠕動;潛行;鑽入	(v) 擔心
work	(v) 工作; 運轉	(v) 蠕動;潛行;鑽入	(v) 擔心	(v) 最壞地,最惡劣地;最不利地
worm	(v) 蠕動;潛行;鑽入	(v) 擔心	(v) 最壞地,最惡劣地;最不利地	(v) 寫
worry	(v) 擔心	(v) 最壞地,最惡劣地;最不利地	(v) 寫	(v) 冤枉,委屈;無禮地對待
worst	(v) 最壞地,最惡劣地;最不利地	(v) 寫	(v) 冤枉,委屈;無禮地對待	(v) 使變黃,使發黃
write	(v) 寫	(v) 冤枉,委屈;無禮地對待	(v) 使變黃,使發黃	(v) 把...調整歸零
wrong	(v) 冤枉,委屈;無禮地對待	(v) 使變黃,使發黃	(v) 把...調整歸零	(v) 能
yellow	(v) 使變黃,使發黃	(v) 把...調整歸零	(v) 能	(v) 不能
zero	(v) 把...調整歸零	(v) 能	(v) 不能	(v) 構成否定句,疑問句,或強調句
can	(v) 能	(v) 不能	(v) 構成否定句,疑問句,或強調句	(v) 已經
cannot	(v) 不能	(v) 構成否定句,疑問句,或強調句	(v) 已經	(v) 可能
do	(v) 構成否定句,疑問句,或強調句	(v) 已經	(v) 可能	(v) 必須
have	(v) 已經	(v) 可能	(v) 必須	(v) (用於疑問句和否定句)需要,必須
may	(v) 可能	(v) 必須	(v) (用於疑問句和否定句)需要,必須	(v) 將;應該
must	(v) 必須	(v) (用於疑問句和否定句)需要,必須	(v) 將;應該	(v) 將
need	(v) (用於疑問句和否定句)需要,必須	(v) 將;應該	(v) 將	(adv.)在四周;在附近;大約
shall	(v) 將;應該	(v) 將	(adv.)在四周;在附近;大約	(adv.)在上面;在上文;更高
will	(v) 將	(adv.)在四周;在附近;大約	(adv.)在上面;在上文;更高	(adv.)橫過;寬;在對面;向對面
about	(adv.)在四周;在附近;大約	(adv.)在上面;在上文;更高	(adv.)橫過;寬;在對面;向對面	(adv.)以後,之後;在後面,隨後
above	(adv.)在上面;在上文;更高	(adv.)橫過;寬;在對面;向對面	(adv.)以後,之後;在後面,隨後	(adv.)再一次
across	(adv.)橫過;寬;在對面;向對面	(adv.)以後,之後;在後面,隨後	(adv.)再一次	(adv.)以前
after	(adv.)以後,之後;在後面,隨後	(adv.)再一次	(adv.)以前	(adv.)在前;向前;預先;事前
again	(adv.)再一次	(adv.)以前	(adv.)在前;向前;預先;事前	(adv.)完全地;(比分等)雙方相等
ago	(adv.)以前	(adv.)在前;向前;預先;事前	(adv.)完全地;(比分等)雙方相等	(adv.)幾乎
ahead	(adv.)在前;向前;預先;事前	(adv.)完全地;(比分等)雙方相等	(adv.)幾乎	(adv.)單獨地;獨自地
all	(adv.)完全地;(比分等)雙方相等	(adv.)幾乎	(adv.)單獨地;獨自地	(adv.)向前;一起;帶著;來到;去到
almost	(adv.)幾乎	(adv.)單獨地;獨自地	(adv.)向前;一起;帶著;來到;去到	(adv.)已經
alone	(adv.)單獨地;獨自地	(adv.)向前;一起;帶著;來到;去到	(adv.)已經	(adv.)也
along	(adv.)向前;一起;帶著;來到;去到	(adv.)已經	(adv.)也	(adv.)總是
already	(adv.)已經	(adv.)也	(adv.)總是	(adv.)(用於疑問句,否定句,if子句中)少許,稍微
also	(adv.)也	(adv.)總是	(adv.)(用於疑問句,否定句,if子句中)少許,稍微	(adv.)到處,四處;周圍,附近;環繞;大約
always	(adv.)總是	(adv.)(用於疑問句,否定句,if子句中)少許,稍微	(adv.)到處,四處;周圍,附近;環繞;大約	(adv.)跟...一樣地,同樣地;如同;例如
any	(adv.)(用於疑問句,否定句,if子句中)少許,稍微	(adv.)到處,四處;周圍,附近;環繞;大約	(adv.)跟...一樣地,同樣地;如同;例如	(adv.)離開
around	(adv.)到處,四處;周圍,附近;環繞;大約	(adv.)跟...一樣地,同樣地;如同;例如	(adv.)離開	(adv.)回原處
as	(adv.)跟...一樣地,同樣地;如同;例如	(adv.)離開	(adv.)回原處	(adv.)較早;以前;曾經;在前;向前
away	(adv.)離開	(adv.)回原處	(adv.)較早;以前;曾經;在前;向前	(adv.)在背後;向背後;遲;落後
back	(adv.)回原處	(adv.)較早;以前;曾經;在前;向前	(adv.)在背後;向背後;遲;落後	(adv.)在下面;到下面
before	(adv.)較早;以前;曾經;在前;向前	(adv.)在背後;向背後;遲;落後	(adv.)在下面;到下面	(adv.)最好地;最適當地;最;極
behind	(adv.)在背後;向背後;遲;落後	(adv.)在下面;到下面	(adv.)最好地;最適當地;最;極	(adv.)更好地;更適當地
below	(adv.)在下面;到下面	(adv.)最好地;最適當地;最;極	(adv.)更好地;更適當地	(adv.)在中間;介乎兩者之間
best	(adv.)最好地;最適當地;最;極	(adv.)更好地;更適當地	(adv.)在中間;介乎兩者之間	(adv.)並;又;兩者皆
better	(adv.)更好地;更適當地	(adv.)在中間;介乎兩者之間	(adv.)並;又;兩者皆	(adv.)明亮地;歡快地
between	(adv.)在中間;介乎兩者之間	(adv.)並;又;兩者皆	(adv.)明亮地;歡快地	(adv.)只,僅僅,才;絕對地
both	(adv.)並;又;兩者皆	(adv.)明亮地;歡快地	(adv.)只,僅僅,才;絕對地	(adv.)經過;過去;在旁邊
bright	(adv.)明亮地;歡快地	(adv.)只,僅僅,才;絕對地	(adv.)經過;過去;在旁邊	(adv.)完全地,全然地;乾淨地
but	(adv.)只,僅僅,才;絕對地	(adv.)經過;過去;在旁邊	(adv.)完全地,全然地;乾淨地	(adv.)清晰地,明瞭地
by	(adv.)經過;過去;在旁邊	(adv.)完全地,全然地;乾淨地	(adv.)清晰地,明瞭地	(adv.)接近,靠近地;緊密地,緊緊地
clean	(adv.)完全地,全然地;乾淨地	(adv.)清晰地,明瞭地	(adv.)接近,靠近地;緊密地,緊緊地	(adv.)疼愛地;高價地,昂貴地
clear	(adv.)清晰地,明瞭地	(adv.)接近,靠近地;緊密地,緊緊地	(adv.)疼愛地;高價地,昂貴地	(adv.)深深地;晚,遲
close	(adv.)接近,靠近地;緊密地,緊緊地	(adv.)疼愛地;高價地,昂貴地	(adv.)深深地;晚,遲	(adv.)筆直地;直接地;直達地
dear	(adv.)疼愛地;高價地,昂貴地	(adv.)深深地;晚,遲	(adv.)筆直地;直接地;直達地	(adv.)向下;下降;(境況)變差;減少,減弱
deep	(adv.)深深地;晚,遲	(adv.)筆直地;直接地;直達地	(adv.)向下;下降;(境況)變差;減少,減弱	(adv.)樓下地
direct	(adv.)筆直地;直接地;直達地	(adv.)向下;下降;(境況)變差;減少,減弱	(adv.)樓下地	(adv.)各個(地);各自(地);每一個
down	(adv.)向下;下降;(境況)變差;減少,減弱	(adv.)樓下地	(adv.)各個(地);各自(地);每一個	(adv.)早;提早
downstairs	(adv.)樓下地	(adv.)各個(地);各自(地);每一個	(adv.)早;提早	(adv.)向東方
each	(adv.)各個(地);各自(地);每一個	(adv.)早;提早	(adv.)向東方	(adv.)也
early	(adv.)早;提早	(adv.)向東方	(adv.)也	(adv.)其他,另外;否則,要不然
east	(adv.)向東方	(adv.)也	(adv.)其他,另外;否則,要不然	(adv.)足夠地;充分地;很,十分
either	(adv.)也	(adv.)其他,另外;否則,要不然	(adv.)足夠地;充分地;很,十分	(adv.)即使
else	(adv.)其他,另外;否則,要不然	(adv.)足夠地;充分地;很,十分	(adv.)即使	(adv.)從來;曾經
enough	(adv.)足夠地;充分地;很,十分	(adv.)即使	(adv.)從來;曾經	(adv.)遠;遙遠地;久遠地
even	(adv.)即使	(adv.)從來;曾經	(adv.)遠;遙遠地;久遠地	(adv.)快,迅速;緊緊地,牢固地;接近著
ever	(adv.)從來;曾經	(adv.)遠;遙遠地;久遠地	(adv.)快,迅速;緊緊地,牢固地;接近著	(adv.)細微地;精巧地;很好地;妙
far	(adv.)遠;遙遠地;久遠地	(adv.)快,迅速;緊緊地,牢固地;接近著	(adv.)細微地;精巧地;很好地;妙	(adv.)先,首先;第一;首次
fast	(adv.)快,迅速;緊緊地,牢固地;接近著	(adv.)細微地;精巧地;很好地;妙	(adv.)先,首先;第一;首次	(adv.)免費地;無約束地;鬆開著;脫開著
fine	(adv.)細微地;精巧地;很好地;妙	(adv.)先,首先;第一;首次	(adv.)免費地;無約束地;鬆開著;脫開著	(adv.)(非正式) well
first	(adv.)先,首先;第一;首次	(adv.)免費地;無約束地;鬆開著;脫開著	(adv.)(非正式) well	(adv.)部分地;相當地;一半地;幾乎
free	(adv.)免費地;無約束地;鬆開著;脫開著	(adv.)(非正式) well	(adv.)部分地;相當地;一半地;幾乎	(adv.)辛苦地;猛烈地;牢固地
good	(adv.)(非正式) well	(adv.)部分地;相當地;一半地;幾乎	(adv.)辛苦地;猛烈地;牢固地	(adv.)在這裡
half	(adv.)部分地;相當地;一半地;幾乎	(adv.)辛苦地;猛烈地;牢固地	(adv.)在這裡	(adv.)高;強烈地;高聲地
hard	(adv.)辛苦地;猛烈地;牢固地	(adv.)在這裡	(adv.)高;強烈地;高聲地	(adv.)在家;回家;到家
here	(adv.)在這裡	(adv.)高;強烈地;高聲地	(adv.)在家;回家;到家	(adv.)如何
high	(adv.)高;強烈地;高聲地	(adv.)在家;回家;到家	(adv.)如何	(adv.)進;在裡頭;在家
home	(adv.)在家;回家;到家	(adv.)如何	(adv.)進;在裡頭;在家	(adv.)在裡面;往裡面
how	(adv.)如何	(adv.)進;在裡頭;在家	(adv.)在裡面;往裡面	(adv.)正好;剛才
in	(adv.)進;在裡頭;在家	(adv.)在裡面;往裡面	(adv.)正好;剛才	(adv.)最後地
inside	(adv.)在裡面;往裡面	(adv.)正好;剛才	(adv.)最後地	(adv.)遲到,來不及;晚
just	(adv.)正好;剛才	(adv.)最後地	(adv.)遲到,來不及;晚	(adv.)最小;最少;最不
last	(adv.)最後地	(adv.)遲到,來不及;晚	(adv.)最小;最少;最不	(adv.)在左邊;向左
late	(adv.)遲到,來不及;晚	(adv.)最小;最少;最不	(adv.)在左邊;向左	(adv.)較小地,較少地;不如
least	(adv.)最小;最少;最不	(adv.)在左邊;向左	(adv.)較小地,較少地;不如	(adv.)輕地;輕裝地
left	(adv.)在左邊;向左	(adv.)較小地,較少地;不如	(adv.)輕地;輕裝地	(adv.)很可能
less	(adv.)較小地,較少地;不如	(adv.)輕地;輕裝地	(adv.)很可能	(adv.)一點點
light	(adv.)輕地;輕裝地	(adv.)很可能	(adv.)一點點	(adv.)長久地;始終
likely	(adv.)很可能	(adv.)一點點	(adv.)長久地;始終	(adv.)大聲地,響亮地
little	(adv.)一點點	(adv.)長久地;始終	(adv.)大聲地,響亮地	(adv.)低,向下地;低聲地;低價地
long	(adv.)長久地;始終	(adv.)大聲地,響亮地	(adv.)低,向下地;低聲地;低價地	(adv.)可能;也許
loud	(adv.)大聲地,響亮地	(adv.)低,向下地;低聲地;低價地	(adv.)可能;也許	(adv.)更多;另外;再
low	(adv.)低,向下地;低聲地;低價地	(adv.)可能;也許	(adv.)更多;另外;再	(adv.)最;最多;非常,很
maybe	(adv.)可能;也許	(adv.)更多;另外;再	(adv.)最;最多;非常,很	(adv.)非常;很;差不多,幾乎
more	(adv.)更多;另外;再	(adv.)最;最多;非常,很	(adv.)非常;很;差不多,幾乎	(adv.)近地
most	(adv.)最;最多;非常,很	(adv.)非常;很;差不多,幾乎	(adv.)近地	(adv.)永不
much	(adv.)非常;很;差不多,幾乎	(adv.)近地	(adv.)永不	(adv.)接下去,然後;下次;第二
near	(adv.)近地	(adv.)永不	(adv.)接下去,然後;下次;第二	(adv.)不
never	(adv.)永不	(adv.)接下去,然後;下次;第二	(adv.)不	(adv.)(否定的答話)不是;沒有;不可以
next	(adv.)接下去,然後;下次;第二	(adv.)不	(adv.)(否定的答話)不是;沒有;不可以	(adv.)向北方
no	(adv.)不	(adv.)(否定的答話)不是;沒有;不可以	(adv.)向北方	(adv.)不
nope	(adv.)(否定的答話)不是;沒有;不可以	(adv.)向北方	(adv.)不	(adv.)現在
north	(adv.)向北方	(adv.)不	(adv.)現在	(adv.)尚可;挺好;對吧
not	(adv.)不	(adv.)現在	(adv.)尚可;挺好;對吧	(adv.)脫下
now	(adv.)現在	(adv.)尚可;挺好;對吧	(adv.)脫下	(adv.)常常
O.K.	(adv.)尚可;挺好;對吧	(adv.)脫下	(adv.)常常	(adv.)尚可;挺好;對吧
off	(adv.)脫下	(adv.)常常	(adv.)尚可;挺好;對吧	(adv.)對,很好地;不錯
often	(adv.)常常	(adv.)尚可;挺好;對吧	(adv.)對,很好地;不錯	(adv.)繼續;向前;開著;;在進行中
OK	(adv.)尚可;挺好;對吧	(adv.)對,很好地;不錯	(adv.)繼續;向前;開著;;在進行中	(adv.)一次
okay	(adv.)對,很好地;不錯	(adv.)繼續;向前;開著;;在進行中	(adv.)一次	(adv.)只,僅僅,才;不料;反而
on	(adv.)繼續;向前;開著;;在進行中	(adv.)一次	(adv.)只,僅僅,才;不料;反而	(adv.)在外地
once	(adv.)一次	(adv.)只,僅僅,才;不料;反而	(adv.)在外地	(adv.)外面地
only	(adv.)只,僅僅,才;不料;反而	(adv.)在外地	(adv.)外面地	(adv.)在上方;越過;過分,太;再一次
out	(adv.)在外地	(adv.)外面地	(adv.)在上方;越過;過分,太;再一次	(adv.)過;經過;越過
outside	(adv.)外面地	(adv.)在上方;越過;過分,太;再一次	(adv.)過;經過;越過	(adv.)或許;可能
over	(adv.)在上方;越過;過分,太;再一次	(adv.)過;經過;越過	(adv.)或許;可能	(adv.)十分地
past	(adv.)過;經過;越過	(adv.)或許;可能	(adv.)十分地	(adv.)快,迅速地
perhaps	(adv.)或許;可能	(adv.)十分地	(adv.)快,迅速地	(adv.)完全地;相當
pretty	(adv.)十分地	(adv.)快,迅速地	(adv.)完全地;相當	(adv.)向右地;馬上
quick	(adv.)快,迅速地	(adv.)完全地;相當	(adv.)向右地;馬上	(adv.)環繞地;循環地;在附近;逐一,挨次
quite	(adv.)完全地;相當	(adv.)向右地;馬上	(adv.)環繞地;循環地;在附近;逐一,挨次	(adv.)同樣地
right	(adv.)向右地;馬上	(adv.)環繞地;循環地;在附近;逐一,挨次	(adv.)同樣地	(adv.)居第二位;第二,其次
round	(adv.)環繞地;循環地;在附近;逐一,挨次	(adv.)同樣地	(adv.)居第二位;第二,其次	(adv.)整(指時刻);銳利地;機警地
same	(adv.)同樣地	(adv.)居第二位;第二,其次	(adv.)整(指時刻);銳利地;機警地	(adv.)此後;之前,以前
second	(adv.)居第二位;第二,其次	(adv.)整(指時刻);銳利地;機警地	(adv.)此後;之前,以前	(adv.)慢慢地;遲遲地;慢了地
sharp	(adv.)整(指時刻);銳利地;機警地	(adv.)此後;之前,以前	(adv.)慢慢地;遲遲地;慢了地	(adv.)小聲地;小小地,細小地
since	(adv.)此後;之前,以前	(adv.)慢慢地;遲遲地;慢了地	(adv.)小聲地;小小地,細小地	(adv.)這麼;也如此
slow	(adv.)慢慢地;遲遲地;慢了地	(adv.)小聲地;小小地,細小地	(adv.)這麼;也如此	(adv.)有時候
small	(adv.)小聲地;小小地,細小地	(adv.)這麼;也如此	(adv.)有時候	(adv.)即刻;不久
so	(adv.)這麼;也如此	(adv.)有時候	(adv.)即刻;不久	(adv.)向南方
sometimes	(adv.)有時候	(adv.)即刻;不久	(adv.)向南方	(adv.)仍然
soon	(adv.)即刻;不久	(adv.)向南方	(adv.)仍然	(adv.)很;極
south	(adv.)向南方	(adv.)仍然	(adv.)很;極	(adv.)的確;一定;當然
still	(adv.)仍然	(adv.)很;極	(adv.)的確;一定;當然	(adv.)那樣,那麼
super	(adv.)很;極	(adv.)的確;一定;當然	(adv.)那樣,那麼	(adv.)當時;之後;那麼
sure	(adv.)的確;一定;當然	(adv.)那樣,那麼	(adv.)當時;之後;那麼	(adv.)在那裡
that	(adv.)那樣,那麼	(adv.)當時;之後;那麼	(adv.)在那裡	(adv.)第三名
then	(adv.)當時;之後;那麼	(adv.)在那裡	(adv.)第三名	(adv.)這麼,這樣地
there	(adv.)在那裡	(adv.)第三名	(adv.)這麼,這樣地	(adv.)(一般放在句尾)然而,還是
third	(adv.)第三名	(adv.)這麼,這樣地	(adv.)(一般放在句尾)然而,還是	(adv.)如此,這樣
this	(adv.)這麼,這樣地	(adv.)(一般放在句尾)然而,還是	(adv.)如此,這樣	(adv.)今天
though	(adv.)(一般放在句尾)然而,還是	(adv.)如此,這樣	(adv.)今天	(adv.)一同
thus	(adv.)如此,這樣	(adv.)今天	(adv.)一同	(adv.)明天
today	(adv.)今天	(adv.)一同	(adv.)明天	(adv.)今夜;今晚
together	(adv.)一同	(adv.)明天	(adv.)今夜;今晚	(adv.)也是;過於
tomorrow	(adv.)明天	(adv.)今夜;今晚	(adv.)也是;過於	(adv.)準確地;真實地
tonight	(adv.)今夜;今晚	(adv.)也是;過於	(adv.)準確地;真實地	(adv.)兩次
too	(adv.)也是;過於	(adv.)準確地;真實地	(adv.)兩次	(adv.)在下面,在下方;從屬地
1	(adv.)準確地;真實地	(adv.)兩次	(adv.)在下面,在下方;從屬地	(adv.)向上
