assistant	助手	生物;有機體	發言人	女發言人
oppression	壓迫;壓制	選擇;選擇權	隨意的;非必須的	嚴峻考驗;折磨
option	選擇;選擇權	隨意的;非必須的	嚴峻考驗;折磨	整齊的;有條理的
optional	隨意的;非必須的	嚴峻考驗;折磨	整齊的;有條理的	生物;有機體
ordeal	嚴峻考驗;折磨	整齊的;有條理的	生物;有機體	創造力;獨創性;創見;創舉
orderly	整齊的;有條理的	生物;有機體	創造力;獨創性;創見;創舉	發源;來自
organism	生物;有機體	創造力;獨創性;創見;創舉	發源;來自	爆發;暴動
originality	創造力;獨創性;創見;創舉	發源;來自	爆發;暴動	裝備;配備;供給
originate	發源;來自	爆發;暴動	裝備;配備;供給	遠足;郊遊
outbreak	爆發;暴動	裝備;配備;供給	遠足;郊遊	宣佈...為不合法;禁止
outfit	裝備;配備;供給	遠足;郊遊	宣佈...為不合法;禁止	插座
outing	遠足;郊遊	宣佈...為不合法;禁止	插座	觀點;展望;風光;瞭望
outlaw	宣佈...為不合法;禁止	插座	觀點;展望;風光;瞭望	數量上超過
outlet	插座	觀點;展望;風光;瞭望	數量上超過	激起義憤;激怒;施暴行
outlook	觀點;展望;風光;瞭望	數量上超過	激起義憤;激怒;施暴行	可恥的;無法無天的;令人吃驚的
outnumber	數量上超過	激起義憤;激怒;施暴行	可恥的;無法無天的;令人吃驚的	全部的;直率的;公開的
outrage	激起義憤;激怒;施暴行	可恥的;無法無天的;令人吃驚的	全部的;直率的;公開的	最初;開始;開端
outrageous	可恥的;無法無天的;令人吃驚的	全部的;直率的;公開的	最初;開始;開端	在上頭的;高架的
outright	全部的;直率的;公開的	最初;開始;開端	在上頭的;高架的	與...部分重疊
outset	最初;開始;開端	在上頭的;高架的	與...部分重疊	推翻
overhead	在上頭的;高架的	與...部分重疊	推翻	契約;協定
overlap	與...部分重疊	推翻	契約;協定	小冊子
overturn	推翻	契約;協定	小冊子	使麻痺;使癱瘓
pact	契約;協定	小冊子	使麻痺;使癱瘓	議會
pamphlet	小冊子	使麻痺;使癱瘓	議會	可憐的
paralyze	使麻痺;使癱瘓	議會	可憐的	愛國的
parliament	議會	可憐的	愛國的	掌上電腦
pathetic	可憐的	愛國的	掌上電腦	沿街叫賣
patriotic	愛國的	掌上電腦	沿街叫賣	徒步的;行人的
PDA/personaldigital	掌上電腦	沿街叫賣	徒步的;行人的	半島
peddle	沿街叫賣	徒步的;行人的	半島	發給...退休金(或養老金等)
pedestrian	徒步的;行人的	半島	發給...退休金(或養老金等)	感知;察覺;認知
peninsula	半島	發給...退休金(或養老金等)	感知;察覺;認知	堅持不懈;堅忍不拔
pension	發給...退休金(或養老金等)	感知;察覺;認知	堅持不懈;堅忍不拔	堅持不懈;不屈不撓
perception	感知;察覺;認知	堅持不懈;堅忍不拔	堅持不懈;不屈不撓	堅持;固執;持續
perseverance	堅持不懈;堅忍不拔	堅持不懈;不屈不撓	堅持;固執;持續	堅持不懈的;固執的;持續的
persevere	堅持不懈;不屈不撓	堅持;固執;持續	堅持不懈的;固執的;持續的	透視的,透視畫的
persistence	堅持;固執;持續	堅持不懈的;固執的;持續的	透視的,透視畫的	殺蟲劑
persistent	堅持不懈的;固執的;持續的	透視的,透視畫的	殺蟲劑	石油
perspective	透視的,透視畫的	殺蟲劑	石油	小的;瑣碎的;氣量小的
pesticide	殺蟲劑	石油	小的;瑣碎的;氣量小的	配藥者;藥劑師
petroleum	石油	小的;瑣碎的;氣量小的	配藥者;藥劑師	製藥業;藥房
petty	小的;瑣碎的;氣量小的	配藥者;藥劑師	製藥業;藥房	使定相;使同步;分階段實行
pharmacist	配藥者;藥劑師	製藥業;藥房	使定相;使同步;分階段實行	攝影(術)的;攝影用的
pharmacy	製藥業;藥房	使定相;使同步;分階段實行	攝影(術)的;攝影用的	圖畫般的;美麗的
phase	使定相;使同步;分階段實行	攝影(術)的;攝影用的	圖畫般的;美麗的	刺穿;穿透
photographic	攝影(術)的;攝影用的	圖畫般的;美麗的	刺穿;穿透	虔誠;孝順
picturesque	圖畫般的;美麗的	刺穿;穿透	虔誠;孝順	虔誠的;篤信的
pierce	刺穿;穿透	虔誠;孝順	虔誠的;篤信的	導管;輸油管
piety	虔誠;孝順	虔誠的;篤信的	導管;輸油管	投手
pious	虔誠的;篤信的	導管;輸油管	投手	境況;困境
pipeline	導管;輸油管	投手	境況;困境	肺炎
pitcher	投手	境況;困境	肺炎	水煮
plight	境況;困境	肺炎	水煮	煮蛋用的鍋;蒸鍋;偷獵者
pneumonia	肺炎	水煮	煮蛋用的鍋;蒸鍋;偷獵者	受污染的;造成污染的
poach	水煮	煮蛋用的鍋;蒸鍋;偷獵者	受污染的;造成污染的	仔細考慮;衡量;回想
poacher	煮蛋用的鍋;蒸鍋;偷獵者	受污染的;造成污染的	仔細考慮;衡量;回想	居住於;移民於
pollutant	受污染的;造成污染的	仔細考慮;衡量;回想	居住於;移民於	擺出姿勢
ponder	仔細考慮;衡量;回想	居住於;移民於	擺出姿勢	在～之前
populate	居住於;移民於	擺出姿勢	在～之前	先例
posture	擺出姿勢	在～之前	先例	精確(性);準確(性);清晰(性)
precede	在～之前	先例	精確(性);準確(性);清晰(性)	前任;祖先
precedent	先例	精確(性);準確(性);清晰(性)	前任;祖先	預言;預報
precision	精確(性);準確(性);清晰(性)	前任;祖先	預言;預報	為...加序言(或開場白)
predecessor	前任;祖先	預言;預報	為...加序言(或開場白)	使抱偏見;使懷成見
prediction	預言;預報	為...加序言(或開場白)	使抱偏見;使懷成見	預備的;初步的
preface	為...加序言(或開場白)	使抱偏見;使懷成見	預備的;初步的	過早的;草率的;早產的
prejudice	使抱偏見;使懷成見	預備的;初步的	過早的;草率的;早產的	首位的;最早的
preliminary	預備的;初步的	過早的;草率的;早產的	首位的;最早的	規定;指定;開(藥方)
premature	過早的;草率的;早產的	首位的;最早的	規定;指定;開(藥方)	處方
premier	首位的;最早的	規定;指定;開(藥方)	處方	主持;管轄
prescribe	規定;指定;開(藥方)	處方	主持;管轄	公司總裁(大學校長等)的職位
prescription	處方	主持;管轄	公司總裁(大學校長等)的職位	總統的;總統選舉的
preside	主持;管轄	公司總裁(大學校長等)的職位	總統的;總統選舉的	名望;聲望
presidency	公司總裁(大學校長等)的職位	總統的;總統選舉的	名望;聲望	假定;認為;擅自(做)
presidential	總統的;總統選舉的	名望;聲望	假定;認為;擅自(做)	預防的;防病的
prestige	名望;聲望	假定;認為;擅自(做)	預防的;防病的	生產力;生產率
presume	假定;認為;擅自(做)	預防的;防病的	生產力;生產率	精通;熟練
preventive	預防的;防病的	生產力;生產率	精通;熟練	深刻的
productivity	生產力;生產率	精通;熟練	深刻的	逐漸的
proficiency	精通;熟練	深刻的	逐漸的	禁止
profound	深刻的	逐漸的	禁止	禁止
progressive	逐漸的	禁止	禁止	規劃;投影;投射;預測
prohibit	禁止	禁止	規劃;投影;投射;預測	有...傾向的;俯伏的
prohibition	禁止	規劃;投影;投射;預測	有...傾向的;俯伏的	宣傳
projection	規劃;投影;投射;預測	有...傾向的;俯伏的	宣傳	推進;推動;驅策
prone	有...傾向的;俯伏的	宣傳	推進;推動;驅策	螺旋槳;推進器
propaganda	宣傳	推進;推動;驅策	螺旋槳;推進器	散文;平凡
propel	推進;推動;驅策	螺旋槳;推進器	散文;平凡	對...起訴;告發
propeller	螺旋槳;推進器	散文;平凡	對...起訴;告發	起訴;告發
prose	散文;平凡	對...起訴;告發	起訴;告發	預期的;盼望中的;未來的
prosecute	對...起訴;告發	起訴;告發	預期的;盼望中的;未來的	省的
prosecution	起訴;告發	預期的;盼望中的;未來的	省的	激怒
prospective	預期的;盼望中的;未來的	省的	激怒	(野獸等)四處覓食;徘徊
provincial	省的	激怒	(野獸等)四處覓食;徘徊	準時的
provoke	激怒	(野獸等)四處覓食;徘徊	準時的	淨化
prowl	(野獸等)四處覓食;徘徊	準時的	淨化	純淨
punctual	準時的	淨化	純淨	資格,能力
purify	淨化	純淨	資格,能力	喜歡爭吵的
purity	純淨	資格,能力	喜歡爭吵的	壓制
qualification	資格,能力	喜歡爭吵的	壓制	詢問
quarrelsome	喜歡爭吵的	壓制	詢問	問卷;意見調查表
quench	壓制	詢問	問卷;意見調查表	種族主義;種族歧視
query	詢問	問卷;意見調查表	種族主義;種族歧視	光芒四射的;容光煥發的;發熱的
questionnaire	問卷;意見調查表	種族主義;種族歧視	光芒四射的;容光煥發的;發熱的	具輻射部的;輻射狀的
racism	種族主義;種族歧視	光芒四射的;容光煥發的;發熱的	具輻射部的;輻射狀的	放射線
radiant	光芒四射的;容光煥發的;發熱的	具輻射部的;輻射狀的	放射線	散熱器
radiate	具輻射部的;輻射狀的	放射線	散熱器	基本的;徹底的
radiation	放射線	散熱器	基本的;徹底的	用筏子運送;划筏
radiator	散熱器	基本的;徹底的	用筏子運送;划筏	襲擊;劫掠
radical	基本的;徹底的	用筏子運送;划筏	襲擊;劫掠	胡亂的;隨機的
raft	用筏子運送;划筏	襲擊;劫掠	胡亂的;隨機的	贖回;向...勒索贖金
raid	襲擊;劫掠	胡亂的;隨機的	贖回;向...勒索贖金	皮疹
random	胡亂的;隨機的	贖回;向...勒索贖金	皮疹	理性的;明事理的;合理的
ransom	贖回;向...勒索贖金	皮疹	理性的;明事理的;合理的	蹂躪;使荒蕪
rash	皮疹	理性的;明事理的;合理的	蹂躪;使荒蕪	現實性;現實主義
rational	理性的;明事理的;合理的	蹂躪;使荒蕪	現實性;現實主義	領悟;體現
ravage	蹂躪;使荒蕪	現實性;現實主義	領悟;體現	反叛;反抗
realism	現實性;現實主義	領悟;體現	反叛;反抗	衰退
realization	領悟;體現	反叛;反抗	衰退	接受的;受領的
rebellion	反叛;反抗	衰退	接受的;受領的	推薦;推薦信
recession	衰退	接受的;受領的	推薦;推薦信	和解;使一致;使安於
recipient	接受的;受領的	推薦;推薦信	和解;使一致;使安於	消遣的;娛樂的;休養的
recommendation	推薦;推薦信	和解;使一致;使安於	消遣的;娛樂的;休養的	徵募;雇用;補充
reconcile	和解;使一致;使安於	消遣的;娛樂的;休養的	徵募;雇用;補充	再發生;再現
recreational	消遣的;娛樂的;休養的	徵募;雇用;補充	再發生;再現	多餘的;過剩的
recruit	徵募;雇用;補充	再發生;再現	多餘的;過剩的	提煉;精鍊
recur	再發生;再現	多餘的;過剩的	提煉;精鍊	反射的;沈思的;反映的
redundant	多餘的;過剩的	提煉;精鍊	反射的;沈思的;反映的	茶點
refine	提煉;精鍊	反射的;沈思的;反映的	茶點	退還;歸還;償還
reflective	反射的;沈思的;反映的	茶點	退還;歸還;償還	不注意的,不留心的;不關心的
refreshment	茶點	退還;歸還;償還	不注意的,不留心的;不關心的	政體;政權
refund	退還;歸還;償還	不注意的,不留心的;不關心的	政體;政權	排練,試演;練習
regardless	不注意的,不留心的;不關心的	政體;政權	排練,試演;練習	排練,排演
regime	政體;政權	排練,試演;練習	排練,排演	(用韁繩)勒住;駕馭;控制
rehearsal	排練,試演;練習	排練,排演	(用韁繩)勒住;駕馭;控制	增援;加強;加深
rehearse	排練,排演	(用韁繩)勒住;駕馭;控制	增援;加強;加深	轉播
rein	(用韁繩)勒住;駕馭;控制	增援;加強;加深	轉播	有關的;切題的
reinforce	增援;加強;加深	轉播	有關的;切題的	信任;依賴
relay	轉播	有關的;切題的	信任;依賴	喜愛;愛好;加佐料
relevant	有關的;切題的	信任;依賴	喜愛;愛好;加佐料	剩餘物;其餘的人;餘數
reliance	信任;依賴	喜愛;愛好;加佐料	剩餘物;其餘的人;餘數	除去;免職
relish	喜愛;愛好;加佐料	剩餘物;其餘的人;餘數	除去;免職	文藝復興
remainder	剩餘物;其餘的人;餘數	除去;免職	文藝復興	使得;使成為;提供
removal	除去;免職	文藝復興	使得;使成為;提供	有名的;有聲譽的
renaissance	文藝復興	使得;使成為;提供	有名的;有聲譽的	租金;租賃;出租
render	使得;使成為;提供	有名的;有聲譽的	租金;租賃;出租	抑制;鎮壓
renowned	有名的;有聲譽的	租金;租賃;出租	抑制;鎮壓	相似
rental	租金;租賃;出租	抑制;鎮壓	相似	蓄水庫;貯水池
repress	抑制;鎮壓	相似	蓄水庫;貯水池	居住的;住宅的
resemblance	相似	蓄水庫;貯水池	居住的;住宅的	抵抗的
reservoir	蓄水庫;貯水池	居住的;住宅的	抵抗的	堅決的;不屈不撓的
residential	居住的;住宅的	抵抗的	堅決的;不屈不撓的	分別的;各自的
resistant	抵抗的	堅決的;不屈不撓的	分別的;各自的	復原
resolute	堅決的;不屈不撓的	分別的;各自的	復原	克制;控制;管押
respective	分別的;各自的	復原	克制;控制;管押	零售的
restoration	復原	克制;控制;管押	零售的	報復
restraint	克制;控制;管押	零售的	報復	收回;檢索;使恢復
retail	零售的	報復	收回;檢索;使恢復	揭示;顯示;天啟
retaliate	報復	收回;檢索;使恢復	揭示;顯示;天啟	(國家的)歲入;稅收
retrieve	收回;檢索;使恢復	揭示;顯示;天啟	(國家的)歲入;稅收	甦醒;再生;復興
revelation	揭示;顯示;天啟	(國家的)歲入;稅收	甦醒;再生;復興	修辭;修辭學;辭令
revenue	(國家的)歲入;稅收	甦醒;再生;復興	修辭;修辭學;辭令	有節奏的;有韻律的
revival	甦醒;再生;復興	修辭;修辭學;辭令	有節奏的;有韻律的	嘲笑;戲弄
rhetoric	修辭;修辭學;辭令	有節奏的;有韻律的	嘲笑;戲弄	嚴格的;嚴厲的;嚴密的
rhythmic	有節奏的;有韻律的	嘲笑;戲弄	嚴格的;嚴厲的;嚴密的	參加(或發動)暴亂;放縱
ridicule	嘲笑;戲弄	嚴格的;嚴厲的;嚴密的	參加(或發動)暴亂;放縱	儀式;慣例
rigorous	嚴格的;嚴厲的;嚴密的	參加(或發動)暴亂;放縱	儀式;慣例	(宗教)儀式的;典禮的
riot	參加(或發動)暴亂;放縱	儀式;慣例	(宗教)儀式的;典禮的	競爭行為
rite	儀式;慣例	(宗教)儀式的;典禮的	競爭行為	旋轉;輪流
ritual	(宗教)儀式的;典禮的	競爭行為	旋轉;輪流	旋轉;自轉;輪流
rivalry	競爭行為	旋轉;輪流	旋轉;自轉;輪流	(總稱)皇族或王族;王位;專利權稅
rotate	旋轉;輪流	旋轉;自轉;輪流	(總稱)皇族或王族;王位;專利權稅	紅寶石
rotation	旋轉;自轉;輪流	(總稱)皇族或王族;王位;專利權稅	紅寶石	保護;防衛
royalty	(總稱)皇族或王族;王位;專利權稅	紅寶石	保護;防衛	(旅館;輪船等的)大廳;酒館
ruby	紅寶石	保護;防衛	(旅館;輪船等的)大廳;酒館	拯救
safeguard	保護;防衛	(旅館;輪船等的)大廳;酒館	拯救	對...實施制裁
saloon	(旅館;輪船等的)大廳;酒館	拯救	對...實施制裁	聖殿
salvation	拯救	對...實施制裁	聖殿	頭腦清楚的
sanction	對...實施制裁	聖殿	頭腦清楚的	衛生設備
sanctuary	聖殿	頭腦清楚的	衛生設備	風景優美
sane	頭腦清楚的	衛生設備	風景優美	範圍;領域
sanitation	衛生設備	風景優美	範圍;領域	把...改編為劇本
scenic	風景優美	範圍;領域	把...改編為劇本	扇形
scope	範圍;領域	把...改編為劇本	扇形	誘惑;引誘
script	把...改編為劇本	扇形	誘惑;引誘	有選擇性的
sector	扇形	誘惑;引誘	有選擇性的	專題討論(課或會議)
seduce	誘惑;引誘	有選擇性的	專題討論(課或會議)	參議員
selective	有選擇性的	專題討論(課或會議)	參議員	情深的;情感;多愁善感的
seminar	專題討論(課或會議)	參議員	情深的;情感;多愁善感的	排序
senator	參議員	情深的;情感;多愁善感的	排序	安詳的;寧靜的
sentimental	情深的;情感;多愁善感的	排序	安詳的;寧靜的	晴朗;平靜;沈著
sequence	排序	安詳的;寧靜的	晴朗;平靜;沈著	服務;侍候;(食物、飲料等)一份
serene	安詳的;寧靜的	晴朗;平靜;沈著	服務;侍候;(食物、飲料等)一份	開庭;會期;講習會
serenity	晴朗;平靜;沈著	服務;侍候;(食物、飲料等)一份	開庭;會期;講習會	挫折;倒退
serving	服務;侍候;(食物、飲料等)一份	開庭;會期;講習會	挫折;倒退	下水道
session	開庭;會期;講習會	挫折;倒退	下水道	流出;毛髮等脫落;蛻(殼等)
setback	挫折;倒退	下水道	流出;毛髮等脫落;蛻(殼等)	全然的;(紡織物)極薄的;陡峭的
sewer	下水道	流出;毛髮等脫落;蛻(殼等)	全然的;(紡織物)極薄的;陡峭的	先令
shed	流出;毛髮等脫落;蛻(殼等)	全然的;(紡織物)極薄的;陡峭的	先令	順手牽羊
sheer	全然的;(紡織物)極薄的;陡峭的	先令	順手牽羊	精明的;狡猾的;機靈的
shilling	先令	順手牽羊	精明的;狡猾的;機靈的	躲開;迴避
shoplift	順手牽羊	精明的;狡猾的;機靈的	躲開;迴避	圍攻;包圍;圍城
shrewd	精明的;狡猾的;機靈的	躲開;迴避	圍攻;包圍;圍城	表示...的意思;意味著
shun	躲開;迴避	圍攻;包圍;圍城	表示...的意思;意味著	矽
siege	圍攻;包圍;圍城	表示...的意思;意味著	矽	簡單;單純
signify	表示...的意思;意味著	矽	簡單;單純	簡化,精簡;使單純;使平易
silicon	矽	簡單;單純	簡化,精簡;使單純;使平易	同時發生的
simplicity	簡單;單純	簡化,精簡;使單純;使平易	同時發生的	懷疑的
simplify	簡化,精簡;使單純;使平易	同時發生的	懷疑的	去,去除;瀏覽,略讀
simultaneous	同時發生的	懷疑的	去,去除;瀏覽,略讀	用粗話罵;欺騙,詐取
skeptical	懷疑的	去,去除;瀏覽,略讀	用粗話罵;欺騙,詐取	(用刀;劍等)砍;大幅度削減
skim	去,去除;瀏覽,略讀	用粗話罵;欺騙,詐取	(用刀;劍等)砍;大幅度削減	奴隸身分;奴役
slang	用粗話罵;欺騙,詐取	(用刀;劍等)砍;大幅度削減	奴隸身分;奴役	開狹長的孔;把...納入序列中
slash	(用刀;劍等)砍;大幅度削減	奴隸身分;奴役	開狹長的孔;把...納入序列中	去貧民窟
slavery	奴隸身分;奴役	開狹長的孔;把...納入序列中	去貧民窟	略有滋味;掌摑;咂(嘴);響吻
slot	開狹長的孔;把...納入序列中	去貧民窟	略有滋味;掌摑;咂(嘴);響吻	天花
slum	去貧民窟	略有滋味;掌摑;咂(嘴);響吻	天花	使窒息
smack	略有滋味;掌摑;咂(嘴);響吻	天花	使窒息	走私
smallpox	天花	使窒息	走私	(用陷阱等)捕捉;誘...入圈套
smother	使窒息	走私	(用陷阱等)捕捉;誘...入圈套	鬼鬼祟祟的
smuggle	走私	(用陷阱等)捕捉;誘...入圈套	鬼鬼祟祟的	輕蔑地笑;譏諷
snare	(用陷阱等)捕捉;誘...入圈套	鬼鬼祟祟的	輕蔑地笑;譏諷	往上飛舞;翱翔;暴漲
sneaky	鬼鬼祟祟的	輕蔑地笑;譏諷	往上飛舞;翱翔;暴漲	好交際的;善交際的
sneer	輕蔑地笑;譏諷	往上飛舞;翱翔;暴漲	好交際的;善交際的	社會主義
soar	往上飛舞;翱翔;暴漲	好交際的;善交際的	社會主義	社會主義者
sociable	好交際的;善交際的	社會主義	社會主義者	交際;社會主義化
socialism	社會主義	社會主義者	交際;社會主義化	社會學
socialist	社會主義者	交際;社會主義化	社會學	鈉
socialize	交際;社會主義化	社會學	鈉	團結一致
sociology	社會學	鈉	團結一致	孤獨;隱居
sodium	鈉	團結一致	孤獨;隱居	安慰;哄;減輕
solidarity	團結一致	孤獨;隱居	安慰;哄;減輕	老於世故的;精通的;精密的
solitude	孤獨;隱居	安慰;哄;減輕	老於世故的;精通的;精密的	統治權;主權;主權國家
soothe	安慰;哄;減輕	老於世故的;精通的;精密的	統治權;主權;主權國家	寬敞的;廣闊的
sophisticated	老於世故的;精通的;精密的	統治權;主權;主權國家	寬敞的;廣闊的	跨越;在...架橋
sovereignty	統治權;主權;主權國家	寬敞的;廣闊的	跨越;在...架橋	專攻;專門從事
spacious	寬敞的;廣闊的	跨越;在...架橋	專攻;專門從事	特產
span	跨越;在...架橋	專攻;專門從事	特產	具體指定;詳細指明
specialize	專攻;專門從事	特產	具體指定;詳細指明	壯觀的;壯麗的
specialty	特產	具體指定;詳細指明	壯觀的;壯麗的	光譜;頻譜
specify	具體指定;詳細指明	壯觀的;壯麗的	光譜;頻譜	推測;投機;推斷
spectacular	壯觀的;壯麗的	光譜;頻譜	推測;投機;推斷	球形
spectrum	光譜;頻譜	推測;投機;推斷	球形	用大釘釘牢;用尖物刺穿
speculate	推測;投機;推斷	球形	用大釘釘牢;用尖物刺穿	螺旋的
sphere	球形	用大釘釘牢;用尖物刺穿	螺旋的	螺旋形上升;發芽
spike	用大釘釘牢;用尖物刺穿	螺旋的	螺旋形上升;發芽	發言人
spiral	螺旋的	螺旋形上升;發芽	發言人	女發言人
spire	螺旋形上升;發芽	發言人	女發言人	發起;主辦;倡議;贊助
spokesperson/spokesman/	發言人	女發言人	發起;主辦;倡議;贊助	自發的;自然的
spokeswoman	女發言人	發起;主辦;倡議;贊助	自發的;自然的	配偶
sponsor	發起;主辦;倡議;贊助	自發的;自然的	配偶	伸開四肢躺(或爬);蔓生
spontaneous	自發的;自然的	配偶	伸開四肢躺(或爬);蔓生	班
spouse	配偶	伸開四肢躺(或爬);蔓生	班	壓扁(壓碎)
sprawl	伸開四肢躺(或爬);蔓生	班	壓扁(壓碎)	穩定
squad	班	壓扁(壓碎)	穩定	穩定
squash	壓扁(壓碎)	穩定	穩定	偷偷靠近;追蹤
stability	穩定	穩定	偷偷靠近;追蹤	口吃
stabilize	穩定	偷偷靠近;追蹤	口吃	用釘書針釘
stalk	偷偷靠近;追蹤	口吃	用釘書針釘	釘書機
stammer	口吃	用釘書針釘	釘書機	給(衣服等)上澱粉漿
staple	用釘書針釘	釘書機	給(衣服等)上澱粉漿	飢餓
stapler	釘書機	給(衣服等)上澱粉漿	飢餓	不動的
starch	給(衣服等)上澱粉漿	飢餓	不動的	文具
starvation	飢餓	不動的	文具	身高;高度
stationary	不動的	文具	身高;高度	汽船
stationery	文具	身高;高度	汽船	刺激;激勵;使興奮;促使
stature	身高;高度	汽船	刺激;激勵;使興奮;促使	刺激;興奮;激勵
steamer	汽船	刺激;激勵;使興奮;促使	刺激;興奮;激勵	刺激;刺激品;興奮劑
stimulate	刺激;激勵;使興奮;促使	刺激;興奮;激勵	刺激;刺激品;興奮劑	給(商店)辦貨;貯存
stimulation	刺激;興奮;激勵	刺激;刺激品;興奮劑	給(商店)辦貨;貯存	勒死;扼住;悶住
stimulus	刺激;刺激品;興奮劑	給(商店)辦貨;貯存	勒死;扼住;悶住	戰略的
stock	給(商店)辦貨;貯存	勒死;扼住;悶住	戰略的	表演絕技;妨礙
strangle	勒死;扼住;悶住	戰略的	表演絕技;妨礙	主觀的;個人的;主詞的
strategic	戰略的	表演絕技;妨礙	主觀的;個人的;主詞的	下級的;次要的;從屬的
stunt	表演絕技;妨礙	主觀的;個人的;主詞的	下級的;次要的;從屬的	訂閱;認捐;簽名
subjective	主觀的;個人的;主詞的	下級的;次要的;從屬的	訂閱;認捐;簽名	訂閱費;會費;捐款;署名
subordinate	下級的;次要的;從屬的	訂閱;認捐;簽名	訂閱費;會費;捐款;署名	接著發生的
subscribe	訂閱;認捐;簽名	訂閱費;會費;捐款;署名	接著發生的	代替;代替物
subscription	訂閱費;會費;捐款;署名	接著發生的	代替;代替物	微妙的;難捉摸的
subsequent	接著發生的	代替;代替物	微妙的;難捉摸的	郊區的
substitution	代替;代替物	微妙的;難捉摸的	郊區的	連續;一連串;繼承權
subtle	微妙的;難捉摸的	郊區的	連續;一連串;繼承權	連續的;後繼的;繼承的
suburban	郊區的	連續;一連串;繼承權	連續的;後繼的;繼承的	繼任者;繼承人
succession	連續;一連串;繼承權	連續的;後繼的;繼承的	繼任者;繼承人	使窒息;扼制
successive	連續的;後繼的;繼承的	繼任者;繼承人	使窒息;扼制	套房;系列
successor	繼任者;繼承人	使窒息;扼制	套房;系列	宏偉的;華麗的; 上乘的,一流的
suffocate	使窒息;扼制	套房;系列	宏偉的;華麗的; 上乘的,一流的	上級
suite	套房;系列	宏偉的;華麗的; 上乘的,一流的	上級	超音波的;超音速的
superb	宏偉的;華麗的; 上乘的,一流的	上級	超音波的;超音速的	迷信的
superiority	上級	超音波的;超音速的	迷信的	管理;監督
supersonic	超音波的;超音速的	迷信的	管理;監督	增補;為...補編附錄
superstitious	迷信的	管理;監督	增補;為...補編附錄	勝過;大於;多於
supervision	管理;監督	增補;為...補編附錄	勝過;大於;多於	過剩的;剩餘的
supplement	增補;為...補編附錄	勝過;大於;多於	過剩的;剩餘的	掛慮;懸疑;暫時停止
surpass	勝過;大於;多於	過剩的;剩餘的	掛慮;懸疑;暫時停止	暫停;中止;停職
surplus	過剩的;剩餘的	掛慮;懸疑;暫時停止	暫停;中止;停職	交換;以...作交換
suspense	掛慮;懸疑;暫時停止	暫停;中止;停職	交換;以...作交換	象徵的;符號的
suspension	暫停;中止;停職	交換;以...作交換	象徵的;符號的	象徵,標誌
swap	交換;以...作交換	象徵的;符號的	象徵,標誌	對稱(性)
symbolic	象徵的;符號的	象徵,標誌	對稱(性)	症狀,徵候
symbolize	象徵,標誌	對稱(性)	症狀,徵候	同義字;同物異名
symmetry	對稱(性)	症狀,徵候	同義字;同物異名	合成的
symptom	症狀,徵候	同義字;同物異名	合成的	老練;機智;得體
synonym	同義字;同物異名	合成的	老練;機智;得體	戰術;策略;手法
synthetic	合成的	老練;機智;得體	戰術;策略;手法	關稅;稅率
tact	老練;機智;得體	戰術;策略;手法	關稅;稅率	冗長乏味的;使人厭煩的
tactic	戰術;策略;手法	關稅;稅率	冗長乏味的;使人厭煩的	氣質;性情
tariff	關稅;稅率	冗長乏味的;使人厭煩的	氣質;性情	暴風雨;暴風雪;騷動
tedious	冗長乏味的;使人厭煩的	氣質;性情	暴風雨;暴風雪;騷動	使結束;使終止;解雇
temperament	氣質;性情	暴風雨;暴風雪;騷動	使結束;使終止;解雇	紡織的
tempest	暴風雨;暴風雪;騷動	使結束;使終止;解雇	紡織的	使...行成紋理
terminate	使結束;使終止;解雇	紡織的	使...行成紋理	劇場的;戲劇的;戲劇性的
textile	紡織的	使...行成紋理	劇場的;戲劇的;戲劇性的	偷竊,盜竊
texture	使...行成紋理	劇場的;戲劇的;戲劇性的	偷竊,盜竊	理論的;非應用的;假設的
theatrical	劇場的;戲劇的;戲劇性的	偷竊,盜竊	理論的;非應用的;假設的	治療技師或專家
theft	偷竊,盜竊	理論的;非應用的;假設的	治療技師或專家	治療,療法
theoretical	理論的;非應用的;假設的	治療技師或專家	治療,療法	之後;以後
therapist	治療技師或專家	治療,療法	之後;以後	因此;由此
therapy	治療,療法	之後;以後	因此;由此	溫度計
thereafter	之後;以後	因此;由此	溫度計	門檻;開端;起點
thereby	因此;由此	溫度計	門檻;開端;起點	節儉;繁茂;互助儲蓄銀行
thermometer	溫度計	門檻;開端;起點	節儉;繁茂;互助儲蓄銀行	節儉的;茂盛的
threshold	門檻;開端;起點	節儉;繁茂;互助儲蓄銀行	節儉的;茂盛的	興旺;繁榮;茂盛生長
thrift	節儉;繁茂;互助儲蓄銀行	節儉的;茂盛的	興旺;繁榮;茂盛生長	(心臟;脈搏等)跳動;抽動;抽痛
thrifty	節儉的;茂盛的	興旺;繁榮;茂盛生長	(心臟;脈搏等)跳動;抽動;抽痛	（道路、橋梁等的）通行費
thrive	興旺;繁榮;茂盛生長	(心臟;脈搏等)跳動;抽動;抽痛	（道路、橋梁等的）通行費	使倒塌;推翻
throb	(心臟;脈搏等)跳動;抽動;抽痛	（道路、橋梁等的）通行費	使倒塌;推翻	龍捲風
toll	（道路、橋梁等的）通行費	使倒塌;推翻	龍捲風	特徵;特點;特性;少許
topple	使倒塌;推翻	龍捲風	特徵;特點;特性;少許	平靜的;安靜的;安寧的
