a.m./am/A.M./AM	早上	放棄	下腹	絕對的
precise	精確的;準確的	預言;預料	更可取的,更合意的	懷孕
predict	預言;預料	更可取的,更合意的	懷孕	懷孕的
preferable	更可取的,更合意的	懷孕	懷孕的	介系詞;前置詞
pregnancy	懷孕	懷孕的	介系詞;前置詞	贈送;呈現;介紹,引見
pregnant	懷孕的	介系詞;前置詞	贈送;呈現;介紹,引見	維護;維持;保存;保藏;防腐
preposition	介系詞;前置詞	贈送;呈現;介紹,引見	維護;維持;保存;保藏;防腐	保存,保藏;防腐
presentation	贈送;呈現;介紹,引見	維護;維持;保存;保藏;防腐	保存,保藏;防腐	預防,防止
preservation	維護;維持;保存;保藏;防腐	保存,保藏;防腐	預防,防止	最初的;原始的;基本的
preserve	保存,保藏;防腐	預防,防止	最初的;原始的;基本的	原始的;遠古的;早期的
prevention	預防,防止	最初的;原始的;基本的	原始的;遠古的;早期的	祕密,私下
prime	最初的;原始的;基本的	原始的;遠古的;早期的	祕密,私下	給予...特權
primitive	原始的;遠古的;早期的	祕密,私下	給予...特權	手續，程序
privacy	祕密,私下	給予...特權	手續，程序	進展
privilege	給予...特權	手續，程序	進展	製造;生產
procedure	手續，程序	進展	製造;生產	生產的,生產性的
proceed	進展	製造;生產	生產的,生產性的	職業同行
production	製造;生產	生產的,生產性的	職業同行	職業性的
productive	生產的,生產性的	職業同行	職業性的	教授
profession	職業同行	職業性的	教授	有利的
professional	職業性的	教授	有利的	卓越的,著名的
professor	教授	有利的	卓越的,著名的	有希望的,有前途的
profitable	有利的	卓越的,著名的	有希望的,有前途的	提升,晉級
prominent	卓越的,著名的	有希望的,有前途的	提升,晉級	迅速的
promising	有希望的,有前途的	提升,晉級	迅速的	代名詞
promotion	提升,晉級	迅速的	代名詞	發音;發音法;讀法
prompt	迅速的	代名詞	發音;發音法;讀法	繁榮,昌盛
pronoun	代名詞	發音;發音法;讀法	繁榮,昌盛	興旺,繁榮,昌盛,成功
pronunciation	發音;發音法;讀法	繁榮,昌盛	興旺,繁榮,昌盛,成功	興旺的,繁榮的,昌盛的
prosper	繁榮,昌盛	興旺,繁榮,昌盛,成功	興旺的,繁榮的,昌盛的	蛋白質
prosperity	興旺,繁榮,昌盛,成功	興旺的,繁榮的,昌盛的	蛋白質	抗議,異議
prosperous	興旺的,繁榮的,昌盛的	蛋白質	抗議,異議	諺語,俗語
protein	蛋白質	抗議,異議	諺語,俗語	心理的
protest	抗議,異議	諺語,俗語	心理的	心理學家
proverb	諺語,俗語	心理的	心理學家	心理學
psychological	心理的	心理學家	心理學	出版;發表,宣佈
psychologist	心理學家	心理學	出版;發表,宣佈	名聲
psychology	心理學	出版;發表,宣佈	名聲	出版;發行;刊載
publication	出版;發表,宣佈	名聲	出版;發行;刊載	出版商
publicity	名聲	出版;發行;刊載	出版商	追蹤,追擊
publish	出版;發行;刊載	出版商	追蹤,追擊	顫抖
publisher	出版商	追蹤,追擊	顫抖	被子
pursuit	追蹤,追擊	顫抖	被子	引用;引證;引文;報價
quake	顫抖	被子	引用;引證;引文;報價	發怒,怒斥
quilt	被子	引用;引證;引文;報價	發怒,怒斥	降雨,下雨;降雨量
quotation	引用;引證;引文;報價	發怒,怒斥	降雨,下雨;降雨量	現實的
rage	發怒,怒斥	降雨,下雨;降雨量	現實的	反叛
rainfall	降雨,下雨;降雨量	現實的	反叛	回憶;使想起;召回
realistic	現實的	反叛	回憶;使想起;召回	接待,接見;接待處
rebel 	反叛	回憶;使想起;召回	接待,接見;接待處	食譜
recall	回憶;使想起;召回	接待,接見;接待處	食譜	背誦;朗誦;詳述
reception	接待,接見;接待處	食譜	背誦;朗誦;詳述	認出,識別;承認
recipe	食譜	背誦;朗誦;詳述	認出,識別;承認	恢復,復甦;復元,痊癒
recite	背誦;朗誦;詳述	認出,識別;承認	恢復,復甦;復元,痊癒	消遣;娛樂
recognition	認出,識別;承認	恢復,復甦;復元,痊癒	消遣;娛樂	回收再利用
recovery	恢復,復甦;復元,痊癒	消遣;娛樂	回收再利用	減少;削減
recreation	消遣;娛樂	回收再利用	減少;削減	論及,談到;參考
recycle	回收再利用	減少;削減	論及,談到;參考	參考文獻;出處;提及
reduction	減少;削減	論及,談到;參考	參考文獻;出處;提及	反射;照出,映出
refer	論及,談到;參考	參考文獻;出處;提及	反射;照出,映出	反射;回響
reference	參考文獻;出處;提及	反射;照出,映出	反射;回響	改革,革新
reflect	反射;照出,映出	反射;回響	改革,革新	使得到補充
reflection	反射;回響	改革,革新	使得到補充	難民;流亡者
reform	改革,革新	使得到補充	難民;流亡者	拒絕
refresh	使得到補充	難民;流亡者	拒絕	關於;就...而論
refugee	難民;流亡者	拒絕	關於;就...而論	註冊,申報
refusal	拒絕	關於;就...而論	註冊,申報	登記,註冊,掛號
regarding	關於;就...而論	註冊,申報	登記,註冊,掛號	為...制訂規章;調節
register	註冊,申報	登記,註冊,掛號	為...制訂規章;調節	規章;規則,規定;條例
registration	登記,註冊,掛號	為...制訂規章;調節	規章;規則,規定;條例	拒絕;退回
regulate	為...制訂規章;調節	規章;規則,規定;條例	拒絕;退回	相對的
regulation	規章;規則,規定;條例	拒絕;退回	相對的	放鬆
rejection	拒絕;退回	相對的	放鬆	緩和,減輕;解除
relative 	相對的	放鬆	緩和,減輕;解除	不情願的;勉強的
relaxation	放鬆	緩和,減輕;解除	不情願的;勉強的	議論;評論
relieve	緩和,減輕;解除	不情願的;勉強的	議論;評論	非凡的;卓越的
reluctant	不情願的;勉強的	議論;評論	非凡的;卓越的	補救;糾正;去除(弊病等)
remark	議論;評論	非凡的;卓越的	補救;糾正;去除(弊病等)	重複;反覆
remarkable	非凡的;卓越的	補救;糾正;去除(弊病等)	重複;反覆	代表,代理
remedy	補救;糾正;去除(弊病等)	重複;反覆	代表,代理	名譽,名聲
repetition	重複;反覆	代表,代理	名譽,名聲	援救;營救
representation	代表,代理	名譽,名聲	援救;營救	調查,探究
reputation	名譽,名聲	援救;營救	調查,探究	研究員;調查者
rescue	援救;營救	調查,探究	研究員;調查者	像,類似
research	調查,探究	研究員;調查者	像,類似	保留(意見);預訂的房間(或席座)
researcher	研究員;調查者	像,類似	保留(意見);預訂的房間(或席座)	放棄,辭去
resemble	像,類似	保留(意見);預訂的房間(或席座)	放棄,辭去	辭職;放棄;辭呈
reservation	保留(意見);預訂的房間(或席座)	放棄,辭去	辭職;放棄;辭呈	抵抗,反抗
resign	放棄,辭去	辭職;放棄;辭呈	抵抗,反抗	決心;決定;解決
resignation	辭職;放棄;辭呈	抵抗,反抗	決心;決定;解決	解決,解答;使分解
resistance	抵抗,反抗	決心;決定;解決	解決,解答;使分解	值得尊敬的;體面的
resolution	決心;決定;解決	解決,解答;使分解	值得尊敬的;體面的	恭敬的;尊敬人的
resolve	解決,解答;使分解	值得尊敬的;體面的	恭敬的;尊敬人的	復原
respectable	值得尊敬的;體面的	恭敬的;尊敬人的	復原	限制
respectful	恭敬的;尊敬人的	復原	限制	保留,保持
restore	復原	限制	保留,保持	退休;退役
restriction	限制	保留,保持	退休;退役	撤退,退卻
retain	保留,保持	退休;退役	撤退,退卻	團聚;重聚
retire	退休;退役	撤退,退卻	團聚;重聚	替...報仇
retreat	撤退,退卻	團聚;重聚	替...報仇	校訂;更改
reunion	團聚;重聚	替...報仇	校訂;更改	修訂;校訂;修正
revenge	替...報仇	校訂;更改	修訂;校訂;修正	革命;循環
revise	校訂;更改	修訂;校訂;修正	革命;循環	革命的
revision	修訂;校訂;修正	革命;循環	革命的	酬謝;獎勵
revolution	革命;循環	革命的	酬謝;獎勵	押韻
revolutionary	革命的	酬謝;獎勵	押韻	節奏;韻律
reward	酬謝;獎勵	押韻	節奏;韻律	戀愛,風流韻事;愛情小說
rhyme	押韻	節奏;韻律	戀愛,風流韻事;愛情小說	粗糙地
rhythm	節奏;韻律	戀愛,風流韻事;愛情小說	粗糙地	給...定路線;路線
romance	戀愛,風流韻事;愛情小說	粗糙地	給...定路線;路線	毀滅
roughly	粗糙地	給...定路線;路線	毀滅	農村的
route	給...定路線;路線	毀滅	農村的	犧牲;獻出
ruin	毀滅	農村的	犧牲;獻出	給...薪水
rural	農村的	犧牲;獻出	給...薪水	店員,售貨員
sacrifice	犧牲;獻出	給...薪水	店員,售貨員	女店員;售貨員
salary	給...薪水	店員,售貨員	女店員;售貨員	衛星
salesperson/salesman/	店員,售貨員	女店員;售貨員	衛星	滿足
saleswoman	女店員;售貨員	衛星	滿足	幾乎不,幾乎沒有
satellite	衛星	滿足	幾乎不,幾乎沒有	風景
satisfaction	滿足	幾乎不,幾乎沒有	風景	罵,責罵
scarcely	幾乎不,幾乎沒有	風景	罵,責罵	抓
scenery	風景	罵,責罵	抓	螺絲起子
scold	罵,責罵	抓	螺絲起子	雕刻
scratch	抓	螺絲起子	雕刻	海鷗
screwdriver	螺絲起子	雕刻	海鷗	年資較深的;四年級生的
sculpture	雕刻	海鷗	年資較深的;四年級生的	殖民者;開拓者
seagull/gull	海鷗	年資較深的;四年級生的	殖民者;開拓者	嚴厲的
senior	年資較深的;四年級生的	殖民者;開拓者	嚴厲的	丟臉的
settler	殖民者;開拓者	嚴厲的	丟臉的	理髮師
severe	嚴厲的	丟臉的	理髮師	遮蔽;庇護
shameful	丟臉的	理髮師	遮蔽;庇護	轉移;移動
shaver	理髮師	遮蔽;庇護	轉移;移動	近視的;目光短淺的,缺乏遠見的
shelter	遮蔽;庇護	轉移;移動	近視的;目光短淺的,缺乏遠見的	聳(肩)
shift	轉移;移動	近視的;目光短淺的,缺乏遠見的	聳(肩)	短程穿梭般運送
shortsighted	近視的;目光短淺的,缺乏遠見的	聳(肩)	短程穿梭般運送	觀光,遊覽
shrug	聳(肩)	短程穿梭般運送	觀光,遊覽	簽名,簽署
shuttle	短程穿梭般運送	觀光,遊覽	簽名,簽署	重要性,重要
sightseeing	觀光,遊覽	簽名,簽署	重要性,重要	真實;誠心誠意
signature	簽名,簽署	重要性,重要	真實;誠心誠意	單數的;獨個的
significance	重要性,重要	真實;誠心誠意	單數的;獨個的	為...選址;設置
sincerity	真實;誠心誠意	單數的;獨個的	為...選址;設置	寫生;速寫;為...繪草圖
singular	單數的;獨個的	為...選址;設置	寫生;速寫;為...繪草圖	乘雪橇
site	為...選址;設置	寫生;速寫;為...繪草圖	乘雪橇	駕雪橇;用雪橇運輸
sketch	寫生;速寫;為...繪草圖	乘雪橇	駕雪橇;用雪橇運輸	微小的
sledge/sled	乘雪橇	駕雪橇;用雪橇運輸	微小的	口號,標語
sleigh	駕雪橇;用雪橇運輸	微小的	口號,標語	煙霧
slight	微小的	口號,標語	煙霧	打噴嚏
slogan	口號,標語	煙霧	打噴嚏	嗚咽;啜泣
smog	煙霧	打噴嚏	嗚咽;啜泣	插座;插口
sneeze	打噴嚏	嗚咽;啜泣	插座;插口	軟體
sob	嗚咽;啜泣	插座;插口	軟體	太陽的;日光的
socket	插座;插口	軟體	太陽的;日光的	(大學;高中的)二年級學生
software	軟體	太陽的;日光的	(大學;高中的)二年級學生	悲傷的;令人傷心的
solar	太陽的;日光的	(大學;高中的)二年級學生	悲傷的;令人傷心的	紀念品,紀念物
sophomore	(大學;高中的)二年級學生	悲傷的;令人傷心的	紀念品,紀念物	多餘的,剩下的;空閒的
sorrowful	悲傷的;令人傷心的	紀念品,紀念物	多餘的,剩下的;空閒的	發動;點燃
souvenir	紀念品,紀念物	多餘的,剩下的;空閒的	發動;點燃	發火花;閃耀;煥發
spare	多餘的,剩下的;空閒的	發動;點燃	發火花;閃耀;煥發	麻雀
spark	發動;點燃	發火花;閃耀;煥發	麻雀	刺,戳
sparkle	發火花;閃耀;煥發	麻雀	刺,戳	種類;種
sparrow	麻雀	刺,戳	種類;種	辛辣的;痛快的
spear	刺,戳	種類;種	辛辣的;痛快的	心靈的;崇高純潔的
species	種類;種	辛辣的;痛快的	心靈的;崇高純潔的	燦爛的;傑出的
spicy	辛辣的;痛快的	心靈的;崇高純潔的	燦爛的;傑出的	劈開;切開
spiritual	心靈的;崇高純潔的	燦爛的;傑出的	劈開;切開	運動家;願意冒險的人
splendid	燦爛的;傑出的	劈開;切開	運動家;願意冒險的人	運動員精神,運動道德
split	劈開;切開	運動家;願意冒險的人	運動員精神,運動道德	狀況,狀態
sportsman	運動家;願意冒險的人	運動員精神,運動道德	狀況,狀態	莖
sportsmanship	運動員精神,運動道德	狀況,狀態	莖	小氣的
status	狀況,狀態	莖	小氣的	加強;增強
stem	莖	小氣的	加強;增強	努力,苦幹,奮鬥;反抗,鬥爭
stingy	小氣的	加強;增強	努力,苦幹,奮鬥;反抗,鬥爭	中風
strengthen	加強;增強	努力,苦幹,奮鬥;反抗,鬥爭	中風	海底的
strive	努力,苦幹,奮鬥;反抗,鬥爭	中風	海底的	建議,提議
stroke 	中風	海底的	建議,提議	總結,概述,概括
submarine	海底的	建議,提議	總結,概述,概括	衝浪;在網路或頻道上搜索資料
suggestion	建議,提議	總結,概述,概括	衝浪;在網路或頻道上搜索資料	外科醫生
summarize	總結,概述,概括	衝浪;在網路或頻道上搜索資料	外科醫生	(外科)手術
surf	衝浪;在網路或頻道上搜索資料	外科醫生	(外科)手術	使投降,使自首
surgeon	外科醫生	(外科)手術	使投降,使自首	周圍的事物;周圍的情況
surgery	(外科)手術	使投降,使自首	周圍的事物;周圍的情況	猜疑的,疑心的;多疑的
surrender	使投降,使自首	周圍的事物;周圍的情況	猜疑的,疑心的;多疑的	統治
surroundings	周圍的事物;周圍的情況	猜疑的,疑心的;多疑的	統治	音節
suspicious	猜疑的,疑心的;多疑的	統治	音節	同情的;有同情心的
sway	統治	音節	同情的;有同情心的	同情,同情心;弔唁
syllable	音節	同情的;有同情心的	同情,同情心;弔唁	交響樂,交響曲
sympathetic	同情的;有同情心的	同情,同情心;弔唁	交響樂,交響曲	糖漿
sympathy	同情,同情心;弔唁	交響樂,交響曲	糖漿	有系統的;成體系的
symphony	交響樂,交響曲	糖漿	有系統的;成體系的	龍頭
syrup	糖漿	有系統的;成體系的	龍頭	技術人員,技師
systematic	有系統的;成體系的	龍頭	技術人員,技師	技術(學)的,工藝(學)的
tap 	龍頭	技術人員,技師	技術(學)的,工藝(學)的	電報
technician	技術人員,技師	技術(學)的,工藝(學)的	電報	用電報發送;電匯;電購
technological	技術(學)的,工藝(學)的	電報	用電報發送;電匯;電購	望遠鏡
telegram	電報	用電報發送;電匯;電購	望遠鏡	傾向;癖性
telegraph	用電報發送;電匯;電購	望遠鏡	傾向;癖性	繃緊的
telescope	望遠鏡	傾向;癖性	繃緊的	緊張;張力
tendency	傾向;癖性	繃緊的	緊張;張力	使害怕;使恐怖
tense	繃緊的	緊張;張力	使害怕;使恐怖	恐怖,驚駭
tension	緊張;張力	使害怕;使恐怖	恐怖,驚駭	主題思想;題材
terrify	使害怕;使恐怖	恐怖,驚駭	主題思想;題材	徹底的;完全的
terror	恐怖,驚駭	主題思想;題材	徹底的;完全的	考慮周到的
theme	主題思想;題材	徹底的;完全的	考慮周到的	膽小的;羞怯的
thorough	徹底的;完全的	考慮周到的	膽小的;羞怯的	令人厭倦的
thoughtful	考慮周到的	膽小的;羞怯的	令人厭倦的	可忍受的;可容忍的
timid	膽小的;羞怯的	令人厭倦的	可忍受的;可容忍的	寬容,寬大
tiresome	令人厭倦的	可忍受的;可容忍的	寬容,寬大	忍受的,容忍的
tolerable	可忍受的;可容忍的	寬容,寬大	忍受的,容忍的	忍受;寬恕;容許
tolerance	寬容,寬大	忍受的,容忍的	忍受;寬恕;容許	墓;墓碑
tolerant	忍受的,容忍的	忍受;寬恕;容許	墓;墓碑	堅韌的,牢固的;頑固的;棘手的
tolerate	忍受;寬恕;容許	墓;墓碑	堅韌的,牢固的;頑固的;棘手的	悲劇
tomb	墓;墓碑	堅韌的,牢固的;頑固的;棘手的	悲劇	悲慘的,不幸的
tough	堅韌的,牢固的;頑固的;棘手的	悲劇	悲慘的,不幸的	移交;轉讓
tragedy	悲劇	悲慘的,不幸的	移交;轉讓	使改變;使轉化
tragic	悲慘的,不幸的	移交;轉讓	使改變;使轉化	翻譯
transfer	移交;轉讓	使改變;使轉化	翻譯	譯文;譯本
transform	使改變;使轉化	翻譯	譯文;譯本	譯者
translate	翻譯	譯文;譯本	譯者	運輸;輸送;交通車輛
translation	譯文;譯本	譯者	運輸;輸送;交通車輛	巨大的;極度的,驚人的
translator	譯者	運輸;輸送;交通車輛	巨大的;極度的,驚人的	部落的;種族的
transportation	運輸;輸送;交通車輛	巨大的;極度的,驚人的	部落的;種族的	獲得勝利
tremendous	巨大的;極度的,驚人的	部落的;種族的	獲得勝利	麻煩的,棘手的
tribal	部落的;種族的	獲得勝利	麻煩的,棘手的	拔河
triumph	獲得勝利	麻煩的,棘手的	拔河	閃爍
troublesome	麻煩的,棘手的	拔河	閃爍	打字員
tug-of-war	拔河	閃爍	打字員	地下道
twinkle	閃爍	打字員	地下道	獨特的
typist	打字員	地下道	獨特的	宇宙的;通用的
underpass 	地下道	獨特的	宇宙的;通用的	大學
unique	獨特的	宇宙的;通用的	大學	[電腦]上載
universal	宇宙的;通用的	大學	[電腦]上載	城市的
university	大學	[電腦]上載	城市的	催促;力勸
upload	[電腦]上載	城市的	催促;力勸	緊急的,急迫的
urban	城市的	催促;力勸	緊急的,急迫的	使用,用法
urge	催促;力勸	緊急的,急迫的	使用,用法	愛虛榮的;徒然的
urgent	緊急的,急迫的	使用,用法	愛虛榮的;徒然的	廣闊的,浩瀚的;非常的
usage	使用,用法	愛虛榮的;徒然的	廣闊的,浩瀚的;非常的	素食者
vain	愛虛榮的;徒然的	廣闊的,浩瀚的;非常的	素食者	動詞
vast	廣闊的,浩瀚的;非常的	素食者	動詞	很;非常
vegetarian	素食者	動詞	很;非常	船,艦;器皿;血管
verb	動詞	很;非常	船,艦;器皿;血管	醋
very 	很;非常	船,艦;器皿;血管	醋	違反
vessel	船,艦;器皿;血管	醋	違反	違反
vinegar	醋	違反	違反	未玷污的
violate	違反	違反	未玷污的	美德;優點
violation	違反	未玷污的	美德;優點	病毒
virgin	未玷污的	美德;優點	病毒	視力的;光學的
virtue	美德;優點	病毒	視力的;光學的	充滿活力的;致命的
virus	病毒	視力的;光學的	充滿活力的;致命的	火山
visual	視力的;光學的	充滿活力的;致命的	火山	自願的
vital	充滿活力的;致命的	火山	自願的	自願(做)
volcano	火山	自願的	自願(做)	母音字母
voluntary	自願的	自願(做)	母音字母	航行;旅行
volunteer	自願(做)	母音字母	航行;旅行	核桃
vowel	母音字母	航行;旅行	核桃	網站
voyage	航行;旅行	核桃	網站	每週的;一週一次的
walnut	核桃	網站	每週的;一週一次的	福利;社會救濟
website	網站	每週的;一週一次的	福利;社會救濟	機智;風趣
weekly	每週的;一週一次的	福利;社會救濟	機智;風趣	女巫,巫婆
welfare	福利;社會救濟	機智;風趣	女巫,巫婆	提取
wit	機智;風趣	女巫,巫婆	提取	目擊;為...作證
witch/wizard	女巫,巫婆	提取	目擊;為...作證	遇難;受到破壞
withdraw	提取	目擊;為...作證	遇難;受到破壞	起皺紋
witness	目擊;為...作證	遇難;受到破壞	起皺紋	每年的
wreck	遇難;受到破壞	起皺紋	每年的	優格
wrinkle	起皺紋	每年的	優格	年輕的;富青春活力的
yearly	每年的	優格	年輕的;富青春活力的	攝氏的
yogurt	優格	年輕的;富青春活力的	攝氏的	計劃
youthful 	年輕的;富青春活力的	攝氏的	計劃	忍受
