盆地 (ぼんち)	basin 	each time	pillow	to taste
攻める (せめる)	to attack	attending 	private railway	life span
在学 (ざいがく)	attending 	private railway	life span	gathering
私鉄 (してつ)	private railway	life span	gathering	to pile up
寿命 (じゅみょう)	life span	gathering	to pile up	pure
集合 (しゅうごう)	gathering	to pile up	pure	police officer
重ねる (かさねる)	to pile up	pure	police officer	book
純粋 (じゅんすい)	pure	police officer	book	first 10 days of month
巡査 (じゅんさ)	police officer	book	first 10 days of month	worker
書籍 (しょせき)	book	first 10 days of month	worker	social position
上旬 (じょうじゅん)	first 10 days of month	worker	social position	gender
職人 (しょくにん)	worker	social position	gender	cleaning
身分 (みぶん)	social position	gender	cleaning	getting closer
性別 (せいべつ)	gender	cleaning	getting closer	amateur
清掃 (せいそう)	cleaning	getting closer	amateur	prime minister 
接近 (せっきん)	getting closer	amateur	prime minister 	plain
素人 (しろうと)	amateur	prime minister 	plain	relative length 
総理大臣 (そうりだいじん)	prime minister 	plain	relative length 	precise
地味 (じみ)	plain	relative length 	precise	South Pole 
長短 (ちょうたん)	relative length 	precise	South Pole 	firing
的確 (てきかく)	precise	South Pole 	firing	weekday
南極 (なんきょく)	South Pole 	firing	weekday	plain
発射 (はっしゃ)	firing	weekday	plain	to bury 
平日 (へいじつ)	weekday	plain	to bury 	full house
平野 (へいや)	plain	to bury 	full house	lava
埋める (うめる)	to bury 	full house	lava	use
満員 (まんいん)	full house	lava	use	science 
溶岩 (ようがん)	lava	use	science 	audio recording
用途 (ようと)	use	science 	audio recording	footprints 
理科 (りか)	science 	audio recording	footprints 	lump
録音 (ろくおん)	audio recording	footprints 	lump	acquaintance
足跡 (あしあと)	footprints 	lump	acquaintance	notebook
塊 (かたまり)	lump	acquaintance	notebook	echo
知り合い (しりあい)	acquaintance	notebook	echo	discount
手帳 (てちょう)	notebook	echo	discount	low-lying part of a city 
響き (ひびき)	echo	discount	low-lying part of a city 	quite
割引 (わりびき)	discount	low-lying part of a city 	quite	fireworks
下町 (したまち)	low-lying part of a city 	quite	fireworks	course
何とも (なんとも)	quite	fireworks	course	probability
花火 (はなび)	fireworks	course	probability	academic year
課程 (かてい)	course	probability	academic year	printing type
確率 (かくりつ)	probability	academic year	printing type	atmospheric pressure
学年 (がくねん)	academic year	printing type	atmospheric pressure	guest seating 
活字 (かつじ)	printing type	atmospheric pressure	guest seating 	system 
気圧 (きあつ)	atmospheric pressure	guest seating 	system 	blood pressure
客席 (きゃくせき)	guest seating 	system 	blood pressure	prefectural office
系統 (けいとう)	system 	blood pressure	prefectural office	achievements
血圧 (けつあつ)	blood pressure	prefectural office	achievements	affirmation 
県庁 (けんちょう)	prefectural office	achievements	affirmation 	to raise
功績 (こうせき)	achievements	affirmation 	to raise	four seasons
肯定 (こうてい)	affirmation 	to raise	four seasons	paper money
高める (たかめる)	to raise	four seasons	paper money	purple
四季 (しき)	four seasons	paper money	purple	national holiday
紙幣 (しへい)	paper money	purple	national holiday	wife 
紫 (むらさき)	purple	national holiday	wife 	victory or defeat
祝日 (しゅくじつ)	national holiday	wife 	victory or defeat	ascent
女房 (にょうぼう)	wife 	victory or defeat	ascent	advanced level
勝敗 (しょうはい)	victory or defeat	ascent	advanced level	mind and body
上り (のぼり)	ascent	advanced level	mind and body	God
上級 (じょうきゅう)	advanced level	mind and body	God	Wednesday
心身 (しんしん)	mind and body	God	Wednesday	nature
神様 (かみさま)	God	Wednesday	nature	to touch
水曜 (すいよう)	Wednesday	nature	to touch	railway track
性質 (せいしつ)	nature	to touch	railway track	difference
接する (せっする)	to touch	railway track	difference	waterfall 
線路 (せんろ)	railway track	difference	waterfall 	Middle Ages 
相違 (そうい)	difference	waterfall 	Middle Ages 	list price
滝 (たき)	waterfall 	Middle Ages 	list price	marks
中世 (ちゅうせい)	Middle Ages 	list price	marks	letter 
定価 (ていか)	list price	marks	letter 	children's story
点数 (てんすう)	marks	letter 	children's story	date and time
投書 (とうしょ)	letter 	children's story	date and time	cover 
童話 (どうわ)	children's story	date and time	cover 	to tell
日時 (にちじ)	date and time	cover 	to tell	kitchen knife
表紙 (ひょうし)	cover 	to tell	kitchen knife	masterpiece
物語る (ものがたる)	to tell	kitchen knife	masterpiece	business card
包丁 (ほうちょう)	kitchen knife	masterpiece	business card	duty
名作 (めいさく)	masterpiece	business card	duty	medicine
名刺 (めいし)	business card	duty	medicine	grain
役目 (やくめ)	duty	medicine	grain	freezing
薬品 (やくひん)	medicine	grain	freezing	one-by-one
粒 (つぶ)	grain	freezing	one-by-one	separately
冷凍 (れいとう)	freezing	one-by-one	separately	to branch
いちいち (一一)	one-by-one	separately	to branch	compression
別々 (べつべつ)	separately	to branch	compression	English writing
分かれる (わかれる)	to branch	compression	English writing	liquid
圧縮 (あっしゅく)	compression	English writing	liquid	to strike
英文 (えいぶん)	English writing	liquid	to strike	approval
液体 (えきたい)	liquid	to strike	approval	house
殴る (なぐる)	to strike	approval	house	to change
可決 (かけつ)	approval	house	to change	shellfish 
家屋 (かおく)	house	to change	shellfish 	expansion
改める (あらためる)	to change	shellfish 	expansion	school class
貝 (かい)	shellfish 	expansion	school class	scholarly ability
拡張 (かくちょう)	expansion	school class	scholarly ability	space
学級 (がっきゅう)	school class	scholarly ability	space	utensil
学力 (がくりょく)	scholarly ability	space	utensil	order
間隔 (かんかく)	space	utensil	order	group
器具 (きぐ)	utensil	order	group	go
規律 (きりつ)	order	group	go	official business
群れ (むれ)	group	go	official business	rope 
碁 (ご)	go	official business	rope 	line
公務 (こうむ)	official business	rope 	line	rationality
綱 (つな)	rope 	line	rationality	navy blue
行列 (ぎょうれつ)	line	rationality	navy blue	event
合理 (ごうり)	rationality	navy blue	event	descendant
紺 (こん)	navy blue	event	descendant	practice 
催し (もよおし)	event	descendant	practice 	editorial
子孫 (しそん)	descendant	practice 	editorial	weak point
実習 (じっしゅう)	practice 	editorial	weak point	juice
社説 (しゃせつ)	editorial	weak point	juice	circulation
弱点 (じゃくてん)	weak point	juice	circulation	first 10 days of the month
汁 (しる)	juice	circulation	first 10 days of the month	steam
循環 (じゅんかん)	circulation	first 10 days of the month	steam	decoration
初旬 (しょじゅん)	first 10 days of the month	steam	decoration	total darkness
蒸気 (じょうき)	steam	decoration	total darkness	hydrogen 
飾り (かざり)	decoration	total darkness	hydrogen 	water
真っ暗 (まっくら)	total darkness	hydrogen 	water	Japanese cedar 
水素 (すいそ)	hydrogen 	water	Japanese cedar 	customs
水分 (すいぶん)	water	Japanese cedar 	customs	detergent
杉 (すぎ)	Japanese cedar 	customs	detergent	complete works
税関 (ぜいかん)	customs	detergent	complete works	to compete
洗剤 (せんざい)	detergent	complete works	to compete	to belong to
全集 (ぜんしゅう)	complete works	to compete	to belong to	drum
争う (あらそう)	to compete	to belong to	drum	in the middle
属する (ぞくする)	to belong to	drum	in the middle	battery
太鼓 (たいこ)	drum	in the middle	battery	internal medicine
中途 (ちゅうと)	in the middle	battery	internal medicine	phone extension
電池 (でんち)	battery	internal medicine	phone extension	writer
内科 (ないか)	internal medicine	phone extension	writer	literature
内線 (ないせん)	phone extension	writer	literature	closure 
筆者 (ひっしゃ)	writer	literature	closure 	packing
文献 (ぶんけん)	literature	closure 	packing	famous place 
閉会 (へいかい)	closure 	packing	famous place 	subordinate
包装 (ほうそう)	packing	famous place 	subordinate	river basin
名所 (めいしょ)	famous place 	subordinate	river basin	farm 
目下 (めした)	subordinate	river basin	farm 	coal mine
流域 (りゅういき)	river basin	farm 	coal mine	diameter
牧場 (ぼくじょう)	farm 	coal mine	diameter	perfect score
炭鉱 (たんこう)	coal mine	diameter	perfect score	in a lively way
直径 (ちょっけい)	diameter	perfect score	in a lively way	draw 
満点 (まんてん)	perfect score	in a lively way	draw 	party
生き生き (いきいき)	in a lively way	draw 	party	outdoors
引き分け (ひきわけ)	draw 	party	outdoors	dryness
宴会 (えんかい)	party	outdoors	dryness	deep emotion
屋外 (おくがい)	outdoors	dryness	deep emotion	appreciation 
乾燥 (かんそう)	dryness	deep emotion	appreciation 	indirection
感激 (かんげき)	deep emotion	appreciation 	indirection	division
鑑賞 (かんしょう)	appreciation 	indirection	division	to look at again 
間接 (かんせつ)	indirection	division	to look at again 	actually
区分 (くぶん)	division	to look at again 	actually	mixing
見直す (みなおす)	to look at again 	actually	mixing	mountain forest
現に (げんに)	actually	mixing	mountain forest	garage
混合 (こんごう)	mixing	mountain forest	garage	gravity
山林 (さんりん)	mountain forest	garage	gravity	attendance 
車庫 (しゃこ)	garage	gravity	attendance 	digestion 
重力 (じゅうりょく)	gravity	attendance 	digestion 	bell 
出勤 (しゅっきん)	attendance 	digestion 	bell 	tableware
消化 (しょうか)	digestion 	bell 	tableware	invasion
鐘 (かね)	bell 	tableware	invasion	ancestor
食器 (しょっき)	tableware	invasion	ancestor	sizes 
侵入 (しんにゅう)	invasion	ancestor	sizes 	storage
先祖 (せんぞ)	ancestor	sizes 	storage	straight line
大小 (だいしょう)	sizes 	storage	straight line	power outage
貯蔵 (ちょぞう)	storage	straight line	power outage	action
直線 (ちょくせん)	straight line	power outage	action	fragment
停電 (ていでん)	power outage	action	fragment	to tie
動作 (どうさ)	action	fragment	to tie	beauty of figure or form
破片 (はへん)	fragment	to tie	beauty of figure or form	prevention of crime
縛る (しばる)	to tie	beauty of figure or form	prevention of crime	folk song
美容 (びよう)	beauty of figure or form	prevention of crime	folk song	countless number
防犯 (ぼうはん)	prevention of crime	folk song	countless number	famous product
民謡 (みんよう)	folk song	countless number	famous product	mailing
無数 (むすう)	countless number	famous product	mailing	too many
名物 (めいぶつ)	famous product	mailing	too many	point
郵送 (ゆうそう)	mailing	too many	point	to wring 
余計 (よけい)	too many	point	to wring 	seriously ill
要領 (ようりょう)	point	to wring 	seriously ill	moving 
絞る (しぼる)	to wring 	seriously ill	moving 	horticulture
重体 (じゅうたい)	seriously ill	moving 	horticulture	greenhouse
引っ越し (ひっこし)	moving 	horticulture	greenhouse	fruit
園芸 (えんげい)	horticulture	greenhouse	fruit	examination of tickets 
温室 (おんしつ)	greenhouse	fruit	examination of tickets 	grey
果実 (かじつ)	fruit	examination of tickets 	grey	shell
改札 (かいさつ)	examination of tickets 	grey	shell	inverted
灰色 (はいいろ)	grey	shell	inverted	rest
殻 (から)	shell	inverted	rest	masterpiece
逆さ (さかさ)	inverted	rest	masterpiece	monthly salary
休養 (きゅうよう)	rest	masterpiece	monthly salary	modest
傑作 (けっさく)	masterpiece	monthly salary	modest	effect
月給 (げっきゅう)	monthly salary	modest	effect	excuse
謙虚 (けんきょ)	modest	effect	excuse	filial piety
効力 (こうりょく)	effect	excuse	filial piety	marking
口実 (こうじつ)	excuse	filial piety	marking	triangle
孝行 (こうこう)	filial piety	marking	triangle	care
採点 (さいてん)	marking	triangle	care	going in and out
三角 (さんかく)	triangle	care	going in and out	pocket money
手入れ (ていれ)	care	going in and out	pocket money	lips
出入り (でいり)	going in and out	pocket money	lips	to aim at 
小遣い (こづかい)	pocket money	lips	to aim at 	funeral
唇 (くちびる)	lips	to aim at 	funeral	title
狙う (ねらう)	to aim at 	funeral	title	excess
葬式 (そうしき)	funeral	title	excess	passage
題名 (だいめい)	title	excess	passage	theft
超過 (ちょうか)	excess	passage	theft	mountain pass
通路 (つうろ)	passage	theft	mountain pass	radius
盗難 (とうなん)	theft	mountain pass	radius	distribution
峠 (とうげ)	mountain pass	radius	distribution	telescope
半径 (はんけい)	radius	distribution	telescope	sumi
分布 (ぶんぷ)	distribution	telescope	sumi	the number of flat things 
望遠鏡 (ぼうえんきょう)	telescope	sumi	the number of flat things 	bell 
墨 (すみ)	sumi	the number of flat things 	bell 	passage
枚数 (まいすう)	the number of flat things 	bell 	passage	to catch
鈴 (すず)	bell 	passage	to catch	reflection 
箇所 (かしょ)	passage	to catch	reflection 	railway crossing
捉える (とらえる)	to catch	reflection 	railway crossing	thank you for your hard work
反映 (はんえい)	reflection 	railway crossing	thank you for your hard work	on and after
踏切 (ふみきり)	railway crossing	thank you for your hard work	on and after	to build up
ご苦労様 (ごくろうさま)	thank you for your hard work	on and after	to build up	to be caught in
以降 (いこう)	on and after	to build up	to be caught in	reception 
なす (為す)	to build up	to be caught in	reception 	dealing with 
引っかかる (ひっかかる)	to be caught in	reception 	dealing with 	descent
応接 (おうせつ)	reception 	dealing with 	descent	street corner
応対 (おうたい)	dealing with 	descent	street corner	hedge
下降 (かこう)	descent	street corner	hedge	canned food
街角 (まちかど)	street corner	hedge	canned food	dangerous
垣根 (かきね)	hedge	canned food	dangerous	symbol
缶詰 (かんづめ)	canned food	dangerous	symbol	fisherman
危うい (あやうい)	dangerous	symbol	fisherman	to bring near
記号 (きごう)	symbol	fisherman	to bring near	to call out to
漁師 (りょうし)	fisherman	to bring near	to call out to	to mince
近づける (ちかづける)	to bring near	to call out to	to mince	to mix
呼びかける (よびかける)	to call out to	to mince	to mix	to deify
刻む (きざむ)	to mince	to mix	to deify	sashimi 
混ぜる (まぜる)	to mix	to deify	sashimi 	example
祭る (まつる)	to deify	sashimi 	example	receiving
刺身 (さしみ)	sashimi 	example	receiving	the head
実例 (じつれい)	example	receiving	the head	vinegar
受取り (うけとり)	receiving	the head	vinegar	rough 
真っ先 (まっさき)	the head	vinegar	rough 	place name
酢 (す)	vinegar	rough 	place name	head
大雑把 (おおざっぱ)	rough 	place name	head	soliloquy
地名 (ちめい)	place name	head	soliloquy	to distribute
頭脳 (ずのう)	head	soliloquy	to distribute	cynicism
独り言 (ひとりごと)	soliloquy	to distribute	cynicism	balloon 
配る (くばる)	to distribute	cynicism	balloon 	classification
皮肉 (ひにく)	cynicism	balloon 	classification	soldier
風船 (ふうせん)	balloon 	classification	soldier	dialect
分類 (ぶんるい)	classification	soldier	dialect	infinity
兵隊 (へいたい)	soldier	dialect	infinity	fur
方言 (ほうげん)	dialect	infinity	fur	to dissolve 
無限 (むげん)	infinity	fur	to dissolve 	powerful
毛皮 (けがわ)	fur	to dissolve 	powerful	to address 
溶かす (とかす)	to dissolve 	powerful	to address 	warrior
力強い (ちからづよい)	powerful	to address 	warrior	both sides
話しかける (はなしかける)	to address 	warrior	both sides	registered mail
武士 (ぶし)	warrior	both sides	registered mail	short 
両側 (りょうがわ)	both sides	registered mail	short 	hand towel
書留 (かきとめ)	registered mail	short 	hand towel	to be ready
短編 (たんぺん)	short 	hand towel	to be ready	roadside tree
手ぬぐい (てぬぐい)	hand towel	to be ready	roadside tree	transfer 
整う (ととのう)	to be ready	roadside tree	transfer 	sunlight
並木 (なみき)	roadside tree	transfer 	sunlight	to be resurrected
乗り換え (のりかえ)	transfer 	sunlight	to be resurrected	visit 
日差し (ひざし)	sunlight	to be resurrected	visit 	bow
蘇る (よみがえる)	to be resurrected	visit 	bow	unexpectedly
お参り (おまいり)	visit 	bow	unexpectedly	great
お辞儀 (おじぎ)	bow	unexpectedly	great	to put on airs
案外 (あんがい)	unexpectedly	great	to put on airs	malicious
えらい (偉い)	great	to put on airs	malicious	latitude 
威張る (いばる)	to put on airs	malicious	latitude 	necessities of life 
意地悪 (いじわる)	malicious	latitude 	necessities of life 	in general
緯度 (いど)	latitude 	necessities of life 	in general	to turn back
衣食住 (いしょくじゅう)	necessities of life 	in general	to turn back	to draw back
一通り (ひととおり)	in general	to turn back	to draw back	attraction 
引き返す (ひきかえす)	to turn back	to draw back	attraction 	sliding storm shutter
引っ込む (ひっこむ)	to draw back	attraction 	sliding storm shutter	canal
引力 (いんりょく)	attraction 	sliding storm shutter	canal	to be reflected
雨戸 (あまど)	sliding storm shutter	canal	to be reflected	English-Japanese 
運河 (うんが)	canal	to be reflected	English-Japanese 	chimney
映る (うつる)	to be reflected	English-Japanese 	chimney	gloss
英和 (えいわ)	English-Japanese 	chimney	gloss	excursion
煙突 (えんとつ)	chimney	gloss	excursion	to pollute
艶 (つや)	gloss	excursion	to pollute	princess
遠足 (えんそく)	excursion	to pollute	princess	fusuma
汚す (よごす)	to pollute	princess	fusuma	to sell wholesale 
王女 (おうじょ)	princess	fusuma	to sell wholesale 	temperate zone
襖 (ふすま)	fusuma	to sell wholesale 	temperate zone	to descend
卸す (おろす)	to sell wholesale 	temperate zone	to descend	draft
温帯 (おんたい)	temperate zone	to descend	draft	drainage
下る (くだる)	to descend	draft	drainage	geta
下書き (したがき)	draft	drainage	geta	vulgar
下水 (げすい)	drainage	geta	vulgar	assumption
下駄 (げた)	geta	vulgar	assumption	at any rate
下品 (げひん)	vulgar	assumption	at any rate	some
仮定 (かてい)	assumption	at any rate	some	landlord
なにしろ (何しろ)	at any rate	some	landlord	bride
何分 (なにぶん)	some	landlord	bride	mosquito
家主 (やぬし)	landlord	bride	mosquito	answer
花嫁 (はなよめ)	bride	mosquito	answer	detour
蚊 (か)	mosquito	answer	detour	book of tickets
解答 (かいとう)	answer	detour	book of tickets	clear weather
回り道 (まわりみち)	detour	book of tickets	clear weather	dear 
回数券 (かいすうけん)	book of tickets	clear weather	dear 	another time
快晴 (かいせい)	clear weather	dear 	another time	swimming in the ocean
懐かしい (なつかしい)	dear 	another time	swimming in the ocean	paint
改めて (あらためて)	another time	swimming in the ocean	paint	opening 
海水浴 (かいすいよく)	swimming in the ocean	paint	opening 	to be disconnected
絵の具 (えのぐ)	paint	opening 	to be disconnected	introduction
開通 (かいつう)	opening 	to be disconnected	introduction	cover
外れる (はずれる)	to be disconnected	introduction	cover	each 
概論 (がいろん)	introduction	cover	each 	particular
ふた (蓋)	cover	each 	particular	to separate 
各自 (かくじ)	each 	particular	to separate 	iron pot
格別 (かくべつ)	particular	to separate 	iron pot	to dry 
隔てる (へだてる)	to separate 	iron pot	to dry 	dry cell
釜 (かま)	iron pot	to dry 	dry cell	misunderstanding
乾かす (かわかす)	to dry 	dry cell	misunderstanding	ventilation
乾電池 (かんでんち)	dry cell	misunderstanding	ventilation	to pamper
勘違い (かんちがい)	misunderstanding	ventilation	to pamper	nursing 
換気 (かんき)	ventilation	to pamper	nursing 	loose 
甘やかす (あまやかす)	to pamper	nursing 	loose 	idea
看病 (かんびょう)	nursing 	loose 	idea	somewhat
緩い (ゆるい)	loose 	idea	somewhat	locomotive
観念 (かんねん)	idea	somewhat	locomotive	to send 
幾分 (いくぶん)	somewhat	locomotive	to send 	gas
機関車 (きかんしゃ)	locomotive	to send 	gas	rising
帰す (かえす)	to send 	gas	rising	to starve
気体 (きたい)	gas	rising	to starve	to be packed 
起床 (きしょう)	rising	to starve	to be packed 	cancellation 
飢える (うえる)	to starve	to be packed 	cancellation 	rest
詰まる (つまる)	to be packed 	cancellation 	rest	saw 
休講 (きゅうこう)	cancellation 	rest	saw 	feeling obliged
休息 (きゅうそく)	rest	saw 	feeling obliged	to be taught 
のこぎり (鋸)	saw 	feeling obliged	to be taught 	buckwheat 
恐縮 (きょうしゅく)	feeling obliged	to be taught 	buckwheat 	to surprise
教わる (おそわる)	to be taught 	buckwheat 	to surprise	to bend
そば (蕎麦)	buckwheat 	to surprise	to bend	curve
驚かす (おどろかす)	to surprise	to bend	curve	to approach
曲げる (まげる)	to bend	curve	to approach	goldfish
曲線 (きょくせん)	curve	to approach	goldfish	punctuation mark
近寄る (ちかよる)	to approach	goldfish	punctuation mark	pains
金魚 (きんぎょ)	goldfish	punctuation mark	pains	empty
句読点 (くとうてん)	punctuation mark	pains	empty	daydream
苦心 (くしん)	pains	empty	daydream	even number
空っぽ (からっぽ)	empty	daydream	even number	comb
空想 (くうそう)	daydream	even number	comb	to dig
偶数 (ぐうすう)	even number	comb	to dig	district
櫛 (くし)	comb	to dig	district	adjective
掘る (ほる)	to dig	district	adjective	honorific
郡 (ぐん)	district	adjective	honorific	practice
形容詞 (けいようし)	adjective	honorific	practice	longitude
敬語 (けいご)	honorific	practice	longitude	crevice
稽古 (けいこ)	practice	longitude	crevice	column
経度 (けいど)	longitude	crevice	column	time
隙間 (すきま)	crevice	column	time	end of the month
桁 (けた)	column	time	end of the month	to be unable to
月日 (つきひ)	time	end of the month	to be unable to	menu
月末 (げつまつ)	end of the month	to be unable to	menu	to overlook
かねる (兼ねる)	to be unable to	menu	to overlook	sample
献立 (こんだて)	menu	to overlook	sample	precipitous
見下ろす (みおろす)	to overlook	sample	precipitous	microscope
見本 (みほん)	sample	precipitous	microscope	origin
険しい (けわしい)	precipitous	microscope	origin	to begin to say
顕微鏡 (けんびきょう)	microscope	origin	to begin to say	speech
原始 (げんし)	origin	to begin to say	speech	to summon
言い出す (いいだす)	to begin to say	speech	to summon	to harden
言葉遣い (ことばづかい)	speech	to summon	to harden	cupboard
呼び出す (よびだす)	to summon	to harden	cupboard	to wither 
固まる (かたまる)	to harden	cupboard	to wither 	paste
戸棚 (とだな)	cupboard	to wither 	paste	the Japanese syllabary
枯れる (かれる)	to wither 	paste	the Japanese syllabary	crossing
糊 (のり)	paste	the Japanese syllabary	crossing	beam
五十音 (ごじゅうおん)	the Japanese syllabary	crossing	beam	the public
交差 (こうさ)	crossing	beam	the public	lipstick
光線 (こうせん)	beam	the public	lipstick	likes and dislikes
公衆 (こうしゅう)	the public	lipstick	likes and dislikes	to spread
口紅 (くちべに)	lipstick	likes and dislikes	to spread	busy
好き嫌い (すききらい)	likes and dislikes	to spread	busy	to become confused 
広める (ひろめる)	to spread	busy	to become confused 	to get late
慌ただしい (あわただしい)	busy	to become confused 	to get late	schoolyard
慌てる (あわてる)	to become confused 	to get late	schoolyard	to till
更ける (ふける)	to get late	schoolyard	to till	rough
校庭 (こうてい)	schoolyard	to till	rough	abruptly
耕す (たがやす)	to till	rough	abruptly	mineral
荒い (あらい)	rough	abruptly	mineral	perfume
いきなり (行き成り)	abruptly	mineral	perfume	to sit 
鉱物 (こうぶつ)	mineral	perfume	to sit 	seat
香水 (こうすい)	perfume	to sit 	seat	resentment
腰掛ける (こしかける)	to sit 	seat	resentment	to bear a grudge against
腰掛け (こしかけ)	seat	resentment	to bear a grudge against	deduction
恨み (うらみ)	resentment	to bear a grudge against	deduction	zabuton 
恨む (うらむ)	to bear a grudge against	deduction	zabuton 	tatami room
差し引き (さしひき)	deduction	zabuton 	tatami room	pressing
座布団 (ざぶとん)	zabuton 	tatami room	pressing	calamity
座敷 (ざしき)	tatami room	pressing	calamity	sewing
催促 (さいそく)	pressing	calamity	sewing	lumber
災難 (さいなん)	calamity	sewing	lumber	manufacture
裁縫 (さいほう)	sewing	lumber	manufacture	to shave 
材木 (ざいもく)	lumber	manufacture	to shave 	deletion
作製 (さくせい)	manufacture	to shave 	deletion	index 
削る (けずる)	to shave 	deletion	index 	to print 
削除 (さくじょ)	deletion	index 	to print 	noise 
索引 (さくいん)	index 	to print 	noise 	new moon
刷る (する)	to print 	noise 	new moon	miserable
雑音 (ざつおん)	noise 	new moon	miserable	to be in disorder
三日月 (みかづき)	new moon	miserable	to be in disorder	to scatter
惨め (みじめ)	miserable	to be in disorder	to scatter	to fall 
散らかる (ちらかる)	to be in disorder	to scatter	to fall 	arithmetic
散らす (ちらす)	to scatter	to fall 	arithmetic	sour
散る (ちる)	to fall 	arithmetic	sour	to stick into 
算数 (さんすう)	arithmetic	sour	to stick into 	to pierce
酸っぱい (すっぱい)	sour	to stick into 	to pierce	quadrilateral
刺さる (ささる)	to stick into 	to pierce	quadrilateral	square
刺す (さす)	to pierce	quadrilateral	square	rounding 
四角 (しかく)	quadrilateral	square	rounding 	continuously
四角い (しかくい)	square	rounding 	continuously	to be under impression that
四捨五入 (ししゃごにゅう)	rounding 	continuously	to be under impression that	fat
始終 (しじゅう)	continuously	to be under impression that	fat	urgent
思い込む (おもいこむ)	to be under impression that	fat	urgent	gear
脂 (あぶら)	fat	urgent	gear	bringing
至急 (しきゅう)	urgent	gear	bringing	timetable 
歯車 (はぐるま)	gear	bringing	timetable 	to rank next to
持参 (じさん)	bringing	timetable 	to rank next to	to govern
時間割 (じかんわり)	timetable 	to rank next to	to govern	magnet 
次ぐ (つぐ)	to rank next to	to govern	magnet 	self-study
治める (おさめる)	to govern	magnet 	self-study	natural science
磁石 (じしゃく)	magnet 	self-study	natural science	disappointed love
自習 (じしゅう)	self-study	natural science	disappointed love	to become damp
自然科学 (しぜんかがく)	natural science	disappointed love	to become damp	moisture
失恋 (しつれん)	disappointed love	to become damp	moisture	level of humidity
湿る (しめる)	to become damp	moisture	level of humidity	to bear fruit
湿気 (しっけ)	moisture	level of humidity	to bear fruit	real thing
湿度 (しつど)	level of humidity	to bear fruit	real thing	stripe
実る (みのる)	to bear fruit	real thing	stripe	to be photographed
実物 (じつぶつ)	real thing	stripe	to be photographed	sketching
縞 (しま)	stripe	to be photographed	sketching	slanting
写る (うつる)	to be photographed	sketching	slanting	to boil
写生 (しゃせい)	sketching	slanting	to boil	social science
斜め (ななめ)	slanting	to boil	social science	train conductor
煮る (にる)	to boil	social science	train conductor	car wheel
社会科学 (しゃかいかがく)	social science	train conductor	car wheel	faucet
車掌 (しゃしょう)	train conductor	car wheel	faucet	to take out
車輪 (しゃりん)	car wheel	faucet	to take out	to cancel
蛇口 (じゃぐち)	faucet	to take out	to cancel	wrist
取り出す (とりだす)	to take out	to cancel	wrist	washing one's hands
取り消す (とりけす)	to cancel	wrist	washing one's hands	to take 
手首 (てくび)	wrist	washing one's hands	to take 	telephone receiver
手洗い (てあらい)	washing one's hands	to take 	telephone receiver	repair
受け持つ (うけもつ)	to take 	telephone receiver	repair	terminus
受話器 (じゅわき)	telephone receiver	repair	terminus	ugly
修繕 (しゅうぜん)	repair	terminus	ugly	to be piled up
終点 (しゅうてん)	terminus	ugly	to be piled up	company director
醜い (みにくい)	ugly	to be piled up	company director	to shrink
重なる (かさなる)	to be piled up	company director	to shrink	kanji compound 
重役 (じゅうやく)	company director	to shrink	kanji compound 	meeting
縮む (ちぢむ)	to shrink	kanji compound 	meeting	completion
熟語 (じゅくご)	kanji compound 	meeting	completion	to be completed
出迎え (でむかえ)	meeting	completion	to be completed	pure heart
出来上がり (できあがり)	completion	to be completed	pure heart	to go around 
出来上がる (できあがる)	to be completed	pure heart	to go around 	order
純情 (じゅんじょう)	pure heart	to go around 	order	elementary level
めぐる (巡る)	to go around 	order	elementary level	to be saved
順序 (じゅんじょ)	order	elementary level	to be saved	opportunity
初級 (しょきゅう)	elementary level	to be saved	opportunity	little finger
助かる (たすかる)	to be saved	opportunity	little finger	tokonoma 
ついで (序で)	opportunity	little finger	tokonoma 	to hear
小指 (こゆび)	little finger	tokonoma 	to hear	disinfection
床の間 (とこのま)	tokonoma 	to hear	disinfection	to burn
承る (うけたまわる)	to hear	disinfection	to burn	to shine on
消毒 (しょうどく)	disinfection	to burn	to shine on	to shine 
焦げる (こげる)	to burn	to shine on	to shine 	omission
照らす (てらす)	to shine on	to shine 	omission	prize
照る (てる)	to shine 	omission	prize	shoji 
省略 (しょうりゃく)	omission	prize	shoji 	boarding 
賞品 (しょうひん)	prize	shoji 	boarding 	humid
障子 (しょうじ)	shoji 	boarding 	humid	to steam 
乗車 (じょうしゃ)	boarding 	humid	to steam 	evaporation 
蒸し暑い (むしあつい)	humid	to steam 	evaporation 	to believe
蒸す (むす)	to steam 	evaporation 	to believe	sleep-wear
蒸発 (じょうはつ)	evaporation 	to believe	sleep-wear	having in mind
信ずる (しんずる)	to believe	sleep-wear	having in mind	to know
寝巻き (ねまき)	sleep-wear	having in mind	to know	to deepen
心当たり (こころあたり)	having in mind	to know	to deepen	thumb
心得る (こころえる)	to know	to deepen	thumb	to examine 
深まる (ふかまる)	to deepen	thumb	to examine 	wire
親指 (おやゆび)	thumb	to examine 	wire	artificial
診る (みる)	to examine 	wire	artificial	pedestrian traffic
針金 (はりがね)	wire	artificial	pedestrian traffic	humanities
人造 (じんぞう)	artificial	pedestrian traffic	humanities	extreme
人通り (ひとどおり)	pedestrian traffic	humanities	extreme	figure
