一毛[不拔]	形容人非常吝嗇。貶義。
慷慨[解囊]	指輕財仗義，毫不吝嗇地捐助錢財給人。
按兵[不動]	形容暫時不採取行動。
荒謬[絕倫]	形容荒唐、錯誤到了極點。貶義。
盲人[瞎馬]	比喻茫然不知處境極為危險。
蚍蜉[撼樹]	比喻不自量力。
深惡[痛絕]	厭惡、痛恨到極點。
斬釘[截鐵]	形容說話辦事堅決果斷，毫不猶豫。
殊途[同歸]	比喻採取的方法雖不同，所得的結果卻相同。
千變[萬化]	形容變化無窮。
弱肉[強食]	比喻強者欺凌、吞併弱者。
得不[償失]	表示所得不足以抵補所失。
冥頑[不靈]	愚昧頑固而不通靈性。貶義。
眾口[鑠金]	比喻眾口同聲，往往積非成是。
東食[西宿]	比喻企圖兼有兩利，貪得無厭。
歌功[頌德]	歌頌功績和恩德。
望洋[興嘆]	比喻因力量不夠而感到無可奈何。
望風[披靡]	形容為強大的氣勢所壓倒。
好逸[惡勞]	貪圖安逸而不願勞動。貶義。
嬌生[慣養]	在備受寵愛縱容中成長。
應對[如流]	形容才思敏捷，對答流利。褒義。
蓋棺[論定]	人一生的是非功過，要到死後才能論定。＆比喻事情最後已有結論。
樂極[生悲]	歡樂到了極點，往往會轉生悲哀。
雪泥[鴻爪]	比喻往事所遺留的痕跡。
揚湯[止沸]	比喻暫時紓解困境，無法根本解決問題。
無孔[不入]	任何空隙沒有不鑽進去的。＆比喻善於鑽營。貶義。
鵬程[萬里]	比喻前程遠大，不可限量。
貪小[失大]	因貪圖小利而造成重大損失。
單刀[直入]	比喻直截了當，不繞圈子。
逢場[作戲]	比喻隨事應景，藉機遊戲玩耍一番，並非正經。
頭頭[是道]	指道無所不在。＆形容言語清楚明白，有條理。褒義。
聚沙[成塔]	比喻積少成多。
養精[蓄銳]	保養精神，積蓄力量。
橫行[霸道]	形容凶橫不講理。貶義。
集腋[成裘]	比喻積少成多。
羊質[虎皮]	比喻虛有其表。貶義。
責無[旁貸]	自己應盡的責任，沒有理由推卸。
幸災[樂禍]	指對於他人的不幸遭遇引以為樂。貶義。
陽奉[陰違]	表面上裝著遵守奉行，暗地裡卻違反不照辦。貶義。
異曲[同工]	不同的作法收到同樣的功效。
懷才[不遇]	懷有才能卻際遇不佳，不受重用。
無理[取鬧]	比喻不合情理的吵鬧或故意搗亂。貶義。
隨聲[附和]	自己沒有主見，只迎合他人的意見。
旗開[得勝]	比喻事情才一開始就獲得成功。
咄咄[怪事]	指令人感到驚訝，不可思議的事情。
披荊[斬棘]	比喻克服困難，掃除障礙。
葉落[歸根]	比喻久居異地之人返回家鄉。
牽強[附會]	生拉硬扯，勉強湊合。
連篇[累牘]	形容文章篇幅冗長。
家徒[四壁]	形容家境極為貧困。
並駕[齊驅]	並排駕車，齊頭奔馳。＆比喻彼此實力相當，不分軒輊。
義憤[填膺]	指胸中充滿因正義而激起的憤怒。
揚眉[吐氣]	形容擺脫長期壓抑後的暢快神情。
畫餅[充飢]	比喻徒具虛名而無益於實際。
起死[回生]	使瀕死的人復生。＆比喻毫無希望的情勢扭轉過來。
多多[益善]	愈多愈好。
阮囊[羞澀]	形容錢財窘乏，經濟困難。
姑妄[言之]	姑且隨便說說，表示說的不一定是正確的話。
大名[鼎鼎]	形容人的名氣聲望很大。
千頭[萬緒]	形容事情雜亂，頭緒紛繁，難以處理。
千軍[萬馬]	形容兵馬眾多，聲勢浩大。
左顧[右盼]	左看右看，四處觀察。＆顧慮太多，猶豫不決的樣子。
各有[千秋]	各有長處和特色或各有其長期存在的價值。
化險[為夷]	轉化危險為平安。
不著[邊際]	比喻言論空泛或想法不切實際。
不可[思議]	比喻出乎常情，令人無法想像，難以理解。
風雨[飄搖]	受風雨的吹打而搖晃。＆比喻時局動蕩不安，極不穩定。
大智[若愚]	表示具有極高智慧的人，往往表面上看起來似乎愚笨。
眾叛[親離]	形容不得人心，處境孤立。
三從[四德]	指舊時社會婦女必須具備的德性。
以逸[待勞]	說明用兵者養精蓄銳，以安逸等待疲憊的敵人，而予以痛擊則可勝。
人心[不古]	感嘆現在的人，失去古人的忠厚淳樸。貶義。
十室[九空]	形容天災人禍造成人民窮困散亡的淒涼景象。
九霄[雲外]	比喻天上極其高遠之處。
立竿[見影]	比喻迅速收到成效。
一盤[散沙]	比喻人心渙散，缺乏凝合的力量，不能團結起來。
因材[施教]	依據受教者不同的資材，而給予不同的教導。
錦囊[妙計]	比喻預先規劃以應付意外、解決危急的有效方法。
一目[了然]	看一眼就完全清楚明白。
好事[多磨]	形容男女佳期不順。＆形容事情進行不順，常遇挫折。
目光[如炬]	形容目光有神。＆比喻見事透澈，識見遠大。褒義。
生不[逢辰]	比喻遇不到好時機，命運坎坷。
目光[如豆]	形容目光短淺，見識狹窄。
全軍[覆沒]	比喻完全喪失或澈底失敗。
避重[就輕]	避開艱難繁重的工作，而選擇輕鬆容易的。＆比喻避開主要的問題，而只談些無關緊要的事。
矯揉[造作]	形容刻意地人工施為與雕琢。貶義。＆形容裝腔作勢、刻意做作的態度。貶義。
老謀[深算]	形容人精明老練，計慮深遠。
分崩[離析]	形容國家或集團的分裂瓦解。
同歸[於盡]	比喻一同毀滅或死亡。
終南[捷徑]	比喻可以達到求官、求名、求利的便捷途徑。
刮目[相看]	形容用新的眼光來看人。
五光[十色]	形容景色鮮麗複雜，光彩奪目。＆比喻內容豐富，變化萬端。
引人[入勝]	引領人進入美麗玄妙的境地。
牛刀[小試]	比喻有大才能，在小事上施展。
年高[德劭]	指年紀大而品德好。褒義。
守望[相助]	形容相互幫助，共同守衛、瞭望。
妙手[回春]	比喻醫師的醫術高明，能治好重病。褒義。＆比喻將頹勢扭轉起來。
天翻[地覆]	形容巨大地改變原有的情狀。
肝腦[塗地]	形容慘死之狀。＆比喻人盡忠竭力，不惜犧牲生命之意。
快馬[加鞭]	形容快上加快。
志同[道合]	彼此的志趣和理想一致。
冷言[冷語]	含有譏諷意味的冷冰冰的話。
千里[鵝毛]	比喻禮物雖輕但情意深重。
衣錦[還鄉]	形容人功成名就後榮歸故鄉。
言之[有物]	指言論或文章有根據、有內容。褒義。
投機[取巧]	利用時機，獲取利益。貶義。
磨杵[成針]	比喻只要有恆心，努力去做，無論多麼困難的事，都可以成功。
流言[蜚語]	泛指謠言。
溫故[知新]	複習學過的課業，而能領悟出新的道理。
狼心[狗肺]	比喻人心腸狠毒，毫無良心。貶義。
殺人[越貨]	殺人搶劫。
頑石[點頭]	比喻說理透澈，使人心服。
罪魁[禍首]	領導或策劃肇禍犯罪的首要人物。貶義。
冤家[路窄]	仇人或不願見到的人，偏在狹小的路上相遇，無法躲避。
珠圓[玉潤]	比喻文詞、歌聲、字跡的流利、圓潤、娟秀。
焦頭[爛額]	燒焦頭，灼爛額。形容救火時為火燒灼得很嚴重。＆比喻做事陷入十分狼狽窘迫的困境或犧牲慘重。
德高[望重]	形容人品德高尚，極有聲望。褒義。
銳不[可當]	形容氣勢威猛，所向無敵。
胡作[非為]	指不顧法紀或不講道理的任意妄為。貶義。
漏網[之魚]	比喻僥倖逃脫法網的人。＆比喻驚慌逃竄的人。
適可[而止]	指事情做到恰到好處就該停止。
無所[適從]	不知聽從誰才好。＆比喻不知如何是好。
賞心[悅目]	形容情景美好，使心目都感到快樂舒暢。
錙銖[必較]	計較小錢。貶義。＆形容對很小的事十分計較。
苟且[偷安]	形容得過且過，只圖眼前安逸，不顧將來。
指日[可待]	形容願望或期盼不久即將實現。
蛛絲[馬跡]	比喻可供尋查推求的細微線索。
藏頭[露尾]	形容言多隱諱，舉止畏縮的樣子。
離鄉[背井]	指離開故鄉，在外地生活。
尋花[問柳]	形容出外遊賞春天的景色。＆比喻狎妓。
苦心[孤詣]	指費盡心思，專心研究，達到他人所無法達到的境地。
飢不[擇食]	指飢餓的人不選擇食物。＆比喻急需時不暇選擇。
豐衣[足食]	形容生活富裕。
繁文[縟節]	形容繁縟的儀式禮節。
斯文[掃地]	指禮樂教化的典章制度被毀壞廢棄。＆指文人不顧操守，自甘墮落。
拭目[以待]	比喻期待事情的發展及結果。
風調[雨順]	風雨及時而適量。形容豐年安樂，天下太平的景象。
刻骨[銘心]	形容感受深刻，難以忘懷。
疊床[架屋]	比喻重複累贅。貶義。
風花[雪月]	比喻男女間歡愛之事。＆比喻浮華空泛的言情詩文。
觸目[驚心]	形容事情景況，令人震驚。
移樽[就教]	比喻主動向人求教。
委曲[求全]	委曲自己，遷就別人，以求保全。
康莊[大道]	四通八達的大路。＆比喻光明的前途。
南腔[北調]	形容人說話語音不純，夾雜著南北方音。＆指南北各種腔調。
風塵[僕僕]	形容奔波忙碌，旅途勞累。
咫尺[天涯]	比喻相距雖近，卻有如相隔天涯一般，無緣相見。
事在[人為]	事情的成功與否決定於人的努力。
排山[倒海]	形容力量巨大，氣勢壯闊。
眾矢[之的]	比喻眾人一致攻擊的目標。
情投[意合]	彼此的感情和心意相契合。
小時[了了]	指人在幼年時聰慧敏捷。
空谷[足音]	比喻難得的人物、言論或事物。
金玉[其外，敗絮其中]	形容外表美好而內質破敗。貶義。
一言[難盡]	事情非常複雜，無法用簡單的話把它說得清楚。
一笑[置之]	形容不當成一回事。
物極[必反]	事物發展到極點，必然會轉向發展。
推陳[出新]	比喻排除老舊的，創造出嶄新的事物或方法。
深謀[遠慮]	計畫周密而慮事深遠。
一語[道破]	謂一句話就把事理的真相說穿。
魂不[附體]	形容驚嚇過度而心不能自主。
層出[不窮]	形容接連出現，沒有止盡。
物換[星移]	比喻景物的變遷，世事的更替。
執迷[不悟]	堅持錯誤的觀念而不醒悟。貶義。
一葉[知秋]	比喻由細微的徵兆，可推知事物的演變和趨勢。
一擲[千金]	形容不惜金錢的豪舉。
入不[敷出]	收入不夠支出。
動輒[得咎]	形容人處境困難，極易受到責難。
海枯[石爛]	形容歷時久遠。＆比喻意志堅定，永久不變。
十全[十美]	比喻圓滿美好毫無缺陷的境界。褒義。
人山[人海]	形容人聚集得非常多。
不假[思索]	指不經過思考探求，立即做出反應。
不動[聲色]	形容人遇事不張揚的冷靜態度。
神機[妙算]	形容計策高明、預料準確。褒義。
輕諾[寡信]	輕易答應別人的請求，卻很少實踐諾言。貶義。
冠冕[堂皇]	形容表面莊嚴體面、氣派高貴的樣子。＆形容表面上光明正大的樣子。
大同[小異]	形容事物略有差異，但大體相同。
大言[不慚]	形容人說大話而不感到難為情。貶義。
無微[不至]	形容做事非常細心周到。褒義。
大謬[不然]	大錯特錯，與事實完全不符。
生花[妙筆]	比喻文筆美妙，寫作能力極佳。
趨炎[附勢]	奉承依附有權勢的人。貶義。
翻雲[覆雨]	形容反覆無常。＆形容人玩弄手段。＆比喻男女間床笫之事。
擢髮[難數]	形容罪狀極多，難以計數。
不合[時宜]	不符合時勢趨尚。
不遺[餘力]	形容竭盡全力，毫無保留。
不得[要領]	無法掌握要點或主旨。
一錢[不值]	比喻毫無價值。貶義。
藕斷[絲連]	比喻沒有完全斷絕關係。
心驚[肉跳]	形容恐懼不安，心神不寧。
天真[爛漫]	形容性情率真，毫不假飾。
囊空[如洗]	形容窮到極點身上連一個錢也沒有。
螳螂[捕蟬]	比喻眼光短淺，只貪圖眼前的利益而不顧後患。
心平[氣和]	形容心氣平和，不急不怒。
予取[予求]	比喻任意取求，需索無度。
高瞻[遠矚]	形容見識遠大。褒義。
三顧[茅廬]	比喻對賢才真心誠意的邀請、拜訪。
龍飛[鳳舞]	形容書法筆勢飄逸多姿。褒義。＆形容字跡潦草零亂。貶義。
心直[口快]	形容性情直率，說話不隱諱。
心血[來潮]	形容突然興起的念頭。
盤根[錯節]	樹根盤屈，枝節交錯。＆比喻事情複雜，不易分解。
權宜[之計]	因應某種時機而暫用的計謀。
耀武[揚威]	形容得意張揚的樣子。貶義。
平心[靜氣]	形容心情平和，態度冷靜。
以身[作則]	以自身行為作為他人的榜樣。
史無[前例]	指以往從未發生過。
殫精[竭慮]	指竭盡精力與思慮。
隨遇[而安]	比喻能安於所處的環境。＆比喻安於現狀，不思長進。
衣冠[楚楚]	形容男子服裝整齊出眾。
光風[霽月]	形容雨過天青後的明淨景象。＆形容人品光明磊落。褒義。
少不[更事]	形容年紀輕，經歷世事少，欠缺經驗。
回頭[是岸]	比喻悔過自新或促人向善。
神通[廣大]	形容本領、手段高明巧妙。
孤苦[伶仃]	形容孤單貧苦，無依無助。
回心[轉意]	改變心意。
獨當[一面]	獨力擔當某一方面的重任。
興師[問罪]	出兵討伐有罪者。＆前去宣布他人罪狀，並嚴加譴責。
名不[副實]	形容空有虛名，不合實際。
目不[交睫]	比喻人忙碌或心情不安而不能入眠。
寥若[晨星]	形容數量稀少。
針鋒[相對]	比喻相互對立，不相上下。
吉人[天相]	形容吉善的人自有上天的幫助。
安貧[樂道]	能安於貧困的處境，並仍以信守道義為樂。
安居[樂業]	人民生活安定和樂，且喜好自己的工作。
不識[抬舉]	指責人不接受或不自知別人的禮遇優待。
餘音[繞梁]	形容歌聲或音樂美妙感人，餘味不絕。
輕描[淡寫]	形容言論或寫作時，避開關鍵，將重點輕輕帶過。
彈丸[之地]	比喻狹小的地方。
自欺[欺人]	不但欺騙自己，也欺騙他人。貶義。
有始[無終]	比喻做事半途而廢，不能貫徹到底。貶義。
爾虞[我詐]	形容人與人之間的互相猜疑，玩弄欺騙手段。
刎頸[之交]	比喻可同生共死的至交好友。
義正[辭嚴]	義理正當，措詞嚴厲。
改頭[換面]	比喻形式雖改變，而實質未變。＆比喻一個人澈底改變，有重新做人之意。
意氣[用事]	處理事務但憑情緒，缺乏理智。
路不[拾遺]	不會撿拾路上失物，據為己有；形容社會風氣良好。褒義。
群龍[無首]	比喻一群人中缺乏領導者。
妙手[空空]	小偷、扒手的稱呼。＆表示兩手空空，一無所有。＆指稱缺乏資財而善於挪移應付的人。
求全[責備]	指對人或事要求完美無缺。
改邪[歸正]	指改正錯誤的行為，返回正途。
滔滔[不絕]	水勢滾滾，連續不斷。＆形容說話連續而不間斷。
逐臭[之夫]	比喻有怪癖的人。
道聽[塗說]	泛指沒有經過證實、缺乏根據的話。
楚楚[可憐]	形容姿態纖弱嬌媚，惹人憐愛。＆指神情淒楚或處境不佳，令人憐憫。
無濟[於事]	對事情毫無幫助。
忠心[耿耿]	形容極為忠誠。褒義。
陽春[白雪]	比喻精深高雅的文學藝術作品。
絡繹[不絕]	形容連續不斷的樣子。
顧此[失彼]	指做事時不能全面兼顧。
言聽[計從]	形容某人深受信任。
合浦[珠還]	比喻物品失而復得。＆比喻人離開而復返。
困獸[猶鬥]	比喻處於絕境，仍然奮力抵抗。
信手[拈來]	隨手引用材料，自如而不費力。＆比喻做事時，隨手而為，毫不費力。
順手[牽羊]	比喻乘機順便取走他人財物。
無獨[有偶]	某種少見的人、事、物，偏有類同者出現恰巧湊成一對的情況，或兩項事物恰巧相同或類似。
盛氣[凌人]	用驕橫的氣勢壓迫別人。
爭先[恐後]	指競相爭先，惟恐落後。
迥然[不同]	彼此不同，相差很大。
如出[一轍]	比喻非常相像，幾乎沒有差別。
發人[深省]	啟發人深刻思考而有所醒悟。
朋比[為奸]	互相勾結做壞事。貶義。
惴惴[不安]	形容因恐懼擔憂而心神不安寧。
隨心[所欲]	比喻完全順隨自己的心意去做事。
惜墨[如金]	比喻寫字、作畫態度謹慎，不輕易下筆。
歡天[喜地]	非常歡喜高興的樣子。
循規[蹈矩]	遵守禮法，不踰越法度。
若無[其事]	形容神態鎮靜、自然。
苦盡[甘來]	艱難困苦的境遇已經結束，轉而逐步進入佳境。
津津[有味]	形容興味濃厚的樣子。＆形容食慾盎然或食物的美味。
花天[酒地]	形容沉迷酒色，荒誕腐化的生活。貶義。
席不[暇暖]	形容奔走極為忙碌，沒有休息的時候。
奄奄[一息]	形容生命已到了最後時刻。
玩世[不恭]	以不莊重、不嚴謹的生活態度待人處事。
街談[巷議]	大街小巷中的談說議論。
顧名[思義]	比喻看到名稱，就聯想到它的含義。
馬耳[東風]	比喻充耳不聞、無動於衷。
歡欣[鼓舞]	歡樂振奮的樣子。
面紅[耳赤]	形容人因緊張、焦急、害羞等而滿臉發紅的樣子。
閉月[羞花]	形容女子容貌十分姣好。
唯唯[諾諾]	比喻順從而無所違逆。貶義。
欲速[不達]	想要求快，反而不能達到目的。
前事[不忘，後事之師]	記取過去的經驗教訓，可作為今後行事的鑑鏡。
懲前[毖後]	以從前的過失為教訓，戒慎自己不再犯錯。
五日[京兆]	比喻任職時間不久。＆比喻沒有長遠打算。
無可[奈何]	毫無辦法或沒有辦法可想。
改弦[更張]	比喻改革變更，重新做起。
少見[多怪]	譏諷人見識不廣，遇平常之事亦以為驚怪。
知難[而退]	作戰時遇形勢不利則行退兵。＆指行事遇到困難退縮不前或應伺機退卻。
始作[俑者]	比喻首創惡例的人。
撥亂[反正]	扭轉亂象，歸於正道。
醉翁[之意不在酒]	比喻別有用心。
精衛[填海]	比喻意志堅定，不懼艱苦。
實事[求是]	做事切實，力求真確。
聞一[知十]	形容人稟賦聰敏，善於類推。褒義。
倚馬[可待]	比喻文思敏捷，寫作迅速。褒義。
多難[興邦]	國家多難，則上下團結奮發，促使邦國更加興盛。
為人[作嫁]	比喻徒然為他人辛苦，自己卻得不到好處。
風燭[殘年]	形容人身體孱弱，不久於世的晚年。
要言[不煩]	形容說話精要，不囉嗦。
米珠[薪桂]	比喻物價昂貴。
自以[為是]	自認觀點與做法皆正確，不肯虛心接受別人意見。貶義。
豺狼[當道]	比喻奸人掌握大權，專斷橫行。
談何[容易]	指嘴裡說說容易，實際做起來卻很困難。
問道[於盲]	比喻向無知的人求教。
英雄[無用武之地]	人雖有才能，卻無施展的機會。
城下[之盟]	泛指被迫簽訂的屈辱性條約。
弄璋[之喜]	恭喜人生男孩的賀詞。
如虎[添翼]	比喻強有力者又增添生力軍，使之更強。
叱吒[風雲]	形容威風凜冽，足以左右世局。
一朝[一夕]	形容時間短暫。
孑然[一身]	形容孤獨一個人。
格殺[勿論]	擊殺凶惡的人不以殺人論罪。
一場[春夢]	比喻世事變幻，轉眼成空。
借題[發揮]	假借某事為題，表達自己真正的意思，或想做的事。
氣壯[山河]	形容氣勢如高山大河般雄壯豪邁。
不同[凡響]	比喻特出、不平凡的人或事物。褒義。
英雄[氣短]	有才識志氣的人因遭受挫折而喪失進取心。＆有才識志氣的人因沉迷於愛情而喪失進取心。
神出[鬼沒]	形容出沒無常，變化莫測。
高風[亮節]	形容人的品格高尚，氣節堅貞。褒義。
眉開[眼笑]	形容愉悅欣喜的神情。
寅吃[卯糧]	比喻收入不夠支出，預支以後的用項。
涓滴[歸公]	形容為人廉潔。
骨瘦[如柴]	形容非常消瘦的樣子。
根深[蒂固]	比喻根基堅固，不可動搖。
烽火[連天]	比喻戰爭接連不斷。
望而[卻步]	危險或能力不及的事，令人見了就退卻不前。
一念[之差]	一個念頭的差錯。
理直[氣壯]	理由正大、充分，則氣勢壯盛而無所畏懼。
星羅[棋布]	形容布列繁密。
同室[操戈]	比喻兄弟不睦或內部的爭鬥。
率由[舊章]	指一切遵循舊規。
明眸[皓齒]	形容女子容貌明麗。褒義。
獨木[難支]	比喻事情非常重大，非一人之力所能支持。
不時[之需]	指隨時的需用。
赤地[千里]	形容災荒後廣大土地寸草不生的荒涼景象。
貪贓[枉法]	指貪汙受賄，敗亂法紀。
逍遙[法外]	犯罪者逃避了應受的法律制裁，仍自由自在。
長驅[直入]	長距離一路挺進，毫無阻擋。
見仁[見智]	形容對同一件事，每個人看法各異。
博古[通今]	學問淵博，通曉古今。褒義。
欺世[盜名]	比喻欺騙世人，盜取名譽。
惱羞[成怒]	因羞愧到極點而惱恨發怒。
椎心[泣血]	形容哀痛到了極點。
驚濤[駭浪]	猛烈的風浪。＆比喻險惡的環境。
鞭辟[入裡]	研究學問要自我鞭策，深入精微之處。＆形容評論見解深刻透澈。褒義。
一團[和氣]	一片祥和的氣氛。＆形容一個人的態度和藹可親。
傷天[害理]	為人處事違背天理，泯滅人性。貶義。
明鏡[高懸]	比喻官吏執法能公正嚴明。褒義。＆比喻辦事能明察無私。褒義。
高山[流水]	形容樂曲高妙。＆比喻知音才懂的樂曲。
花團[錦簇]	形容繁花茂盛。＆形容五彩繽紛，繁華美麗。
不二[法門]	比喻唯一的方法或途徑。
無懈[可擊]	形容非常嚴密，沒有缺失。褒義。
大書[特書]	將值得書寫的事蹟，鄭重地記錄下來。
亡命[之徒]	比喻不顧性命作奸犯科的人。貶義。
依然[故我]	指情況依舊，沒有任何變化。
兔死[狐悲]	比喻因同類的不幸遭遇而感到悲傷。
感激[涕零]	形容非常感謝。
赤手[空拳]	指手中空無一物。＆形容沒有一點憑藉。
拍案[叫絕]	形容非常讚賞。
別有[天地]	形容風景秀麗，引人入勝。＆另有一番境界。
遇人[不淑]	女子誤嫁了不好的丈夫。
大庭[廣眾]	公開而人多的場合。
暗度[陳倉]	比喻暗中進行的活動。＆比喻男女的私通。
耳目[一新]	形容所見所聞都有一種新奇、清新的感覺。
當務[之急]	當前最急迫要做的事。
福至[心靈]	形容運氣來時，心思突然變得靈敏起來。
衣冠[禽獸]	比喻品德敗壞的人。貶義。
死心[塌地]	形容心意已定，不再改變。
新陳[代謝]	形容一切事態更新除舊的過程。＆生物體細胞中各種化學反應的總稱。
搖旗[吶喊]	打仗時，揮舞旗幟，嘶喊以助聲威。＆比喻為他人助長聲勢。
搖搖[欲墜]	形容就要掉下來或就要垮臺的樣子。
有教[無類]	指施教的對象，沒有貴賤貧富的分別。
有名[無實]	指虛有其名而無實際內容。
槁木[死灰]	形容人因遭受挫折變故而灰心絕望的樣子。
有目[共睹]	指事實極為明顯，眾所周知。
慘不[忍睹]	形容情狀悽慘，令人不忍目睹。
小巧[玲瓏]	形容極細緻精巧。
憐香[惜玉]	比喻愛憐、善待女性。
耳鬢[廝磨]	形容親暱。
寡不[敵眾]	指人少的抵擋不過人多勢眾的。
語無[倫次]	說話顛三倒四，毫無條理。
寥寥[無幾]	數量極少。
目瞪[口呆]	形容受驚或受窘以致神情痴呆的樣子。
生殺[予奪]	比喻人切身的一切事情。
摩頂[放踵]	比喻捨己救世，不辭勞苦。
珠聯[璧合]	比喻人才或美好的事物相匹配或同時薈集。
未卜[先知]	形容有預知未來的能力。
火樹[銀花]	形容燈火通明燦爛的景象。
半推[半就]	形容假意推辭的樣子。
平地[風波]	比喻突然發生事故或變化。
調虎[離山]	比喻用計誘使對方離開他的據點，以便趁機行事，達成目的。
瞠乎[其後]	比喻落後很多，追趕不上。
天馬[行空]	比喻文才氣勢豪放，不受拘束。褒義。＆形容浮誇不著邊際。
烏煙[瘴氣]	形容人事或氣氛黑暗混亂。＆形容環境汙染不潔。
參差[不齊]	雜亂不整齊。
噬臍[莫及]	比喻後悔已遲。
賠了[夫人又折兵]	比喻不但沒有占到便宜，反而吃大虧。
天誅[地滅]	形容所作所為天地所不容。
天羅[地網]	比喻防範布置得極為嚴密而無法逃脫。
龍蟠[虎踞]	形容地勢雄偉險要。
切膚[之痛]	比喻極為深刻難忘的感受與經驗。
手忙[腳亂]	形容做事慌亂，失了條理。
鬼使[神差]	比喻被莫名力量驅使而不由自主。
聳人[聽聞]	使人聽後大為驚駭。
一五[一十]	形容計數的仔細。＆比喻把事情從頭至尾詳細說出，無所遺漏。
氣宇[軒昂]	形容神采飛揚，氣度不凡。褒義。
隱惡[揚善]	隱藏他人的惡行，宣揚他人的善行。褒義。
軒然[大波]	比喻大的糾紛或風波。
粗枝[大葉]	簡略概括。＆比喻疏略，做事不細密。＆比喻大體的輪廓。
出口[成章]	比喻才思敏捷，談吐風雅。褒義。
雞皮[鶴髮]	形容老人的形貌。
人去[樓空]	表示舊地重遊時人事已非，或對故人的思念。＆形容畏罪潛逃，不知去向。
三頭[六臂]	比喻人本領大，力強可畏。
出水[芙蓉]	指初出水面初開的荷花，光潔清新。＆比喻詩文清新可愛。褒義。＆比喻女子嬌柔豔麗。褒義。
觸景[生情]	看見眼前景象而引發內心種種情緒。
黃袍[加身]	指被擁戴為皇帝。
一箭[雙雕]	比喻一次舉動，可以同時達到兩個目標。
三寸[不爛之舌]	形容人口才極佳，能言善道。
捨本[逐末]	指不求事物的根本大端，只重視微末小節。
一心[一意]	心意專一，毫無他念。
相得[益彰]	指互相配合、映襯，更能顯出各自的優點。
韋編[三絕]	比喻讀書勤奮努力。
一了[百了]	主要的事一了結，其餘相關的事也隨之了結。
腰纏[萬貫]	比喻財富極多。
額手[稱慶]	表示慶賀、高興。
一無[所有]	什麼都沒有。
心如[刀割]	內心痛苦像被刀割一樣。
文不[對題]	文章內容和題目不相符合。＆指話語與話題不符。
心驚[膽戰]	形容十分驚慌害怕。
水性[楊花]	比喻女子用情不專，淫蕩輕薄。
心煩[意亂]	心情煩躁，思緒凌亂。
心滿[意足]	心理滿足如意。
文不[加點]	形容文思敏捷、下筆成章，通篇無所塗改。
以貌[取人]	以容貌的美醜作為認識、評斷或任用人材的標準。
寸步[不離]	比喻關係密切，總是在一起。
大聲[疾呼]	大聲而急切地呼喊。＆比喻大力地提倡、號召。
不置[可否]	形容不表示任何意見。
打退[堂鼓]	比喻中途退縮放棄。
四通[八達]	四方相通的道路。＆形容交通便利。
無妄[之災]	比喻意外的災禍。
甘之[如飴]	指苦難來臨，甘心承受。
不約[而同]	彼此並未事先約定，而意見或行為卻相同。
名列[前茅]	比喻成績優異，名次排在前面。
名韁[利鎖]	比喻人受名利的羈絆而不得自由。
失魂[落魄]	形容人極度驚慌或精神恍惚、失其主宰。
付之[一笑]	毫不在意，一笑置之。
因時[制宜]	根據不同時期的情況，採取合宜的措施應對。
不識[之無]	比喻不識字或毫無學問。
支吾[其詞]	形容以含混牽強的言語，搪塞應付他人。
禍不[單行]	比喻不幸的事接二連三地發生。
現身[說法]	比喻以親身經歷為例證，來說明道理或勸導別人。
設身[處地]	假想自己處在他人地位或情況中。
光天[化日]	指政治清明的太平盛世。＆比喻在大白天裡，人人都看得清楚的場合。
粗茶[淡飯]	指簡單清淡的飲食。
鐘鳴[鼎食]	形容富貴之家的奢侈豪華。
鐵石[心腸]	形容人剛強而不為感情所動的秉性。
安身[立命]	指居處得以容身，生活便有著落，精神上亦有所寄託。
躍然[紙上]	形容描繪的對象非常生動逼真。
安然[無恙]	平安沒有疾病、禍患等事故。
廬山[真面目]	比喻事物的真相或原本面目。
深思[熟慮]	仔細而深入地考慮。
平分[秋色]	形容二者一樣出色，分不出高下。
躍躍[欲試]	心動技癢，急切地想嘗試一下。
自強[不息]	自己不斷努力向上，永不懈怠。
掩人[耳目]	比喻用假象欺騙、蒙蔽他人。
耳熟[能詳]	聽得非常熟悉，而能詳盡地知道或說出來。
自食[其力]	憑藉自己的勞力養活自己。
老驥[伏櫪]	比喻年雖老而仍懷雄心壯志。
行雲[流水]	形容待人處事或文章字畫飄逸自然，無拘無束。褒義。
安分[守己]	安於本分，謹守其身。
瞠目[結舌]	形容吃驚、受窘的樣子。
臨深[履薄]	比喻戒慎恐懼，十分小心。
見義[勇為]	見到合乎正義的事，就奮勇去做。
忍無[可忍]	忍耐到了極點，無法再忍受。
捷足[先登]	比喻行動最快者先達到目的。
形單[影隻]	形容孤單無伴。
李代[桃僵]	比喻以此代彼或代人受過。
隱姓[埋名]	隱瞞姓名，不讓別人知道真實的身分。
輾轉[反側]	形容因心事重重而翻來覆去睡不著覺。
冷嘲[熱諷]	形容尖酸、刻薄的嘲笑和諷刺。
張口[結舌]	形容恐懼慌張，或理屈說不出話的樣子。
安如[泰山]	形容安定穩固如泰山一般，不可動搖。
百聞[不如一見]	聽別人述說千百遍，不如親眼看一次來得真確。
魂飛[魄散]	形容非常恐懼害怕。＆指死亡。＆形容心神不寧、恍惚迷亂。
細水[長流]	比喻力量微小而能持之以恆，終有所成。＆形容節約使用財物而能長久不缺。
