abdomen	下腹	在船(或飛機;車)上;上船(或飛機;車)	可以接受的;令人滿意的	事故;災禍
sexy	性感的	遮蔽,蔽蔭	使變暗;使陰鬱	靠不住的;名聲不好的
shade	遮蔽,蔽蔭	使變暗;使陰鬱	靠不住的;名聲不好的	淺的
shadow	使變暗;使陰鬱	靠不住的;名聲不好的	淺的	羞恥
shady	靠不住的;名聲不好的	淺的	羞恥	洗髮精
shallow	淺的	羞恥	洗髮精	刮
shame	羞恥	洗髮精	刮	牧羊人
shampoo	洗髮精	刮	牧羊人	晴朗的;有光澤的
shave	刮	牧羊人	晴朗的;有光澤的	使變短;縮短
shepherd	牧羊人	晴朗的;有光澤的	使變短;縮短	立刻
shiny	晴朗的;有光澤的	使變短;縮短	立刻	鐵鏟
shorten	使變短;縮短	立刻	鐵鏟	縮短,皺縮
shortly	立刻	鐵鏟	縮短,皺縮	嘆氣,嘆息
shovel	鐵鏟	縮短,皺縮	嘆氣,嘆息	打信號
shrink	縮短,皺縮	嘆氣,嘆息	打信號	有意義的
sigh	嘆氣,嘆息	打信號	有意義的	類似;相似
signal	打信號	有意義的	類似;相似	犯(罪)
significant	有意義的	類似;相似	犯(罪)	誠懇的
similarity	類似;相似	犯(罪)	誠懇的	啜飲
sin	犯(罪)	誠懇的	啜飲	處境,境遇
sincere	誠懇的	啜飲	處境,境遇	溜冰
sip	啜飲	處境,境遇	溜冰	滑雪
situation	處境,境遇	溜冰	滑雪	跳
skate	溜冰	滑雪	跳	摩天樓
ski	滑雪	跳	摩天樓	奴隸般工作;苦幹
skip	跳	摩天樓	奴隸般工作;苦幹	袖子;袖套
skyscraper	摩天樓	奴隸般工作;苦幹	袖子;袖套	切成薄片
slave	奴隸般工作;苦幹	袖子;袖套	切成薄片	容易滑的;不明確的
sleeve	袖子;袖套	切成薄片	容易滑的;不明確的	斜坡
slice	切成薄片	容易滑的;不明確的	斜坡	平滑的
slippery	容易滑的;不明確的	斜坡	平滑的	突然折斷;用快照拍攝
slope	斜坡	平滑的	突然折斷;用快照拍攝	堅固的
smooth	平滑的	突然折斷;用快照拍攝	堅固的	將來有一天
snap	突然折斷;用快照拍攝	堅固的	將來有一天	不知怎麼的
solid	堅固的	將來有一天	不知怎麼的	某一時候;日後,改天
someday	將來有一天	不知怎麼的	某一時候;日後,改天	有點,稍微
somehow	不知怎麼的	某一時候;日後,改天	有點,稍微	疼痛的
sometime	某一時候;日後,改天	有點,稍微	疼痛的	感到悲傷;懊悔;遺憾
somewhat	有點,稍微	疼痛的	感到悲傷;懊悔;遺憾	鍋鏟
sore	疼痛的	感到悲傷;懊悔;遺憾	鍋鏟	義大利麵
sorrow	感到悲傷;懊悔;遺憾	鍋鏟	義大利麵	特殊的,特定的
spade	鍋鏟	義大利麵	特殊的,特定的	加香料於
spaghetti	義大利麵	特殊的,特定的	加香料於	溢出
specific	特殊的,特定的	加香料於	溢出	使(陀螺等)旋轉
spice	加香料於	溢出	使(陀螺等)旋轉	吐(唾液等)
spill	溢出	使(陀螺等)旋轉	吐(唾液等)	惡意,心術不良
spin	使(陀螺等)旋轉	吐(唾液等)	惡意,心術不良	濺,潑;濺起水花
spit	吐(唾液等)	惡意,心術不良	濺,潑;濺起水花	寵壞,溺愛
spite	惡意,心術不良	濺,潑;濺起水花	寵壞,溺愛	扭;扭傷
splash	濺,潑;濺起水花	寵壞,溺愛	扭;扭傷	噴灑,噴塗
spoil	寵壞,溺愛	扭;扭傷	噴灑,噴塗	灑,噴淋;撒
sprain	扭;扭傷	噴灑,噴塗	灑,噴淋;撒	暗中監視
spray	噴灑,噴塗	灑,噴淋;撒	暗中監視	榨,擠,壓
sprinkle	灑,噴淋;撒	暗中監視	榨,擠,壓	刺
spy	暗中監視	榨,擠,壓	刺	穩定
squeeze	榨,擠,壓	刺	穩定	體育場
stab 	刺	穩定	體育場	全體職員
stable	穩定	體育場	全體職員	不新鮮的;污濁的;陳舊的
stadium	體育場	全體職員	不新鮮的;污濁的;陳舊的	盯,凝視
staff	全體職員	不新鮮的;污濁的;陳舊的	盯,凝視	飢餓
stale	不新鮮的;污濁的;陳舊的	盯,凝視	飢餓	雕像,塑像
stare	盯,凝視	飢餓	雕像,塑像	穩固的,平穩的
starve	飢餓	雕像,塑像	穩固的,平穩的	陡峭的
statue	雕像,塑像	穩固的,平穩的	陡峭的	繼子(或繼女)
steady	穩固的,平穩的	陡峭的	繼子(或繼女)	繼父
steep	陡峭的	繼子(或繼女)	繼父	繼母,後母
stepchild	繼子(或繼女)	繼父	繼母,後母	立體音響裝置
stepfather	繼父	繼母,後母	立體音響裝置	黏的
stepmother	繼母,後母	立體音響裝置	黏的	硬的
stereo	立體音響裝置	黏的	硬的	刺,螫,叮
sticky	黏的	硬的	刺,螫,叮	攪拌
stiff	硬的	刺,螫,叮	攪拌	縫;繡;編結
sting	刺,螫,叮	攪拌	縫;繡;編結	長襪
stir	攪拌	縫;繡;編結	長襪	凳子;擱腳凳;解大便
stitch	縫;繡;編結	長襪	凳子;擱腳凳;解大便	暴風雨的
stocking	長襪	凳子;擱腳凳;解大便	暴風雨的	策略,計謀
stool	凳子;擱腳凳;解大便	暴風雨的	策略,計謀	力量,力氣
stormy	暴風雨的	策略,計謀	力量,力氣	剝除
strategy	策略,計謀	力量,力氣	剝除	構造;組織;建造
strength	力量,力氣	剝除	構造;組織;建造	倔強的,頑固的
strip 	剝除	構造;組織;建造	倔強的,頑固的	工作室,畫室;雕塑室;照相館
structure	構造;組織;建造	倔強的,頑固的	工作室,畫室;雕塑室;照相館	東西
stubborn	倔強的,頑固的	工作室,畫室;雕塑室;照相館	東西	稱呼;命名;設計;使成為時髦
studio	工作室,畫室;雕塑室;照相館	東西	稱呼;命名;設計;使成為時髦	物質
stuff 	東西	稱呼;命名;設計;使成為時髦	物質	郊區
style	稱呼;命名;設計;使成為時髦	物質	郊區	吸,吮,啜
substance	物質	郊區	吸,吮,啜	遭受;經歷;受苦;患病
suburb	郊區	吸,吮,啜	遭受;經歷;受苦;患病	足夠的,充分的
suck	吸,吮,啜	遭受;經歷;受苦;患病	足夠的,充分的	建議
suffer	遭受;經歷;受苦;患病	足夠的,充分的	建議	自殺,自殺行為
sufficient	足夠的,充分的	建議	自殺,自殺行為	適當的;合適的;適宜的
suggest	建議	自殺,自殺行為	適當的;合適的;適宜的	計算...的總和
suicide	自殺,自殺行為	適當的;合適的;適宜的	計算...的總和	總結,摘要
suitable	適當的;合適的;適宜的	計算...的總和	總結,摘要	山頂
sum	計算...的總和	總結,摘要	山頂	上面的
summary	總結,摘要	山頂	上面的	猜想,以為;假定
summit	山頂	上面的	猜想,以為;假定	圍繞
superior	上面的	猜想,以為;假定	圍繞	測量,勘測
suppose	猜想,以為;假定	圍繞	測量,勘測	倖存;殘存
surround	圍繞	測量,勘測	倖存;殘存	倖存者,生還者
survey	測量,勘測	倖存;殘存	倖存者,生還者	可疑的;受到懷疑的;不可信的
survival	倖存;殘存	倖存者,生還者	可疑的;受到懷疑的;不可信的	懷疑,疑心,猜疑
survivor	倖存者,生還者	可疑的;受到懷疑的;不可信的	懷疑,疑心,猜疑	發誓;宣誓
suspect	可疑的;受到懷疑的;不可信的	懷疑,疑心,猜疑	發誓;宣誓	出汗
suspicion	懷疑,疑心,猜疑	發誓;宣誓	出汗	腫起,腫脹
swear	發誓;宣誓	出汗	腫起,腫脹	快速的,快捷的
sweat	出汗	腫起,腫脹	快速的,快捷的	開關
swell	腫起,腫脹	快速的,快捷的	開關	劍,刀
swift	快速的,快捷的	開關	劍,刀	系統
switch	開關	劍,刀	系統	藥片;小片
sword	劍,刀	系統	藥片;小片	用平頭釘釘
system	系統	藥片;小片	用平頭釘釘	給...加標籤
tablet	藥片;小片	用平頭釘釘	給...加標籤	做裁縫
tack	用平頭釘釘	給...加標籤	做裁縫	經馴養的,馴服的
tag	給...加標籤	做裁縫	經馴養的,馴服的	龍頭
tailor	做裁縫	經馴養的,馴服的	龍頭	向...課稅
tame	經馴養的,馴服的	龍頭	向...課稅	逗弄;取笑;向...強求
tap 	龍頭	向...課稅	逗弄;取笑;向...強求	專門的,技術性的
tax	向...課稅	逗弄;取笑;向...強求	專門的,技術性的	技巧;技術
tease	逗弄;取笑;向...強求	專門的,技術性的	技巧;技術	工藝學;工藝
technical	專門的,技術性的	技巧;技術	工藝學;工藝	情緒;脾氣;暴躁
technique	技巧;技術	工藝學;工藝	情緒;脾氣;暴躁	溫度
technology	工藝學;工藝	情緒;脾氣;暴躁	溫度	臨時的;暫時的
temper	情緒;脾氣;暴躁	溫度	臨時的;暫時的	走向;趨向;照料
temperature	溫度	臨時的;暫時的	走向;趨向;照料	溫柔的
temporary	臨時的;暫時的	走向;趨向;照料	溫柔的	領土
tend	走向;趨向;照料	溫柔的	領土	正文,本文
tender	溫柔的	領土	正文,本文	感謝的,感激的
territory	領土	正文,本文	感謝的,感激的	學說;論說
text	正文,本文	感謝的,感激的	學說;論說	渴,口渴
thankful	感謝的,感激的	學說;論說	渴,口渴	線
theory	學說;論說	渴,口渴	線	威脅,恐嚇
thirst	渴,口渴	線	威脅,恐嚇	威脅,恐嚇
thread	線	威脅,恐嚇	威脅,恐嚇	使發癢;逗...笑
threat	威脅,恐嚇	威脅,恐嚇	使發癢;逗...笑	潮汐;潮水
threaten	威脅,恐嚇	使發癢;逗...笑	潮汐;潮水	整潔的
tickle	使發癢;逗...笑	潮汐;潮水	整潔的	緊的
tide	潮汐;潮水	整潔的	緊的	變緊,繃緊
tidy	整潔的	緊的	變緊,繃緊	木材;樹林
tight	緊的	變緊,繃緊	木材;樹林	組織
tighten	變緊,繃緊	木材;樹林	組織	菸草;煙葉
timber	木材;樹林	組織	菸草;煙葉	噸
tissue	組織	菸草;煙葉	噸	烏龜
tobacco	菸草;煙葉	噸	烏龜	拋,扔,投
ton	噸	烏龜	拋,扔,投	旅遊,觀光
tortoise	烏龜	拋,扔,投	旅遊,觀光	旅遊者,觀光者
toss	拋,扔,投	旅遊,觀光	旅遊者,觀光者	拖,拉;牽引
tourism	旅遊,觀光	旅遊者,觀光者	拖,拉;牽引	追蹤;描繪
tourist	旅遊者,觀光者	拖,拉;牽引	追蹤;描繪	商人;交易人
tow	拖,拉;牽引	追蹤;描繪	商人;交易人	拖
trace	追蹤;描繪	商人;交易人	拖	運送,運輸
trader	商人;交易人	拖	運送,運輸	垃圾
trail	拖	運送,運輸	垃圾	旅客;遊客
transport	運送,運輸	垃圾	旅客;遊客	盤子,托盤
trash	垃圾	旅客;遊客	盤子,托盤	發抖;震顫
traveler	旅客;遊客	盤子,托盤	發抖;震顫	趨勢,傾向;時尚
tray	盤子,托盤	發抖;震顫	趨勢,傾向;時尚	部落;種族
tremble	發抖;震顫	趨勢,傾向;時尚	部落;種族	狡猾的
trend	趨勢,傾向;時尚	部落;種族	狡猾的	集合
tribe	部落;種族	狡猾的	集合	熱帶的
tricky	狡猾的	集合	熱帶的	樹幹
troop	集合	熱帶的	樹幹	誠實的
tropical	熱帶的	樹幹	誠實的	浴缸
trunk	樹幹	誠實的	浴缸	用力拉
truthful	誠實的	浴缸	用力拉	鬱金香
tub	浴缸	用力拉	鬱金香	跌倒
tug	用力拉	鬱金香	跌倒	為...調音
tulip	鬱金香	跌倒	為...調音	當家庭教師
tumble	跌倒	為...調音	當家庭教師	細枝;嫩枝
tune	為...調音	當家庭教師	細枝;嫩枝	孿生兒
tutor	當家庭教師	細枝;嫩枝	孿生兒	扭轉;扭彎
twig	細枝;嫩枝	孿生兒	扭轉;扭彎	打字機
twin	孿生兒	扭轉;扭彎	打字機	典型的,有代表性的
twist	扭轉;扭彎	打字機	典型的,有代表性的	工會
typewriter	打字機	典型的,有代表性的	工會	統一;使團結
typical	典型的,有代表性的	工會	統一;使團結	整體;一貫性
union	工會	統一;使團結	整體;一貫性	宇宙
unite	統一;使團結	整體;一貫性	宇宙	除非
unity	整體;一貫性	宇宙	除非	心煩的,苦惱的
universe	宇宙	除非	心煩的,苦惱的	空白的
unless	除非	心煩的,苦惱的	空白的	有價值的
upset	心煩的,苦惱的	空白的	有價值的	有蓋小貨車
vacant	空白的	有價值的	有蓋小貨車	使不見;使消失
valuable	有價值的	有蓋小貨車	使不見;使消失	多樣化,變化
van	有蓋小貨車	使不見;使消失	多樣化,變化	各種各樣的;好幾個的
vanish 	使不見;使消失	多樣化,變化	各種各樣的;好幾個的	使不同;變更;呈多樣化
variety	多樣化,變化	各種各樣的;好幾個的	使不同;變更;呈多樣化	花瓶
various	各種各樣的;好幾個的	使不同;變更;呈多樣化	花瓶	車輛;飛行器;傳播媒介;工具
vary	使不同;變更;呈多樣化	花瓶	車輛;飛行器;傳播媒介;工具	詩;韻文
vase	花瓶	車輛;飛行器;傳播媒介;工具	詩;韻文	背心
vehicle	車輛;飛行器;傳播媒介;工具	詩;韻文	背心	副(總統、校長、總裁等)
verse	詩;韻文	背心	副(總統、校長、總裁等)	受害者
vest	背心	副(總統、校長、總裁等)	受害者	暴力行為
vice-president	副(總統、校長、總裁等)	受害者	暴力行為	暴力的
victim	受害者	暴力行為	暴力的	紫蘿蘭
violence	暴力行為	暴力的	紫蘿蘭	可看見的
violent	暴力的	紫蘿蘭	可看見的	視力
violet	紫蘿蘭	可看見的	視力	維他命
visible	可看見的	視力	維他命	鮮豔的;生動的
vision	視力	維他命	鮮豔的;生動的	卷,冊
vitamin	維他命	鮮豔的;生動的	卷,冊	搖;搖擺;搖尾巴
vivid	鮮豔的;生動的	卷,冊	搖;搖擺;搖尾巴	薪水
volume	卷,冊	搖;搖擺;搖尾巴	薪水	運貨馬車
wag	搖;搖擺;搖尾巴	薪水	運貨馬車	醒來;睡醒;喚醒
wage	薪水	運貨馬車	醒來;睡醒;喚醒	漫遊
wagon	運貨馬車	醒來;睡醒;喚醒	漫遊	溫暖;親切;熱情
waken	醒來;睡醒;喚醒	漫遊	溫暖;親切;熱情	警告
wander	漫遊	溫暖;親切;熱情	警告	給...上蠟
warmth	溫暖;親切;熱情	警告	給...上蠟	削弱,減弱
warn	警告	給...上蠟	削弱,減弱	財富;大量
wax	給...上蠟	削弱,減弱	財富;大量	富裕的;豐富的
weaken	削弱,減弱	財富;大量	富裕的;豐富的	織;編
wealth	財富;大量	富裕的;豐富的	織;編	(蜘蛛等)結網於;形成網狀
wealthy	富裕的;豐富的	織;編	(蜘蛛等)結網於;形成網狀	除掉(雜草)
weave	織;編	(蜘蛛等)結網於;形成網狀	除掉(雜草)	哭
web	(蜘蛛等)結網於;形成網狀	除掉(雜草)	哭	小麥
weed	除掉(雜草)	哭	小麥	攪打
weep	哭	小麥	攪打	吹口哨
wheat	小麥	攪打	吹口哨	缺德的;淘氣的;過分的
whip	攪打	吹口哨	缺德的;淘氣的;過分的	柳
whistle	吹口哨	缺德的;淘氣的;過分的	柳	眨(眼)
wicked	缺德的;淘氣的;過分的	柳	眨(眼)	擦
willow	柳	眨(眼)	擦	智慧,才智;名言
wink	眨(眼)	擦	智慧,才智;名言	包,裹
wipe	擦	智慧,才智;名言	包,裹	手腕
wisdom	智慧,才智;名言	包,裹	手腕	X光線的
wrap	包,裹	手腕	X光線的	打呵欠
wrist	手腕	X光線的	打呵欠	吼叫
X-ray/x-ray	X光線的	打呵欠	吼叫	蛋黃
yawn	打呵欠	吼叫	蛋黃	年輕人
yell	吼叫	蛋黃	年輕人	拉上拉鍊
yolk	蛋黃	年輕人	拉上拉鍊	劃出...為區
youngster	年輕人	拉上拉鍊	劃出...為區	早上
zipper	拉上拉鍊	劃出...為區	早上	放棄
zone 	劃出...為區	早上	放棄	下腹
