5659	等級	字行	詞性	韓文	中文	韓文片語	中文解釋	字源	拼寫	2	大	中	小	小小	順序	大中分類	大中小分類	日文	選項2	選項3	選項4
	中級	ㅅ	名詞	상영	上映	영화 [상영]	電影「上映」		V		樂	娛樂				樂_娛樂	樂_娛樂_		店鋪	象徵	狀態
	初級	ㅅ	名詞	상자	箱	[상자]에 넣다	裝「箱」		V		住	用品				住_用品	住_用品_		傷口	生菜	產品
	中級	ㅅ	名詞	상점	店鋪	[상점]을 운영하다	經營「店鋪」		V		行	街道	商店			行_街道	行_街道_商店		象徵	狀態	上下
	中級	ㅅ	名詞	상징	象徵	[상징]이 되다	成為「象徵」		V		育	教學				育_教學	育_教學_		狀態	上下	情況
	初級	ㅅ	名詞	상처	傷口	[상처]가 낫다	「傷口」癒合		V		人	健康				人_健康	人_健康_	怪我 	生菜	產品	鳥
	初級	ㅅ	名詞	상추	生菜	[상추]	生菜		V		食	食物	正餐			食_食物	食_食物_正餐	サンチュ、チシャ 	產品	鳥	清晨
	中級	ㅅ	形容詞	상쾌하다	暢快	마음이 [상쾌하다]	心情「暢快」		V		自然	天氣				自然_天氣	自然_天氣_		與眾不同	生動	涼爽
	中級	ㅅ	名詞	상태	狀態	[상태]를 점검하다	檢查「狀態」		V		育	工作	交易			育_工作	育_工作_交易		上下	情況	內
	初級	ㅅ	名詞	상품	產品	[상품]을 팔다	賣「產品」		V		育	工作	交易			育_工作	育_工作_交易	商品 	鳥	清晨	新年
	中級	ㅅ	名詞	상하	上下	[상하]를 바꾸다	「上下」顛倒		V		基本	地方	方位			基本_地方	基本_地方_方位	上下 	情況	內	小子
	高級	ㅅ		상하 관계	上下闗係					#N/A	育	工作	選擇			育_工作	育_工作_選擇				
	中級	ㅅ	動詞	상하다	腐爛	음식이 [상하다]	食物「腐爛」		V		食	料理	味道			食_料理	食_料理_味道		雕刻	漏	亮
	中級	ㅅ	名詞	상황	情況	[상황]이 불리하다	「狀況」不利	狀況	V		國家	法律	規定			國家_法律	國家_法律_規定		內	小子	後媽
	初級	ㅅ	冠形詞	새	新衣	[새] 옷	「新」衣		V		樣態	比較	新舊			樣態_比較	樣態_比較_新舊	鳥 	三四個	消極的	大約
	初級	ㅅ	名詞	새	鳥	[새]:동물	鳥		V		自然	動物				自然_動物	自然_動物_	鳥 	三四個	消極的	大約
	中級	ㅅ	名詞	새	內	하루 [새]	一天「內」		V		基本	時間	期間			基本_時間	基本_時間_期間	鳥 	三四個	消極的	大約
	中級	ㅅ	動詞	새기다	雕刻	도장을 [새기다]	「刻」印章		V		育	教學				育_教學	育_教學_		漏	亮	熬
	中級	ㅅ	名詞	새끼	小子	[새끼]를 낳다	生「小貓」		V		自然	動物				自然_動物	自然_動物_	動物の子 	後媽	蝦	新房子
	中級	ㅅ	動詞	새다	亮	날이 [새다]	天「亮」		V		樣態	比較	明亮			樣態_比較	樣態_比較_明亮		亮	熬	出現
	中級	ㅅ	動詞	새다	漏	비가 [새다]	「漏」雨		V		樣態	機能				樣態_機能	樣態_機能_		亮	熬	出現
	初級	ㅅ	副詞	새로	新買的	[새로] 사다	「新」買的		V		樣態	比較	新舊			樣態_比較	樣態_比較_新舊		彼此	偷偷溜出去	沒有關係
	中級	ㅅ	副詞	새로이	重新	[새로이] 시작하다	「重新」開始		V		基本	時間	頻率			基本_時間	基本_時間_頻率		舊的	慢慢地	恐怕
	初級	ㅅ	形容詞	새롭다	新的	기억이 [새롭다]	記憶「猶新」		V		樣態	比較	新舊			樣態_比較	樣態_比較_新舊		涼爽	感到失望	硬
	初級	ㅅ	名詞	새벽	清晨	[새벽]에 일어나다	「清晨」起床		V		基本	時間	時刻			基本_時間	基本_時間_時刻	明け方 	新年	顏色	晚上
	中級	ㅅ	副詞	새삼	重新	[새삼] 느끼다	「重新」感受		V		基本	時間	順序	重新		基本_時間	基本_時間_順序		慢慢地	恐怕	珍惜
	高級	ㅅ		새어머니	繼母					#N/A	人	家族				人_家族	人_家族_				
	中級	ㅅ	名詞	새엄마	後媽	[새엄마]를 맞이하다	迎接「繼母」		V		人	家族				人_家族	人_家族_	継母 	蝦	新房子	涼鞋
	中級	ㅅ	名詞	새우	蝦	[새우]를 먹다	吃「蝦」		V		食	食物	正餐			食_食物	食_食物_正餐	エビ 	新房子	涼鞋	活力
	中級	ㅅ	動詞	새우다	熬	밤을 [새우다]	「熬」夜		V		人	健康				人_健康	人_健康_		出現	夾雜	激動
	中級	ㅅ	名詞	새집	新房子	[새집]으로 이사하다	搬「新家」		V		住	家中				住_家中	住_家中_	新しい家 	涼鞋	活力	長相
	初級	ㅅ	名詞	새해	新年	[새해]가 다가오다	「新年」近了		V		基本	時間	假期			基本_時間	基本_時間_假期	新年 	鳥	顏色	三明治
	初級	ㅅ	名詞	색	顏色	[색]:색깔	顏色		V		基本	顏色				基本_顏色	基本_顏色_	色 	書	三明治	思考
	初級	ㅅ	名詞	색깔	顏色	[색깔]이 진하다	「顏色」太濃		V		基本	顏色				基本_顏色	基本_顏色_	色 	三明治	思考	魚
	中級	ㅅ	形容詞	색다르다	與眾不同	기분이 [색다르다]	氣氛「與眾不同」		V		樣態	比較	異同			樣態_比較	樣態_比較_異同		生動	涼爽	傷心
	初級	ㅅ	名詞	샌드위치	三明治	[샌드위치]	三明治		V		食	食物	正餐			食_食物	食_食物_正餐	サンドイッチ 	思考	魚	生辰
	中級	ㅅ	名詞	샌들	涼鞋	[샌들]을 신다	穿「涼鞋」		V		衣	服飾				衣_服飾	衣_服飾_	サンダル 	活力	長相	出生日期
	初級	ㅅ	名詞	생각	思考	[생각]에 빠지다	陷入「思考」		V		人	思想				人_思想	人_思想_		魚	生辰	生日
	初級	ㅅ	動詞	생각나다	思考	할 말이 [생각나다]	「想起來」要說的話		V		人	思想				人_思想	人_思想_		建	站直	匆忙
	中級	ㅅ	動詞	생겨나다	出現	문제가 [생겨나다]	「出現」問題		V		人	動作	身體			人_動作	人_動作_身體		夾雜	激動	成立
	中級	ㅅ	名詞	생기	活力	[생기]가 넘치다	充滿「生機」		V		自然	動物				自然_動物	自然_動物_		長相	出生日期	省略
	初級	ㅅ	動詞	생기다	建	건물이 [생기다]	「建」房屋		V		育	工作	進行			育_工作	育_工作_進行		站直	匆忙	摻
	中級	ㅅ	名詞	생김새	長相	[생김새]가 예쁘다	「長相」漂亮		V		人	外貌				人_外貌	人_外貌_	見かけ、格好、顔つき 	出生日期	省略	直髮
	中級	ㅅ	名詞	생년월일	出生日期	[생년월일]을 기록하다	記錄「出生日期」		V		人	生老病死				人_生老病死	人_生老病死_	生年月日 	省略	直髮	生命
	中級	ㅅ	名詞	생략	省略	[생략]을 하다	省略		V		育	工作	進行			育_工作	育_工作_進行		直髮	生命	現場直播
	中級	ㅅ	名詞	생머리	直髮	[생머리]를 빗다	梳「直髮」		V		人	外貌	美容			人_外貌	人_外貌_美容	ストレートヘア、まっすぐな髪 	生命	現場直播	生產
	中級	ㅅ	名詞	생명	生命	[생명]을 건지다	拯救「生命」		V		人	生老病死				人_生老病死	人_生老病死_	生命 	現場直播	生產	生存
	中級	ㅅ	名詞	생방송	現場直播	[생방송]으로 방영되다	現場直播		V		樂	娛樂	媒體			樂_娛樂	樂_娛樂_媒體	生放送 	生產	生存	生活開銷
	中級	ㅅ	名詞	생산	生產	대량 [생산]	大量「生產」		V		育	工作	交易			育_工作	育_工作_交易	生産 	生存	生活開銷	生活用品
	中級	ㅅ	形容詞	생생하다	生動	기억이 [생생하다]	記憶「猶新」		V		人	思想	經驗			人_思想	人_思想_經驗		涼爽	傷心	生氣
	初級	ㅅ	名詞	생선	魚	[생선]을 굽다	烤「魚」		V		食	食物	正餐			食_食物	食_食物_正餐	魚 	生辰	生日	生活
	初級	ㅅ	名詞	생신	生辰	[생신]:생일	生辰		V		樂	人際				樂_人際	樂_人際_	（父母、祖父母など目上の人の）誕生日 	生日	生活	淋浴
	初級	ㅅ	名詞	생일	生日	[생일] 파티	「生日」舞會		V		樂	人際				樂_人際	樂_人際_	誕生日 	生活	淋浴	抽屜
	中級	ㅅ	名詞	생존	生存	[생존]을 위협하다	威脅「生存」		V		住	起居				住_起居	住_起居_		生活開銷	生活用品	洗髮水
	初級	ㅅ	名詞	생활	生活	직장 [생활]	職場「生活」		V		住	起居				住_起居	住_起居_	生活 	淋浴	抽屜	文件
	中級	ㅅ	名詞	생활비	生活開銷	[생활비]를 벌다	賺「生活費」		V		住	支出	家計			住_支出	住_支出_家計	生活費 	生活用品	洗髮水	西
	中級	ㅅ	名詞	생활용품	生活用品	[생활용품]을 구입하다	買「生活用品」		V		住	用品				住_用品	住_用品_	生活用品 	洗髮水	西	簽名
	初級	ㅅ	名詞	샤워	淋浴	[샤워]를 하다	進行「淋浴」		V		住	起居				住_起居	住_起居_		抽屜	文件	服務
	中級	ㅅ	名詞	샴푸	洗髮水	[샴푸]로 머리를 감다	用「洗髮水」洗髮		V		住	用品				住_用品	住_用品_	シャンプー 	西	簽名	西部
	中級	ㅅ	名詞	서	西	[서]로 이동하다	往「西」移動		V		基本	地方	方位			基本_地方	基本_地方_方位		簽名	西部	西洋
	初級	ㅅ	冠形詞	서너	三四	[서너] 개	「三四」個		V		基本	數字	純數	漢字數字		基本_數字	基本_數字_純數		消極的	大約	任何
	中級	ㅅ	數詞	서넛	三四個	[서넛]:서넛이랑	和「三四個」		V		基本	數字	純數	漢字數字		基本_數字	基本_數字_純數	三つ四つ 	五	五六	萬
	中級	ㅅ	形容詞	서늘하다	涼爽	밤공기가 [서늘하다]	空氣「涼涼的」		V		自然	天氣				自然_天氣	自然_天氣_		熱	傷心	笨拙
	初級	ㅅ	動詞	서다	站直	똑바로 [서다]	「站」直		V		人	動作	身體			人_動作	人_動作_身體		匆忙	摻	站起來
	中級	ㅅ		서다-세우다	站立-樹立				V	#N/A	文法	狀態與轉折	詞性改變	使動		文法_使動	文法_使動_詞性改變				
	初級	ㅅ	動詞	서두르다	匆忙	준비를 [서두르다]	「匆忙」準備		V		基本	時間	快慢	快		基本_時間	基本_時間_快慢		摻	站起來	休息
	初級	ㅅ	名詞	서랍	抽屜	[서랍]을 닫다	闗上「抽屜」		V		住	清掃				住_清掃	住_清掃_	引き出し 	文件	服務	西洋
	中級	ㅅ	形容詞	서럽다	傷心	마음이 [서럽다]	傷心		V		人	感覺				人_感覺	人_感覺_		開心	笨拙	孤獨
	初級	ㅅ	副詞	서로	彼此	[서로] 믿다	「彼此」相信		V		樂	人際				樂_人際	樂_人際_		偷偷溜出去	沒有關係	相當
	高級	ㅅ		서론	緒論						育	教學				育_教學	育_教學_				
	初級	ㅅ	名詞	서류	文件	[서류]:문서	文件		V		育	工作	進行			育_工作	育_工作_進行	書類 	服務	西洋	首爾
	初級	ㅅ	數詞·冠形詞	서른	三十	[서른]＝삼십	三十（固有）		V		基本	數字	純數	韓文固有	17	基本_數字	基本_數字_純數		幾萬元	幾百隻	幾十個
	中級	ㅅ	名詞	서명	簽名	[서명]을 받다	簽名		V		育	工作				育_工作	育_工作_	署名 	西部	西洋	書籍
	中級	ㅅ	名詞	서부	西部	[서부] 지역	西部		V		基本	地方	方位			基本_地方	基本_地方_方位	西部 	西洋	書籍	石油
	初級	ㅅ	名詞	서비스	服務	[서비스] 정신	「服務」精神		V		育	工作	進行			育_工作	育_工作_進行	サービス 	西洋	首爾	書店
	中級	ㅅ	副詞	서서히	慢慢地	[서서히] 나타나다	「慢慢地」出現		V		基本	時間	快慢	慢		基本_時間	基本_時間_快慢		恐怕	珍惜	老實說
	初級	ㅅ	名詞	서양	西洋	[서양]:동양	「西洋」<>東洋		V		國家	名稱	國名			國家_名稱	國家_名稱_國名	西洋 	首爾	書店	西邊
	中級	ㅅ	名詞	서양인	西洋	[서양인]:동양인	西洋		V		國家	名稱	國名			國家_名稱	國家_名稱_國名		書籍	石油	線
新視4_1_03_43	高級	ㅅ		서용이 없다	沒有用					#N/A	人	家族	婚姻			人_家族	人_家族_婚姻				
	中級	ㅅ	形容詞	서운하다	傷心	마음이 [서운하다]	傷心		V		人	感覺				人_感覺	人_感覺_		高興	笨拙	時髦的
	初級	ㅅ	名詞	서울	首爾	[서울]:도시	首爾		V		國家	名稱	國名			國家_名稱	國家_名稱_國名		書店	西邊	收禮物
	中級	ㅅ	名詞	서적	書籍	[서적]을 읽다	讀「書」	書籍	V		樂	娛樂	藝術			樂_娛樂	樂_娛樂_藝術	書籍 	石油	線	選舉
	初級	ㅅ	名詞	서점	書店	[서점]:책방	書店		V		行	街道	商店			行_街道	行_街道_商店	書店 	西邊	收禮物	前輩
	初級	ㅅ	名詞	서쪽	西邊	[서쪽]:방향	西邊	西-	V		基本	地方	方位			基本_地方	基本_地方_方位	西側 	收禮物	前輩	老師
	中級	ㅅ	形容詞	서투르다	笨拙	영어가 [서투르다]	英語「生疏」		V		人	評價				人_評價	人_評價_		孤獨	時髦的	沒用
	中級	ㅅ	形容詞	서툴다	笨拙	영어가 [서툴다]	英語「生疏」		V		人	評價				人_評價	人_評價_	苦手だ 	時髦的	沒用	疏忽
	中級	ㅅ	名詞	석유	石油	[석유] 산업	「石油」產業		V		自然	天地				自然_天地	自然_天地_	石油 	線	選舉	太陽眼鏡
	初級	ㅅ	動詞	섞다	摻	물을 [섞다]	「摻」水		V		人	動作	手			人_動作	人_動作_手	混ぜる 	站起來	休息	喘息
	中級	ㅅ	動詞	섞이다	夾雜	냄새가 [섞이다]	「夾雜」異味		V		人	動作	手			人_動作	人_動作_手		激動	成立	數
	中級	ㅅ	名詞	선	線	[선]을 긋다	畫「線」		V		樂	人際	戀愛結婚			樂_人際	樂_人際_戀愛結婚	お見合い 	選舉	太陽眼鏡	先約
	中級	ㅅ	名詞	선거	選舉	대통령 [선거]	總統「選舉」		V		國家	行政				國家_行政	國家_行政_	選挙 	太陽眼鏡	先約	宣傳
	中級	ㅅ	名詞	선글라스	太陽眼鏡	[선글라스]를 끼다	戴「太陽眼鏡」		V		衣	服飾				衣_服飾	衣_服飾_	サングラス 	先約	宣傳	選定
	初級	ㅅ	名詞	선물	收禮物	[선물]을 받다	收「禮物」		V		樂	人際				樂_人際	樂_人際_	プレゼント、おみやげ 	前輩	老師	選手
	初級	ㅅ	名詞	선배	前輩	[선배]:후배	「前輩」<> 後輩	先輩	V		人	稱呼				人_稱呼	人_稱呼_	先輩 	老師	選手	選擇
	初級	ㅅ	名詞	선생님	老師	국어 [선생님]	國文「老師」		V		人	職業				人_職業	人_職業_	先生や目上の人を呼ぶときの呼称 	選手	選擇	電扇
	初級	ㅅ	形容詞	선선하다	涼爽	날씨가 [선선하다]	天氣「涼爽」		V		自然	天氣				自然_天氣	自然_天氣_		感到失望	硬	寶貴
	初級	ㅅ	名詞	선수	選手	축구 [선수]	足球「選手」		V		人	職業				人_職業	人_職業_	選手 	選擇	電扇	洗盤子
	中級	ㅅ	名詞	선약	先約	[선약]이 있다	有「先約」		V		樂	人際	邀請			樂_人際	樂_人際_邀請		宣傳	選定	先進
	中級	ㅅ	名詞	선전	宣傳	[선전]을 보다	宣傳		V		育	工作	交易			育_工作	育_工作_交易	宣伝 	選定	先進	先進國
	中級	ㅅ	名詞	선정	選定	수상자 [선정]	「選定」受獎者		V		國家	行政				國家_行政	國家_行政_	善政、優しい政治 	先進	先進國	偏愛
	中級	ㅅ	名詞	선진	先進	[선진] 국가	「先進」國家		V		國家	世界	經濟			國家_世界	國家_世界_經濟		先進國	偏愛	新年
	中級	ㅅ	名詞	선진국	先進國	[선진국]으로 성장하다	發展為「先進國」		V		國家	世界	經濟			國家_世界	國家_世界_經濟	先進国 	偏愛	新年	說服
新視4_1_02_1	高級	ㅅ		선착순	到的順序	선착순	到的順序	先著順			樂	娛樂	招募比賽			樂_娛樂	樂_娛樂_招募比賽				
新視4_1_02_1	高級	ㅅ		선천적	先天的						樂	人際	男女差異			樂_人際	樂_人際_男女差異				
	初級	ㅅ	名詞	선택	選擇	[선택]을 하다	進行「選擇」		V		人	思想				人_思想	人_思想_		電扇	洗盤子	新年
新視4_1_03_43	高級	ㅅ		선택하다	選擇			選擇		#N/A	育	工作	選擇			育_工作	育_工作_選擇				
	初級	ㅅ	名詞	선풍기	電扇	[선풍기]를 켜다	開「電扇」		V		住	用品				住_用品	住_用品_	センプンギ 	洗盤子	新年	雪濃湯
	中級	ㅅ	名詞	선호	偏愛	[선호] 직업	「偏愛」職業	選好	V		人	感覺				人_感覺	人_感覺_		新年	說服	成立
	中級	ㅅ	名詞	설	新年	[설]을 맞이하다	迎「新年」		V		樂	娛樂	節日			樂_娛樂	樂_娛樂_節日	旧正月（旧暦の1月1日）、日本のお正月に当たる 	說服	成立	說明書
	初級	ㅅ	名詞	설거지	洗盤子	[설거지]를 하다	洗盤子		V		住	清掃				住_清掃	住_清掃_	皿洗い、食器洗い 	新年	雪濃湯	說明
	初級	ㅅ	名詞	설날	新年	[설날]:명절	新年		V		樂	娛樂	節日			樂_娛樂	樂_娛樂_節日	陰暦1月1日。旧正月のこと。 	雪濃湯	說明	糖
	中級	ㅅ	名詞	설득	說服	[설득]을 당하다	被「說服」		V		人	思想	勸誘			人_思想	人_思想_勸誘		成立	說明書	問卷
	初級	ㅅ	名詞	설렁탕	雪濃湯	[설렁탕]:음식	雪濃湯		V		食	食物	正餐			食_食物	食_食物_正餐	ソルロンタン 	說明	糖	島
	中級	ㅅ	動詞	설레다	激動	가슴이 [설레다]	心情「激動」		V		樂	人際	戀愛結婚			樂_人際	樂_人際_戀愛結婚	キュンとする 	成立	數	吆喝
	中級	ㅅ	名詞	설립	成立	회사 [설립]	公司「成立」		V		育	工作	起始			育_工作	育_工作_起始		說明書	問卷	催
	中級	ㅅ	副詞	설마	恐怕	[설마] 진심은 아니지?	「恐怕」不是真心的吧		V		樣態	比較	機率			樣態_比較	樣態_比較_機率		珍惜	老實說	頻繁地
	初級	ㅅ	名詞	설명	說明	[설명]을 듣다	聽「說明」		V		人	思想				人_思想	人_思想_		糖	島	姓
	中級	ㅅ	名詞	설명서	說明書	[설명서]를 읽다	讀「說明書」		V		住	用品				住_用品	住_用品_	マニュアル 	署名	問卷	腹瀉
	中級	ㅅ	名詞	설문	問卷	[설문]에 답하다	回答「問卷」	設問	V		育	工作	選擇			育_工作	育_工作_選擇		聽說	腹瀉	設定
新視4_1_03_43	高級	ㅅ		설문 조사	問卷調查	국제 [설문 조사] 기관 2006년 12월 26일 발표한 보고서에 따르면	根據國際「問卷調查」機構 2006 年 12 月 26 日發布的報告，			#N/A	育	工作	選擇			育_工作	育_工作_選擇	アンケート 			
	中級	ㅅ	名詞	설문지	問卷	[설문지]를 작성하다	填寫「問卷」	設問紙	V		育	工作	選擇			育_工作	育_工作_選擇		腹瀉	設定	安裝
	中級	ㅅ	名詞	설사	腹瀉	[설사]가 멈추다	「腹瀉」停止		V		人	健康				人_健康	人_健康_	下痢 	設定	安裝	攝氏
	中級	ㅅ	名詞	설정	設定	상황 [설정]	情況「設定」		V		育	教學				育_教學	育_教學_	設定 	安裝	攝氏	結果
	中級	ㅅ	名詞	설치	安裝	인터넷 [설치]	網路「安裝」	設置	V		育	工作				育_工作	育_工作_		攝氏	結果	教堂
	初級	ㅅ	名詞	설탕	糖	[설탕]을 넣다	加「糖」		V		食	料理	調味料			食_料理	食_料理_調味料	砂糖 	島	姓	性格
	初級	ㅅ	名詞	섬	島	[섬]:제주도	島		V		自然	天地				自然_天地	自然_天地_	島 	姓	性格	成功
	初級	ㅅ	形容詞	섭섭하다	感到失望	[섭섭하다]:서운하다	感到失望		V		人	感覺				人_感覺	人_感覺_		硬	寶貴	簡單
	中級	ㅅ	名詞	섭씨	攝氏	[섭씨] 영 도	「攝氐」零度		V		自然	天氣				自然_天氣	自然_天氣_	摂氏 	結果	教堂	姓名
	初級	ㅅ	名詞	성	姓	[성]김 씨	姓金的	姓	V		人	稱呼				人_稱呼	人_稱呼_	性 	性格	成功	取得成績
	初級	ㅅ	名詞	성격	性格	[성격]이 좋다	「性格」很好		V		人	思想				人_思想	人_思想_	性格 	成功	取得成績	姓名
	初級	ㅅ	名詞	성공	成功	[성공]:실패	「成功」<> 失敗		V		育	教學				育_教學	育_教學_		取得成績	姓名	世界
	高級			성공 <> 실패	成功<>失敗						育	工作	對錯成敗								
	中級	ㅅ	冠形詞·名詞	성공적	成功的	[성공적] 삶	「成功的」生活		V		育	教學				育_教學	育_教學_		世界的	被動的	瞬間
	中級	ㅅ	名詞	성과	結果	[성과]를 올리다	擴大「成果」		V		育	工作	起始			育_工作	育_工作_起始		教堂	姓名	性別
	高級	ㅅ		성과급이 지급됨	發放獎金			成果給支給		#N/A	育	工作	選擇			育_工作	育_工作_選擇				
	中級	ㅅ	名詞	성당	教堂	[성당]에 다니다	去「教堂」	聖堂	V		國家	宗教				國家_宗教	國家_宗教_	聖堂 	姓名	性別	成熟
	中級	ㅅ	動詞	성립	成立	[성립] 조건	「成立」條件		V		育	工作	起始			育_工作	育_工作_起始		數	吆喝	傳聞
	中級	ㅅ	名詞	성명	姓名	[성명]을 부르다	叫「名字」		V		國家	世界	戰爭			國家_世界	國家_世界_戰爭	姓名（お名前） 	性別	成熟	誠實
	中級	ㅅ	名詞	성별	性別	[성별]을 구분하다	區分「性別」	性別	V		人	稱呼				人_稱呼	人_稱呼_		成熟	誠實	成人
	中級	ㅅ	名詞	성숙	成熟	[성숙]이 늦다	晚「熟」	成熟	V		人	稱呼				人_稱呼	人_稱呼_		誠實	成人	生長
	中級	ㅅ	名詞	성실	誠實	불[성실]	不「誠實」		V		人	個性	真誠			人_個性	人_個性_真誠	誠実 	成人	生長	成績單
	中級	ㅅ	名詞	성인	成人	[성인] 여성	「成人」女性	成人	V		人	稱呼				人_稱呼	人_稱呼_	聖人 	生長	成績單	脾氣
	中級	ㅅ	名詞	성장	生長	[성장]이 멈추다	「生長」停止	成長	V		人	稱呼				人_稱呼	人_稱呼_		成績單	脾氣	全球化
新視4_1_01_1	高級	ㅅ		성장 과정	成長過程						人	個性	自我介紹			人_個性	人_個性_自我介紹				
	初級	ㅅ	名詞	성적	取得成績	[성적]을 거두다	取得「成績」		V		育	教學				育_教學	育_教學_	性的 	姓名	世界	拜年
新視4_1_02_1	高級	ㅅ		성적이 낮다	成績差						樂	人際	男女差異			樂_人際	樂_人際_男女差異				
新視4_1_02_1	高級	ㅅ		성적이 높다	成績好						樂	人際	男女差異			樂_人際	樂_人際_男女差異				
	中級	ㅅ	名詞	성적표	成績單	[성적표]를 받다	收「成績單」		V		育	教學				育_教學	育_教學_	成績表 	脾氣	全球化	稅
	中級	ㅅ	名詞	성질	脾氣	[성질]이 못되다	「脾氣」壞	性質	V		人	思想				人_思想	人_思想_	性質、性格 	全球化	稅	世紀
	初級	ㅅ	名詞	성함	姓名	[성함]을 묻다	問「姓名」	姓銜	V		人	稱呼				人_稱呼	人_稱呼_	お名前 	世界	拜年	性別
	初級	ㅅ	依存名詞	세	-歲	삼십 [세]	三十「歲」	歲	V		基本	數字	量詞	人		基本_數字	基本_數字_量詞	稅 	二十	新衣	三四個
	基本	ㅅ	冠形詞	세	三	[세]	三（韓文固有變型）		V		基本	數字	純數	韓文固有	6	基本_數字	基本_數字_純數	稅 	二十	新衣	三四個
	高級			세 살 적 버릇이 여든까지 간다	三歲看八十，七歲定終身						育	教學	諺語								
	初級	ㅅ	名詞	세계	世界	[세계] 여행	「環球」旅行		V		國家	世界				國家_世界	國家_世界_	世界 	拜年	宇宙	洗臉
	中級	ㅅ	冠形詞·名詞	세계적	世界的	[세계적] 예술가	「世界級」藝術家		V		國家	世界				國家_世界	國家_世界_		被動的	瞬間	身體的
	中級	ㅅ	名詞	세계화	全球化	[세계화] 시대	「全球化」時代		V		國家	世界	經濟			國家_世界	國家_世界_經濟	グローバリゼーション、世界化 	稅	世紀	時代
	中級	ㅅ	名詞	세금	稅	[세금]을 내다	繳「稅金」		V		育	工作	交易			育_工作	育_工作_交易	税金 	世紀	時代	家口，住戶
	中級	ㅅ	名詞	세기	世紀	21[세기]	21「世紀」		V		基本	時間	年			基本_時間	基本_時間_年	世紀 	時代	家口，住戶	勢力
	初級	ㅅ	形容詞	세다	硬	주먹이 [세다]	拳頭「硬」		V		育	教學				育_教學	育_教學_		吆喝	傳聞	受騙
	中級	ㅅ	動詞	세다	數	수를 [세다]	「數」數		V		育	教學				育_教學	育_教學_		吆喝	傳聞	受騙
	中級	ㅅ	名詞	세대	時代	[세대]가 다르다	「時代」不同	時代	V		人	生老病死				人_生老病死	人_生老病死_	世代 	家口，住戶	勢力	緃向
	中級	ㅅ	名詞	세대	家口，住戶	[세대]가 줄다	「家戶」減少	世帶	V		人	生老病死				人_生老病死	人_生老病死_	世代 	家口，住戶	勢力	緃向
	中級	ㅅ	名詞	세력	勢力	[세력]을 확장하다	「勢力」擴張		V		國家	行政				國家_行政	國家_行政_	勢力 	緃向	三角形	研討會
	中級	ㅅ	形容詞	세련되다	時髦的	옷차림이 [세련되다]	衣服「很時尚」		V		人	外貌				人_外貌	人_外貌_		沒用	疏忽	受傷
	中級	ㅅ	名詞	세로	緃向	[세로]	緃向		V		基本	地方	方位			基本_地方	基本_地方_方位		三角形	研討會	歲月
	中級	ㅅ	名詞	세모	三角形	[세모]를 만들다	做「三角形」		V		基本	形式				基本_形式	基本_形式_	三角 	研討會	歲月	銷售
新視4_1_03_43	高級	ㅅ		세무사	稅務師					#N/A	育	工作	選擇			育_工作	育_工作_選擇	税理士 			
	中級	ㅅ	名詞	세미나	研討會	[세미나]를 열다	舉辦「研討會」		V		育	教學				育_教學	育_教學_		歲月	銷售	洗滌劑
	初級	ㅅ	名詞	세배	拜年	[세배]를 드리다	拜年		V		樂	娛樂	節日			樂_娛樂	樂_娛樂_節日	新年の挨拶 	世界	洗臉	洗衣服
	初級	ㅅ	名詞	세상	世界	[세상]이 넓다	「世界」很大		V		國家	世界				國家_世界	國家_世界_		洗臉	洗衣服	洗衣機
	初級	ㅅ	名詞	세수	洗臉	[세수]:얼굴	洗臉		V		住	起居				住_起居	住_起居_	顔を洗うこと 	洗衣服	洗衣機	洗衣店
	初級	ㅅ	動詞	세우다	站起來	자리에서 [세우다]	從椅子上「站起來」		V		人	動作	身體			人_動作	人_動作_身體		休息	喘息	悲傷
	中級	ㅅ	名詞	세월	歲月	[세월]이 흐르다	「歲月」流逝		V		基本	時間	歲月			基本_時間	基本_時間_歲月	歳月、月日 	銷售	洗滌劑	洗車
	中級	ㅅ	名詞	세일	銷售	[세일] 가격	「銷售」價格		V		住	支出	購物			住_支出	住_支出_購物	セール 	洗滌劑	洗車	洗衣物
	中級	ㅅ	名詞	세제	洗滌劑	[세제]로 닦아내다	用「洗潔劑」擦拭		V		住	用品				住_用品	住_用品_	洗剤 	洗車	洗衣物	一套
	中級	ㅅ	名詞	세차	洗車	자동 [세차]	「自動」洗車		V		行	方法	駕駛			行_方法	行_方法_駕駛	洗車 	洗衣物	一套	襯衫
	高級	ㅅ		세차다	強烈						樣態	比較	強弱			樣態_比較	樣態_比較_強弱				
	初級	ㅅ	名詞	세탁	洗衣服	[세탁]을 하다	洗衣服		V		住	清掃				住_清掃	住_清掃_	洗濯 	洗衣機	洗衣店	中心
	初級	ㅅ	名詞	세탁기	洗衣機	[세탁기]를 돌리다	「洗衣機」運轉		V		住	清掃				住_清掃	住_清掃_	洗濯機 	洗衣店	中心	牛
	中級	ㅅ	名詞	세탁물	洗衣物	[세탁물]	洗衣物 （洗濯物）	洗濯物	V		住	清掃				住_清掃	住_清掃_	洗濯物 	一套	襯衫	感想
	初級	ㅅ	名詞	세탁소	洗衣店	[세탁소]에 옷을 맡기다	把衣服送「洗衣店」		V		行	街道	商店			行_街道	行_街道_商店	クリーニング店 	中心	牛	介紹
