가격	價格	歌手	胸部	歌謠
전공	主修	電	地鐵	全體
전기	電	地鐵	全體	電話
전부	全部	真的	真話	最
전철	地鐵	全體	電話	輕切
전체	全體	個人	電話	電話號碼
전하다	轉	折	定	淋濕
전혀	完全	漸漸	無精打采的	逐步
전화	電話	電子	電話號碼	分數
전화기	電話	電話號碼	分數	中午
전화번호	電話號碼	分數	中午	午餐時間
젊다	年輕	安靜的	狹窄	很好
점수	分數	中午	午餐時間	合格
점심	中午	當心	午餐時間	盤子
점심때	午餐時間	床	盤子	筷子
점심시간	午餐時間	盤子	筷子	車站
점점	漸漸	無精打采的	逐步	悄悄
접다	折	定	淋濕	打瞌睡
접시	盤子	筷子	車站	程度
젓가락	筷子	車站	程度	湯匙
정거장	車站	程度	機場	收拾
정도	程度	車站	收拾	前門
정류장	車站	收拾	前門	花園
정리	收拾	前門	花園	整型外科
정말	真的	真話	最	一點
정말	真話	真話	最	一點
정문	前門	花園	整型外科	正確
정신없이	無精打采的	逐步	悄悄	有點
정원	花園	整型外科	正確	標題
정하다	定	淋濕	打瞌睡	喜歡
정형외과	整型外科	正確	標題	濟州島
정확	正確	標題	濟州島	小心
젖다	淋濕	打瞌睡	喜歡	給
제	我的	什麼時候	什麼	某
제목	標題	濟州島	小心	侄子
제일	最	一點	現在	直接
제주도	濟州島	小心	侄子	畢業
조금	一點	現在	直接	真的
조금씩	逐步	悄悄	有點	主要
조심	小心	侄子	畢業	種類
조용하다	安靜的	狹窄	很好	抱歉
조용히	悄悄	有點	主要	一直打擾
조카	侄子	畢業	種類	從業員
졸다	打瞌睡	喜歡	給	睡覺
졸업	畢業	種類	從業員	紙
좀	有點	主要	一直打擾	自然
좁다	狹窄	很好	抱歉	開心
종류	種類	從業員	紙	週末
종업원	從業員	紙	週末	口袋
종이	紙	週末	口袋	訂單
좋다	很好	抱歉	開心	無聊
좋아하다	喜歡	給	睡覺	死
죄송하다	抱歉	開心	無聊	濃
주	-週	睡覺	死	縮小
주다	給	睡覺	死	縮小
주로	主要	一直打擾	自然	滿滿地
주말	週末	口袋	訂單	週邊
주머니	口袋	訂單	週邊	主婦
주무시다	睡覺	死	縮小	調小
주문	訂單	週邊	主婦	注射
주변	週邊	主婦	注射	寫地址
주부	主婦	注射	寫地址	果汁
주사	注射	寫地址	果汁	周圍
주소	寫地址	果汁	周圍	主人
주스	果汁	周圍	主人	停車
주위	周圍	主人	停車	停車場
주인	主人	停車	停車場	朱黃色
주일	-星期	點	每週	光圈
주차	停車	停車場	朱黃色	準備
주차장	停車場	朱黃色	準備	繩子
주황색	朱黃色	準備	繩子	中間
죽다	死	縮小	調小	撿
준비	準備	繩子	中間	中國
줄	繩子	中間	中國	中國餐廳
줄다	縮小	調小	撿	很開心
줄이다	調小	撿	很開心	愉快
줍다	撿	很開心	愉快	經過
중	-中	中古	二手車	二手貨
중간	中間	中國	中國餐廳	中心
중국	中國	中國餐廳	中心	中央
중국집	中國餐廳	中心	中央	重要
중심	中心	中央	重要	進中學
중앙	中央	重要	進中學	中學生
중요	重要	進中學	中學生	遲到
중학교	進中學	中學生	遲到	錢包
중학생	中學生	遲到	錢包	上次
즐거워하다	很開心	愉快	經過	難過
즐겁다	開心	無聊	濃	鹹
즐기다	愉快	難過	經過	過
지각	遲到	錢包	上次	上個星期
지갑	錢包	上次	上個星期	地圖
지금	現在	直接	真的	絕對
지나가다	經過	跳	過	輸
지나다	經過	過	輸	喊出
지난번	上次	上個星期	地圖	地方
지난주	上個星期	地圖	地方	橡皮擦
지내다	過	輸	喊出	擦
지다	輸	喊出	擦	保衛
지도	地圖	地方	橡皮擦	地下
지루하다	無聊	濃	鹹	短
지르다	喊出	擦	保衛	蓋
지방	地方	橡皮擦	地下	地下道
지우개	橡皮擦	地下	地下道	地鐵
지우다	擦	保衛	蓋	長
지키다	保衛	蓋	長	蒸
지하	地下	地下道	地鐵	地鐵站
지하도	地下道	地鐵	地鐵站	工作
지하철	地鐵	地鐵站	工作	員工
지하철역	地鐵站	工作	員工	職場
직업	工作	員工	職場	問題
직원	員工	職場	問題	行李
직장	職場	問題	行李	家
직접	直接	真的	絕對	逐步地
진짜	真的	絕對	逐步地	實際上
진하다	濃	鹹	短	自豪的
질문	問題	行李	家	喬遷宴
짐	行李	家	喬遷宴	家事
집	家	喬遷宴	家事	煩
집들이	喬遷宴	家事	煩	夥伴
집안일	家事	煩	夥伴	炒碼麵
짓다	蓋	長	蒸	打
짜다	鹹	擠	趕出	追趕
짜증	煩	夥伴	炒碼麵	火鍋
짝	夥伴	炒碼麵	火鍋	尺
짧다	短	自豪的	仔細	自然的
짬뽕	炒碼麵	火鍋	尺	自己的車
쪽	-邊	浴	七月	車
찌개	火鍋	尺	自己的車	資格
찌다	長	蒸	蓋	長大
찌다	蒸	蒸	蓋	長大
찍다	蓋	長大	砍	富裕
다	全	略	我自己	真實發生
다녀오다	去一趟	去	受傷	耗盡
다니다	去	受傷	耗盡	擦
다르다	不同的	甜的	鬱悶	髒
다른	別的	兩三個	僅僅	全部
다리	腿	橋	熨	各種
다리	橋	橋	熨	各種
다림질	熨	各種	隔	隔天
다섯째	第五個	第二	第三	第二十天
다시	再次	更多的	更	終於
다양	各種	隔	隔天	減肥
다음	隔	隔天	減肥	單純
다음날	隔天	減肥	單純	單詞
다이어트	減肥	單純	單詞	扣子
다치다	受傷	耗盡	擦	關
다하다	耗盡	擦	關	跑
닦다	擦	關	跑	像
단순	單純	單詞	扣子	楓葉
단어	單詞	扣子	楓葉	雞蛋
단추	扣子	楓葉	雞蛋	掛日曆
단풍	楓葉	雞蛋	掛日曆	跑步
닫다	關	跑	像	扔
달	-月	莖幹	石頭	籌措
달걀	雞蛋	掛日曆	跑步	雞
달다	甜的	改變	哄	跑去
달력	掛日曆	跑步	雞	雞肉
달리기	跑步	雞	雞肉	香煙
달리다	跑	像	扔	帶去
닭	雞	雞肉	香煙	回答
닭고기	雞肉	香煙	回答	回信
닮다	像	扔	帶去	帶來
담배	香煙	回答	回信	大邱
답	回答	回信	大邱	回覆
답답하다	鬱悶	髒	熱	厚
답장	回信	大邱	回覆	大使館
대	-台	石頭	籌措	車輪
대구	大邱	回覆	大使館	大田
대답	回覆	大使館	大田	大學
대부분	大部份	暫時	大綱	大概
대사관	大使館	大田	大學	大眾
대전	大田	大邱	大學	大學生
대학	大學	中學	大學生	研究所
대학교	大學	大學生	研究所	對話
대학생	大學生	研究所	對話	運動會，錦標賽
대학원	研究所	對話	運動會，錦標賽	父母
대화	對話	運動會，錦標賽	父母	見面
대회	運動會，錦標賽	父母	見面	道路
댁	家	本人名義	自己	橫向
더	更多的	更	終於	個別
더럽다	髒	熱	厚	溫暖
더욱	更	終於	個別	又
덕분	父母	見面	道路	城市
던지다	扔	帶去	帶來	幫忙
덥다	熱	厚	溫暖	相同的
데려가다	帶去	帶來	幫忙	旋轉
데려오다	帶來	幫忙	旋轉	還
데이트	見面	道路	城市	幫助
도	度	道	月	時候
도로	道路	反倒	怎麼也	實在
도시	城市	幫助	到達	讀書
도와주다	幫忙	旋轉	還	爬上
도움	幫助	到達	讀書	德國
도착	到達	讀書	德國	錢
독서	讀書	德國	錢	豬排
독일	德國	錢	豬排	石頭
돈	錢	豬排	石頭	小鎮
돈가스	豬排	石頭	小鎮	東大門
돌	石頭	小鎮	東大門	動物
돌다	旋轉	還	闗掉	放手
돌려주다	還	旋轉	轉動	回來
돌리다	旋轉	轉動	回來	助
돌아가다	轉動	回來	助	當
돌아오다	回來	助	當	放
돕다	助	當	放	給
동네	小鎮	東大門	動物	弟弟
동대문	東大門	動物	弟弟	同時
동물	動物	弟弟	同時	期間
동생	弟弟	同時	期間	硬幣
동시	同時	期間	硬幣	東方
동안	期間	硬幣	東方	豬
동전	硬幣	東方	豬	豬肉
동쪽	東方	豬	豬肉	味噌醬
돼지	豬	豬肉	味噌醬	味噌鍋
돼지고기	豬肉	味噌醬	味噌鍋	豆腐
되다	當	放	給	聽
된장	味噌醬	味噌鍋	豆腐	頭痛
된장찌개	味噌鍋	豆腐	頭痛	後
두껍다	厚	溫暖	相同的	聰明
두다	放	給	聽	花
두부	豆腐	頭痛	後	後面
두세	兩三個	僅僅	四五個	胡亂想
두통	頭痛	後	後面	連續劇
둘째	第二	第三	第二十天	第九
뒤	後	後面	連續劇	背
뒤쪽	後面	連續劇	背	登山
드디어	終於	個別	又	或
드라마	連續劇	背	登山	設計
드리다	給	聽	花	提著
듣다	聽	花	提著	進去
들다	花	提著	進去	聽到
들다	提著	提著	進去	聽到
들르다	進去	聽到	緊挨著	進來
들리다	聽到	進去	進來	離開
들어가다	進去	進來	離開	大聲
들어오다	進來	離開	大聲	掉下
등	背	登山	設計	女兒
등산	登山	設計	女兒	草莓
디자인	設計	女兒	草莓	汗
따뜻하다	溫暖	相同的	聰明	胖
따로	個別	又	或	平均
딸	女兒	草莓	汗	地上
딸기	草莓	汗	地上	小時
땀	汗	地上	小時	年糕
땅	地上	小時	年糕	年糕湯
때	小時	年糕	年糕湯	炒年糕
떠나다	離開	大聲	掉下	跑
떠들다	大聲	掉下	跑	跑去
떡	年糕	年糕湯	炒年糕	意思
떡국	年糕湯	炒年糕	意思	熨斗
떡볶이	炒年糕	意思	熨斗	咖啡廳
떨어지다	掉下	跑	跑去	睜
또	又	或	平均	向前
또는	或	平均	向前	幸虧
똑같다	相同的	聰明	胖	燙
똑같이	平均	向前	幸虧	簡單地
똑똑하다	聰明	胖	燙	一樣
똑바로	向前	幸虧	簡單地	不同
뚱뚱하다	胖	燙	一樣	慶幸
뛰다	跑	跑去	睜	走近
뛰어가다	跑去	睜	走近	緊挨著
뜨겁다	燙	一樣	慶幸	硬
뜨다	睜	走近	緊挨著	走遠
뜻	意思	熨斗	咖啡廳	多數人
