centigrade	攝氏的	計劃	忍受	廢除;廢止
patrol	巡邏	贊助者;主顧(尤指老顧客)	孔雀	農夫
patron	贊助者;主顧(尤指老顧客)	孔雀	農夫	輕吻
peacock	孔雀	農夫	輕吻	小販
peasant	農夫	輕吻	小販	偷看;窺視
peck	輕吻	小販	偷看;窺視	用木釘釘
peddler	小販	偷看;窺視	用木釘釘	穿過;透過;識破;滲透入
peek	偷看;窺視	用木釘釘	穿過;透過;識破;滲透入	察覺;感知;意識到
peg	用木釘釘	穿過;透過;識破;滲透入	察覺;感知;意識到	(鳥)飛落;棲息;(在較高處)暫歇
penetrate	穿過;透過;識破;滲透入	察覺;感知;意識到	(鳥)飛落;棲息;(在較高處)暫歇	演出者;演奏者;表演者
perceive	察覺;感知;意識到	(鳥)飛落;棲息;(在較高處)暫歇	演出者;演奏者;表演者	使有危險;危及
perch	(鳥)飛落;棲息;(在較高處)暫歇	演出者;演奏者;表演者	使有危險;危及	死亡
performer	演出者;演奏者;表演者	使有危險;危及	死亡	可允許的
peril	使有危險;危及	死亡	可允許的	堅持;固執
perish	死亡	可允許的	堅持;固執	全體職員
permissible	可允許的	堅持;固執	全體職員	悲觀;悲觀主義
persist	堅持;固執	全體職員	悲觀;悲觀主義	打電話
personnel	全體職員	悲觀;悲觀主義	打電話	防波堤
pessimism	悲觀;悲觀主義	打電話	防波堤	香客,朝聖者
phone/mobile phone	打電話	防波堤	香客,朝聖者	柱子;棟樑
pier	防波堤	香客,朝聖者	柱子;棟樑	丘疹;面皰
pilgrim	香客,朝聖者	柱子;棟樑	丘疹;面皰	擰
pillar	柱子;棟樑	丘疹;面皰	擰	小便
pimple	丘疹;面皰	擰	小便	用手槍射擊
pinch	擰	小便	用手槍射擊	瘟疫;天災;禍患
piss	小便	用手槍射擊	瘟疫;天災;禍患	大農園;造林地
pistol	用手槍射擊	瘟疫;天災;禍患	大農園;造林地	劇作家
plague	瘟疫;天災;禍患	大農園;造林地	劇作家	請求;懇求
plantation	大農園;造林地	劇作家	請求;懇求	為(案件)辯護;懇求
playwright	劇作家	請求;懇求	為(案件)辯護;懇求	保證給予;許諾;發誓
plea	請求;懇求	為(案件)辯護;懇求	保證給予;許諾;發誓	犁;耕;開(路);破(浪)前進
plead	為(案件)辯護;懇求	保證給予;許諾;發誓	犁;耕;開(路);破(浪)前進	採;拔...的毛;扯
pledge	保證給予;許諾;發誓	犁;耕;開(路);破(浪)前進	採;拔...的毛;扯	投入;將...插入;急降
plow	犁;耕;開(路);破(浪)前進	採;拔...的毛;扯	投入;將...插入;急降	錢包;皮夾子;袖珍本
pluck	採;拔...的毛;扯	投入;將...插入;急降	錢包;皮夾子;袖珍本	詩的;韻文的
plunge	投入;將...插入;急降	錢包;皮夾子;袖珍本	詩的;韻文的	戳
pocketbook	錢包;皮夾子;袖珍本	詩的;韻文的	戳	極地的
poetic	詩的;韻文的	戳	極地的	門廊
poke	戳	極地的	門廊	潛在的,可能的
polar	極地的	門廊	潛在的,可能的	家禽
porch	門廊	潛在的,可能的	家禽	大草原
potential	潛在的,可能的	家禽	大草原	佈道;說教
poultry	家禽	大草原	佈道;說教	謹慎;預防措施
prairie	大草原	佈道;說教	謹慎;預防措施	偏愛;優先(權)
preach	佈道;說教	謹慎;預防措施	偏愛;優先(權)	史前的;舊式的
precaution	謹慎;預防措施	偏愛;優先(權)	史前的;舊式的	勝過;優勝;流行
preference	偏愛;優先(權)	史前的;舊式的	勝過;優勝;流行	試演;試映
prehistoric	史前的;舊式的	勝過;優勝;流行	試演;試映	捕食;掠奪
prevail	勝過;優勝;流行	試演;試映	捕食;掠奪	無價的;稀世之珍的
preview	試演;試映	捕食;掠奪	無價的;稀世之珍的	刺(穿);扎(穿);使內心極度痛苦
prey	捕食;掠奪	無價的;稀世之珍的	刺(穿);扎(穿);使內心極度痛苦	在前面地
priceless	無價的;稀世之珍的	刺(穿);扎(穿);使內心極度痛苦	在前面地	在先;重點;優先權
prick	刺(穿);扎(穿);使內心極度痛苦	在前面地	在先;重點;優先權	一(長)列;一(長)排;隊伍
prior	在前面地	在先;重點;優先權	一(長)列;一(長)排;隊伍	畫側面像;描出輪廓;寫傳略
priority	在先;重點;優先權	一(長)列;一(長)排;隊伍	畫側面像;描出輪廓;寫傳略	延長;拉長;拖延
procession	一(長)列;一(長)排;隊伍	畫側面像;描出輪廓;寫傳略	延長;拉長;拖延	支撐;維持;架;擱
profile	畫側面像;描出輪廓;寫傳略	延長;拉長;拖延	支撐;維持;架;擱	先知
prolong	延長;拉長;拖延	支撐;維持;架;擱	先知	使成比例;使平衡;分攤
prop	支撐;維持;架;擱	先知	使成比例;使平衡;分攤	前景
prophet	先知	使成比例;使平衡;分攤	前景	省
proportion	使成比例;使平衡;分攤	前景	省	修剪（樹枝）
prospect	前景	省	修剪（樹枝）	宣傳
province	省	修剪（樹枝）	宣傳	喘氣
prune 	修剪（樹枝）	宣傳	喘氣	跳動
publicize	宣傳	喘氣	跳動	買,購買
puff	喘氣	跳動	買,購買	金字塔
pulse	跳動	買,購買	金字塔	(鴨)呱呱叫
purchase	買,購買	金字塔	(鴨)呱呱叫	使具有資格
pyramid	金字塔	(鴨)呱呱叫	使具有資格	品脫
quack	(鴨)呱呱叫	使具有資格	品脫	追求;探索
qualify	使具有資格	品脫	追求;探索	顫抖;抖動(翅膀等)
quart	品脫	追求;探索	顫抖;抖動(翅膀等)	架子
quest	追求;探索	顫抖;抖動(翅膀等)	架子	小蘿蔔
quiver	顫抖;抖動(翅膀等)	架子	小蘿蔔	半徑
rack 	架子	小蘿蔔	半徑	破爛的;不整潔的;參差不齊的
radish	小蘿蔔	半徑	破爛的;不整潔的;參差不齊的	鐵軌
radius	半徑	破爛的;不整潔的;參差不齊的	鐵軌	召集;團結;重新振作  集會
ragged	破爛的;不整潔的;參差不齊的	鐵軌	召集;團結;重新振作  集會	經營牧場(或農場)
rail	鐵軌	召集;團結;重新振作  集會	經營牧場(或農場)	無賴;淘氣鬼
rally	召集;團結;重新振作  集會	經營牧場(或農場)	無賴;淘氣鬼	比率;比例
ranch	經營牧場(或農場)	無賴;淘氣鬼	比率;比例	使發出咯咯聲;使驚惶失措
rascal	無賴;淘氣鬼	比率;比例	使發出咯咯聲;使驚惶失措	王國;國土;領土
ratio	比率;比例	使發出咯咯聲;使驚惶失措	王國;國土;領土	收割;收穫
rattle	使發出咯咯聲;使驚惶失措	王國;國土;領土	收割;收穫	舉起
realm	王國;國土;領土	收割;收穫	舉起	不在乎的;魯莽的
reap	收割;收穫	舉起	不在乎的;魯莽的	認為;把...看作;覺得;測量
rear	舉起	不在乎的;魯莽的	認為;把...看作;覺得;測量	推薦,介紹
reckless	不在乎的;魯莽的	認為;把...看作;覺得;測量	推薦,介紹	礁;暗礁
reckon	認為;把...看作;覺得;測量	推薦,介紹	礁;暗礁	捲;繞
recommend	推薦,介紹	礁;暗礁	捲;繞	裁判
reef	礁;暗礁	捲;繞	裁判	躲避;避難;避難所
reel	捲;繞	裁判	躲避;避難;避難所	駁斥;反駁
referee/umpire	裁判	躲避;避難;避難所	駁斥;反駁	君臨;統治
refuge/sanctuary	躲避;避難;避難所	駁斥;反駁	君臨;統治	欣喜;慶祝
refute	駁斥;反駁	君臨;統治	欣喜;慶祝	遺物;遺風;遺跡
reign	君臨;統治	欣喜;慶祝	遺物;遺風;遺跡	提醒者,提醒物;催函
rejoice 	欣喜;慶祝	遺物;遺風;遺跡	提醒者,提醒物;催函	償還;報答
relic	遺物;遺風;遺跡	提醒者,提醒物;催函	償還;報答	繁殖;複製
reminder	提醒者,提醒物;催函	償還;報答	繁殖;複製	爬行動物(似)的
repay	償還;報答	繁殖;複製	爬行動物(似)的	共和政體的
reproduce	繁殖;複製	爬行動物(似)的	共和政體的	憤慨;怨恨
reptile	爬行動物(似)的	共和政體的	憤慨;怨恨	居住;駐在
republican	共和政體的	憤慨;怨恨	居住;駐在	住所;住宅
resent	憤慨;怨恨	居住;駐在	住所;住宅	居住的,定居的;常駐的
reside	居住;駐在	住所;住宅	居住的,定居的;常駐的	訴諸;憑藉
residence	住所;住宅	居住的,定居的;常駐的	訴諸;憑藉	抑制;約束
resident	居住的,定居的;常駐的	訴諸;憑藉	抑制;約束	重新開始;繼續;恢復
resort	訴諸;憑藉	抑制;約束	重新開始;繼續;恢復	反駁;回嘴
restrain	抑制;約束	重新開始;繼續;恢復	反駁;回嘴	顛倒的;相反的;反向的
resume	重新開始;繼續;恢復	反駁;回嘴	顛倒的;相反的;反向的	復甦;恢復生機;使甦醒
retort	反駁;回嘴	顛倒的;相反的;反向的	復甦;恢復生機;使甦醒	反叛;起義;使反感
reverse	顛倒的;相反的;反向的	復甦;恢復生機;使甦醒	反叛;起義;使反感	旋轉;自轉;以...為中心
revive	復甦;恢復生機;使甦醒	反叛;起義;使反感	旋轉;自轉;以...為中心	犀牛
revolt	反叛;起義;使反感	旋轉;自轉;以...為中心	犀牛	豬肋骨
revolve	旋轉;自轉;以...為中心	犀牛	豬肋骨	山脊
rhinoceros/rhino	犀牛	豬肋骨	山脊	可笑的,荒謬的;滑稽的
rib	豬肋骨	山脊	可笑的,荒謬的;滑稽的	洗劫,劫掠
ridge	山脊	可笑的,荒謬的;滑稽的	洗劫,劫掠	堅硬的
ridiculous	可笑的,荒謬的;滑稽的	洗劫,劫掠	堅硬的	邊緣
rifle	洗劫,劫掠	堅硬的	邊緣	撕;扯
rigid	堅硬的	邊緣	撕;扯	起漣漪;(頭髮等)呈波狀
rim	邊緣	撕;扯	起漣漪;(頭髮等)呈波狀	競爭
rip	撕;扯	起漣漪;(頭髮等)呈波狀	競爭	漫步
ripple	起漣漪;(頭髮等)呈波狀	競爭	漫步	知更鳥
rival	競爭	漫步	知更鳥	強健的;健全的;結實的
roam	漫步	知更鳥	強健的;健全的;結實的	棒,桿,竿
robin	知更鳥	強健的;健全的;結實的	棒,桿,竿	垃圾;廢物
robust	強健的;健全的;結實的	棒,桿,竿	垃圾;廢物	高低不平的;粗糙的;粗線條的
rod	棒,桿,竿	垃圾;廢物	高低不平的;粗糙的;粗線條的	(雷等)隆隆響;(車輛)轆轆行駛
rubbish	垃圾;廢物	高低不平的;粗糙的;粗線條的	(雷等)隆隆響;(車輛)轆轆行駛	(樹葉;紙等)沙沙作響;使沙沙作響
rugged	高低不平的;粗糙的;粗線條的	(雷等)隆隆響;(車輛)轆轆行駛	(樹葉;紙等)沙沙作響;使沙沙作響	神聖的
rumble	(雷等)隆隆響;(車輛)轆轆行駛	(樹葉;紙等)沙沙作響;使沙沙作響	神聖的	腳踏車坐墊
rustle	(樹葉;紙等)沙沙作響;使沙沙作響	神聖的	腳踏車坐墊	使成為聖徒
sacred	神聖的	腳踏車坐墊	使成為聖徒	鮭魚
saddle	腳踏車坐墊	使成為聖徒	鮭魚	向...行禮;向...致敬
saint	使成為聖徒	鮭魚	向...行禮;向...致敬	涼鞋
salmon	鮭魚	向...行禮;向...致敬	涼鞋	野性的
salute	向...行禮;向...致敬	涼鞋	野性的	細看;審視
sandal	涼鞋	野性的	細看;審視	醜聞;醜事
savage	野性的	細看;審視	醜聞;醜事	結疤
scan	細看;審視	醜聞;醜事	結疤	聞
scandal	醜聞;醜事	結疤	聞	策劃,密謀
scar	結疤	聞	策劃,密謀	輕蔑;藐視
scent	聞	策劃,密謀	輕蔑;藐視	攀爬;雜亂蔓延;爭奪
scheme	策劃,密謀	輕蔑;藐視	攀爬;雜亂蔓延;爭奪	將...作為廢物;將...拆毀
scorn	輕蔑;藐視	攀爬;雜亂蔓延;爭奪	將...作為廢物;將...拆毀	刮
scramble	攀爬;雜亂蔓延;爭奪	將...作為廢物;將...拆毀	刮	使成卷形;用渦卷飾裝飾
scrap	將...作為廢物;將...拆毀	刮	使成卷形;用渦卷飾裝飾	雕刻家
scrape	刮	使成卷形;用渦卷飾裝飾	雕刻家	安全的牢固的
scroll	使成卷形;用渦卷飾裝飾	雕刻家	安全的牢固的	分割;切成片
sculptor	雕刻家	安全的牢固的	分割;切成片	感覺;知覺;轟動
secure	安全的牢固的	分割;切成片	感覺;知覺;轟動	敏感性;感受性
segment	分割;切成片	感覺;知覺;轟動	敏感性;感受性	感情;情緒;感傷
sensation	感覺;知覺;轟動	敏感性;感受性	感情;情緒;感傷	中士;警官
sensitivity	敏感性;感受性	感情;情緒;感傷	中士;警官	連續;系列
sentiment	感情;情緒;感傷	中士;警官	連續;系列	佈道;說教
sergeant	中士;警官	連續;系列	佈道;說教	侍者;伺服器
series	連續;系列	佈道;說教	侍者;伺服器	安裝;設定;鑲嵌;背景
sermon	佈道;說教	侍者;伺服器	安裝;設定;鑲嵌;背景	破爛的;破舊的;邋遢的
server	侍者;伺服器	安裝;設定;鑲嵌;背景	破爛的;破舊的;邋遢的	削尖,磨快
setting	安裝;設定;鑲嵌;背景	破爛的;破舊的;邋遢的	削尖,磨快	粉碎;砸碎
shabby	破爛的;破舊的;邋遢的	削尖,磨快	粉碎;砸碎	警長
sharpen	削尖,磨快	粉碎;砸碎	警長	保護;庇護;掩蓋
shatter	粉碎;砸碎	警長	保護;庇護;掩蓋	發抖;打顫
sheriff	警長	保護;庇護;掩蓋	發抖;打顫	缺少,不足,匱乏
shield	保護;庇護;掩蓋	發抖;打顫	缺少,不足,匱乏	缺點,短處
shiver	發抖;打顫	缺少,不足,匱乏	缺點,短處	推;撞;亂塞
shortage	缺少,不足,匱乏	缺點,短處	推;撞;亂塞	切成條狀;用碎紙機撕毀(文件)
shortcoming	缺點,短處	推;撞;亂塞	切成條狀;用碎紙機撕毀(文件)	尖叫;發出尖聲
shove	推;撞;亂塞	切成條狀;用碎紙機撕毀(文件)	尖叫;發出尖聲	聖壇;神殿
shred	切成條狀;用碎紙機撕毀(文件)	尖叫;發出尖聲	聖壇;神殿	矮樹;灌木
shriek	尖叫;發出尖聲	聖壇;神殿	矮樹;灌木	發抖;戰慄
shrine	聖壇;神殿	矮樹;灌木	發抖;戰慄	為...裝遮板(或快門等);關(店)
shrub	矮樹;灌木	發抖;戰慄	為...裝遮板(或快門等);關(店)	蠶
shudder	發抖;戰慄	為...裝遮板(或快門等);關(店)	蠶	煨;燉;(危機等)即將爆發
shutter	為...裝遮板(或快門等);關(店)	蠶	煨;燉;(危機等)即將爆發	骨骼;骨瘦如柴的人(或動物);概略
silkworm	蠶	煨;燉;(危機等)即將爆發	骨骼;骨瘦如柴的人(或動物);概略	頭骨
simmer	煨;燉;(危機等)即將爆發	骨骼;骨瘦如柴的人(或動物);概略	頭骨	猛地關上;砰地放下;打成滿貫
skeleton	骨骼;骨瘦如柴的人(或動物);概略	頭骨	猛地關上;砰地放下;打成滿貫	摑...耳光;侮辱
skull	頭骨	猛地關上;砰地放下;打成滿貫	摑...耳光;侮辱	屠宰;屠殺
slam	猛地關上;砰地放下;打成滿貫	摑...耳光;侮辱	屠宰;屠殺	殺死;殺害
slap	摑...耳光;侮辱	屠宰;屠殺	殺死;殺害	懶散的;草率的
slaughter	屠宰;屠殺	殺死;殺害	懶散的;草率的	(沈重地)倒下;(經濟)衰落
slay	殺死;殺害	懶散的;草率的	(沈重地)倒下;(經濟)衰落	狡猾的
sloppy	懶散的;草率的	(沈重地)倒下;(經濟)衰落	狡猾的	粉碎;瓦解;殺球
slump	(沈重地)倒下;(經濟)衰落	狡猾的	粉碎;瓦解;殺球	吠;咆哮;纏結
sly	狡猾的	粉碎;瓦解;殺球	吠;咆哮;纏結	奪走;抓住
smash	粉碎;瓦解;殺球	吠;咆哮;纏結	奪走;抓住	偷偷地走,溜
snarl	吠;咆哮;纏結	奪走;抓住	偷偷地走,溜	運動鞋
snatch	奪走;抓住	偷偷地走,溜	運動鞋	嗅;用力吸;抽鼻涕
sneak	偷偷地走,溜	運動鞋	嗅;用力吸;抽鼻涕	打鼾
sneaker	運動鞋	嗅;用力吸;抽鼻涕	打鼾	噴鼻息;輕蔑(或憤怒)地哼
sniff	嗅;用力吸;抽鼻涕	打鼾	噴鼻息;輕蔑(或憤怒)地哼	浸泡;使濕透
snore	打鼾	噴鼻息;輕蔑(或憤怒)地哼	浸泡;使濕透	清醒的;沒喝醉的;嚴肅的
snort	噴鼻息;輕蔑(或憤怒)地哼	浸泡;使濕透	清醒的;沒喝醉的;嚴肅的	使變柔軟
soak	浸泡;使濕透	清醒的;沒喝醉的;嚴肅的	使變柔軟	唯一
sober	清醒的;沒喝醉的;嚴肅的	使變柔軟	唯一	嚴肅的;莊嚴的;鄭重的
soften	使變柔軟	唯一	嚴肅的;莊嚴的;鄭重的	單獨的;唯一的;隱居的
sole 	唯一	嚴肅的;莊嚴的;鄭重的	單獨的;唯一的;隱居的	單獨地; 單獨表演;單飛
solemn	嚴肅的;莊嚴的;鄭重的	單獨的;唯一的;隱居的	單獨地; 單獨表演;單飛	最高統治者的;具有獨立主權的
solitary	單獨的;唯一的;隱居的	單獨地; 單獨表演;單飛	最高統治者的;具有獨立主權的	播(種)
solo	單獨地; 單獨表演;單飛	最高統治者的;具有獨立主權的	播(種)	太空船,航天器
sovereign	最高統治者的;具有獨立主權的	播(種)	太空船,航天器	專家;專科醫生
sow	播(種)	太空船,航天器	專家;專科醫生	樣品;標本
spacecraft/spaceship	太空船,航天器	專家;專科醫生	樣品;標本	景象;奇觀;壯觀
specialist	專家;專科醫生	樣品;標本	景象;奇觀;壯觀	旁觀者;目擊者
specimen	樣品;標本	景象;奇觀;壯觀	旁觀者;目擊者	脊柱;書脊;骨氣
spectacle	景象;奇觀;壯觀	旁觀者;目擊者	脊柱;書脊;骨氣	光輝;壯觀;輝煌
spectator	旁觀者;目擊者	脊柱;書脊;骨氣	光輝;壯觀;輝煌	海綿
spine	脊柱;書脊;骨氣	光輝;壯觀;輝煌	海綿	聚光燈
splendor	光輝;壯觀;輝煌	海綿	聚光燈	衝刺
sponge	海綿	聚光燈	衝刺	鼓勵
spotlight	聚光燈	衝刺	鼓勵	壓扁(壓碎)
sprint	衝刺	鼓勵	壓扁(壓碎)	蹲，蹲坐
spur	鼓勵	壓扁(壓碎)	蹲，蹲坐	疊
squash 	壓扁(壓碎)	蹲，蹲坐	疊	搖搖晃晃
squat	蹲，蹲坐	疊	搖搖晃晃	污點;色斑;染色劑
stack	疊	搖搖晃晃	污點;色斑;染色劑	把...押下打賭,拿...冒險
stagger	搖搖晃晃	污點;色斑;染色劑	把...押下打賭,拿...冒險	偷偷靠近;追蹤
stain	污點;色斑;染色劑	把...押下打賭,拿...冒險	偷偷靠近;追蹤	把...關入畜舍;使拋錨;支吾;拖延
stake	把...押下打賭,拿...冒險	偷偷靠近;追蹤	把...關入畜舍;使拋錨;支吾;拖延	詩的一節
stalk 	偷偷靠近;追蹤	把...關入畜舍;使拋錨;支吾;拖延	詩的一節	驚嚇
stall	把...關入畜舍;使拋錨;支吾;拖延	詩的一節	驚嚇	政治家
stanza	詩的一節	驚嚇	政治家	統計量;統計數值
startle	驚嚇	政治家	統計量;統計數值	統計的;統計學的
statesman 	政治家	統計量;統計數值	統計的;統計學的	汽船
statistic	統計量;統計數值	統計的;統計學的	汽船	掌(船)舵,駕駛
statistical	統計的;統計學的	汽船	掌(船)舵,駕駛	使成為陳規;把...澆鑄成鉛板
steamer 	汽船	掌(船)舵,駕駛	使成為陳規;把...澆鑄成鉛板	嚴厲的;堅定的
steer	掌(船)舵,駕駛	使成為陳規;把...澆鑄成鉛板	嚴厲的;堅定的	燉煮
stereotype	使成為陳規;把...澆鑄成鉛板	嚴厲的;堅定的	燉煮	男服務員;管家
stern	嚴厲的;堅定的	燉煮	男服務員;管家	發惡臭;名聲臭
stew	燉煮	男服務員;管家	發惡臭;名聲臭	給(商店)辦貨;貯存
steward/stewardess/attendant	男服務員;管家	發惡臭;名聲臭	給(商店)辦貨;貯存	屈身;彎腰駝背
stink	發惡臭;名聲臭	給(商店)辦貨;貯存	屈身;彎腰駝背	貯藏;貯藏庫
stock 	給(商店)辦貨;貯存	屈身;彎腰駝背	貯藏;貯藏庫	結實的（用於男性）
stoop	屈身;彎腰駝背	貯藏;貯藏庫	結實的（用於男性）	把...弄直;澄清
storage	貯藏;貯藏庫	結實的（用於男性）	把...弄直;澄清	一直向前的;正直的;簡單易懂的
stout	結實的（用於男性）	把...弄直;澄清	一直向前的;正直的;簡單易懂的	拉緊
straighten	把...弄直;澄清	一直向前的;正直的;簡單易懂的	拉緊	海峽
straightforward	一直向前的;正直的;簡單易懂的	拉緊	海峽	使擱淺;處於困境
strain	拉緊	海峽	使擱淺;處於困境	吊環
strait	海峽	使擱淺;處於困境	吊環	迷路的;流浪的;零星的
strand	使擱淺;處於困境	吊環	迷路的;流浪的;零星的	形成條紋;疾駛;閃現
strap	吊環	迷路的;流浪的;零星的	形成條紋;疾駛;閃現	大步走
stray	迷路的;流浪的;零星的	形成條紋;疾駛;閃現	大步走	條紋;斑紋;線條
streak	形成條紋;疾駛;閃現	大步走	條紋;斑紋;線條	散步
stride	大步走	條紋;斑紋;線條	散步	建築上的;建築用的;結構上的
stripe	條紋;斑紋;線條	散步	建築上的;建築用的;結構上的	絆倒
stroll	散步	建築上的;建築用的;結構上的	絆倒	砍去...的幹;作巡迴政治演說
structural	建築上的;建築用的;結構上的	絆倒	砍去...的幹;作巡迴政治演說	使昏迷;使大吃一驚
stumble	絆倒	砍去...的幹;作巡迴政治演說	使昏迷;使大吃一驚	結實的
stump	砍去...的幹;作巡迴政治演說	使昏迷;使大吃一驚	結實的	結結巴巴地說話
stun	使昏迷;使大吃一驚	結實的	結結巴巴地說話	時髦的;漂亮的
sturdy	結實的	結結巴巴地說話	時髦的;漂亮的	提交
stutter	結結巴巴地說話	時髦的;漂亮的	提交	實質的
stylish	時髦的;漂亮的	提交	實質的	用...代替;代替
submit	提交	實質的	用...代替;代替	小型旅行箱;手提箱
substantial	實質的	用...代替;代替	小型旅行箱;手提箱	硫
substitute	用...代替;代替	小型旅行箱;手提箱	硫	召喚
suitcase	小型旅行箱;手提箱	硫	召喚	外表的;粗略的;膚淺的
sulfur	硫	召喚	外表的;粗略的;膚淺的	迷信
summon	召喚	外表的;粗略的;膚淺的	迷信	監督;管理;指導
superficial	外表的;粗略的;膚淺的	迷信	監督;管理;指導	主任
superstition	迷信	監督;管理;指導	主任	鎮壓;壓制;抑制
supervise	監督;管理;指導	主任	鎮壓;壓制;抑制	最高的,至上的
supervisor	主任	鎮壓;壓制;抑制	最高的,至上的	(海浪)洶湧;激增
suppress	鎮壓;壓制;抑制	最高的,至上的	(海浪)洶湧;激增	使中止,懸掛,吊掛
supreme	最高的,至上的	(海浪)洶湧;激增	使中止,懸掛,吊掛	支撐;承受
surge	(海浪)洶湧;激增	使中止,懸掛,吊掛	支撐;承受	使陷入沼澤;淹沒;使陷入困境
suspend	使中止,懸掛,吊掛	支撐;承受	使陷入沼澤;淹沒;使陷入困境	成群地移動(或飛行);擠滿
sustain	支撐;承受	使陷入沼澤;淹沒;使陷入困境	成群地移動(或飛行);擠滿	同情;憐憫
swamp	使陷入沼澤;淹沒;使陷入困境	成群地移動(或飛行);擠滿	同情;憐憫	著手對付(或處理);擒抱並摔倒
swarm	成群地移動(或飛行);擠滿	同情;憐憫	著手對付(或處理);擒抱並摔倒	棕褐色
sympathize	同情;憐憫	著手對付(或處理);擒抱並摔倒	棕褐色	使糾結;使混亂
tackle	著手對付(或處理);擒抱並摔倒	棕褐色	使糾結;使混亂	塗焦油於;玷污;污辱
tan	棕褐色	使糾結;使混亂	塗焦油於;玷污;污辱	水果塔
tangle	使糾結;使混亂	塗焦油於;玷污;污辱	水果塔	辱罵;嘲笑;奚落
tar	塗焦油於;玷污;污辱	水果塔	辱罵;嘲笑;奚落	小酒館;小客棧
tart	水果塔	辱罵;嘲笑;奚落	小酒館;小客棧	敘述者;(銀行)出納員
taunt	辱罵;嘲笑;奚落	小酒館;小客棧	敘述者;(銀行)出納員	速度;拍子
tavern	小酒館;小客棧	敘述者;(銀行)出納員	速度;拍子	引誘;誘惑
teller	敘述者;(銀行)出納員	速度;拍子	引誘;誘惑	引誘;誘惑;誘惑物
tempo	速度;拍子	引誘;誘惑	引誘;誘惑;誘惑物	房客
tempt	引誘;誘惑	引誘;誘惑;誘惑物	房客	試驗性的;暫時性的;猶豫的
temptation	引誘;誘惑;誘惑物	房客	試驗性的;暫時性的;猶豫的	終點的
tenant	房客	試驗性的;暫時性的;猶豫的	終點的	大陽台
tentative	試驗性的;暫時性的;猶豫的	終點的	大陽台	大腿
terminal	終點的	大陽台	大腿	刺
terrace	大陽台	大腿	刺	使興奮;使激動;使毛骨悚然;顫抖
thigh	大腿	刺	使興奮;使激動;使毛骨悚然;顫抖	恐怖小說(或電影等)
thorn	刺	使興奮;使激動;使毛骨悚然;顫抖	恐怖小說(或電影等)	王座;神座;君權;帝王
thrill	使興奮;使激動;使毛骨悚然;顫抖	恐怖小說(或電影等)	王座;神座;君權;帝王	擠滿;湧入
thriller	恐怖小說(或電影等)	王座;神座;君權;帝王	擠滿;湧入	用力推;刺;插
throne	王座;神座;君權;帝王	擠滿;湧入	用力推;刺;插	發滴答聲;責備
throng	擠滿;湧入	用力推;刺;插	發滴答聲;責備	鋪砌瓦
thrust	用力推;刺;插	發滴答聲;責備	鋪砌瓦	使傾斜;使翹起;偏向
tick	發滴答聲;責備	鋪砌瓦	使傾斜;使翹起;偏向	把...裝罐
tile	鋪砌瓦	使傾斜;使翹起;偏向	把...裝罐	踮著腳
tilt	使傾斜;使翹起;偏向	把...裝罐	踮著腳	蟾蜍;令人討厭的人
tin	把...裝罐	踮著腳	蟾蜍;令人討厭的人	苦幹;艱難地行進
tiptoe	踮著腳	蟾蜍;令人討厭的人	苦幹;艱難地行進	標誌;象徵;代價券;籌碼
toad	蟾蜍;令人討厭的人	苦幹;艱難地行進	標誌;象徵;代價券;籌碼	火炬，手電筒
toil	苦幹;艱難地行進	標誌;象徵;代價券;籌碼	火炬，手電筒	折磨
token	標誌;象徵;代價券;籌碼	火炬，手電筒	折磨	洪流;(話語的)連發;(感情的)狂潮
torch	火炬，手電筒	折磨	洪流;(話語的)連發;(感情的)狂潮	拷打;拷問;折磨
torment	折磨	洪流;(話語的)連發;(感情的)狂潮	拷打;拷問;折磨	比賽;錦標賽
torrent	洪流;(話語的)連發;(感情的)狂潮	拷打;拷問;折磨	比賽;錦標賽	毒(性)的;有毒的
torture	拷打;拷問;折磨	比賽;錦標賽	毒(性)的;有毒的	商標
tournament	比賽;錦標賽	毒(性)的;有毒的	商標	叛徒;賣國賊;背叛者
toxic	毒(性)的;有毒的	商標	叛徒;賣國賊;背叛者	腳步沈重地行走;踐踏;流浪
trademark	商標	叛徒;賣國賊;背叛者	腳步沈重地行走;踐踏;流浪	踩;踐踏;蔑視
traitor	叛徒;賣國賊;背叛者	腳步沈重地行走;踐踏;流浪	踩;踐踏;蔑視	透明的
tramp	腳步沈重地行走;踐踏;流浪	踩;踐踏;蔑視	透明的	金庫;庫房;國庫;寶庫
trample	踩;踐踏;蔑視	透明的	金庫;庫房;國庫;寶庫	條約,協定
transparent	透明的	金庫;庫房;國庫;寶庫	條約,協定	挖溝;挖戰壕
treasury	金庫;庫房;國庫;寶庫	條約,協定	挖溝;挖戰壕	進貢;敬意;尊崇
treaty	條約,協定	挖溝;挖戰壕	進貢;敬意;尊崇	戲弄
trench	挖溝;挖戰壕	進貢;敬意;尊崇	戲弄	苗條的
tribute	進貢;敬意;尊崇	戲弄	苗條的	三倍的;三重的
trifle	戲弄	苗條的	三倍的;三重的	(馬等)小跑
trim	苗條的	三倍的;三重的	(馬等)小跑	鱒魚
triple	三倍的;三重的	(馬等)小跑	鱒魚	把...塞進;使有褶襉
trot	(馬等)小跑	鱒魚	把...塞進;使有褶襉	學費
