唱える (となえる)	to recite	proof	unmarried woman 	to propose
畜生 (ちくしょう)	beast 	super-	tranquil	to make progress
超 (ちょう)	super-	tranquil	to make progress	immediately
のどか (長閑)	tranquil	to make progress	immediately	to sink
はかどる (捗る)	to make progress	immediately	to sink	coherence
すぐ (直ぐ)	immediately	to sink	coherence	to bind
沈める (しずめる)	to sink	coherence	to bind	-like
つじつま (辻褄)	coherence	to bind	-like	mark
綴じる (とじる)	to bind	-like	mark	to meet 
的 (てき)	-like	mark	to meet 	settlement
的 (まと)	mark	to meet 	settlement	doing various things
添う (そう)	to meet 	settlement	doing various things	to breathe out
まとめ (纏め)	settlement	doing various things	to breathe out	to be jealous of
とかく (兎角)	doing various things	to breathe out	to be jealous of	as much as possible
つく (吐く)	to breathe out	to be jealous of	as much as possible	to guide
妬む (ねたむ)	to be jealous of	as much as possible	to guide	to poke 
努めて (つとめて)	as much as possible	to guide	to poke 	over-familiar
導く (みちびく)	to guide	to poke 	over-familiar	to be crowded with people
つつく (突く)	to poke 	over-familiar	to be crowded with people	to get in
馴れ馴れしい (なれなれしい)	over-familiar	to be crowded with people	to get in	how
賑わう (にぎわう)	to be crowded with people	to get in	how	approximate age
入る (いる)	to get in	how	approximate age	from ... to
いかに (如何に)	how	approximate age	from ... to	clique
年頃 (としごろ)	approximate age	from ... to	clique	to abuse 
ないし (乃至)	from ... to	clique	to abuse 	to run counter to
派 (は)	clique	to abuse 	to run counter to	to come off
罵る (ののしる)	to abuse 	to run counter to	to come off	punishment
背く (そむく)	to run counter to	to come off	punishment	seal
はげる (剥げる)	to come off	punishment	seal	group
罰 (ばつ)	punishment	seal	group	indicates position in a sequence 
判 (はん)	seal	group	indicates position in a sequence 	lowborn
班 (はん)	group	indicates position in a sequence 	lowborn	cost
番目 (ばんめ)	indicates position in a sequence 	lowborn	cost	fault
卑しい (いやしい)	lowborn	cost	fault	to provide
費 (ひ)	cost	fault	to provide	illness
非 (ひ)	fault	to provide	illness	tea-towel
備え付ける (そなえつける)	to provide	illness	tea-towel	to defeat
病 (やまい)	illness	tea-towel	to defeat	department 
布巾 (ふきん)	tea-towel	to defeat	department 	to overturn
負かす (まかす)	to defeat	department 	to overturn	change
部 (ぶ)	department 	to overturn	change	radiation
覆す (くつがえす)	to overturn	change	radiation	honey
変遷 (へんせん)	change	radiation	honey	cheek
放射 (ほうしゃ)	radiation	honey	cheek	each
はちみつ (蜂蜜)	honey	cheek	each	eighth sign of the Chinese zodiac 
ほっぺた (頬っぺた)	cheek	each	eighth sign of the Chinese zodiac 	sleepy
ごと (毎)	each	eighth sign of the Chinese zodiac 	sleepy	thoughtlessly
未 (ひつじ)	eighth sign of the Chinese zodiac 	sleepy	thoughtlessly	nonsensical
眠たい (ねむたい)	sleepy	thoughtlessly	nonsensical	regret
むやみに (無闇に)	thoughtlessly	nonsensical	regret	next 
むちゃくちゃ (無茶苦茶)	nonsensical	regret	next 	pimple
無念 (むねん)	regret	next 	pimple	weight
あくる (明くる)	next 	pimple	weight	bedding
にきび (面皰)	pimple	weight	bedding	beforehand
目方 (めかた)	weight	bedding	beforehand	looking away
夜具 (やぐ)	bedding	beforehand	looking away	easy
あらかじめ (予め)	beforehand	looking away	easy	Mr.
よそ見 (よそみ)	looking away	easy	Mr.	barefoot 
たやすい (容易い)	easy	Mr.	barefoot 	fashion
様 (さま)	Mr.	barefoot 	fashion	to endure
裸足 (はだし)	barefoot 	fashion	to endure	fee
流 (りゅう)	fashion	to endure	fee	to split
凌ぐ (しのぐ)	to endure	fee	to split	dew 
料 (りょう)	fee	to split	dew 	to pity
裂ける (さける)	to split	dew 	to pity	to finger
露 (つゆ)	dew 	to pity	to finger	to leak
いたわる (労る)	to pity	to finger	to leak	to age
いじる (弄る)	to finger	to leak	to age	sum 
漏る (もる)	to leak	to age	sum 	apology
老ける (ふける)	to age	sum 	apology	straw
和 (わ)	sum 	apology	straw	methodical
詫び (わび)	apology	straw	methodical	to blame
わら (藁)	straw	methodical	to blame	to mutter
几帳面 (きちょうめん)	methodical	to blame	to mutter	beak
とがめる (咎める)	to blame	to mutter	beak	surely
つぶやく (呟く)	to mutter	beak	surely	to sing
くちばし (嘴)	beak	surely	to sing	large number
さぞ (嘸)	surely	to sing	large number	to give 
さえずる (囀る)	to sing	large number	to give 	euphemistic
おびただしい (夥しい)	large number	to give 	euphemistic	supple
おごる (奢る)	to give 	euphemistic	supple	to disagree
婉曲 (えんきょく)	euphemistic	supple	to disagree	cage
しなやか (嫋か)	supple	to disagree	cage	gloomy 
もめる (揉める)	to disagree	cage	gloomy 	to dress stylishly 
檻 (おり)	cage	gloomy 	to dress stylishly 	to run 
うっとうしい (鬱陶しい)	gloomy 	to dress stylishly 	to run 	well
洒落る (しゃれる)	to dress stylishly 	to run 	well	gorgeous
にじむ (滲む)	to run 	well	gorgeous	to rise
ろくに (碌に)	well	gorgeous	to rise	to lick 
きらびやか (煌びやか)	gorgeous	to rise	to lick 	to speak ill of
そびえる (聳える)	to rise	to lick 	to speak ill of	to bring
舐める (なめる)	to lick 	to speak ill of	to bring	heel 
けなす (貶す)	to speak ill of	to bring	heel 	discipline
もたらす (齎す)	to bring	heel 	discipline	burly
かかと (踵)	heel 	discipline	burly	germ
しつけ (躾)	discipline	burly	germ	snoring
たくましい (逞しい)	burly	germ	snoring	truth
ばい菌 (ばいきん)	germ	snoring	truth	once
いびき (鼾)	snoring	truth	once	side 
誠 (まこと)	truth	once	side 	-store
かつて (嘗て)	once	side 	-store	to tear off
側 (がわ)	side 	-store	to tear off	face 
店 (てん)	-store	to tear off	face 	to warp
剥ぐ (はぐ)	to tear off	face 	to warp	to close 
面 (おもて)	face 	to warp	to close 	to knock together
歪む (ゆがむ)	to warp	to close 	to knock together	faint
つぶる (瞑る)	to close 	to knock together	faint	alternately
打ち合わせる (うちあわせる)	to knock together	faint	alternately	crowd
かすか (微か)	faint	alternately	crowd	to shut oneself in 
代わる代わる (かわるがわる)	alternately	crowd	to shut oneself in 	to step back
群集 (ぐんしゅう)	crowd	to shut oneself in 	to step back	refreshing 
こもる (籠もる)	to shut oneself in 	to step back	refreshing 	to garnish
退く (しりぞく)	to step back	refreshing 	to garnish	tender-hearted
清々しい (すがすがしい)	refreshing 	to garnish	tender-hearted	fleeting
添える (そえる)	to garnish	tender-hearted	fleeting	to scatter
情け深い (なさけぶかい)	tender-hearted	fleeting	to scatter	starting point
はかない (儚い)	fleeting	to scatter	starting point	several
ばらまく (ばら撒く)	to scatter	starting point	several	folk customs
振り出し (ふりだし)	starting point	several	folk customs	thigh 
まちまち (区々)	several	folk customs	thigh 	to leak out
民俗 (みんぞく)	folk customs	thigh 	to leak out	depression
股 (もも)	thigh 	to leak out	depression	nursing
漏れる (もれる)	to leak out	depression	nursing	very
憂鬱 (ゆううつ)	depression	nursing	very	late at night
養護 (ようご)	nursing	very	late at night	pillage
よほど (余程)	very	late at night	pillage	expressly
夜更け (よふけ)	late at night	pillage	expressly	at a stroke
略奪 (りゃくだつ)	pillage	expressly	at a stroke	the date
わざわざ (態々)	expressly	at a stroke	the date	greedy
一挙に (いっきょに)	at a stroke	the date	greedy	satisfactory
月日 (がっぴ)	the date	greedy	satisfactory	secret
欲深 (よくぶか)	greedy	satisfactory	secret	to be
ろくな (碌な)	satisfactory	secret	to be	freebie 
密か (ひそか)	secret	to be	freebie 	hammer 
ございます (御座います)	to be	freebie 	hammer 	rather
おまけ (お負け)	freebie 	hammer 	rather	ascetic practices 
金槌 (かなづち)	hammer 	rather	ascetic practices 	tedious
いっそ	rather	ascetic practices 	tedious	hey!
修行 (しゅぎょう)	ascetic practices 	tedious	hey!	giving birth
うんざり	tedious	hey!	giving birth	being done for
おい	hey!	giving birth	being done for	heartbroken
お産 (おさん)	giving birth	being done for	heartbroken	exactly
お手上げ (おてあげ)	being done for	heartbroken	exactly	distinctly 
がっくり	heartbroken	exactly	distinctly 	only
きちっと	exactly	distinctly 	only	at a glance
くっきり	distinctly 	only	at a glance	if
だけ (丈)	only	at a glance	if	things like ...
ちらっと	at a glance	if	things like ...	feeling relieved
と	if	things like ...	feeling relieved	perhaps
なんか	things like ...	feeling relieved	perhaps	OK
ほっと	feeling relieved	perhaps	OK	category
もしかして (若しかして)	perhaps	OK	category	volt 
ＯＫ (オッケー)	OK	category	volt 	approximately
カテゴリー	category	volt 	approximately	to be enthusiastic about
ボルト	volt 	approximately	to be enthusiastic about	one mind 
くらい	approximately	to be enthusiastic about	one mind 	to push into
意気込む (いきごむ)	to be enthusiastic about	one mind 	to push into	second 
一心 (いっしん)	one mind 	to push into	second 	burning low
押し込む (おしこむ)	to push into	second 	burning low	groundwork
乙 (おつ)	second 	burning low	groundwork	something or other
下火 (したび)	burning low	groundwork	something or other	excess
下地 (したじ)	groundwork	something or other	excess	monster
なんだかんだ (何だかんだ)	something or other	excess	monster	revision 
過多 (かた)	excess	monster	revision 	game
怪獣 (かいじゅう)	monster	revision 	game	university graduate
改訂 (かいてい)	revision 	game	university graduate	yet
獲物 (えもの)	game	university graduate	yet	thin rice porridge
学士 (がくし)	university graduate	yet	thin rice porridge	roll 
かつ (且つ)	yet	thin rice porridge	roll 	sensitivity 
粥 (かゆ)	thin rice porridge	roll 	sensitivity 	brevity
巻 (まき)	roll 	sensitivity 	brevity	60th birthday
感度 (かんど)	sensitivity 	brevity	60th birthday	in its entirety
簡潔 (かんけつ)	brevity	60th birthday	in its entirety	rock
還暦 (かんれき)	60th birthday	in its entirety	rock	injury
まるごと (丸ごと)	in its entirety	rock	injury	contribution
岩石 (がんせき)	rock	injury	contribution	quarterly 
危害 (きがい)	injury	contribution	quarterly 	undulation 
寄与 (きよ)	contribution	quarterly 	undulation 	assembly hall
季刊 (きかん)	quarterly 	undulation 	assembly hall	tea drinking 
起伏 (きふく)	undulation 	assembly hall	tea drinking 	coeducation
議事堂 (ぎじどう)	assembly hall	tea drinking 	coeducation	resonance
喫茶 (きっさ)	tea drinking 	coeducation	resonance	to become frightened
共学 (きょうがく)	coeducation	resonance	to become frightened	paulownia tree
共鳴 (きょうめい)	resonance	to become frightened	paulownia tree	foot race
怯える (おびえる)	to become frightened	paulownia tree	foot race	ruler
桐 (きり)	paulownia tree	foot race	ruler	military or naval uniform
かけっこ (駆けっこ)	foot race	ruler	military or naval uniform	judgement
君主 (くんしゅ)	ruler	military or naval uniform	judgement	condition
軍服 (ぐんぷく)	military or naval uniform	judgement	condition	blessing
刑罰 (けいばつ)	judgement	condition	blessing	meter
形勢 (けいせい)	condition	blessing	meter	to be related
恵み (めぐみ)	blessing	meter	to be related	in good health
計器 (けいき)	meter	to be related	in good health	original form
結びつく (むすびつく)	to be related	in good health	original form	the text
健在 (けんざい)	in good health	original form	the text	diaper
原形 (げんけい)	original form	the text	diaper	trade
原文 (げんぶん)	the text	diaper	trade	brilliance
おむつ (お襁褓)	diaper	trade	brilliance	ruin
交易 (こうえき)	trade	brilliance	ruin	paid subscription 
光沢 (こうたく)	brilliance	ruin	paid subscription 	consultation
荒廃 (こうはい)	ruin	paid subscription 	consultation	difference
購読 (こうどく)	paid subscription 	consultation	difference	gravel
合議 (ごうぎ)	consultation	difference	gravel	mining
差異 (さい)	difference	gravel	mining	fence
砂利 (じゃり)	gravel	mining	fence	to start
採掘 (さいくつ)	mining	fence	to start	to rule
柵 (さく)	fence	to start	to rule	son
仕掛ける (しかける)	to start	to rule	son	I
司る (つかさどる)	to rule	son	I	ceremonial hall 
子息 (しそく)	son	I	ceremonial hall 	copy
あたし (私)	I	ceremonial hall 	copy	great numbers 
式場 (しきじょう)	ceremonial hall 	copy	great numbers 	to follow
写し (うつし)	copy	great numbers 	to follow	to apply correspondingly
衆 (しゅう)	great numbers 	to follow	to apply correspondingly	first edition
準じる (じゅんじる)	to follow	to apply correspondingly	first edition	enactment
準ずる (じゅんずる)	to apply correspondingly	first edition	enactment	establishment
初版 (しょはん)	first edition	enactment	establishment	persuasion
制定 (せいてい)	enactment	establishment	persuasion	before
設定 (せってい)	establishment	persuasion	before	occupying
説得 (せっとく)	persuasion	before	occupying	selection
先に (さきに)	before	occupying	selection	ingredient
占領 (せんりょう)	occupying	selection	ingredient	confrontation
選考 (せんこう)	selection	ingredient	confrontation	opposition
素材 (そざい)	ingredient	confrontation	opposition	retirement
対決 (たいけつ)	confrontation	opposition	retirement	sole
対抗 (たいこう)	opposition	retirement	sole	written work
退職 (たいしょく)	retirement	sole	written work	government office
単独 (たんどく)	sole	written work	government office	signature
著書 (ちょしょ)	written work	government office	signature	wages 
庁 (ちょう)	government office	signature	wages 	anger
調印 (ちょういん)	signature	wages 	anger	rule
賃金 (ちんぎん)	wages 	anger	rule	scoring
怒り (いかり)	anger	rule	scoring	reader
統治 (とうち)	rule	scoring	reader	day and night
得点 (とくてん)	scoring	reader	day and night	trouble
読者 (どくしゃ)	reader	day and night	trouble	disposal
日夜 (にちや)	day and night	trouble	disposal	distribution
悩み (なやみ)	trouble	disposal	distribution	consideration
廃棄 (はいき)	disposal	distribution	consideration	dullness
配分 (はいぶん)	distribution	consideration	dullness	revival 
配慮 (はいりょ)	consideration	dullness	revival 	goods
不振 (ふしん)	dullness	revival 	goods	separation
復活 (ふっかつ)	revival 	goods	separation	split
物資 (ぶっし)	goods	separation	split	change
分離 (ぶんり)	separation	split	change	repayment
分裂 (ぶんれつ)	split	change	repayment	court 
変動 (へんどう)	change	repayment	court 	violence
返済 (へんさい)	repayment	court 	violence	beginning
法廷 (ほうてい)	court 	violence	beginning	original method or procedure 
暴力 (ぼうりょく)	violence	beginning	original method or procedure 	real name
冒頭 (ぼうとう)	beginning	original method or procedure 	real name	register of names
本格 (ほんかく)	original method or procedure 	real name	register of names	demand for
本名 (ほんみょう)	real name	register of names	demand for	control
名簿 (めいぼ)	register of names	demand for	control	legislation
要望 (ようぼう)	demand for	control	legislation	frame
抑制 (よくせい)	control	legislation	frame	counter for small animals 
立法 (りっぽう)	legislation	frame	counter for small animals 	real condition
枠 (わく)	frame	counter for small animals 	real condition	exclusive use
匹 (ひき)	counter for small animals 	real condition	exclusive use	every day
実情 (じつじょう)	real condition	exclusive use	every day	application
専用 (せんよう)	exclusive use	every day	application	acknowledgement
日々 (ひび)	every day	application	acknowledgement	republican
申し込み (もうしこみ)	application	acknowledgement	republican	evil
了承 (りょうしょう)	acknowledgement	republican	evil	treatment
共和 (きょうわ)	republican	evil	treatment	intention
悪 (あく)	evil	treatment	intention	switching over to
扱い (あつかい)	treatment	intention	switching over to	manufacturing
意図 (いと)	intention	switching over to	manufacturing	scattering
移行 (いこう)	switching over to	manufacturing	scattering	decision
加工 (かこう)	manufacturing	scattering	decision	reform
拡散 (かくさん)	scattering	decision	reform	advice
確定 (かくてい)	decision	reform	advice	nursing
革新 (かくしん)	reform	advice	nursing	orbit
勧告 (かんこく)	advice	nursing	orbit	forgery
看護 (かんご)	nursing	orbit	forgery	sacrifice
軌道 (きどう)	orbit	forgery	sacrifice	script
偽造 (ぎぞう)	forgery	sacrifice	script	communism 
犠牲 (ぎせい)	sacrifice	script	communism 	firm
脚本 (きゃくほん)	script	communism 	firm	formation
共産 (きょうさん)	communism 	firm	formation	details
強硬 (きょうこう)	firm	formation	details	passage 
形成 (けいせい)	formation	details	passage 	ruler
経緯 (いきさつ)	details	passage 	ruler	origin 
経過 (けいか)	passage 	ruler	origin 	atomic bomb
元首 (げんしゅ)	ruler	origin 	atomic bomb	public 
原点 (げんてん)	origin 	atomic bomb	public 	domestic
原爆 (げんばく)	atomic bomb	public 	domestic	fraud
公立 (こうりつ)	public 	domestic	fraud	oxidation
国産 (こくさん)	domestic	fraud	oxidation	intention
詐欺 (さぎ)	fraud	oxidation	intention	death penalty
酸化 (さんか)	oxidation	intention	death penalty	field of vision
志向 (しこう)	intention	death penalty	field of vision	truth
死刑 (しけい)	death penalty	field of vision	truth	person in charge
視野 (しや)	field of vision	truth	person in charge	technique
実 (じつ)	truth	person in charge	technique	establish
主任 (しゅにん)	person in charge	technique	establish	earnings
手法 (しゅほう)	technique	establish	earnings	childbirth
樹立 (じゅりつ)	establish	earnings	childbirth	masses
収益 (しゅうえき)	earnings	childbirth	masses	furthermore
出産 (しゅっさん)	childbirth	masses	furthermore	illness
庶民 (しょみん)	masses	furthermore	illness	shock
なお (尚)	furthermore	illness	shock	concession
症 (しょう)	illness	shock	concession	report
衝撃 (しょうげき)	shock	concession	report	truth
譲歩 (じょうほ)	concession	report	truth	diagnosis and treatment
申告 (しんこく)	report	truth	diagnosis and treatment	household
真相 (しんそう)	truth	diagnosis and treatment	household	touch
診療 (しんりょう)	diagnosis and treatment	household	touch	tactics
世帯 (せたい)	household	touch	tactics	fibre
接触 (せっしょく)	touch	tactics	fibre	lawsuit
戦術 (せんじゅつ)	tactics	fibre	lawsuit	search 
繊維 (せんい)	fibre	lawsuit	search 	side
訴え (うったえ)	lawsuit	search 	side	stamina
捜索 (そうさく)	search 	side	stamina	general public
側面 (そくめん)	side	stamina	general public	achievement
体力 (たいりょく)	stamina	general public	achievement	junior college
大衆 (たいしゅう)	general public	achievement	junior college	relay
達成 (たっせい)	achievement	junior college	relay	to herd
短大 (たんだい)	junior college	relay	to herd	investigation 
中継 (ちゅうけい)	relay	to herd	investigation 	retirement age 
追い込む (おいこむ)	to herd	investigation 	retirement age 	iron and steel
追及 (ついきゅう)	investigation 	retirement age 	iron and steel	exhibition
定年 (ていねん)	retirement age 	iron and steel	exhibition	view
鉄鋼 (てっこう)	iron and steel	exhibition	view	corporate bankruptcy
展示 (てんじ)	exhibition	view	corporate bankruptcy	debate
展望 (てんぼう)	view	corporate bankruptcy	debate	winning a prize or place 
倒産 (とうさん)	corporate bankruptcy	debate	winning a prize or place 	duty
討論 (とうろん)	debate	winning a prize or place 	duty	bomb 
入賞 (にゅうしょう)	winning a prize or place 	duty	bomb 	judgement
任務 (にんむ)	duty	bomb 	judgement	taking refuge
爆弾 (ばくだん)	bomb 	judgement	taking refuge	tail 
判定 (はんてい)	judgement	taking refuge	tail 	beach
避難 (ひなん)	taking refuge	tail 	beach	injustice
尾 (お)	tail 	beach	injustice	revival
浜 (はま)	beach	injustice	revival	closing
不当 (ふとう)	injustice	revival	closing	defense
復興 (ふっこう)	revival	closing	defense	remuneration
閉鎖 (へいさ)	closing	defense	remuneration	real intention
弁護 (べんご)	defense	remuneration	real intention	substance
報酬 (ほうしゅう)	remuneration	real intention	substance	theory
本音 (ほんね)	real intention	substance	theory	day after day
本体 (ほんたい)	substance	theory	day after day	logic 
理論 (りろん)	theory	day after day	logic 	immediate
連日 (れんじつ)	day after day	logic 	immediate	collecting
論理 (ろんり)	logic 	immediate	collecting	aggression
早急 (さっきゅう)	immediate	collecting	aggression	emigration
収集 (しゅうしゅう)	collecting	aggression	emigration	one face
侵略 (しんりゃく)	aggression	emigration	one face	passenger fare 
移民 (いみん)	emigration	one face	passenger fare 	hygiene
一面 (いちめん)	one face	passenger fare 	hygiene	practice
運賃 (うんちん)	passenger fare 	hygiene	practice	most
衛生 (えいせい)	hygiene	practice	most	past
演習 (えんしゅう)	practice	most	past	nursing
何より (なにより)	most	past	nursing	foreign currency
過ぎ (すぎ)	past	nursing	foreign currency	on the street
介護 (かいご)	nursing	foreign currency	on the street	point of view
外貨 (がいか)	foreign currency	on the street	point of view	participation
街頭 (がいとう)	on the street	point of view	participation	weather
観点 (かんてん)	point of view	participation	weather	topic of discussion
関与 (かんよ)	participation	weather	topic of discussion	provision of lunch 
気象 (きしょう)	weather	topic of discussion	provision of lunch 	residence
議題 (ぎだい)	topic of discussion	provision of lunch 	residence	fishing boat
給食 (きゅうしょく)	provision of lunch 	residence	fishing boat	teacher
居住 (きょじゅう)	residence	fishing boat	teacher	extreme
漁船 (ぎょせん)	fishing boat	teacher	extreme	penalty
教員 (きょういん)	teacher	extreme	penalty	form
極端 (きょくたん)	extreme	penalty	form	publication 
刑 (けい)	penalty	form	publication 	something carried 
形態 (けいたい)	form	publication 	something carried 	troupe
掲載 (けいさい)	publication 	something carried 	troupe	healthy
携帯 (けいたい)	something carried 	troupe	healthy	authority
劇団 (げきだん)	troupe	healthy	authority	original work
健全 (けんぜん)	healthy	authority	original work	limit
権威 (けんい)	authority	original work	limit	ancient times
原作 (げんさく)	original work	limit	ancient times	retreat
限定 (げんてい)	limit	ancient times	retreat	delivery
古代 (こだい)	ancient times	retreat	delivery	engineering
後退 (こうたい)	retreat	delivery	engineering	dispute
交付 (こうふ)	delivery	engineering	dispute	to be temperate in
工学 (こうがく)	engineering	dispute	to be temperate in	attack
抗争 (こうそう)	dispute	to be temperate in	attack	country
控える (ひかえる)	to be temperate in	attack	country	root
攻め (せめ)	attack	country	root	cultivation
国土 (こくど)	country	root	cultivation	inventory
根本 (こんぽん)	root	cultivation	inventory	House of Councillors 
栽培 (さいばい)	cultivation	inventory	House of Councillors 	bank balance
在庫 (ざいこ)	inventory	House of Councillors 	bank balance	inspection
参議院 (さんぎいん)	House of Councillors 	bank balance	inspection	matter
残高 (ざんだか)	bank balance	inspection	matter	section of village
視察 (しさつ)	inspection	matter	section of village	question 
事項 (じこう)	matter	section of village	question 	lawn
字 (あざ)	section of village	question 	lawn	starring
質疑 (しつぎ)	question 	lawn	starring	protagonist
芝 (しば)	lawn	starring	protagonist	all day
主演 (しゅえん)	starring	protagonist	all day	symbol
主人公 (しゅじんこう)	protagonist	all day	symbol	sky
終日 (しゅうじつ)	all day	symbol	sky	one's superior
象徴 (しょうちょう)	symbol	sky	one's superior	colour
上空 (じょうくう)	sky	one's superior	colour	route
上司 (じょうし)	one's superior	colour	route	just
色彩 (しきさい)	colour	route	just	occasion
進路 (しんろ)	route	just	occasion	preceding
正当 (せいとう)	just	occasion	preceding	establishment
節 (せつ)	occasion	preceding	establishment	steering
先行 (せんこう)	preceding	establishment	steering	treatment
創立 (そうりつ)	establishment	steering	treatment	bold
操縦 (そうじゅう)	steering	treatment	bold	intellectual
待遇 (たいぐう)	treatment	bold	intellectual	neutrality
大胆 (だいたん)	bold	intellectual	neutrality	arbitration
知的 (ちてき)	intellectual	neutrality	arbitration	confrontation 
中立 (ちゅうりつ)	neutrality	arbitration	confrontation 	exile
調停 (ちょうてい)	arbitration	confrontation 	exile	cooperation
直面 (ちょくめん)	confrontation 	exile	cooperation	attendance 
追放 (ついほう)	exile	cooperation	attendance 	debate
提携 (ていけい)	cooperation	attendance 	debate	to be based on
登校 (とうこう)	attendance 	debate	to be based on	motive
討議 (とうぎ)	debate	to be based on	motive	agreement
踏まえる (ふまえる)	to be based on	motive	agreement	feature 
動機 (どうき)	motive	agreement	feature 	dictatorship
同意 (どうい)	agreement	feature 	dictatorship	monopoly
特集 (とくしゅう)	feature 	dictatorship	monopoly	breaking through
独裁 (どくさい)	dictatorship	monopoly	breaking through	defeat
独占 (どくせん)	monopoly	breaking through	defeat	lung
突破 (とっぱ)	breaking through	defeat	lung	departure
敗戦 (はいせん)	defeat	lung	departure	prospering
肺 (はい)	lung	departure	prospering	criticism
発 (はつ)	departure	prospering	criticism	vote
繁栄 (はんえい)	prospering	criticism	vote	absence 
非難 (ひなん)	criticism	vote	absence 	bad
票 (ひょう)	vote	absence 	bad	riches
不在 (ふざい)	absence 	bad	riches	composite
不良 (ふりょう)	bad	riches	composite	change
富 (とみ)	riches	composite	change	nursing
複合 (ふくごう)	composite	change	nursing	prisoner 
変革 (へんかく)	change	nursing	prisoner 	law
保育 (ほいく)	nursing	prisoner 	law	essence
捕虜 (ほりょ)	prisoner 	law	essence	not yet fixed
法学 (ほうがく)	law	essence	not yet fixed	wireless
本質 (ほんしつ)	essence	not yet fixed	wireless	name
未定 (みてい)	not yet fixed	wireless	name	arrow 
無線 (むせん)	wireless	name	arrow 	place
名称 (めいしょう)	name	arrow 	place	execution
矢 (や)	arrow 	place	execution	birth
余地 (よち)	place	execution	birth	rearing
施行 (しこう)	execution	birth	rearing	signs
出生 (しゅっしょう)	birth	rearing	signs	savings
育成 (いくせい)	rearing	signs	savings	treatment
兆し (きざし)	signs	savings	treatment	closing years 
貯蓄 (ちょちく)	savings	treatment	closing years 	world
取り扱い (とりあつかい)	treatment	closing years 	world	revision 
末期 (まっき)	closing years 	world	revision 	opportunity
世 (よ)	world	revision 	opportunity	orphan
改定 (かいてい)	revision 	opportunity	orphan	making
契機 (けいき)	opportunity	orphan	making	independence
孤児 (こじ)	orphan	making	independence	dwelling
作り (つくり)	making	independence	dwelling	war potential
自立 (じりつ)	independence	dwelling	war potential	equipment
住 (じゅう)	dwelling	war potential	equipment	running a wheeled vehicle 
戦力 (せんりょく)	war potential	equipment	running a wheeled vehicle 	break in the deadlock
装備 (そうび)	equipment	running a wheeled vehicle 	break in the deadlock	wrestling ring 
走行 (そうこう)	running a wheeled vehicle 	break in the deadlock	wrestling ring 	sense
打開 (だかい)	break in the deadlock	wrestling ring 	sense	good fortune
土俵 (どひょう)	wrestling ring 	sense	good fortune	letter
念 (ねん)	sense	good fortune	letter	whaling
福 (ふく)	good fortune	letter	whaling	fund-raising
文 (ふみ)	letter	whaling	fund-raising	wild
捕鯨 (ほげい)	whaling	fund-raising	wild	dependence
募金 (ぼきん)	fund-raising	wild	dependence	mere
野生 (やせい)	wild	dependence	mere	assassination
依存 (いぞん)	dependence	mere	assassination	clothing
ほんの (本の)	mere	assassination	clothing	fate
暗殺 (あんさつ)	assassination	clothing	fate	hero
衣装 (いしょう)	clothing	fate	hero	coast
運命 (うんめい)	fate	hero	coast	rivers
英雄 (えいゆう)	hero	coast	rivers	social class 
沿岸 (えんがん)	coast	rivers	social class 	general idea
河川 (かせん)	rivers	social class 	general idea	description
階級 (かいきゅう)	social class 	general idea	description	technique
概念 (がいねん)	general idea	description	technique	strong
記述 (きじゅつ)	description	technique	strong	lesson
技 (わざ)	technique	strong	lesson	suburbs
強烈 (きょうれつ)	strong	lesson	suburbs	section 
教訓 (きょうくん)	lesson	suburbs	section 	armaments
近郊 (きんこう)	suburbs	section 	armaments	to publish
区間 (くかん)	section 	armaments	to publish	fixing 
軍備 (ぐんび)	armaments	to publish	fixing 	isolation
掲げる (かかげる)	to publish	fixing 	isolation	public corporation 
固定 (こてい)	fixing 	isolation	public corporation 	direction
孤立 (こりつ)	isolation	public corporation 	direction	work 
公団 (こうだん)	public corporation 	direction	work 	mission
向き (むき)	direction	work 	mission	practice
作 (さく)	work 	mission	practice	to catch
使命 (しめい)	mission	practice	to catch	to attack
実践 (じっせん)	practice	to catch	to attack	promotion
受け止める (うけとめる)	to catch	to attack	promotion	performance 
襲う (おそう)	to attack	promotion	performance 	colony 
昇進 (しょうしん)	promotion	performance 	colony 	professional duties
上演 (じょうえん)	performance 	colony 	professional duties	truth
植民地 (しょくみんち)	colony 	professional duties	truth	moving forward 
職務 (しょくむ)	professional duties	truth	moving forward 	hostage
真実 (しんじつ)	truth	moving forward 	hostage	water-filled paddy field
進行 (しんこう)	moving forward 	hostage	water-filled paddy field	limitation
人質 (ひとじち)	hostage	water-filled paddy field	limitation	youth
水田 (すいでん)	water-filled paddy field	limitation	youth	vivid
制約 (せいやく)	limitation	youth	vivid	launching 
青春 (せいしゅん)	youth	vivid	launching 	creation
鮮やか (あざやか)	vivid	launching 	creation	strife
創刊 (そうかん)	launching 	creation	strife	escape
創造 (そうぞう)	creation	strife	escape	withdrawal 
騒動 (そうどう)	strife	escape	withdrawal 	tanka
脱出 (だっしゅつ)	escape	withdrawal 	tanka	shortening
脱退 (だったい)	withdrawal 	tanka	shortening	lottery
短歌 (たんか)	tanka	shortening	lottery	tide
短縮 (たんしゅく)	shortening	lottery	tide	ceiling 
抽選 (ちゅうせん)	lottery	tide	ceiling 	inspection
潮 (しお)	tide	ceiling 	inspection	hit 
天井 (てんじょう)	ceiling 	inspection	hit 	like-mindedness
